"zone","state","lga","sector","ea","hhid","s10q1","s10q2","s10q3","s10q4","s10q5","s10q6","s10q7","s10q8"
2,5,502,1,2194,50012,2,,2,,,1,,7000
2,5,502,1,2194,50014,1,5000,2,,,2,,
2,5,502,1,2194,50020,2,,2,,,1,,40000
2,5,502,2,3878,50036,1,30000,2,,,2,,
2,5,504,2,708,50042,2,,2,,,1,,35158
2,5,504,2,708,50049,1,,2,,,2,,
2,5,513,2,348,50054,1,1500,2,,,2,,
2,5,513,2,348,50059,1,10000,2,,,2,,
2,5,513,2,348,50060,1,10000,2,,,2,,
2,5,514,2,710,50065,2,,2,,,1,,96000
2,5,501,2,60,50071,1,11200,2,,,2,,
2,5,501,2,60,50073,1,20000,2,,,2,,
2,5,501,2,60,50076,1,21000,2,,,2,,
2,5,501,2,60,50080,1,4600,2,,,2,,
2,5,516,2,942,50083,2,,2,,,1,,60000
2,5,508,2,984,50092,1,40000,1,,5000,1,,20000
2,5,508,2,984,50093,1,4000,2,,,2,,
2,5,508,2,984,50095,1,1500,2,,,2,,
2,5,508,2,718,50115,2,,2,,,1,,90000
2,5,508,2,718,50118,1,11700,2,,,2,,
2,5,508,2,718,50119,1,12000,2,,,2,,
2,5,510,1,872,50125,1,30000,2,,,1,,36000
2,5,510,1,872,50128,2,,2,,,1,,65000
2,5,510,1,872,50129,2,,1,1,18000,2,,
2,5,518,2,1588,50135,1,20000,2,,,2,,
2,5,518,2,1588,50137,1,4500,2,,,2,,
2,5,518,2,1588,50140,1,25000,2,,,2,,
2,5,510,2,1516,50149,2,,1,3,1000,2,,
2,5,518,2,1304,50153,1,22000,2,,,2,,
2,5,518,2,1304,50154,2,,2,,,1,,18000
2,5,518,2,1304,50155,2,,2,,,1,,10000
2,5,518,2,1304,50159,1,25000,2,,,2,,
2,5,518,2,1304,50160,1,1000,2,,,2,,
2,5,520,2,1756,50163,2,,1,3,46000,2,,
2,5,520,2,1756,50165,2,,1,3,45000,2,,
5,6,608,2,748,60061,2,,1,1,63000,2,,
5,6,608,2,748,60062,2,,2,,,1,,160000
5,6,608,2,748,60063,2,,1,1,270000,2,,
5,6,608,2,748,60066,2,,2,,,1,,72000
1,7,707,2,560,70007,2,,2,,,1,,112000
1,7,705,2,4186,70027,2,,2,,,1,,90000
1,7,722,2,234,70038,2,,1,1,8400,1,,234000
1,7,722,2,892,70041,1,108000,2,,,2,,
1,7,722,2,892,70042,2,,2,,,1,,52000
1,7,710,2,2726,70057,2,,2,,,1,,270000
2,8,813,2,2094,80001,2,,2,,,1,"GIFT",2000
2,8,813,2,2094,80006,2,,1,1,1600,2,,
2,8,803,1,944,80042,2,,2,,,1,"LPARAENTS",30000
2,8,803,1,944,80049,2,,2,,,1,"profit income",100000
2,8,811,1,1558,80057,2,,2,,,1,"PENSION",48000
2,8,811,1,1558,80060,2,,2,,,1,"salari",16000
2,8,807,2,2396,80128,2,,2,,,1,,160000
2,8,807,2,1438,80137,2,,2,,,1,,1500
2,8,807,2,1438,80140,2,,2,,,1,,20000
2,8,820,2,1030,80146,2,,2,,,1,,5000
2,8,824,2,768,80156,2,,2,,,1,,60
2,8,817,1,2476,80163,1,300,2,,,2,,
2,8,817,1,2476,80167,2,,2,,,1,,300000
5,9,908,1,278,90008,2,,1,1,80000,2,,
5,9,903,2,48,90011,2,,1,1,72000,1,,480000
5,9,903,2,48,90014,1,100000,2,,,2,,
5,9,903,2,48,90018,2,,1,1,10000,2,,
5,9,903,2,48,90019,2,,1,1,20000,2,,
5,9,915,1,1390,90027,2,,1,1,4800,2,,
5,9,917,1,1254,90036,1,800,2,,,2,,
5,9,917,1,1254,90040,2,,1,,12000,2,,
5,9,901,2,398,90044,1,1000,2,,,2,,
5,9,916,2,1068,90087,1,35,1,1,70000,1,,48000
5,10,1014,2,80,100004,2,,1,3,,2,,
5,10,1001,2,172,100016,2,,2,,,1,,40000
5,10,1001,2,172,100019,2,,2,,,1,,136000
5,10,1001,2,172,100020,2,,2,,,1,,20000
5,10,1008,2,1314,100033,2,,2,,,1,,120000
5,10,1008,2,1314,100039,2,,2,,,1,,15000
5,10,1021,2,120,100055,2,,2,,,1,,5000
5,10,1021,2,120,100058,2,,2,,,1,,160000
5,10,1012,2,936,100061,2,,2,,,1,,300000
5,10,1012,2,936,100066,2,,2,,,1,,456000
5,10,1012,2,936,100069,2,,2,,,1,,24000
5,10,1012,2,936,100070,2,,2,,,1,,450000
5,10,1010,2,20,100077,2,,1,1,1200,2,,
5,10,1005,2,1374,100082,1,7000,2,,,1,,4000
5,10,1005,1,662,100094,2,,1,1,13500,2,,
5,10,1005,1,662,100097,2,,1,1,27000,2,,
5,10,1018,1,634,100112,2,,1,1,64000,2,,
5,10,1018,1,634,100117,2,,1,1,160000,2,,
4,11,1104,1,2028,110004,2,,1,1,42000,2,,
4,11,1104,1,2028,110008,2,,1,1,48000,1,,
4,11,1110,2,2752,110046,2,,2,,,1,,15000
4,11,1108,2,492,110060,2,,1,3,64000,2,,
5,12,1211,1,2856,120004,2,,2,,,1,,10000
5,12,1211,1,2856,120010,2,,1,1,4000,1,,3000
5,12,1202,1,2146,120018,2,,1,1,32000,2,,
5,12,1202,1,2710,120025,2,,2,,,1,,12000
5,12,1202,1,2710,120026,2,,1,3,50000,2,,
5,12,1202,1,2710,120028,2,,1,1,52000,2,,
5,12,1208,2,526,120043,1,1000,2,,,1,,
5,12,1208,2,526,120047,1,2000,2,,,2,,
5,12,1208,2,526,120050,1,1000,2,,,2,,
5,12,1211,1,2220,120082,2,,1,1,8000,1,,80000
6,13,1310,1,1300,130010,2,,1,1,18000,2,,
6,13,1314,1,6,130017,2,,1,1,20000,2,,
6,13,1307,1,268,130025,2,,1,1,10000,2,,
6,13,1303,1,626,130031,2,,1,1,3600,2,,
6,13,1303,1,626,130033,2,,1,1,60000,2,,
6,13,1305,1,1232,130047,2,,1,1,1000,2,,
6,13,1305,1,1232,130049,2,,1,1,5000,2,,
6,13,1309,2,674,130054,2,,1,1,9000,2,,
6,13,1305,2,10,130066,2,,1,1,3000,2,,
6,13,1305,2,10,130068,2,,1,1,2400,2,,
6,13,1305,2,10,130069,2,,1,1,3600,2,,
6,13,1301,1,1206,130071,2,,1,2,100000,2,,
4,14,1401,2,1116,140005,2,,2,,,1,,
4,14,1415,2,952,140042,2,,2,,,1,,120000
4,14,1403,1,34,140051,1,180000,1,2,180000,1,,180000
4,14,1403,1,34,140059,1,12000,2,,,2,,
4,14,1403,1,34,140060,1,50000,2,,,2,,
4,14,1410,2,236,140084,2,,2,,,1,,120000
4,14,1410,2,236,140085,1,48000,2,,,2,,
4,14,1415,2,156,140134,2,,1,1,96000,2,,
4,14,1415,2,156,140135,2,,1,1,65000,2,,
4,14,1415,2,156,140136,2,,1,1,60000,2,,
2,15,1506,1,398,150002,2,,1,1,15000,2,,
2,15,1506,1,398,150003,2,,2,,,1,,30000
2,15,1506,1,398,150007,2,,2,,,1,,30000
2,15,1506,1,398,150009,1,10000,2,,,2,,
2,15,1506,1,398,150010,2,,2,,,1,,6000
2,15,1508,2,1682,150013,2,,2,,,1,,25000
2,15,1508,2,1682,150014,2,,1,2,10000,2,,
2,15,1508,2,1682,150018,2,,2,,,1,,3000
2,15,1508,2,1682,150020,2,,2,,,1,,1000
2,15,1511,2,1938,150022,2,,2,,,1,,3000
2,15,1511,2,1938,150024,2,,2,,,1,,
2,15,1502,2,590,150032,2,,2,,,1,,4000
2,15,1502,2,590,150036,2,,2,,,1,,2000
2,15,1510,2,616,150043,2,,2,,,1,,5000
2,15,1507,2,458,150051,2,,2,,,1,,20000
2,15,1507,2,458,150054,2,,2,,,1,,1500
2,15,1507,2,458,150059,2,,2,,,1,,5000
2,15,1503,2,634,150064,2,,2,,,1,,10000
2,15,1506,1,148,150073,2,,2,,,1,,5000
2,15,1506,1,148,150077,2,,2,,,1,,20000
2,15,1506,1,148,150078,2,,2,,,1,,20000
4,16,1626,2,1546,160001,2,,1,1,60000,1,,36000
4,16,1626,2,1546,160006,2,,2,,,1,,500000
4,16,1626,2,1546,160008,2,,2,,,1,,32000
4,16,1626,2,1546,160010,1,1500,1,3,1440000,2,,
4,16,1624,1,286,160030,2,,2,,,1,"PENSION",180800
4,16,1612,2,414,160045,2,,2,,,1,,9775
4,16,1613,2,440,160056,2,,2,,,1,,5000
4,16,1616,2,296,160067,2,,2,,,1,,99
4,16,1618,2,1060,160084,2,,2,,,1,,32000
4,16,1601,2,954,160096,2,,1,1,20000,2,,
4,16,1603,2,158,160111,2,,2,,,1,,0
4,16,1625,2,1210,160134,2,,2,,,1,,185000
4,16,1625,2,1210,160136,2,,2,,,1,,0
4,16,1625,2,1210,160142,2,,2,,,1,,40000
4,16,1625,2,1210,160143,2,,2,,,1,,
4,16,1612,2,108,160182,2,,2,,,1,,80000
4,16,1603,2,158,160184,1,3000,2,,,2,,
3,17,1716,2,1452,170081,2,,2,,,1,,
3,18,1804,1,2690,180005,1,4000,2,,,2,,
3,18,1809,1,1272,180011,1,12000,2,,,2,,
3,18,1809,1,1272,180012,1,400,2,,,2,,
3,18,1809,1,1272,180014,1,36000,2,,,2,,
3,18,1823,1,1822,180024,2,,1,3,10000,2,,
3,19,1925,2,3394,190005,2,,1,1,23000,2,,
3,19,1921,1,842,190014,1,9000,2,,,2,,
3,19,1921,1,842,190016,1,40000,1,1,40000,1,,1000
3,19,1925,1,2858,190101,1,8000,2,,,1,,5000
3,19,1925,1,2858,190102,2,,2,,,1," TAIRING",21000
3,19,1925,1,2858,190103,2,,2,,,1,,12000
3,19,1925,1,2858,190106,1,800,2,,,1,,6000
3,19,1925,1,2858,190107,2,,2,,,1,,30000
3,19,1912,1,1510,190113,2,,2,,,1,,58000
3,19,1912,1,1510,190117,1,50000,2,,,2,,
3,19,1912,1,1510,190119,2,,2,,,1,,
3,19,1934,2,386,190155,1,5000,2,,,2,,
3,19,1934,2,386,190159,2,,1,2,6000,2,,
3,19,1919,2,366,190167,1,,2,,,2,,
3,19,1928,2,526,190173,2,,2,,,1,,30000
3,19,1932,2,562,190181,1,8000,2,,,2,,
3,19,1932,2,562,190190,1,6000,2,,,2,,
3,19,1923,2,284,190195,2,,2,,,1,,21000
3,20,2021,1,3300,200005,1,1000,2,,,2,,
3,20,2021,1,3300,200006,1,1200,2,,,2,,
3,20,2021,1,3300,200007,1,500,2,,,2,,
3,20,2032,1,1390,200051,1,200,2,,,2,,
3,20,2032,1,1390,200053,1,1000,2,,,2,,
3,20,2032,1,1390,200054,1,400,2,,,2,,
3,20,2032,1,1390,200058,2,,2,,,1,,8500
3,20,2032,1,1390,200060,2,,2,,,1,,16000
3,20,2032,2,1772,200070,2,,2,,,1,,8500
3,20,2025,2,760,200104,1,80000,2,,,2,,
3,20,2025,2,760,200110,1,15000,1,1,60000,2,,
3,20,2019,2,344,200122,1,,2,,,2,,
3,21,2106,2,2822,210003,1,25000,2,,,2,,
3,21,2109,2,38,210029,2,,2,,,1,,50000
1,22,2211,1,806,220007,2,,1,2,9600,2,,
1,22,2209,1,792,220041,1,5000,2,,,2,,
1,22,2220,1,1296,220052,1,400000,2,,,1,,20000
1,22,2205,2,664,220074,1,25000,2,,,2,,
1,23,2308,1,5180,230006,2,,2,,,1,,144000
1,23,2315,2,924,230054,2,,1,2,24000,2,,
1,23,2311,2,516,230088,2,,1,3,70000,2,,
