"zone","state","lga","sector","ea","hhid","item_cd","s8q7","s8q8"
4,1,115,1,670,10002,505,1,29200
4,1,115,1,670,10002,517,1,350000
4,1,115,1,670,10006,507,1,1000
4,1,115,1,670,10006,510,1,2500
4,1,115,1,670,10006,515,1,350000
4,1,115,1,670,10008,502,1,1900
4,1,115,1,670,10009,507,1,300
4,1,115,1,670,10009,510,1,98
4,1,115,1,670,10009,511,1,2500
4,1,115,1,670,10009,513,1,100000
4,1,115,1,670,10010,507,1,800
4,1,104,2,1364,10016,501,1,3000
4,1,104,2,1364,10016,502,1,500
4,1,104,2,1364,10016,506,1,300
4,1,104,2,1364,10016,507,1,1500
4,1,104,2,1364,10016,508,1,20000
4,1,104,2,1364,10016,509,1,1500
4,1,104,2,1364,10017,503,1,250
4,1,104,2,1364,10017,507,1,300
4,1,104,2,1364,10017,508,1,15000
4,1,104,2,1364,10017,509,1,1400
4,1,104,2,1364,10019,503,1,250
4,1,111,1,1146,10033,508,1,20000
4,1,111,1,1146,10034,508,1,10500
4,1,111,1,1146,10034,517,1,120000
4,1,111,1,1146,10038,504,1,7000
4,1,111,1,1146,10039,507,1,400
4,1,102,1,536,10046,507,1,250
4,1,102,1,536,10046,509,1,5700
4,1,102,1,536,10047,509,1,500
4,1,102,1,1690,10055,509,1,1500
4,1,107,2,1044,10061,517,1,400000
4,1,107,2,1044,10062,502,1,500
4,1,107,2,1044,10062,503,1,800
4,1,107,2,1044,10062,507,1,2000
4,1,117,2,560,10072,517,1,170000
4,1,117,2,560,10074,517,1,220000
4,1,117,2,560,10075,503,1,600
4,1,117,2,560,10075,517,1,3000
4,1,117,2,560,10080,517,1,200000
4,1,110,2,76,10081,517,1,300
4,1,110,2,76,10085,517,1,100000
4,1,105,2,638,10096,517,1,5780
2,2,209,2,1040,20005,503,1,2500
2,2,209,2,1040,20005,508,1,200000
2,2,209,2,1040,20005,515,1,25000
2,2,209,2,1040,20005,516,1,40000
2,2,209,2,1040,20009,501,1,1300
2,2,209,2,1040,20009,503,1,1000
2,2,221,2,18,20013,501,1,1800
2,2,221,2,18,20013,502,1,120
2,2,221,2,18,20013,504,1,1800
2,2,221,2,18,20019,505,1,9000
2,2,221,2,18,20019,516,1,20000
2,2,221,2,18,20020,503,1,1500
2,2,221,2,18,20020,505,1,8500
2,2,201,2,60,20022,503,1,600
2,2,216,2,200,20032,504,1,500
2,2,216,2,200,20034,503,1,300
2,2,216,2,200,20035,503,1,600
2,2,203,2,1224,20050,503,1,800
2,2,203,2,1224,20050,505,1,8000
2,2,212,2,956,20058,503,1,900
2,2,210,2,1300,20064,516,1,3000
2,2,210,2,1300,20064,517,1,2000
2,2,210,2,1300,20066,503,1,600
2,2,210,2,1300,20070,502,1,900
2,2,214,2,898,20072,504,1,1000
2,2,214,2,898,20075,508,1,18000
2,2,214,2,898,20078,502,1,1500
2,2,214,2,898,20078,508,1,120000
2,2,215,1,8,20082,501,1,14000
2,2,215,1,8,20085,502,1,2500
2,2,215,1,8,20085,506,1,3000
2,2,215,1,8,20085,508,1,8000
2,2,215,1,8,20085,516,1,100000
2,2,207,2,1302,20098,516,1,3000
2,2,218,2,1592,20114,505,1,11600
2,2,218,2,1592,20119,504,1,3000
5,3,331,1,2322,30002,502,1,2000
5,3,331,1,2322,30002,517,1,13000
5,3,331,1,2322,30004,502,1,850
5,3,331,1,2322,30009,502,1,600
5,3,331,1,2322,30009,503,1,250
5,3,331,1,2322,30010,507,1,35000
5,3,331,1,516,30013,505,1,18000
5,3,331,1,516,30014,503,1,1000
5,3,331,1,516,30014,505,1,18000
5,3,331,1,516,30016,508,1,20000
5,3,331,1,516,30016,517,1,50000
5,3,331,1,516,30018,517,1,250000
5,3,331,1,516,30019,504,1,300
5,3,331,1,516,30020,503,1,300
5,3,316,2,874,30023,502,1,850
5,3,316,2,874,30023,509,1,600
5,3,316,2,874,30025,503,1,550
5,3,316,2,874,30026,502,1,1000
5,3,316,2,874,30026,516,1,3000
5,3,316,2,874,30028,502,1,1200
5,3,316,2,874,30028,503,1,7000
5,3,316,2,874,30030,503,1,300
5,3,309,2,478,30032,503,1,300
5,3,309,2,478,30033,503,1,300
5,3,309,2,478,30036,503,1,300
5,3,309,2,478,30038,517,1,40000
5,3,309,2,478,30040,503,1,250
5,3,309,2,478,30040,508,1,7000
5,3,307,1,634,30041,509,1,1500
5,3,307,1,634,30042,503,1,200
5,3,307,1,634,30045,502,1,450
5,3,307,1,634,30045,516,1,18000
5,3,307,1,634,30045,517,1,250000
5,3,307,1,634,30047,515,1,1000
5,3,307,1,634,30047,517,1,50000
5,3,321,2,364,30053,501,1,550
5,3,321,2,364,30053,505,1,1200
