"zone","state","lga","sector","ea","hhid","item_cd","s7q1","s7q2"
4,1,102,1,536,10049,5,1,50
4,1,102,1,536,10049,6,1,100
4,1,102,1,536,10049,8,1,45
4,1,102,1,536,10050,2,1,300
4,1,102,1,536,10050,5,1,100
4,1,102,1,1690,10051,1,1,500
4,1,102,1,1690,10051,2,1,200
4,1,102,1,1690,10051,5,1,100
4,1,102,1,1690,10051,8,1,100
4,1,102,1,1690,10052,1,1,800
4,1,102,1,1690,10052,2,1,1000
4,1,102,1,1690,10052,4,1,500
4,1,102,1,1690,10052,5,1,400
4,1,102,1,1690,10052,8,1,200
4,1,102,1,1690,10053,1,1,400
4,1,102,1,1690,10053,2,1,250
4,1,102,1,1690,10053,5,1,200
4,1,102,1,1690,10053,6,1,100
4,1,102,1,1690,10054,1,1,500
4,1,102,1,1690,10054,2,1,700
4,1,102,1,1690,10054,4,1,300
4,1,102,1,1690,10054,5,1,400
4,1,102,1,1690,10054,6,1,300
4,1,102,1,1690,10055,1,1,452.5
4,1,102,1,1690,10055,2,1,300
4,1,102,1,1690,10055,5,1,150
4,1,102,1,1690,10055,8,1,200
4,1,102,1,1690,10055,9,1,1200
4,1,102,1,1690,10056,5,1,100
4,1,102,1,1690,10056,7,1,400
4,1,102,1,1690,10057,2,1,150
4,1,102,1,1690,10057,5,1,50
4,1,102,1,1690,10058,5,1,200
4,1,102,1,1690,10058,6,1,200
4,1,102,1,1690,10059,2,1,300
4,1,102,1,1690,10059,5,1,100
4,1,102,1,1690,10060,2,1,200
4,1,107,2,1044,10061,5,1,50
4,1,107,2,1044,10062,2,1,150
4,1,107,2,1044,10062,5,1,50
4,1,107,2,1044,10063,5,1,50
4,1,107,2,1044,10063,8,1,100
4,1,107,2,1044,10064,5,1,60
4,1,107,2,1044,10064,8,1,100
4,1,107,2,1044,10065,1,1,300
4,1,107,2,1044,10065,5,1,100
4,1,107,2,1044,10065,8,1,50
4,1,107,2,1044,10066,5,1,200
4,1,107,2,1044,10067,2,1,200
4,1,107,2,1044,10067,5,1,200
4,1,107,2,1044,10068,2,1,300
4,1,107,2,1044,10068,5,1,200
4,1,107,2,1044,10068,8,1,200
4,1,117,2,560,10071,5,1,100
4,1,117,2,560,10072,2,1,500
4,1,117,2,560,10072,5,1,300
4,1,117,2,560,10072,8,1,100
4,1,117,2,560,10073,5,1,50
4,1,117,2,560,10075,5,1,20
4,1,117,2,560,10076,5,1,50
4,1,117,2,560,10077,2,1,1200
4,1,117,2,560,10077,5,1,80
4,1,117,2,560,10079,5,1,40
4,1,117,2,560,10080,5,1,100
4,1,110,2,76,10081,5,1,15
4,1,110,2,76,10082,5,1,20
4,1,110,2,76,10086,5,1,50
4,1,110,2,76,10088,2,1,500
4,1,110,2,76,10088,5,1,100
4,1,105,2,638,10093,5,1,100
4,1,105,2,638,10094,5,1,200
4,1,105,2,638,10095,5,1,60
4,1,105,2,638,10096,5,1,50
4,1,105,2,638,10097,5,1,20
4,1,105,2,638,10100,5,1,100
4,1,108,2,904,10102,5,1,100
4,1,108,2,904,10102,8,1,100
4,1,108,2,904,10103,4,1,100
4,1,108,2,904,10103,5,1,300
4,1,108,2,904,10103,8,1,200
4,1,108,2,904,10105,5,1,100
4,1,108,2,904,10107,5,1,150
4,1,108,2,904,10109,1,1,700
4,1,108,2,904,10109,2,1,600
2,2,209,2,1040,20002,1,1,50
2,2,209,2,1040,20002,2,1,40
2,2,209,2,1040,20002,5,1,50
2,2,209,2,1040,20002,7,1,100
2,2,209,2,1040,20002,9,1,20
2,2,209,2,1040,20003,5,1,80
2,2,209,2,1040,20003,6,1,100
2,2,209,2,1040,20003,7,1,120
2,2,209,2,1040,20003,8,1,180
2,2,209,2,1040,20004,2,1,300
2,2,209,2,1040,20004,9,1,40
2,2,209,2,1040,20005,8,1,100
2,2,209,2,1040,20006,1,1,150
2,2,209,2,1040,20006,5,1,20
2,2,209,2,1040,20006,8,1,60
2,2,209,2,1040,20008,9,1,100
2,2,209,2,1040,20009,1,1,80
2,2,209,2,1040,20009,4,1,100
2,2,209,2,1040,20009,5,1,20
2,2,209,2,1040,20010,9,1,140
2,2,221,2,18,20011,9,1,350
2,2,221,2,18,20012,8,1,60
2,2,221,2,18,20013,3,1,700
2,2,221,2,18,20013,7,1,50
2,2,221,2,18,20017,2,1,250
2,2,221,2,18,20017,9,1,100
2,2,221,2,18,20018,3,1,700
2,2,221,2,18,20020,5,1,60
2,2,221,2,18,20020,6,1,100
2,2,221,2,18,20020,7,1,50
2,2,201,2,60,20021,9,1,360
2,2,201,2,60,20022,2,1,300
2,2,201,2,60,20022,4,1,600
2,2,201,2,60,20022,5,1,37.5
2,2,201,2,60,20022,7,1,40
2,2,201,2,60,20022,9,1,108
2,2,201,2,60,20028,5,1,80
2,2,201,2,60,20028,9,1,500
2,2,201,2,60,20029,4,1,100
2,2,201,2,60,20029,9,1,120
2,2,216,2,200,20031,3,1,200
2,2,216,2,200,20031,8,1,70
2,2,216,2,200,20031,9,1,180
2,2,216,2,200,20032,5,1,300
2,2,216,2,200,20032,9,1,500
2,2,216,2,200,20035,6,1,80
2,2,216,2,200,20039,9,1,200
2,2,216,2,200,20040,9,1,1500
2,2,203,2,1224,20041,5,1,100
2,2,203,2,1224,20041,6,1,48
2,2,203,2,1224,20042,3,1,50
2,2,203,2,1224,20042,5,1,100
2,2,203,2,1224,20043,1,1,150
2,2,203,2,1224,20043,2,1,250
2,2,203,2,1224,20043,3,1,250
2,2,203,2,1224,20043,4,1,150
2,2,203,2,1224,20043,8,1,50
2,2,203,2,1224,20044,5,1,30
2,2,203,2,1224,20045,8,1,500
2,2,203,2,1224,20048,2,1,1000
2,2,203,2,1224,20048,4,1,200
2,2,203,2,1224,20048,5,1,200
2,2,203,2,1224,20048,6,1,150
2,2,203,2,1224,20048,8,1,120
2,2,203,2,1224,20049,7,1,100
2,2,212,2,956,20055,2,1,200
2,2,212,2,956,20055,4,1,200
2,2,212,2,956,20055,5,1,100
2,2,212,2,956,20055,7,1,200
2,2,212,2,956,20060,5,1,20
2,2,212,2,956,20060,7,1,40
2,2,210,2,1300,20062,8,1,600
2,2,210,2,1300,20064,1,1,80
2,2,210,2,1300,20064,2,1,40
2,2,210,2,1300,20064,3,1,120
2,2,210,2,1300,20064,5,1,20
2,2,210,2,1300,20064,8,1,120
2,2,210,2,1300,20064,9,1,100
2,2,210,2,1300,20066,1,1,50
2,2,210,2,1300,20066,5,1,30
2,2,210,2,1300,20066,6,1,200
2,2,210,2,1300,20066,9,1,150
2,2,210,2,1300,20068,9,1,140
2,2,210,2,1300,20069,8,1,180
2,2,214,2,898,20071,7,1,500
2,2,214,2,898,20073,1,1,300
2,2,214,2,898,20073,2,1,600
2,2,214,2,898,20073,5,1,100
2,2,214,2,898,20073,6,1,200
2,2,214,2,898,20073,7,1,100
2,2,214,2,898,20073,8,1,200
2,2,214,2,898,20075,1,1,450
2,2,214,2,898,20075,5,1,120
2,2,214,2,898,20075,6,1,400
2,2,214,2,898,20076,9,1,30
2,2,214,2,898,20077,4,1,250
2,2,214,2,898,20077,5,1,150
2,2,214,2,898,20077,6,1,150
2,2,214,2,898,20078,1,1,33.3333320617676
2,2,214,2,898,20078,2,1,300
2,2,214,2,898,20078,4,1,64.5833358764648
2,2,214,2,898,20078,5,1,100
2,2,214,2,898,20078,7,1,36.6666679382324
2,2,214,2,898,20078,8,1,200
2,2,214,2,898,20080,1,1,16.6666660308838
2,2,214,2,898,20080,2,1,150
2,2,214,2,898,20080,3,1,40
2,2,214,2,898,20080,4,1,32.2916679382324
2,2,215,1,8,20081,3,1,150
2,2,215,1,8,20082,1,1,450
2,2,215,1,8,20082,7,1,120
2,2,215,1,8,20082,9,1,600
2,2,215,1,8,20085,1,1,800
2,2,215,1,8,20085,2,1,800
2,2,215,1,8,20085,4,1,200
2,2,215,1,8,20085,5,1,200
2,2,215,1,8,20085,6,1,400
2,2,215,1,8,20085,7,1,300
2,2,215,1,8,20085,8,1,300
2,2,215,1,8,20085,9,1,200
2,2,215,1,8,20088,5,1,300
2,2,215,1,8,20089,2,1,250
2,2,215,1,8,20089,4,1,150
2,2,215,1,8,20090,1,1,70
2,2,215,1,8,20090,4,1,200
2,2,215,1,8,20090,5,1,50
2,2,215,1,8,20090,6,1,50
2,2,215,1,8,20090,7,1,100
2,2,215,1,8,20090,8,1,60
2,2,207,2,1302,20091,1,1,200
2,2,207,2,1302,20094,9,1,30
2,2,207,2,1302,20095,1,1,120
2,2,207,2,1302,20095,4,1,250
2,2,207,2,1302,20095,5,1,100
2,2,207,2,1302,20095,6,1,300
2,2,207,2,1302,20097,1,1,100
2,2,207,2,1302,20097,4,1,200
2,2,207,2,1302,20097,5,1,50
2,2,207,2,1302,20097,6,1,50
2,2,207,2,1302,20098,5,1,100
2,2,207,2,1302,20100,1,1,50
2,2,207,2,1302,20100,2,1,140
2,2,207,2,1302,20100,3,1,600
2,2,205,2,712,20101,3,1,200
2,2,205,2,712,20101,9,1,500
2,2,205,2,712,20102,6,1,120
2,2,205,2,712,20102,8,1,100
2,2,205,2,712,20103,3,1,100
2,2,205,2,712,20103,9,1,1000
2,2,205,2,712,20105,5,1,30
2,2,205,2,712,20107,1,1,30
2,2,205,2,712,20107,2,1,100
2,2,205,2,712,20107,5,1,40
2,2,205,2,712,20107,6,1,80
2,2,205,2,712,20108,8,1,150
2,2,218,2,1592,20111,5,1,200
2,2,218,2,1592,20113,5,1,80
2,2,218,2,1592,20113,6,1,100
2,2,218,2,1592,20118,1,1,150
2,2,218,2,1592,20118,5,1,100
2,2,218,2,1592,20120,2,1,300
5,3,331,1,2322,30001,2,1,1400
5,3,331,1,2322,30001,5,1,700
5,3,331,1,2322,30001,6,1,500
5,3,331,1,2322,30001,7,1,200
5,3,331,1,2322,30001,8,1,150
5,3,331,1,2322,30003,1,1,1500
5,3,331,1,2322,30003,2,1,2000
5,3,331,1,2322,30003,3,1,600
5,3,331,1,2322,30003,4,1,400
5,3,331,1,2322,30003,5,1,200
5,3,331,1,2322,30003,7,1,400
5,3,331,1,2322,30003,8,1,200
5,3,331,1,2322,30003,9,1,100
5,3,331,1,2322,30004,2,1,400
5,3,331,1,2322,30004,5,1,200
5,3,331,1,2322,30004,6,1,150
5,3,331,1,2322,30004,7,1,100
5,3,331,1,2322,30004,8,1,250
5,3,331,1,2322,30004,9,1,600
5,3,331,1,2322,30005,2,1,2100
5,3,331,1,2322,30005,5,1,300
5,3,331,1,2322,30005,7,1,250
5,3,331,1,2322,30005,8,1,200
5,3,331,1,2322,30006,2,1,300
5,3,331,1,2322,30006,4,1,150
5,3,331,1,2322,30006,5,1,150
5,3,331,1,2322,30006,8,1,100
5,3,331,1,2322,30008,2,1,1200
5,3,331,1,2322,30008,5,1,100
5,3,331,1,2322,30008,7,1,100
