"zone","state","lga","sector","ea","hhid","item_cd","s8q1","s8q2"
4,1,108,2,904,10104,104,1,200
4,1,108,2,904,10105,102,1,50
4,1,108,2,904,10105,104,1,240
4,1,108,2,904,10106,102,1,10
4,1,108,2,904,10106,104,1,300
4,1,108,2,904,10107,102,1,40
4,1,108,2,904,10108,102,1,10
4,1,108,2,904,10109,102,1,10
4,1,108,2,904,10109,104,1,600
4,1,108,2,904,10110,102,1,40
2,2,209,2,1040,20001,102,1,10
2,2,209,2,1040,20002,101,1,50
2,2,209,2,1040,20002,102,1,10
2,2,209,2,1040,20003,102,1,10
2,2,209,2,1040,20004,102,1,10
2,2,209,2,1040,20005,102,1,20
2,2,209,2,1040,20005,104,1,3000
2,2,209,2,1040,20006,101,1,200
2,2,209,2,1040,20006,102,1,10
2,2,209,2,1040,20007,102,1,10
2,2,209,2,1040,20008,102,1,10
2,2,209,2,1040,20009,101,1,60
2,2,209,2,1040,20009,102,1,10
2,2,221,2,18,20012,102,1,20
2,2,221,2,18,20013,102,1,20
2,2,221,2,18,20013,104,1,700
2,2,221,2,18,20014,102,1,15
2,2,221,2,18,20016,102,1,20
2,2,221,2,18,20017,102,1,20
2,2,221,2,18,20017,104,1,1000
2,2,221,2,18,20018,102,1,20
2,2,221,2,18,20018,104,1,100
2,2,221,2,18,20019,104,1,400
2,2,221,2,18,20020,102,1,10
2,2,201,2,60,20022,101,1,200
2,2,201,2,60,20022,102,1,5
2,2,201,2,60,20022,104,1,700
2,2,201,2,60,20024,102,1,10
2,2,201,2,60,20025,102,1,60
2,2,201,2,60,20025,104,1,1600
2,2,201,2,60,20026,102,1,10
2,2,201,2,60,20028,102,1,5
2,2,201,2,60,20029,102,1,40
2,2,201,2,60,20029,104,1,450
2,2,201,2,60,20030,102,1,150
2,2,201,2,60,20030,104,1,1500
2,2,216,2,200,20031,102,1,20
2,2,216,2,200,20033,102,1,10
2,2,216,2,200,20034,102,1,10
2,2,216,2,200,20035,102,1,5
2,2,216,2,200,20035,104,1,600
2,2,216,2,200,20037,102,1,20
2,2,216,2,200,20038,102,1,10
2,2,216,2,200,20039,102,1,5
2,2,216,2,200,20040,102,1,50
2,2,203,2,1224,20041,102,1,5
2,2,203,2,1224,20041,104,1,600
2,2,203,2,1224,20042,102,1,15
2,2,203,2,1224,20043,102,1,10
2,2,203,2,1224,20044,102,1,20
2,2,203,2,1224,20045,101,1,100
2,2,203,2,1224,20045,102,1,50
2,2,203,2,1224,20045,104,1,1500
2,2,203,2,1224,20046,102,1,10
2,2,203,2,1224,20047,102,1,20
2,2,203,2,1224,20048,102,1,5
2,2,203,2,1224,20050,102,1,50
2,2,203,2,1224,20050,104,1,600
2,2,212,2,956,20051,102,1,50
2,2,212,2,956,20052,101,1,700
2,2,212,2,956,20052,102,1,40
2,2,212,2,956,20052,104,1,400
2,2,212,2,956,20053,102,1,20
2,2,212,2,956,20054,102,1,10
2,2,212,2,956,20055,102,1,10
2,2,212,2,956,20056,101,1,500
2,2,212,2,956,20056,102,1,50
2,2,212,2,956,20057,102,1,20
2,2,212,2,956,20057,104,1,500
2,2,212,2,956,20058,102,1,20
2,2,212,2,956,20059,102,1,200
2,2,212,2,956,20060,101,1,140
2,2,212,2,956,20060,102,1,20
2,2,212,2,956,20060,104,1,100
2,2,210,2,1300,20061,102,1,20
2,2,210,2,1300,20062,102,1,5
2,2,210,2,1300,20063,102,1,200
2,2,210,2,1300,20064,102,1,5
2,2,210,2,1300,20064,104,1,200
2,2,210,2,1300,20065,102,1,10
2,2,210,2,1300,20066,101,1,50
2,2,210,2,1300,20066,102,1,5
2,2,210,2,1300,20066,104,1,250
2,2,210,2,1300,20067,102,1,10
2,2,210,2,1300,20068,101,1,2000
2,2,210,2,1300,20068,102,1,10
2,2,210,2,1300,20069,102,1,5
2,2,210,2,1300,20069,104,1,350
2,2,210,2,1300,20070,102,1,10
2,2,214,2,898,20071,102,1,150
2,2,214,2,898,20072,102,1,50
2,2,214,2,898,20073,102,1,10
2,2,214,2,898,20073,104,1,300
2,2,214,2,898,20075,102,1,25
2,2,214,2,898,20076,102,1,150
2,2,214,2,898,20077,102,1,10
2,2,214,2,898,20078,102,1,5
2,2,214,2,898,20078,104,1,200
2,2,214,2,898,20079,102,1,5
2,2,214,2,898,20080,102,1,20
2,2,215,1,8,20081,102,1,50
2,2,215,1,8,20082,102,1,40
2,2,215,1,8,20083,102,1,30
2,2,215,1,8,20084,102,1,10
2,2,215,1,8,20085,101,1,100
2,2,215,1,8,20085,102,1,5
2,2,215,1,8,20085,103,1,100
2,2,215,1,8,20085,104,1,2000
2,2,215,1,8,20086,102,1,10
2,2,215,1,8,20087,102,1,50
2,2,215,1,8,20089,102,1,10
2,2,215,1,8,20090,102,1,5
2,2,215,1,8,20090,104,1,300
2,2,207,2,1302,20091,102,1,40
2,2,207,2,1302,20092,102,1,10
2,2,207,2,1302,20092,104,1,150
2,2,207,2,1302,20093,102,1,10
2,2,207,2,1302,20094,101,1,50
2,2,207,2,1302,20094,102,1,15
2,2,207,2,1302,20095,102,1,10
2,2,207,2,1302,20096,102,1,10
2,2,207,2,1302,20097,102,1,5
2,2,207,2,1302,20097,103,1,
2,2,207,2,1302,20098,102,1,250
2,2,207,2,1302,20099,102,1,10
2,2,207,2,1302,20099,104,1,1000
2,2,207,2,1302,20100,102,1,20
2,2,205,2,712,20101,101,1,60
2,2,205,2,712,20101,102,1,15
2,2,205,2,712,20102,102,1,20
2,2,205,2,712,20103,102,1,100
2,2,205,2,712,20104,102,1,10
2,2,205,2,712,20105,102,1,5
2,2,205,2,712,20106,102,1,10
2,2,205,2,712,20107,101,1,500
2,2,205,2,712,20107,102,1,5
2,2,205,2,712,20108,102,1,80
2,2,205,2,712,20109,102,1,20
2,2,205,2,712,20110,101,1,120
2,2,205,2,712,20110,102,1,50
2,2,218,2,1592,20111,102,1,50
2,2,218,2,1592,20112,101,1,10
2,2,218,2,1592,20112,104,1,200
2,2,218,2,1592,20113,102,1,5
2,2,218,2,1592,20114,102,1,40
2,2,218,2,1592,20115,102,1,10
2,2,218,2,1592,20116,102,1,20
2,2,218,2,1592,20117,102,1,10
2,2,218,2,1592,20118,102,1,10
2,2,218,2,1592,20119,102,1,10
2,2,218,2,1592,20120,102,1,20
5,3,331,1,2322,30001,104,1,720
5,3,331,1,2322,30002,102,1,100
5,3,331,1,2322,30003,102,1,10
5,3,331,1,2322,30003,103,1,300
5,3,331,1,2322,30004,103,1,300
5,3,331,1,2322,30004,104,1,400
5,3,331,1,2322,30005,102,1,50
5,3,331,1,2322,30005,104,1,3000
5,3,331,1,2322,30006,102,1,10
5,3,331,1,2322,30007,102,1,20
5,3,331,1,2322,30007,104,1,2000
5,3,331,1,2322,30008,102,1,5
5,3,331,1,2322,30008,104,1,250
5,3,331,1,2322,30009,102,1,50
5,3,331,1,2322,30009,104,1,600
5,3,331,1,2322,30010,102,1,20
5,3,331,1,2322,30010,103,1,1050
5,3,331,1,2322,30010,104,1,1200
5,3,331,1,516,30012,102,1,10
5,3,331,1,516,30013,101,1,600
5,3,331,1,516,30013,102,1,10
5,3,331,1,516,30014,102,1,10
5,3,331,1,516,30015,102,1,20
5,3,331,1,516,30016,102,1,10
5,3,331,1,516,30016,103,1,700
5,3,331,1,516,30017,102,1,10
5,3,331,1,516,30017,103,1,150
5,3,331,1,516,30017,104,1,180
5,3,331,1,516,30018,102,1,20
5,3,331,1,516,30019,102,1,10
5,3,331,1,516,30019,104,1,300
5,3,331,1,516,30020,102,1,10
5,3,316,2,874,30021,102,1,10
5,3,316,2,874,30022,102,1,10
5,3,316,2,874,30023,102,1,50
5,3,316,2,874,30023,103,1,600
5,3,316,2,874,30023,104,1,800
5,3,316,2,874,30024,104,1,300
5,3,316,2,874,30026,101,1,100
5,3,316,2,874,30026,102,1,30
5,3,316,2,874,30026,104,1,500
5,3,316,2,874,30027,102,1,10
5,3,316,2,874,30027,103,1,450
5,3,316,2,874,30027,104,1,1800
5,3,316,2,874,30028,102,1,10
5,3,316,2,874,30029,102,1,10
5,3,316,2,874,30029,104,1,100
5,3,316,2,874,30030,102,1,10
5,3,309,2,478,30031,102,1,30
5,3,309,2,478,30031,104,1,300
5,3,309,2,478,30032,104,1,400
5,3,309,2,478,30033,102,1,50
5,3,309,2,478,30033,104,1,1500
5,3,309,2,478,30035,102,1,20
5,3,309,2,478,30035,104,1,100
5,3,309,2,478,30037,102,1,10
5,3,309,2,478,30038,102,1,5
5,3,309,2,478,30038,104,1,170
5,3,309,2,478,30039,102,1,20
5,3,307,1,634,30041,102,1,10
5,3,307,1,634,30041,104,1,350
5,3,307,1,634,30042,102,1,20
5,3,307,1,634,30043,103,1,150
5,3,307,1,634,30043,104,1,500
5,3,307,1,634,30044,102,1,20
5,3,307,1,634,30044,103,1,300
5,3,307,1,634,30045,102,1,50
5,3,307,1,634,30045,103,1,150
5,3,307,1,634,30047,102,1,5
5,3,307,1,634,30048,102,1,10
5,3,307,1,634,30049,102,1,40
5,3,307,1,634,30050,102,1,10
5,3,307,1,634,30050,104,1,300
5,3,321,2,364,30052,102,1,10
5,3,321,2,364,30054,102,1,10
5,3,321,2,364,30054,104,1,250
5,3,321,2,364,30056,102,1,10
5,3,321,2,364,30056,104,1,180
5,3,321,2,364,30058,102,1,50
5,3,321,2,364,30059,102,1,30
5,3,321,2,364,30059,104,1,600
5,3,321,2,364,30060,102,1,50
5,3,321,2,364,30060,104,1,2000
5,3,329,2,696,30061,101,1,400
5,3,329,2,696,30063,102,1,20
5,3,329,2,696,30064,102,1,40
5,3,329,2,696,30064,104,1,300
5,3,329,2,696,30065,104,1,180
5,3,329,2,696,30067,102,1,10
5,3,329,2,696,30068,104,1,300
5,3,329,2,696,30069,102,1,40
5,3,329,2,696,30069,104,1,250
5,3,329,2,696,30070,102,1,10
5,3,329,2,696,30070,104,1,600
5,3,323,2,580,30071,102,1,10
5,3,323,2,580,30073,102,1,10
5,3,323,2,580,30073,104,1,1200
5,3,323,2,580,30074,102,1,20
5,3,323,2,580,30075,102,1,5
5,3,323,2,580,30075,104,1,500
5,3,323,2,580,30076,102,1,10
5,3,323,2,580,30076,104,1,600
5,3,323,2,580,30077,102,1,20
5,3,323,2,580,30078,102,1,10
5,3,323,2,580,30078,104,1,600
5,3,323,2,580,30079,102,1,20
5,3,323,2,580,30079,103,1,150
5,3,323,2,580,30079,104,1,500
5,3,323,2,580,30080,101,1,100
5,3,323,2,580,30080,102,1,10
5,3,323,2,580,30080,104,1,300
5,3,318,2,1136,30081,102,1,10
5,3,318,2,1136,30081,104,1,200
5,3,318,2,1136,30084,102,1,5
5,3,318,2,1136,30084,104,1,350
5,3,318,2,1136,30085,102,1,5
5,3,318,2,1136,30085,104,1,500
5,3,318,2,1136,30086,102,1,20
5,3,318,2,1136,30086,103,1,400
5,3,318,2,1136,30087,102,1,5
5,3,318,2,1136,30087,104,1,280
5,3,318,2,1136,30088,102,1,10
5,3,318,2,1136,30088,104,1,400
5,3,318,2,1136,30089,102,1,20
5,3,318,2,1136,30090,102,1,50
5,3,318,2,1136,30090,103,1,150
5,3,313,2,70,30091,102,1,5
5,3,313,2,70,30091,104,1,400
5,3,313,2,70,30092,102,1,20
5,3,313,2,70,30093,102,1,20
5,3,313,2,70,30095,102,1,5
5,3,313,2,70,30096,102,1,10
