"zone","state","lga","sector","ea","hhid","item_cd","s8q9","s8q10","s8q11"
1,31,3107,2,1092,310049,519,1,7500,0
1,31,3107,1,724,310056,519,1,1500,1000
1,31,3113,2,332,310062,519,1,,2000
1,31,3109,2,1026,310076,519,1,3000,
1,31,3109,2,1026,310077,519,1,4000,
1,31,3109,2,1026,310079,519,1,1200,1300
1,31,3109,2,1026,310080,519,1,2000,1000
1,31,3112,2,350,310086,518,1,200,0
1,31,3112,2,350,310086,519,1,2000,1000
1,31,3112,2,350,310087,519,1,500,100
1,31,3116,2,1344,310097,519,1,1500,
1,31,3103,2,874,310104,519,1,600,0
2,34,3401,2,526,340001,519,1,5000,7000
2,34,3401,2,526,340007,518,1,1000,
2,34,3401,2,526,340007,519,1,2000,
2,34,3401,2,526,340010,518,1,3000,3000
2,34,3401,2,526,340010,519,1,20000,20000
2,34,3415,2,268,340011,518,1,700,700
2,34,3405,2,1706,340023,518,1,250,
2,34,3405,2,1706,340023,519,1,500,
2,34,3405,2,1706,340029,519,1,2500,
2,34,3405,2,456,340033,519,1,200,
2,34,3412,2,156,340054,519,1,2000,2000
2,34,3412,2,156,340060,519,1,150,150
2,35,3516,2,1632,350034,518,1,,
