"zone","state","lga","sector","ea","hhid","s9q1a","s9q1b","s9q1c","s9q1d","s9q1e","s9q1f","s9q1g","s9q1h","s9q1i","s9q2a","s9q2b","s9q3","s9q4a","s9q4b","s9q4c","s9q5","s9q6a","s9q6b","s9q6c","s9q6d","s9q6e","s9q6f","s9q7a","s9q7b","s9q7c"
4,1,102,1,1690,10058,0,2,2,0,0,0,0,0,0,1,2,2,1,3,2,1,,4,,,7,,4,3,
4,1,102,1,1690,10059,2,2,3,0,0,0,0,0,0,2,,1,,,,2,,,,,,,,,
4,1,102,1,1690,10060,0,1,1,1,0,0,0,0,0,2,2,1,,,,1,,3,,,7,,4,3,
4,1,107,2,1044,10061,2,3,3,3,0,2,2,2,0,2,,1,,,,1,,,,,,,9,4,
4,1,107,2,1044,10062,0,2,2,7,0,0,0,0,0,2,,1,,,,1,3,,,,7,,4,9,
4,1,107,2,1044,10063,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
4,1,107,2,1044,10064,1,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
4,1,107,2,1044,10065,0,0,0,1,1,0,0,0,0,3,,1,,,,2,,,,,,,,,
4,1,107,2,1044,10066,3,2,3,3,0,0,2,0,0,,2,1,,,,2,,,,,,,,,
4,1,107,2,1044,10067,3,1,2,3,2,0,0,0,0,,2,1,,,,2,,,,,,,,,
4,1,107,2,1044,10068,5,2,1,3,3,0,0,0,0,,2,1,,,,1,3,,,5,,,9,,
4,1,107,2,1044,10069,0,3,0,2,2,0,1,2,1,1,2,2,3,2,1,1,,4,,,8,,4,3,
4,1,107,2,1044,10070,0,2,0,2,1,0,0,0,0,2,3,1,,,,1,,3,,,7,,3,1,
4,1,117,2,560,10071,3,2,4,2,3,0,1,0,0,2,2,1,,,,2,,,,,,,,,
4,1,117,2,560,10072,2,2,1,2,4,0,0,0,0,2,2,2,3,1,2,2,,,,,,,,,
4,1,117,2,560,10073,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
4,1,117,2,560,10074,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
4,1,117,2,560,10075,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
4,1,117,2,560,10076,0,2,2,2,0,0,0,0,0,3,,1,,,,1,6,,,,,,1,,
4,1,117,2,560,10077,5,3,4,5,0,6,6,0,1,2,,1,,,,,3,,,,,,9,,
4,1,117,2,560,10078,0,1,0,1,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,1,117,2,560,10079,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
4,1,117,2,560,10080,0,2,0,1,0,0,0,0,0,2,3,1,,,,1,3,4,,,7,,3,4,
4,1,110,2,76,10081,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
4,1,110,2,76,10082,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
4,1,110,2,76,10083,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
4,1,110,2,76,10084,0,0,0,2,0,0,2,1,1,2,,1,,,,2,,,,,,,,,
4,1,110,2,76,10086,5,6,5,3,5,0,3,3,3,,2,1,,,,1,,5,,,8,,9,,
4,1,110,2,76,10087,2,3,3,4,4,1,3,2,0,2,,1,,,,1,,6,,,8,,9,,
4,1,110,2,76,10088,3,3,4,3,3,2,2,0,0,,2,1,,,,2,,,,,,,,,
4,1,110,2,76,10089,0,0,1,1,0,0,1,1,0,2,,1,,,,1,,4,,,7,,3,4,
4,1,110,2,76,10090,0,2,1,2,0,0,1,0,0,2,,1,,,,1,2,3,4,2,8,,2,3,
4,1,105,2,638,10091,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,1,105,2,638,10092,0,1,0,2,0,0,0,0,0,3,3,1,,,,1,,2,,,7,,1,2,
4,1,105,2,638,10093,4,1,1,2,0,0,0,0,0,,2,1,,,,2,,,,,,,,,
4,1,105,2,638,10094,3,2,2,3,3,0,1,0,0,,2,1,,,,2,,,,,,,,,
4,1,105,2,638,10095,0,0,0,0,0,0,0,0,0,0,,1,,,,2,,,,,,,,,
4,1,105,2,638,10096,0,3,0,0,0,0,0,0,0,3,,2,1,2,,1,,3,,,10,,9,,
4,1,105,2,638,10097,2,7,7,7,2,0,0,0,0,2,,1,,,,1,,6,,,8,,9,,
4,1,105,2,638,10098,3,3,3,1,0,0,3,0,0,3,,1,,,,1,,1,,,3,,5,6,
4,1,105,2,638,10099,0,0,0,0,0,1,0,0,0,3,,1,,,,2,,,,,,,,,
4,1,105,2,638,10100,0,1,1,2,0,0,0,0,0,2,3,1,,,,1,2,,,,7,,1,2,
4,1,108,2,904,10101,1,4,4,4,0,3,3,3,3,,2,1,,,,1,,3,,,8,,9,,
4,1,108,2,904,10102,1,2,2,3,0,0,0,0,0,,2,1,,,,2,,,,,,,,,
4,1,108,2,904,10103,2,2,3,2,0,0,0,0,0,,2,1,,,,2,,,,,,,,,
4,1,108,2,904,10104,0,0,0,0,0,0,1,0,0,3,,1,,,,2,,,,,,,,,
4,1,108,2,904,10105,2,0,0,3,2,3,1,2,0,3,,1,,,,2,,,,,,,,,
