"zone","state","lga","sector","ea","hhid","s9q1a","s9q1b","s9q1c","s9q1d","s9q1e","s9q1f","s9q1g","s9q1h","s9q1i","s9q2a","s9q2b","s9q3","s9q4a","s9q4b","s9q4c","s9q5","s9q6a","s9q6b","s9q6c","s9q6d","s9q6e","s9q6f","s9q7a","s9q7b","s9q7c"
5,10,1012,2,936,100070,0,0,0,0,0,0,0,0,0,2,3,2,1,2,3,2,,,,,,,,,
5,10,1010,2,20,100071,0,0,0,0,0,0,0,0,0,3,3,1,,,,1,9,8,,,,,5,,
5,10,1010,2,20,100072,0,0,0,0,0,0,0,0,0,3,4,2,2,1,3,2,,,,,,,,,
5,10,1010,2,20,100073,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
5,10,1010,2,20,100074,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,
5,10,1010,2,20,100075,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
5,10,1010,2,20,100076,3,1,0,1,0,1,0,0,0,3,,1,,,,2,,,,,,,,,
5,10,1010,2,20,100077,2,2,2,2,2,0,0,0,0,2,5,1,,,,1,1,1,,,,,3,4,
5,10,1010,2,20,100078,0,0,0,0,0,0,0,0,0,2,,1,,,,2,,,,,,,,,
5,10,1010,2,20,100079,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
5,10,1010,2,20,100080,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
5,10,1005,2,1374,100081,0,0,0,0,0,0,0,0,0,3,3,2,2,2,1,2,,,,,,,,,
5,10,1005,2,1374,100082,2,2,2,0,0,0,0,0,0,3,,2,2,3,,2,,,,,,,,,
5,10,1005,2,1374,100083,0,1,0,0,0,0,0,0,0,3,,1,,,,,,,,,,,,,
5,10,1005,2,1374,100084,2,1,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
5,10,1005,2,1374,100085,2,1,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,
5,10,1005,2,1374,100086,2,1,2,2,2,0,0,0,0,3,,1,,,,1,1,1,,,,,3,5,
5,10,1005,2,1374,100087,4,1,0,1,0,0,1,0,0,3,0,1,,,,1,3,8,,,,,5,8,
5,10,1005,2,1374,100088,4,0,0,0,0,0,0,0,,3,0,1,,,,2,,,,,,,,,
5,10,1005,2,1374,100089,0,0,0,0,0,0,0,0,0,3,3,2,,2,1,2,,,,,,,,,
5,10,1005,2,1374,100090,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
5,10,1005,1,662,100091,0,0,0,0,0,0,0,0,0,2,,1,,,,2,,,,,,,,,
5,10,1005,1,662,100092,0,0,0,0,0,0,0,0,0,3,4,2,2,2,1,2,,,,,,,,,
5,10,1005,1,662,100093,2,0,0,0,0,0,0,0,0,3,0,1,,,,,2,,,,,,,,
5,10,1005,1,662,100094,4,2,,1,2,0,0,0,0,3,4,2,2,3,1,1,8,,,,,,5,,
5,10,1005,1,662,100095,2,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,
5,10,1005,1,662,100096,2,0,0,0,0,0,0,0,0,2,0,1,,,,2,,,,,,,,,
5,10,1005,1,662,100097,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
5,10,1005,1,662,100098,3,2,2,2,0,0,0,0,0,2,2,1,,,,1,6,,,,,,,,
5,10,1005,1,662,100099,2,0,0,0,0,0,0,0,0,3,0,1,,,,1,,,,,,,,,
5,10,1005,1,662,100100,1,0,0,0,0,0,0,0,0,3,,1,,,,,2,,,,,,,,
5,10,1018,2,898,100101,2,2,2,2,2,0,2,0,,3,5,1,,,,2,,,,,,,,,
5,10,1018,2,898,100102,0,0,0,0,0,0,0,0,0,3,3,1,,,,1,8,9,,,,,8,6,
5,10,1018,2,898,100103,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
5,10,1018,2,898,100104,3,3,3,0,0,0,0,0,0,2,2,1,,,,1,8,6,,,,,9,,
5,10,1018,2,898,100105,0,0,0,0,0,0,0,0,0,0,3,1,,,,2,,,,,,,,,
5,10,1018,2,898,100106,3,1,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,
5,10,1018,2,898,100107,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
5,10,1018,2,898,100108,4,0,0,0,0,0,0,0,0,2,0,1,,,,2,,,,,,,,,
5,10,1018,2,898,100109,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
5,10,1018,2,898,100110,4,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,
5,10,1018,1,634,100111,0,1,0,0,0,0,0,0,0,2,0,1,,,,2,,,,,,,,,
5,10,1018,1,634,100112,2,2,0,0,0,0,0,0,0,3,,2,2,1,,2,,,,,,,,,
5,10,1018,1,634,100113,3,3,2,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
5,10,1018,1,634,100114,1,0,0,0,0,0,0,0,0,3,0,1,,,,1,6,3,,,,,,,
5,10,1018,1,634,100115,0,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,
5,10,1018,1,634,100116,2,2,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
5,10,1018,1,634,100117,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
5,10,1018,1,634,100118,0,0,0,0,0,0,0,0,0,3,0,2,2,,,,,,,,,,,,
5,10,1018,1,634,100119,0,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,
5,10,1018,1,634,100120,0,0,0,0,0,0,0,0,0,4,,1,,,,2,,,,,,,,,
5,10,1020,1,38,100121,0,0,0,0,0,0,0,0,0,2,,1,,,,2,,,,,,,,,
5,10,1020,1,38,100122,1,,,1,,,,,,3,3,1,,,,2,,,,,,,,,
5,10,1020,1,38,100123,1,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
5,10,1020,1,38,100124,1,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
5,10,1020,1,38,100125,2,1,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
5,10,1020,1,38,100126,1,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
5,10,1020,1,38,100127,2,2,4,7,1,0,0,0,0,3,,1,,,,1,2,4,,,,,3,5,
5,10,1020,1,38,100128,0,0,0,0,0,0,0,0,0,3,3,1,,,,1,6,9,,,,,5,,
5,10,1020,1,38,100129,0,0,0,0,0,0,0,0,0,2,,1,,,,2,,,,,,,,,
5,10,1020,1,38,100130,0,0,0,0,0,0,0,0,0,3,,2,1,,,2,,,,,,,,,
5,10,1025,2,1774,100131,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
5,10,1025,2,1774,100132,1,3,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
5,10,1025,2,1774,100133,0,2,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,
5,10,1025,2,1774,100134,2,2,1,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,
5,10,1025,2,1774,100135,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
5,10,1025,2,1774,100136,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
5,10,1025,2,1774,100137,0,0,0,0,0,0,0,0,0,3,,1,,,,5,,,,,,,,,
5,10,1025,2,1774,100138,4,3,7,7,0,0,0,0,0,3,3,1,,,,1,8,,,,,,9,,
5,10,1025,2,1774,100139,2,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,
5,10,1025,2,1774,100140,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
4,11,1104,1,2028,110001,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
4,11,1104,1,2028,110002,0,0,0,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,
4,11,1104,1,2028,110003,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1104,1,2028,110004,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1104,1,2028,110005,1,1,0,1,0,0,0,0,0,,2,1,,,,2,,,,,,,,,
4,11,1104,1,2028,110006,1,1,0,1,0,0,0,0,0,2,,1,,,,2,,,,,,,,,
4,11,1104,1,2028,110007,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1104,1,2028,110008,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1104,1,2028,110009,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1104,1,2028,110010,1,0,1,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1112,2,1952,110011,1,1,1,1,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,
4,11,1112,2,1952,110012,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1112,2,1952,110013,1,1,0,1,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,
4,11,1112,2,1952,110014,0,0,0,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,
4,11,1112,2,1952,110015,1,1,1,1,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,
4,11,1112,2,1952,110016,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1112,2,1952,110017,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1112,2,1952,110018,0,0,0,0,0,0,0,0,0,3,3,2,2,2,1,2,,,,,,,,,
4,11,1112,2,1952,110019,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1112,2,1952,110020,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1112,2,78,110021,0,1,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1112,2,78,110022,0,1,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1112,2,78,110023,0,1,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1112,2,78,110024,0,,,,,,,,,3,3,1,,,,2,,,,,,,,,
4,11,1112,2,78,110025,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1112,2,78,110026,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1112,2,78,110027,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1112,2,78,110028,0,1,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1112,2,78,110029,0,1,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1112,2,78,110030,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1110,2,714,110031,0,1,0,0,0,0,0,0,0,0,3,1,,,,2,,,,,,,,,
4,11,1110,2,714,110032,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1110,2,714,110033,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1110,2,714,110034,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1110,2,714,110035,1,1,1,1,1,0,0,0,0,2,3,1,,,,1,,,,,,,,,
4,11,1110,2,714,110036,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1110,2,714,110037,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1110,2,714,110038,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1110,2,714,110039,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1110,2,714,110040,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1110,2,2752,110041,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1110,2,2752,110042,0,0,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1110,2,2752,110043,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1110,2,2752,110044,0,1,0,1,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1110,2,2752,110045,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1110,2,2752,110046,0,1,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1110,2,2752,110047,0,1,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1110,2,2752,110048,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1110,2,2752,110049,0,0,0,0,0,0,0,0,0,3,3,1,,,,1,,,,,,,,,
4,11,1110,2,2752,110050,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1108,2,492,110051,0,0,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1108,2,492,110052,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1108,2,492,110053,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1108,2,492,110054,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1108,2,492,110055,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1108,2,492,110056,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1108,2,492,110057,0,1,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1108,2,492,110058,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1108,2,492,110059,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1108,2,492,110060,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1105,2,100,110061,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1105,2,100,110062,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1105,2,100,110063,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1105,2,100,110064,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1105,2,100,110065,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1105,2,100,110066,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1105,2,100,110067,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1105,2,100,110068,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1105,2,100,110069,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1105,2,100,110070,0,1,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1106,2,446,110071,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1106,2,446,110072,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1106,2,446,110073,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1106,2,446,110074,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1106,2,446,110075,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1106,2,446,110076,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1106,2,446,110077,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1106,2,446,110078,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1106,2,446,110079,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1106,2,446,110080,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1104,2,434,110081,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1104,2,434,110082,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1104,2,434,110083,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1104,2,434,110084,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1104,2,434,110085,0,1,0,0,0,0,0,0,0,0,3,1,,,,2,,,,,,,,,
4,11,1104,2,434,110086,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1104,2,434,110087,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1104,2,434,110088,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1104,2,434,110089,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1104,2,434,110090,0,0,0,0,0,0,0,0,0,3,3,2,2,2,1,2,,,,,,,,,
4,11,1107,2,1034,110091,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1107,2,1034,110092,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1107,2,1034,110093,0,0,0,0,0,0,0,0,0,3,3,2,2,2,1,2,,,,,,,,,
4,11,1107,2,1034,110094,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1107,2,1034,110095,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1107,2,1034,110096,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1107,2,1034,110097,0,1,0,0,0,0,0,0,0,0,3,1,,,,2,,,,,,,,,
4,11,1107,2,1034,110098,0,1,0,0,0,0,0,0,0,,3,2,2,,,,,,,,,,,,
4,11,1107,2,1034,110099,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1107,2,1034,110100,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1109,2,672,110101,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1109,2,672,110102,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1109,2,672,110103,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1109,2,672,110104,0,0,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1109,2,672,110105,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1109,2,672,110106,0,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,
4,11,1109,2,672,110107,0,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,
4,11,1109,2,672,110108,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1109,2,672,110109,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1109,2,672,110110,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1113,2,954,110111,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1113,2,954,110112,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1113,2,954,110113,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1113,2,954,110114,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1113,2,954,110115,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1113,2,954,110116,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1113,2,954,110117,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1113,2,954,110118,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1113,2,954,110119,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1113,2,954,110120,0,0,0,0,0,0,0,0,0,3,3,2,1,2,2,2,,,,,,,,,
4,11,1102,2,936,110121,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1102,2,936,110122,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1102,2,936,110123,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1102,2,936,110124,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1102,2,936,110125,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1102,2,936,110126,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1102,2,936,110127,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1102,2,936,110128,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1102,2,936,110129,0,1,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1102,2,936,110130,0,1,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1101,2,154,110131,0,1,0,0,0,0,0,0,0,,3,1,,,,,2,,,,,,,,
4,11,1101,2,154,110132,0,1,,,,,,,,,3,1,,,,2,,,,,,,,,
4,11,1101,2,154,110133,0,1,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1101,2,154,110134,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1101,2,154,110135,0,1,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
4,11,1101,2,154,110136,0,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,
4,11,1101,2,154,110137,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
4,11,1101,2,154,110138,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1101,2,154,110139,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,11,1101,2,154,110140,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
5,12,1211,1,2856,120001,,,,,,,,,,3,5,2,3,2,1,2,,,,,,,,,
5,12,1211,1,2856,120002,7,7,7,7,3,,2,,,1,2,2,3,3,1,1,8,7,5,,,,,,
5,12,1211,1,2856,120003,,,,,,,,,,3,5,2,3,2,1,,,,,,,,,,
5,12,1211,1,2856,120004,,1,1,,2,,,,,,,1,,,,2,,,,,,,,,
5,12,1211,1,2856,120005,7,7,7,7,7,,2,2,,3,3,1,,,,1,7,8,7,,,,9,,
5,12,1211,1,2856,120006,,,,,,,,,,3,6,2,3,2,1,2,,,,,,,,,
5,12,1211,1,2856,120007,3,,,,,,,,,3,,1,,,,2,,,,,,,,,
5,12,1211,1,2856,120008,2,,,,,,,,,3,4,1,,,,2,,,,,,,,,
5,12,1211,1,2856,120009,1,1,,1,,,,,,3,3,1,,,,2,,,,,,,,,
5,12,1211,1,2856,120010,1,,1,,,,,,,3,3,1,,,,2,,,,,,,,,
5,12,1202,1,2146,120011,4,,3,,,,,,,3,4,1,,,,5,,,,,,,,,
5,12,1202,1,2146,120012,,1,,2,0,0,2,0,0,2,,1,,,,3,,,,,,,,,
5,12,1202,1,2146,120013,,2,,1,,,1,,,2,3,2,3,2,1,1,1,2,7,8,9,10,8,9,
5,12,1202,1,2146,120014,,,,,,,,,,7,2,2,3,2,1,2,,,,,,,,,
5,12,1202,1,2146,120015,2,,,,,,,,,3,,1,,,,2,,,,,,,,,
5,12,1202,1,2146,120016,7,7,,,,,1,2,2,2,,1,,,,2,,,,,,,,,
5,12,1202,1,2146,120017,2,3,2,2,,2,2,2,,2,,1,,,,1,7,4,,,,,,,
5,12,1202,1,2146,120018,3,5,5,3,,,3,2,,2,,1,,,,2,,,,,,,,,
5,12,1202,1,2146,120019,3,,1,,,,,,,3,4,1,,,,2,,,,,,,,,
5,12,1202,1,2146,120020,2,3,1,,,,,,,2,,1,,,,2,,,,,,,,,
5,12,1202,1,2710,120021,1,,,,1,,,,,3,3,2,,2,1,2,,,,,,,,,
5,12,1202,1,2710,120022,,,,,,,,,,6,1,1,,,,2,,,,,,,,,
5,12,1202,1,2710,120023,3,,,,,,,,,3,5,2,3,2,1,2,,,,,,,,,
5,12,1202,1,2710,120024,,,2,2,2,,,,,7,3,2,3,2,1,1,8,,,,,,5,,
5,12,1202,1,2710,120025,2,1,,,,1,,,,3,,2,2,1,,1,5,6,7,5,6,7,5,6,
5,12,1202,1,2710,120026,1,,2,,,,,,,2,3,2,3,2,1,1,5,6,7,5,6,7,9,5,
5,12,1202,1,2710,120027,,,,,,,,,,3,,1,,,,2,,,,,,,,,
5,12,1202,1,2710,120028,2,,,,,,,,,3,,1,,,,2,,,,,,,,,
5,12,1202,1,2710,120029,3,,,,,,,,,2,4,1,,,,2,,,,,,,,,
5,12,1202,1,2710,120030,,,,,,,,1,,2,3,1,,,,1,7,6,,,,,,,
5,12,1212,1,1392,120031,1,,,2,,,,2,,3,4,1,,,,2,,,,,,,,,
5,12,1212,1,1392,120032,1,2,2,1,1,,,,,2,2,2,3,2,1,1,10,11,12,6,7,10,5,6,
5,12,1212,1,1392,120033,,,,,,,,,,5,1,2,3,2,1,2,,,,,,,,,
5,12,1212,1,1392,120034,4,3,3,,,,,,,3,,1,,,,2,,,,,,,,,
5,12,1212,1,1392,120035,2,,,,,,,,,3,3,1,,,,2,,,,,,,,,
5,12,1212,1,1392,120036,1,,1,,2,,,,,2,3,2,3,2,1,1,6,7,8,,6,7,8,7,
5,12,1212,1,1392,120037,,,,,,,,,,4,1,1,,,,2,,,,,,,,,
5,12,1212,1,1392,120038,2,,2,,1,,,,,3,5,1,,,,2,,,,,,,,,
5,12,1212,1,1392,120039,,,,,,,,,,1,,1,,,,2,,,,,,,,,
5,12,1212,1,1392,120040,4,4,,7,,,,,,3,5,1,,,,1,6,7,8,2,3,6,5,,
5,12,1208,2,526,120041,2,,2,,,,,,,3,,1,,,,2,,,,,,,,,
5,12,1208,2,526,120042,,,,,,,,,,2,1,1,,,,2,,,,,,,,,
5,12,1208,2,526,120043,1,1,,,,1,,,,3,3,1,,,,2,,,,,,,,,
5,12,1208,2,526,120044,,,,,,,,,,2,2,2,3,1,1,2,,,,,,,,,
5,12,1208,2,526,120045,3,,,,,,,,,3,,1,,,,2,,,,,,,,,
5,12,1208,2,526,120046,2,,,3,,,,,,3,5,1,,,,2,,,,,,,,,
5,12,1208,2,526,120047,1,,1,,,,,,,3,,1,,,,2,,,,,,,,,
5,12,1208,2,526,120048,,,,,,,,,,2,,1,,,,2,,,,,,,,,
5,12,1208,2,526,120049,2,2,,,,,,,,3,3,1,,,,2,,,,,,,,,
5,12,1208,2,526,120050,1,,,,,,,,,2,1,2,3,2,1,1,5,6,7,6,7,8,5,6,
5,12,1216,2,618,120051,2,2,,,,,,,,3,4,1,,,,2,,,,,,,,,
5,12,1216,2,618,120052,1,2,,,,,,,6,6,,1,,,,2,,,,,,,,,
5,12,1216,2,618,120053,,,,,,,,,,3,4,1,,,,2,,,,,,,,,
5,12,1216,2,618,120054,3,3,,,,,,,,3,,1,,,,2,,,,,,,,,
5,12,1216,2,618,120055,1,,,,,,,,,3,,1,,,,2,,,,,,,,,
5,12,1216,2,618,120056,6,4,,,,,,,,3,,1,,,,2,,,,,,,,,
5,12,1216,2,618,120057,,,,,,,,,,6,,1,,,,5,,,,,,,,,
5,12,1216,2,618,120058,,2,,,,,,,,6,,1,,,,2,,,,,,,,,
5,12,1216,2,618,120059,2,,1,,,,,,,3,,1,,,,2,,,,,,,,,
5,12,1216,2,618,120060,,,,,,,,,,10,1,2,3,2,1,2,,,,,,,,,
