"zone","state","lga","sector","ea","hhid","plotid","qa_type_plot","dist_household","srtmslp_nga","srtm_nga","twi_nga"
4,1,117,2,560,10077,2,1,0.5,6.4,259,12
4,1,117,2,560,10078,1,1,1.4,9.4,253,14
4,1,117,2,560,10078,2,1,0.5,3.8,220,13
4,1,117,2,560,10079,1,1,0.4,7,254,12
4,1,117,2,560,10079,2,1,0.1,8.7,214,13
4,1,117,2,560,10079,3,1,0.1,7.1,212,14
4,1,117,2,560,10079,4,1,0.4,6.7,254,12
4,1,117,2,560,10080,1,1,0.1,8,218,13
4,1,117,2,560,10080,2,1,0.7,8.6,262,12
4,1,117,2,560,10080,3,1,0.9,9.4,265,12
4,1,117,2,560,10080,4,1,0.7,8.6,261,12
4,1,110,2,76,10081,1,1,0.2,10.2,115,12
4,1,110,2,76,10081,2,1,1.2,2.2,105,15
4,1,110,2,76,10081,3,1,1,2.2,100,16
4,1,110,2,76,10082,1,1,0.9,3.8,99,13
4,1,110,2,76,10082,2,1,0.8,4.3,96,14
4,1,110,2,76,10082,3,1,0.7,5.7,95,14
4,1,110,2,76,10084,1,1,1,1.9,99,16
4,1,110,2,76,10084,2,1,1,2.7,100,14
4,1,110,2,76,10084,3,1,0.9,4.5,98,13
4,1,110,2,76,10085,1,1,1.4,3.9,86,14
4,1,110,2,76,10085,2,1,1.2,2.2,105,15
4,1,110,2,76,10086,1,1,0.7,6.3,100,12
4,1,110,2,76,10087,1,1,1.4,2,80,16
4,1,110,2,76,10087,2,1,0.8,4.6,95,15
4,1,110,2,76,10087,3,1,0.7,6.2,96,13
4,1,110,2,76,10087,4,1,0.8,5.6,104,12
4,1,110,2,76,10088,1,1,1.1,2.8,102,15
4,1,110,2,76,10088,2,1,0.9,2.3,100,15
4,1,110,2,76,10088,3,1,0.9,2.9,100,14
4,1,105,2,638,10091,1,1,0.4,0.8,84,14
4,1,105,2,638,10091,2,1,0.3,5.1,108,12
4,1,105,2,638,10091,3,1,1.4,2.6,87,14
4,1,105,2,638,10092,1,1,0.3,7.3,93,13
4,1,105,2,638,10092,2,1,0.3,7.3,92,13
4,1,105,2,638,10093,1,1,0.4,4.8,105,14
4,1,105,2,638,10094,1,1,0.5,0.2,84,17
4,1,105,2,638,10094,2,1,0.3,3.8,111,14
4,1,105,2,638,10094,3,1,0.5,6,101,13
4,1,105,2,638,10095,1,1,0.3,5.4,87,15
4,1,105,2,638,10095,2,1,1.6,3.6,113,13
4,1,105,2,638,10096,1,1,0.1,6.9,89,13
4,1,105,2,638,10096,2,1,1.5,5.7,99,13
4,1,105,2,638,10096,3,1,0.1,6.5,89,15
4,1,105,2,638,10096,4,1,0.1,6.2,89,15
4,1,105,2,638,10096,5,1,0.1,6.5,89,15
4,1,105,2,638,10097,1,1,0.8,4.5,93,12
4,1,105,2,638,10097,2,1,0.8,3.9,94,13
4,1,105,2,638,10099,1,1,0.5,4.9,105,13
4,1,105,2,638,10099,2,1,0.5,5,101,14
4,1,105,2,638,10099,3,1,0.9,4.9,112,13
4,1,105,2,638,10100,1,1,0.4,1.5,84,15
4,1,105,2,638,10100,2,1,0.5,0.8,84,17
4,1,108,2,904,10102,1,1,0.1,13.2,154,12
4,1,108,2,904,10102,2,1,1.4,1.9,118,19
4,1,108,2,904,10102,3,1,1.4,5.3,121,15
4,1,108,2,904,10102,4,1,1.4,1.8,118,19
4,1,108,2,904,10103,1,1,0.2,10.4,187,11
4,1,108,2,904,10103,2,1,0.2,10,189,11
4,1,108,2,904,10103,3,1,0.3,10.9,189,11
4,1,108,2,904,10103,4,1,0.1,9.6,155,12
4,1,108,2,904,10103,5,1,0.1,9.3,154,12
4,1,108,2,904,10105,1,1,1.7,2.6,114,15
4,1,108,2,904,10106,1,1,0.3,9.9,189,11
4,1,108,2,904,10106,2,1,0.3,10.2,189,11
4,1,108,2,904,10106,3,1,0.3,10.7,190,11
4,1,108,2,904,10106,4,1,0.3,10.4,189,11
4,1,108,2,904,10107,1,1,0,11.4,148,12
4,1,108,2,904,10107,2,1,0.2,6.3,143,13
4,1,108,2,904,10107,3,1,0.2,7.1,139,13
4,1,108,2,904,10107,4,1,0,12.9,150,12
4,1,108,2,904,10108,1,1,0.1,9.9,153,12
4,1,108,2,904,10108,2,1,0.1,12.3,155,12
4,1,108,2,904,10109,1,1,0.2,7.7,140,13
4,1,108,2,904,10109,2,1,0.2,8.4,139,13
4,1,108,2,904,10110,1,1,0.1,9.9,153,12
4,1,108,2,904,10110,2,1,0.1,13,154,12
2,2,209,2,1040,20001,1,1,1.9,0.4,178,15
2,2,209,2,1040,20001,2,5,22.1,7.9,304,13
2,2,209,2,1040,20001,3,1,1.9,3.5,228,15
2,2,209,2,1040,20002,1,1,2,0.7,177,14
2,2,209,2,1040,20002,2,1,1.4,0.8,174,19
2,2,209,2,1040,20002,3,1,1.4,1,175,16
2,2,209,2,1040,20002,4,1,4.3,1.1,160,14
2,2,209,2,1040,20002,5,1,0.2,2.3,193,17
2,2,209,2,1040,20003,1,3,0.3,1.8,181,20
2,2,209,2,1040,20003,2,3,0.2,2.4,187,17
2,2,209,2,1040,20003,3,3,0.3,2.7,187,14
2,2,209,2,1040,20004,1,5,11.7,0.5,137,16
2,2,209,2,1040,20004,2,1,2.1,1.3,171,18
2,2,209,2,1040,20005,1,1,6.2,1.8,169,15
2,2,209,2,1040,20005,2,1,7.7,0.2,173,15
2,2,209,2,1040,20005,3,1,0.8,1.2,198,17
2,2,209,2,1040,20005,4,1,0.8,1.2,198,18
2,2,209,2,1040,20005,5,1,0.4,1,194,18
2,2,209,2,1040,20006,1,5,18.5,3,335,13
2,2,209,2,1040,20006,2,3,0.5,3.8,197,14
2,2,209,2,1040,20007,1,1,6.1,2.4,178,14
2,2,209,2,1040,20008,1,1,1.6,1.7,176,13
2,2,209,2,1040,20008,2,1,2,1.4,180,14
2,2,209,2,1040,20009,1,1,0.1,1.8,184,14
2,2,209,2,1040,20009,2,1,0.1,4.1,188,13
2,2,209,2,1040,20009,3,1,0.1,3,185,15
2,2,209,2,1040,20010,1,1,0,1.3,194,14
2,2,201,2,60,20021,1,1,8.9,0.8,171,15
2,2,201,2,60,20021,2,1,6.4,0.9,193,15
2,2,201,2,60,20021,3,1,1.7,2.9,253,13
2,2,201,2,60,20021,4,1,1.7,3.1,253,14
2,2,201,2,60,20022,1,1,1.6,2.9,240,13
2,2,201,2,60,20022,2,2,2.3,5,240,13
2,2,201,2,60,20023,1,1,0.2,3.4,268,13
2,2,201,2,60,20023,2,1,0.5,4.1,266,13
2,2,201,2,60,20027,1,3,8.6,1.3,174,13
2,2,201,2,60,20028,1,1,1.6,2.4,238,14
2,2,201,2,60,20028,2,5,14.8,2.9,347,14
2,2,201,2,60,20028,3,2,2.2,5,240,13
2,2,201,2,60,20029,1,1,8.6,0.8,172,16
2,2,201,2,60,20029,2,1,8.6,2,176,13
2,2,201,2,60,20029,3,1,7.4,1.3,181,14
2,2,216,2,200,20031,1,1,0.9,1,137,16
2,2,216,2,200,20031,2,1,1,0.8,137,15
2,2,216,2,200,20031,3,1,0.2,0.7,137,15
2,2,216,2,200,20032,1,1,0.7,1.8,137,14
2,2,216,2,200,20032,2,1,1.5,1.2,135,15
2,2,216,2,200,20032,3,2,0.8,1.2,136,17
2,2,216,2,200,20032,4,2,0.8,1.2,136,17
2,2,216,2,200,20033,1,1,0.9,1.2,137,14
2,2,216,2,200,20033,2,1,0.9,1.8,136,15
2,2,216,2,200,20033,3,1,1.1,1.9,135,18
2,2,216,2,200,20033,4,1,2.2,1.2,135,15
2,2,216,2,200,20034,1,1,0.2,1.2,136,15
2,2,216,2,200,20034,2,1,0.9,0.8,136,14
2,2,216,2,200,20034,3,1,1.2,0.7,137,14
2,2,216,2,200,20035,1,1,1,0.8,136,14
2,2,216,2,200,20035,2,1,0.6,1,136,14
2,2,216,2,200,20037,1,1,1.4,0.4,137,15
2,2,216,2,200,20037,2,1,1.5,13.6,178,12
2,2,216,2,200,20037,3,1,0.5,0.9,135,15
2,2,216,2,200,20038,1,1,2,0.6,136,25
2,2,216,2,200,20038,2,1,3.6,1.2,141,14
2,2,216,2,200,20039,1,1,1,1.1,137,14
2,2,216,2,200,20039,2,1,1.1,0.8,136,16
2,2,216,2,200,20040,1,1,0.6,1.4,137,14
2,2,216,2,200,20040,2,1,0.7,0.9,137,19
2,2,216,2,200,20040,3,1,2.5,0.7,143,14
2,2,212,2,956,20051,1,1,0.4,4.7,364,12
2,2,212,2,956,20051,2,1,0.5,7.9,356,12
2,2,212,2,956,20052,1,1,0.3,5.1,359,14
2,2,212,2,956,20053,1,1,0.4,3.1,348,14
2,2,212,2,956,20054,1,1,0.6,5.2,355,12
2,2,212,2,956,20054,2,1,0.6,4.1,356,13
2,2,212,2,956,20055,1,1,0,4.3,338,13
2,2,212,2,956,20056,1,1,0.1,5.9,353,12
2,2,212,2,956,20056,2,1,0.2,3.4,351,13
2,2,212,2,956,20057,1,1,0.2,4,347,13
2,2,212,2,956,20057,2,1,0.3,4.1,343,13
2,2,212,2,956,20058,1,1,0.3,5,346,13
2,2,212,2,956,20059,1,1,0.5,3.8,353,13
2,2,212,2,956,20059,2,1,1.1,5.4,354,13
2,2,212,2,956,20059,3,1,1.1,4.7,345,12
2,2,212,2,956,20059,4,1,0.5,2.9,354,13
2,2,212,2,956,20060,1,1,0.1,3.7,353,13
2,2,210,2,1300,20061,1,1,0.1,0.9,487,16
2,2,210,2,1300,20061,2,1,0.1,2.3,487,13
2,2,210,2,1300,20061,3,1,0.2,2.2,487,13
2,2,210,2,1300,20061,4,1,0.2,1.3,487,14
2,2,210,2,1300,20061,5,1,0.5,1.2,486,13
2,2,210,2,1300,20061,6,1,0.1,2.2,487,13
2,2,210,2,1300,20062,1,1,1,0.7,488,15
2,2,210,2,1300,20062,2,1,0.4,1.9,484,14
2,2,210,2,1300,20062,3,1,0.1,1.3,487,14
2,2,210,2,1300,20062,4,1,0.4,0.2,483,18
2,2,210,2,1300,20063,1,1,0,2.7,490,14
2,2,210,2,1300,20063,2,1,0.7,2.1,494,14
2,2,210,2,1300,20063,3,1,0.5,1.5,486,16
2,2,210,2,1300,20063,4,1,1,0.8,481,18
2,2,210,2,1300,20064,1,1,0.3,3.2,486,14
2,2,210,2,1300,20064,2,1,0.3,2.1,487,18
2,2,210,2,1300,20064,3,1,0.2,2.6,490,13
2,2,210,2,1300,20065,1,1,0.2,2.9,491,14
2,2,210,2,1300,20065,2,1,0.3,1,485,16
2,2,210,2,1300,20065,3,1,0.7,0.9,496,14
2,2,210,2,1300,20066,1,2,0.2,2,494,13
2,2,210,2,1300,20066,2,2,0.2,2,494,13
2,2,210,2,1300,20066,3,3,1.3,3.1,480,13
2,2,210,2,1300,20066,4,2,0.2,1.4,495,14
2,2,210,2,1300,20066,5,2,0.2,1.4,495,14
2,2,210,2,1300,20067,1,1,0.3,1.7,486,13
2,2,210,2,1300,20067,2,1,0.4,1.3,486,14
2,2,210,2,1300,20067,3,1,1.7,2.3,485,15
2,2,210,2,1300,20068,1,1,0.1,1.7,486,14
2,2,210,2,1300,20068,2,1,0.1,3.2,486,14
2,2,210,2,1300,20069,1,1,0.1,1.6,488,14
2,2,210,2,1300,20069,2,1,0.2,2,489,13
2,2,210,2,1300,20069,3,1,0.7,1.3,485,15
2,2,210,2,1300,20070,1,1,0.9,2.9,486,14
2,2,210,2,1300,20070,2,1,0.7,1.1,487,15
2,2,210,2,1300,20070,3,1,0.4,2.1,488,15
2,2,210,2,1300,20070,4,1,0.6,1.9,488,13
2,2,210,2,1300,20070,5,1,0.4,2,487,16
2,2,214,2,898,20072,1,1,4.1,2,559,13
2,2,214,2,898,20073,1,1,6.4,0.7,599,20
2,2,214,2,898,20074,1,1,5.4,1.9,571,13
2,2,214,2,898,20075,1,1,3.8,2.2,600,15
2,2,214,2,898,20077,1,2,3.7,2.3,600,15
2,2,214,2,898,20080,1,2,3.7,2.3,600,15
2,2,215,1,8,20081,1,1,1.9,1.9,573,16
2,2,215,1,8,20082,1,1,6.2,2.2,562,14
2,2,215,1,8,20082,2,1,6.4,0.8,561,14
2,2,215,1,8,20082,3,1,5.9,3,570,13
2,2,215,1,8,20082,4,1,5.4,3.3,584,13
2,2,215,1,8,20082,5,1,1,1.2,578,15
2,2,215,1,8,20083,1,1,6.5,2.1,559,15
2,2,215,1,8,20083,2,1,5.2,2.5,588,13
2,2,215,1,8,20083,3,1,4.6,2,576,14
2,2,215,1,8,20085,1,1,2.2,3.7,569,13
2,2,215,1,8,20085,2,1,1.5,2.1,568,13
2,2,215,1,8,20086,1,1,2.8,2.4,573,14
