"zone","state","lga","sector","ea","pid","c1q2","c1q3","c1q4a","c1q4b","c1q4c","c1q5","c1q6"
2,2,207,2,1302,9,1,35,6,,,35,16
2,2,209,2,1040,1,1,64,1,,,64,26
2,2,209,2,1040,2,2,36,2,,,36,0
2,2,209,2,1040,3,1,35,6,,,35,26
2,2,209,2,1040,4,1,25,6,,,25,26
2,2,209,2,1040,5,1,25,6,,,15,26
2,2,209,2,1040,6,1,26,6,,,26,26
2,2,209,2,1040,7,1,33,10,,,10,26
2,2,209,2,1040,8,1,22,6,,,6,26
2,2,210,2,1300,1,1,52,1,,,52,26
2,2,210,2,1300,2,2,40,6,,,40,0
2,2,210,2,1300,3,1,29,11,,"YOUTH LEADER",29,26
2,2,210,2,1300,4,1,40,6,,,40,16
2,2,210,2,1300,5,1,41,8,,,41,14
2,2,210,2,1300,6,1,31,8,,,31,23
2,2,210,2,1300,7,1,25,6,,,25,26
2,2,210,2,1300,8,1,45,6,,,45,0
2,2,210,2,1300,9,1,25,11,,"STUDENT",25,26
2,2,212,2,956,1,1,33,3,,,33,0
2,2,212,2,956,2,1,52,9,,,52,0
2,2,212,2,956,3,1,75,3,,,75,0
2,2,212,2,956,4,1,30,3,,,30,0
2,2,212,2,956,5,1,37,3,,,37,0
2,2,212,2,956,6,1,64,1,,,64,0
2,2,214,2,898,1,1,57,1,,,40,26
2,2,214,2,898,2,1,30,11,,"ACCOUNTANT",30,42
2,2,214,2,898,3,1,46,10,,,17,26
2,2,214,2,898,4,1,39,8,,,39,16
2,2,214,2,898,5,1,34,11,,"YOUTH LEADER",34,42
2,2,214,2,898,6,2,33,5,,,33,34
2,2,215,1,8,1,1,59,1,,,59,51
2,2,215,1,8,2,1,52,11,,"TRANSPORT UNION",31,28
2,2,215,1,8,3,2,34,11,,"WOMAN LEADER",34,41
2,2,215,1,8,4,1,33,5,,,33,34
2,2,215,1,8,5,1,51,11,,"WARD MEMBER",17,16
2,2,215,1,8,6,1,48,8,,,31,31
2,2,215,1,8,7,2,39,11,,"WARD MEMBER",17,12
2,2,215,1,8,8,2,28,8,,,28,42
2,2,216,2,200,1,1,40,1,,,20,26
2,2,216,2,200,2,2,46,5,,,3,34
2,2,216,2,200,3,1,30,6,,,30,34
2,2,216,2,200,4,1,35,11,,"YOUTH LEADER",13,0
2,2,216,2,200,5,1,32,11,,"POLITICIAN",32,26
2,2,216,2,200,6,1,25,11,,"POLITICIAN",10,0
2,2,218,2,1592,1,1,75,11,,,73,0
2,2,218,2,1592,2,1,70,11,,,70,0
2,2,218,2,1592,3,1,25,11,,,20,0
2,2,218,2,1592,4,1,30,11,,,35,0
2,2,218,2,1592,5,1,35,11,,,40,0
2,2,218,2,1592,6,1,43,11,,,38,0
2,2,218,2,1592,7,1,50,11,,,50,0
2,2,218,2,1592,8,1,67,1,,,60,0
2,2,218,2,1592,9,1,37,11,,,30,0
2,2,221,2,18,1,1,49,1,,,49,27
2,2,221,2,18,2,1,70,11,,,70,51
2,2,221,2,18,3,1,30,11,,,5,26
2,2,221,2,18,4,1,40,5,,,4,34
2,2,221,2,18,5,1,29,11,,,29,26
2,2,221,2,18,6,1,47,3,,,47,27
2,2,221,2,18,7,2,25,8,,,25,26
5,3,301,1,1198,1,1,52,1,,,52,16
5,3,301,1,1198,2,1,58,11,,"SECRETARY OF VILLAGE",50,26
5,3,301,1,1198,3,1,42,11,,"YOUTH LEADER",40,16
5,3,301,1,1198,4,2,70,11,,"WOMEN LEADER",50,16
5,3,301,1,1198,5,1,66,11,,"DEPUTY HEAD",50,16
5,3,301,1,1198,6,1,38,11,,"FAMILY HEAD",38,16
5,3,305,2,4,1,1,75,,1,,,
5,3,305,2,4,2,1,52,11,,"SECRETARY",50,34
5,3,305,2,4,3,1,55,11,,"FAMILY HEAD",38,42
5,3,305,2,4,4,1,40,11,,"YOUTH LEADER",40,26
5,3,305,2,4,5,2,35,11,,"WOMEN LEADER",15,16
5,3,305,2,1542,1,1,45,,1,,26,42
5,3,305,2,1542,2,1,70,11,,"CHAIRMAN",70,16
5,3,305,2,1542,3,1,40,11,,"SECRETARY",32,41
5,3,305,2,1542,4,2,42,11,,"WOMEN LEADER",12,31
5,3,305,2,1542,5,2,40,11,,"YOUTH LEADER",12,26
5,3,307,1,634,1,1,67,1,,,20,43
5,3,307,1,634,2,1,52,3,,,30,16
5,3,307,1,634,3,1,55,11,,"YOUTH LEADER",30,43
5,3,307,1,634,4,2,62,2,,,30,42
5,3,307,1,634,5,1,52,11,,"SECRETARY OF VILLAGE",20,42
5,3,309,2,478,1,1,63,1,,,20,16
5,3,309,2,478,2,1,65,11,,"DEPUTY CHIEF",38,16
5,3,309,2,478,3,1,46,11,,"CHAIRMAN",46,16
5,3,309,2,478,4,1,48,11,,"SECRETARY",30,42
5,3,309,2,478,5,2,55,11,,"WOMAN LEADER",25,16
5,3,309,2,478,6,1,66,11,,"FAMILY HEAD",30,34
5,3,312,2,20,1,1,68,,1,,40,13
5,3,312,2,20,2,1,28,,3,,10,26
5,3,312,2,20,3,1,40,,3,,20,16
5,3,312,2,20,4,1,48,11,,"CHAIRMAN",20,14
5,3,312,2,20,5,2,45,11,,"WOMEN LEADER",15,16
5,3,312,2,20,6,1,35,11,,"YOUTH LEADER",15,16
5,3,313,2,70,1,1,,,1,,30,16
5,3,313,2,70,2,1,70,11,,"CHAIRMAN",35,16
5,3,313,2,70,3,1,42,11,,"YOUTH LEADER",20,26
5,3,313,2,70,4,2,68,11,,"WOMEN LEADER",30,12
5,3,313,2,70,5,1,71,11,,"SECRETARY",42,23
5,3,316,2,874,1,1,38,1,,,20,26
5,3,316,2,874,2,1,64,11,,"SECRETARY OF VILLAGE",30,26
5,3,316,2,874,3,1,50,11,,"FAMILY HEAD",50,16
5,3,316,2,874,4,1,41,11,,"FAMILY HEAD",41,26
5,3,316,2,874,5,1,39,11,,"YOUTH LEADER",10,26
5,3,316,2,874,6,2,55,11,,"OBONGANWAN",30,16
5,3,318,2,1136,1,1,72,,1,,30,16
5,3,318,2,1136,2,1,74,11,,"CHAIRMAN",34,31
5,3,318,2,1136,3,1,41,11,,"SECRETARY",20,26
5,3,318,2,1136,4,1,47,11,,"YOUTH LEADER",20,26
