"zone","state","lga","sector","ea","activity_cd","c3q2c","c3q3","c3q4","c3q5","c3q6","c3q7","c3q8","c3q9","c3q10","c3q11","c3q12","c3q13"
2,2,209,2,1040,5,,1,3,1,1000,1,1000,1,800,1,8000,100
2,2,209,2,1040,6,,1,3,1,700,1,700,1,700,1,15000,100
2,2,210,2,1300,1,,1,3,1,1200,1,1000,1,700,1,2800,
2,2,210,2,1300,2,1010,1,3,1,600,1,600,1,400,1,2800,500
2,2,210,2,1300,3,1070,1,3,1,600,1,600,1,400,1,2800,500
2,2,210,2,1300,4,1110,1,3,1,600,1,600,1,400,1,2800,500
2,2,210,2,1300,5,,1,3,1,400,1,400,1,300,1,1300,
2,2,210,2,1300,6,,1,3,1,500,1,500,1,500,1,3000,600
2,2,212,2,956,1,,1,2,1,700,2,,2,,2,,
2,2,212,2,956,2,1080,1,2,1,300,2,,2,,2,,
2,2,212,2,956,3,1070,1,2,1,300,2,,2,,2,,
2,2,212,2,956,4,1110,1,2,1,300,2,,2,,2,,
2,2,212,2,956,5,,1,2,1,500,2,,2,,2,,
2,2,212,2,956,6,,1,2,1,500,2,,2,,2,,
2,2,214,2,898,1,,1,3,1,600,1,600,2,,1,2000,100
2,2,214,2,898,2,1010,1,3,1,700,1,700,2,,1,2000,150
2,2,214,2,898,3,1080,1,3,1,700,1,700,2,,1,2000,150
2,2,214,2,898,4,1070,1,3,1,800,1,800,2,,1,5000,300
2,2,214,2,898,5,,1,,2,,1,600,2,,1,1000,50
2,2,214,2,898,6,,1,3,1,1000,1,1000,2,,1,10000,350
2,2,215,1,8,1,,1,3,1,700,1,600,2,,1,2000,150
2,2,215,1,8,2,1080,1,3,1,700,1,700,2,,1,2000,150
2,2,215,1,8,3,1010,1,3,1,700,1,700,2,,1,2000,150
2,2,215,1,8,4,1060,1,3,1,1000,1,1000,2,,1,5000,300
2,2,215,1,8,5,,2,,2,,2,,2,,1,1000,50
2,2,215,1,8,6,,1,3,1,1000,1,1000,2,,1,1200,400
2,2,216,2,200,1,,1,3,1,500,1,500,1,500,1,1300,50
2,2,216,2,200,2,1080,1,3,1,1000,1,1000,1,1000,1,2500,50
2,2,216,2,200,3,1070,1,3,1,1000,1,1000,1,1000,1,2500,50
2,2,216,2,200,4,1110,1,3,1,1000,1,1000,1,1000,1,4000,50
2,2,216,2,200,5,,1,3,1,700,1,700,1,700,1,1000,50
2,2,216,2,200,6,,1,3,1,2000,1,2000,1,2000,1,2000,50
2,2,218,2,1592,1,,1,1,1,600,1,500,1,300,2,,
2,2,218,2,1592,2,1100,1,2,1,500,1,500,2,,2,,
2,2,218,2,1592,3,1070,1,1,1,400,1,400,2,,2,,
2,2,218,2,1592,4,1080,1,1,1,400,1,300,2,,2,,
2,2,218,2,1592,5,,1,3,1,700,1,600,2,,2,,
2,2,218,2,1592,6,,1,1,1,600,1,500,1,400,2,,
2,2,221,2,18,1,,1,1,1,800,1,800,2,,1,800,30
2,2,221,2,18,2,1070,1,1,1,1000,1,1000,1,500,1,600,100
2,2,221,2,18,3,1080,1,3,1,1000,1,1000,1,500,1,600,100
2,2,221,2,18,4,1110,1,3,1,1500,1,1500,2,,1,1500,200
2,2,221,2,18,5,,2,,,,,,,,,,
2,2,221,2,18,6,,1,3,1,1500,1,1500,1,1000,1,3000,150
5,3,301,1,1198,1,,1,3,1,2000,1,2000,2,,1,,
5,3,301,1,1198,2,1020,1,3,1,2000,1,2000,2,,1,,
5,3,301,1,1198,3,,,,,,,,,,,,
5,3,301,1,1198,4,,,,,,,,,,,,
5,3,301,1,1198,5,,,,,,,,,,,,
5,3,301,1,1198,6,,1,3,2,,1,2000,2,,1,,
5,3,305,2,4,1,,1,3,1,1000,1,1000,1,1000,1,20000,
5,3,305,2,4,2,1020,1,3,1,1000,1,1000,1,1000,1,30000,
5,3,305,2,4,3,1120,1,3,1,1000,1,1000,1,1000,1,35000,
5,3,305,2,4,4,,2,,,,,,,,,,
5,3,305,2,4,5,,2,,,,,,,,,,
5,3,305,2,4,6,,1,3,2,,1,1000,1,1000,1,25000,
5,3,305,2,1542,1,,1,3,1,1000,2,,2,,1,,
5,3,305,2,1542,2,1020,1,3,1,1000,1,700,2,,1,,
5,3,305,2,1542,3,1120,1,3,1,1000,2,,2,,1,,
5,3,305,2,1542,4,,2,,,,,,,,,,
5,3,305,2,1542,5,,2,,,,,,,,,,
5,3,305,2,1542,6,,1,3,2,,1,700,2,,,,
5,3,307,1,634,1,,1,3,1,2000,1,2000,2,,1,,
5,3,307,1,634,2,1020,1,3,1,2000,1,2000,2,,1,,
5,3,307,1,634,3,1120,1,3,1,2000,1,2000,2,,1,,
5,3,307,1,634,4,,2,,,,,,,,,,
5,3,307,1,634,5,,2,,,,,,,,,,
5,3,307,1,634,6,,1,3,1,2000,1,2000,2,,,,
5,3,309,2,478,1,,1,3,1,1000,2,,2,,1,15000,
5,3,309,2,478,2,1020,1,3,1,1000,1,700,2,,1,20000,
5,3,309,2,478,3,1120,1,3,1,1000,2,,2,,1,20000,
5,3,309,2,478,4,,1,3,2,,1,1000,2,,1,20000,
5,3,309,2,478,5,,2,,,,,,,,,,
5,3,309,2,478,6,,1,,,,,,,,,,
5,3,312,2,20,1,,1,3,1,700,1,700,1,500,1,,
5,3,312,2,20,2,1020,1,3,1,700,1,500,1,500,1,,
5,3,312,2,20,3,1120,1,3,1,700,1,500,1,500,1,,
5,3,312,2,20,4,,2,,,,,,,,,,
5,3,312,2,20,5,,2,,,,,,,,,,
5,3,312,2,20,6,,1,3,2,,1,500,2,,1,,
5,3,313,2,70,1,,1,3,1,700,2,,2,,1,,
5,3,313,2,70,2,1020,1,3,1,500,1,500,,,1,,
5,3,313,2,70,3,1120,1,3,1,500,2,,2,,1,,
5,3,313,2,70,4,,2,,,,,,,,,,
5,3,313,2,70,5,,2,,,,,,,,,,
5,3,313,2,70,6,,1,3,2,,1,500,2,,1,,
5,3,316,2,874,1,,1,3,1,2000,1,1500,2,,1,2000,
5,3,316,2,874,2,1020,1,3,1,2000,1,2000,2,,1,15000,
5,3,316,2,874,3,,2,,,,,,,,,,
5,3,316,2,874,4,,2,,,,,,,,,,
5,3,316,2,874,5,,2,,,,,,,,,,
5,3,316,2,874,6,,1,3,1,2000,1,2000,2,,1,20000,
5,3,318,2,1136,1,,1,3,1,700,2,,2,,1,,
5,3,318,2,1136,2,1020,1,3,1,500,1,500,,,1,,
5,3,318,2,1136,3,1120,1,3,1,700,2,,2,,1,,
5,3,318,2,1136,4,,2,,,,,,,,,,
5,3,318,2,1136,5,,2,,,,,,,,,,
5,3,318,2,1136,6,,1,3,2,,1,500,2,,1,,
5,3,321,2,364,1,,1,3,1,700,2,,2,,1,,
5,3,321,2,364,2,1020,1,3,2,,1,500,2,,1,,
5,3,321,2,364,3,1120,1,3,1,700,2,,2,,1,,
5,3,321,2,364,4,,2,,,,,,,,1,,
5,3,321,2,364,5,,2,,,,,,,,,,
5,3,321,2,364,6,,1,3,2,,1,500,2,,1,,
5,3,323,2,580,1,,1,3,1,600,2,,2,,1,,
5,3,323,2,580,2,1020,1,3,1,600,1,500,2,,1,,
5,3,323,2,580,3,1120,1,3,1,600,1,500,2,,1,,
5,3,323,2,580,4,,2,,,,,,,,,,
5,3,323,2,580,5,,2,,,,,,,,,,
