"zone","state","lga","sector","ea","csource_cd","c4q5","c4q6","c4q7","c4q8","c4q9","c4q10","c4q11","c4q12","c4q13","c4q14","c4q15","c4q16"
5,3,305,2,4,2,2,2,2,,,,,,,,,
5,3,305,2,4,3,1,2,1,10,10,11000,10,10,55000,10,10,110000
5,3,305,2,4,4,2,2,2,,,,,,,,,
5,3,305,2,1542,1,2,2,2,,,,,,,,,
5,3,305,2,1542,2,2,2,2,,,,,,,,,
5,3,305,2,1542,3,1,2,1,10,10,11000,10,10,55000,10,10,110000
5,3,305,2,1542,4,2,2,2,,,,,,,,,
5,3,307,1,634,1,,,,,,,,,,,,
5,3,307,1,634,2,,,,,,,,,,,,
5,3,307,1,634,3,1,2,1,10,10,11000,10,10,55000,10,10,110000
5,3,307,1,634,4,,,,,,,,,,,,
5,3,309,2,478,1,2,2,2,,,,,,,,,
5,3,309,2,478,2,2,2,2,,,,,,,,,
5,3,309,2,478,3,2,2,2,,,,,,,,,
5,3,309,2,478,4,2,2,2,,,,,,,,,
5,3,312,2,20,1,2,2,2,,,,,,,,,
5,3,312,2,20,2,2,2,2,,,,,,,,,
5,3,312,2,20,3,1,2,1,10,10,11000,10,10,55000,10,10,110000
5,3,312,2,20,4,2,2,2,,,,,,,,,
5,3,313,2,70,1,2,2,2,,,,,,,,,
5,3,313,2,70,2,2,2,2,,,,,,,,,
5,3,313,2,70,3,1,2,1,10,10,11000,10,10,55000,10,10,110000
5,3,313,2,70,4,2,2,2,,,,,,,,,
5,3,316,2,874,1,2,2,2,,,,,,,,,
5,3,316,2,874,2,2,2,2,,,,,,,,,
5,3,316,2,874,3,1,2,1,10,10,11000,10,10,55000,10,10,110000
5,3,316,2,874,4,2,2,2,,,,,,,,,
5,3,318,2,1136,1,2,2,2,,,,,,,,,
5,3,318,2,1136,2,2,2,2,,,,,,,,,
5,3,318,2,1136,3,1,2,1,10,10,11000,10,10,55000,10,10,110000
5,3,318,2,1136,4,2,2,2,,,,,,,,,
5,3,321,2,364,1,2,2,2,,,,,,,,,
5,3,321,2,364,2,2,2,2,,,,,,,,,
5,3,321,2,364,3,1,2,1,,,,,,,,,
5,3,321,2,364,4,2,2,2,,,,,,,,,
5,3,323,2,580,1,2,2,2,,,,,,,,,
5,3,323,2,580,2,2,2,2,,,,,,,,,
5,3,323,2,580,3,1,2,1,12,10,12000,12,20,,12,20,120000
5,3,323,2,580,4,,,,,,,,,,,,
5,3,326,2,74,1,,,,,,,,,,,,
5,3,326,2,74,2,,,,,,,,,,,,
5,3,326,2,74,3,1,2,1,12,10,11000,12,10,55000,12,10,110000
5,3,326,2,74,4,,,,,,,,,,,,
5,3,329,2,696,1,,,,,,,,,,,,
5,3,329,2,696,2,,,,,,,,,,,,
5,3,329,2,696,3,1,2,1,12,10,11000,12,10,55000,12,10,110000
5,3,329,2,696,4,,,,,,,,,,,,
5,3,331,1,516,1,2,2,2,,,,,,,,,
5,3,331,1,516,2,2,2,2,,,,,,,,,
5,3,331,1,516,3,1,2,1,10,10,11000,10,10,55000,10,10,110000
5,3,331,1,516,4,2,2,2,,,,,,,,,
5,3,331,1,2322,1,,,,,,,,,,,,
5,3,331,1,2322,2,,,,,,,,,,,,
5,3,331,1,2322,3,1,2,1,10,10,11000,10,10,55000,10,10,110000
5,3,331,1,2322,4,,,,,,,,,,,,
4,4,401,1,738,1,2,,,,,,,,,,,
4,4,401,1,738,2,2,,,,,,,,,,,
4,4,401,1,738,3,1,2,1,12,30,13600,12,3,68000,12,36,136000
4,4,401,1,738,4,2,,,,,,,,,,,
4,4,401,1,1460,1,2,,,,,,,,,,,
4,4,401,1,1460,2,2,,,,,,,,,,,
4,4,401,1,1460,3,1,2,1,12,50,16000,12,5,80000,12,60,160000
4,4,401,1,1460,4,2,,,,,,,,,,,
4,4,401,2,2106,1,2,,,,,,,,,,,
4,4,401,2,2106,2,2,,,,,,,,,,,
4,4,401,2,2106,3,1,2,1,12,50,16000,12,5,80000,12,60,160000
4,4,401,2,2106,4,2,,,,,,,,,,,
4,4,402,2,1080,1,2,,,,,,,,,,,
4,4,402,2,1080,2,1,1,1,6,10,11000,6,25,52500,12,10,110000
4,4,402,2,1080,3,1,1,1,6,3,10250,6,13,51250,12,5,105000
4,4,402,2,1080,4,2,,,,,,,,,,,
4,4,403,2,836,1,2,,,,,,,,,,,
4,4,403,2,836,2,2,,,,,,,,,,,
4,4,403,2,836,3,1,1,1,12,5,10500,1,25,52500,12,5,105000
4,4,403,2,836,4,2,,,,,,,,,,,
4,4,405,2,484,1,2,,,,,,,,,,,
4,4,405,2,484,2,2,,,,,,,,,,,
4,4,405,2,484,3,1,2,1,12,50,16000,12,5,80000,12,60,160000
4,4,405,2,484,4,2,,,,,,,,,,,
4,4,405,2,722,1,2,,,,,,,,,,,
4,4,405,2,722,2,2,,,,,,,,,,,
4,4,405,2,722,3,1,2,1,12,50,16000,12,5,79000,12,50,150000
4,4,405,2,722,4,2,,,,,,,,,,,
4,4,407,2,796,1,2,,,,,,,,,,,
4,4,407,2,796,2,2,,,,,,,,,,,
4,4,407,2,796,3,1,1,1,12,50,16000,12,5,7900,12,60,160000
4,4,407,2,796,4,2,,,,,,,,,,,
4,4,410,1,3192,1,2,,,,,,,,,,,
4,4,410,1,3192,2,2,,,,,,,,,,,
4,4,410,1,3192,3,1,2,1,12,50,16000,12,5,80000,12,60,160000
4,4,410,1,3192,4,2,,,,,,,,,,,
4,4,410,1,3414,1,2,,,,,,,,,,,
4,4,410,1,3414,2,2,,,,,,,,,,,
4,4,410,1,3414,3,1,2,1,12,40,14800,12,4,74000,12,48,148000
4,4,410,1,3414,4,2,,,,,,,,,,,
4,4,410,2,4036,1,2,,,,,,,,,,,
4,4,410,2,4036,2,1,1,1,6,10,11000,6,5,52250,12,10,110000
4,4,410,2,4036,3,1,1,1,6,3,10250,6,13,51250,12,5,105000
4,4,410,2,4036,4,2,,,,,,,,,,,
4,4,411,1,1486,1,2,,,,,,,,,,,
4,4,411,1,1486,2,2,,,,,,,,,,,
4,4,411,1,1486,3,1,1,1,6,3,10250,6,13,51250,12,5,105000
4,4,411,1,1486,4,2,,,,,,,,,,,
4,4,412,2,1606,1,1,1,1,6,20,11000,6,10,55000,12,20,120000
4,4,412,2,1606,2,1,1,1,6,10,10500,6,25,52500,12,10,110000
4,4,412,2,1606,3,1,1,1,6,50,10250,6,13,51250,12,5,105000
4,4,412,2,1606,4,1,1,1,6,10,10500,6,25,52500,12,10,110000
4,4,412,2,2592,1,1,1,1,12,20,12000,12,12,60000,12,20,120000
4,4,412,2,2592,2,1,1,1,12,10,11000,12,10,55000,12,10,110000
4,4,412,2,2592,3,1,1,1,12,5,10500,12,25,52500,12,5,105000
4,4,412,2,2592,4,1,1,1,12,10,11000,12,10,55000,12,10,110000
4,4,413,2,1540,1,2,,,,,,,,,,,
4,4,413,2,1540,2,2,,,,,,,,,,,
4,4,413,2,1540,3,1,1,1,12,50,16000,12,5,79000,12,60,160000
4,4,413,2,1540,4,2,,,,,,,,,,,
4,4,414,1,2176,1,1,1,1,12,20,12000,12,20,60000,12,20,120000
4,4,414,1,2176,2,1,1,1,12,10,11000,12,10,60000,12,10,110000
4,4,414,1,2176,3,1,1,1,12,5,10500,12,25,52500,12,5,105000
4,4,414,1,2176,4,1,1,1,12,10,11000,12,10,55000,12,10,110000
4,4,415,1,2108,1,2,2,2,,,,,,,,,
4,4,415,1,2108,2,1,1,1,6,10,11000,6,25,52500,12,10,110000
4,4,415,1,2108,3,1,1,1,6,3,10250,6,13,51250,12,5,105000
4,4,415,1,2108,4,1,1,1,6,5,10500,6,25,52500,12,10,110000
4,4,416,1,616,1,1,1,1,6,10,11000,6,10,55000,12,20,120000
4,4,416,1,616,2,1,1,1,6,5,10500,6,25,52500,12,10,110000
4,4,416,1,616,3,1,1,1,6,3,10250,6,13,51250,12,5,105000
4,4,416,1,616,4,1,1,1,6,5,10500,6,25,52500,12,10,110000
4,4,417,1,678,1,1,1,1,12,20,12000,12,20,60000,12,20,120000
4,4,417,1,678,2,1,1,1,12,10,11000,12,10,55000,12,10,110000
4,4,417,1,678,3,1,1,1,12,5,10500,12,20,52000,12,5,105000
4,4,417,1,678,4,1,1,1,12,10,11000,12,10,55000,12,10,110000
4,4,418,1,44,1,1,1,1,12,20,12000,12,20,60000,12,20,120000
4,4,418,1,44,2,1,1,1,12,15,11500,12,10,55000,12,10,110000
4,4,418,1,44,3,1,1,1,12,10,11000,12,20,52000,12,5,105000
4,4,418,1,44,4,1,1,1,12,20,12000,12,10,55000,12,10,110000
4,4,419,2,296,1,2,,,,,,,,,,,
4,4,419,2,296,2,2,,,,,,,,,,,
4,4,419,2,296,3,1,2,1,12,50,16000,12,5,80000,12,60,160000
4,4,419,2,296,4,1,1,1,12,10,22000,12,10,55000,12,10,220000
4,4,421,1,800,1,2,,,,,,,,,,,
4,4,421,1,800,2,2,,,,,,,,,,,
4,4,421,1,800,3,1,2,1,12,50,16000,12,5,80000,12,60,160000
4,4,421,1,800,4,2,,,,,,,,,,,
2,5,501,2,60,1,2,2,2,,,,,,,,,
2,5,501,2,60,2,2,2,2,,,,,,,,,
2,5,501,2,60,3,2,2,2,,,,,,,,,
2,5,501,2,60,4,2,2,2,,,,,,,,,
2,5,502,1,2194,1,1,1,1,6,15,11500,12,15,57500,12,18,118000
2,5,502,1,2194,2,1,2,1,12,10,11000,12,10,55000,24,10,110000
2,5,502,1,2194,3,1,1,1,6,10,11000,18,10,55000,12,20,120000
2,5,502,1,2194,4,1,1,1,6,20,12000,12,20,60000,12,20,120000
2,5,502,2,3878,1,2,2,2,,,,,,,,,
2,5,502,2,3878,2,1,1,1,5,25,12500,12,24,62000,36,25,125000
2,5,502,2,3878,3,2,2,2,,,,,,,,,
2,5,502,2,3878,4,2,2,2,,,,,,,,,
2,5,504,2,708,1,2,2,2,,,,,,,,,
2,5,504,2,708,2,2,2,2,,,,,,,,,
2,5,504,2,708,3,2,2,2,,,,,,,,,
2,5,504,2,708,4,2,2,2,,,,,,,,,
2,5,506,2,830,1,2,2,2,,,,,,,,,
2,5,506,2,830,2,2,2,2,,,,,,,,,
2,5,506,2,830,3,2,2,2,,,,,,,,,
