"zone","state","lga","sector","ea","tenure_cd","c4q1","c4q2","c4q3","c4q4"
2,2,218,2,1592,6,1,3,1,4000
2,2,218,2,1592,7,1,3,1,2000
2,2,221,2,18,1,1,1,2,100000
2,2,221,2,18,2,1,2,1,
2,2,221,2,18,3,1,4,2,10000
2,2,221,2,18,4,1,3,2,10000
2,2,221,2,18,5,1,3,1,5000
2,2,221,2,18,6,1,3,2,10000
2,2,221,2,18,7,1,1,1,80000
5,3,301,1,1198,1,1,1,1,5000000
5,3,301,1,1198,2,1,3,1,5000
5,3,301,1,1198,3,2,4,2,
5,3,301,1,1198,4,1,2,1,5000
5,3,301,1,1198,5,1,3,1,5000
5,3,301,1,1198,6,1,1,1,6000000
5,3,301,1,1198,7,1,1,1,6000000
5,3,305,2,4,1,1,1,1,200000
5,3,305,2,4,2,1,3,1,3000
5,3,305,2,4,3,1,3,2,3000
5,3,305,2,4,4,1,3,1,2000
5,3,305,2,4,5,1,3,1,2000
5,3,305,2,4,6,1,2,2,2000
5,3,305,2,4,7,1,2,2,2000000
5,3,305,2,1542,1,1,2,1,4000000
5,3,305,2,1542,2,1,2,1,2000
5,3,305,2,1542,3,1,1,1,2000
5,3,305,2,1542,4,1,2,1,2000
5,3,305,2,1542,5,1,2,1,2000
5,3,305,2,1542,6,1,2,1,4000000
5,3,305,2,1542,7,1,2,1,4000000
5,3,307,1,634,1,1,1,1,8000000
5,3,307,1,634,2,1,1,1,5000
5,3,307,1,634,3,2,4,2,
5,3,307,1,634,4,1,3,1,5000
5,3,307,1,634,5,1,2,1,5000
5,3,307,1,634,6,1,1,1,6000000
5,3,307,1,634,7,1,1,1,6000000
5,3,309,2,478,1,1,4,1,5000000
5,3,309,2,478,2,1,3,1,2000
5,3,309,2,478,3,1,2,1,2000
5,3,309,2,478,4,1,2,1,2000
5,3,309,2,478,5,1,2,1,2000
5,3,309,2,478,6,1,4,1,5000000
5,3,309,2,478,7,1,4,1,5000000
5,3,312,2,20,1,1,1,2,1500000
5,3,312,2,20,2,1,1,1,2000
5,3,312,2,20,3,1,2,1,2000
5,3,312,2,20,4,1,3,1,2000
5,3,312,2,20,5,1,2,1,2000
5,3,312,2,20,6,1,1,1,2000000
5,3,312,2,20,7,1,1,2,1500000
5,3,313,2,70,1,1,2,1,2000000
5,3,313,2,70,2,1,2,1,2000
5,3,313,2,70,3,1,3,1,2000
5,3,313,2,70,4,1,3,1,2000
5,3,313,2,70,5,1,3,1,2000
5,3,313,2,70,6,1,2,1,2000000
5,3,313,2,70,7,1,3,1,2000000
5,3,316,2,874,1,1,1,2,5000000
5,3,316,2,874,2,2,4,2,
5,3,316,2,874,3,2,4,2,
5,3,316,2,874,4,2,4,2,
5,3,316,2,874,5,1,1,1,4000
5,3,316,2,874,6,1,1,1,5000000
5,3,316,2,874,7,1,1,2,5000000
5,3,318,2,1136,1,1,2,1,2000000
5,3,318,2,1136,2,1,2,1,2000
5,3,318,2,1136,3,1,3,1,2000
5,3,318,2,1136,4,1,3,1,2000
5,3,318,2,1136,5,1,2,1,2000
5,3,318,2,1136,6,1,2,1,2000000
5,3,318,2,1136,7,1,2,1,2000000
5,3,321,2,364,1,1,1,2,1500000
5,3,321,2,364,2,1,2,1,100000
5,3,321,2,364,3,2,4,2,
5,3,321,2,364,4,1,2,1,10000
5,3,321,2,364,5,1,3,1,10000
5,3,321,2,364,6,1,1,2,1500000
5,3,321,2,364,7,1,1,2,1500000
5,3,323,2,580,1,1,2,2,2000000
5,3,323,2,580,2,1,1,1,5000
5,3,323,2,580,3,2,4,,
5,3,323,2,580,4,1,1,1,5000
5,3,323,2,580,5,1,1,1,5000
5,3,323,2,580,6,1,1,2,1000000
5,3,323,2,580,7,1,1,2,2500000
5,3,326,2,74,1,1,2,1,3000000
5,3,326,2,74,2,1,3,1,2000
5,3,326,2,74,3,1,3,1,2000
5,3,326,2,74,4,2,4,2,
5,3,326,2,74,5,1,2,1,
5,3,326,2,74,6,1,1,1,3000000
5,3,326,2,74,7,1,1,1,3000000
5,3,329,2,696,1,1,1,1,2000000
5,3,329,2,696,2,2,4,,
5,3,329,2,696,3,1,3,1,3000
5,3,329,2,696,4,1,3,1,3000
5,3,329,2,696,5,1,2,1,3000
5,3,329,2,696,6,1,1,1,2000000
5,3,329,2,696,7,1,1,1,2000000
5,3,331,1,516,1,1,1,1,8000000
5,3,331,1,516,2,2,4,2,
5,3,331,1,516,3,2,4,2,
5,3,331,1,516,4,2,4,2,
5,3,331,1,516,5,1,1,1,5000
5,3,331,1,516,6,1,1,1,10000000
5,3,331,1,516,7,1,1,2,8000000
5,3,331,1,2322,1,1,1,1,10000000
5,3,331,1,2322,2,1,2,1,5000
5,3,331,1,2322,3,2,4,,
5,3,331,1,2322,4,1,4,,
5,3,331,1,2322,5,1,1,1,4000
5,3,331,1,2322,6,1,1,1,8000000
5,3,331,1,2322,7,1,1,2,8000000
4,4,401,1,738,1,1,2,1,
4,4,401,1,738,2,1,2,1,
4,4,401,1,738,3,2,,,
4,4,401,1,738,4,1,2,1,
4,4,401,1,738,5,1,1,1,
4,4,401,1,738,6,1,2,1,300000
4,4,401,1,738,7,1,2,1,
4,4,401,1,1460,1,1,2,1,
4,4,401,1,1460,2,1,3,1,
4,4,401,1,1460,3,1,2,1,
4,4,401,1,1460,4,1,2,1,
4,4,401,1,1460,5,1,2,1,3000
4,4,401,1,1460,6,1,3,1,400000
4,4,401,1,1460,7,1,2,1,
4,4,401,2,2106,1,1,2,1,
4,4,401,2,2106,2,1,2,1,
4,4,401,2,2106,3,1,2,1,
4,4,401,2,2106,4,1,2,1,
4,4,401,2,2106,5,1,2,1,2000
4,4,401,2,2106,6,1,2,1,4000000
4,4,401,2,2106,7,1,2,1,
4,4,402,2,1080,1,1,1,2,
4,4,402,2,1080,2,1,1,1,
4,4,402,2,1080,3,2,,,
4,4,402,2,1080,4,1,1,2,4000
4,4,402,2,1080,5,1,1,2,5000
4,4,402,2,1080,6,1,1,2,8000000
4,4,402,2,1080,7,1,1,2,
4,4,403,2,836,1,1,1,2,
4,4,403,2,836,2,1,1,1,
4,4,403,2,836,3,2,,,
4,4,403,2,836,4,1,1,2,4500
4,4,403,2,836,5,1,1,2,5000
4,4,403,2,836,6,1,1,2,8000000
4,4,403,2,836,7,1,1,2,
4,4,405,2,484,1,1,1,1,
4,4,405,2,484,2,1,3,1,5000
4,4,405,2,484,3,1,3,1,
4,4,405,2,484,4,1,3,1,5000
4,4,405,2,484,5,1,1,1,5000
4,4,405,2,484,6,1,1,1,500000
