"zone","state","lga","sector","ea","hhid","plotid","cropid","sa3q1","sa3q2","sa3q3","sa3q4","sa3q4b","sa3q5a","sa3q5b","sa3q6a","sa3q6b","sa3q7","sa3q8a","sa3q8b","sa3q9","sa3q10","sa3q11a","sa3q11b","sa3q12","sa3q13","sa3q14","sa3q15a","sa3q15b","sa3q15c","sa3q16a","sa3q16b","sa3q17","sa3q18","sa3q19a","sa3q19b","sa3q20a","sa3q20b","sa3q21a","sa3q21b","sa3q22a","sa3q22b","sa3q23a","sa3q23b","trackingobs"
4,1,104,2,1364,10019,1,1,"WATER YAM",1123,1,,,2000,1,12,11,2,,,2,,,,,,,,,,,,,72000,0,,11,11,1,11,0,,0,,0
4,1,104,2,1364,10019,1,2,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10019,1,3,"MAIZE",1080,1,,,,,20,32,2,,,1,"N1",6,32,6000,1,1,"N2",,,7,32,7000,20000,2,32,2,32,0,,2,32,1,32,0
4,1,104,2,1364,10019,1,4,"PUMKIN",2191,1,,,,,4,61,2,,,1,"N1",4,61,2000,1,2,,,,,,,2000,0,,0,,0,,0,,0,,0
4,1,104,2,1364,10019,1,5,"PEPPER",2140,1,,,,,2,31,2,,,1,"N1",2,31,2000,1,2,,,,,,,2000,0,,0,,0,,0,,0,,0
4,1,104,2,1364,10019,2,1,"WHITE YAM",1121,1,,,2000,1,13,11,2,,,2,,,,,,,,,,,,,78000,0,,12,11,1,11,0,,0,,0
4,1,104,2,1364,10019,2,2,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10019,2,3,"MAIZE",1080,1,,,,,26,32,2,,,1,"N1",14,32,14000,1,1,"N2",,,6,32,6000,26000,2,32,2,32,0,,1,32,1,32,0
4,1,104,2,1364,10019,2,4,"PUMKIN LEAVE",2191,1,,,,,3,61,2,,,1,"N1",3,61,1500,1,2,,,,,,,1500,0,,0,,0,,0,,0,,0
4,1,104,2,1364,10019,2,5,"PEPPER",2140,1,,,,,2,31,2,,,1,"N1",2,31,2000,1,2,,,,,,,2000,0,,0,,0,,0,,0,,0
4,1,106,2,880,10021,1,1,"PINAPPLE",2160,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10021,2,1,"PINAPPLE",2160,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10021,3,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10021,3,2,"MAIZE",1080,1,,,1000,3,20,22,2,,,1,"N1",15,22,6000,1,1,"N1",,,15,22,6000,9500,0,,2,22,0,,1,22,0,,0
4,1,106,2,880,10021,3,3,"GARDEN EGG",2080,1,,,1000,3,12,21,2,,,1,"N1",12,21,3500,1,1,"N1",,,12,21,3500,3500,0,,0,,0,,0,,0,,0
4,1,106,2,880,10021,4,1,"YAM",1120,1,,,500,3,5,12,2,,,1,"N2",2,12,10000,1,1,"N2",,,2,12,10000,15000,0,,3,12,0,,0,,0,,0
4,1,106,2,880,10021,4,2,"MAIZE",1080,1,,,1000,3,15,22,2,,,1,"N3",15,22,3750,1,1,"N3",,,15,22,3750,3750,0,,0,,0,,0,,0,,0
4,1,106,2,880,10021,4,3,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10021,4,4,"PUMKIN",2193,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,1,1,"YAM",1120,1,,,300,1,6,31,2,,,1,"N1",1,31,2000,1,1,"N1",,,1,31,2000,3500,0,,3,31,0,,0,,0,,0
4,1,106,2,880,10022,1,2,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,1,3,"PUMKIN",2193,1,,,2000,3,20,61,2,,,1,"N2",18,61,900,1,1,"N2",,,18,61,900,1850,0,,0,,0,,0,,0,,0
