"zone","state","lga","sector","ea","hhid","network_cd","sa10q2a","sa10q2b","sa10q3","trackingobs"
2,2,216,2,200,20031,"N16",,,,0
2,2,216,2,200,20031,"N17",,,,0
2,2,216,2,200,20031,"N18",,,,0
2,2,216,2,200,20031,"N19",,,,0
2,2,216,2,200,20031,"N2",9,,3,0
2,2,216,2,200,20031,"N20",,,,0
2,2,216,2,200,20031,"N21",,,,0
2,2,216,2,200,20031,"N22",,,,0
2,2,216,2,200,20031,"N23",,,,0
2,2,216,2,200,20031,"N24",,,,0
2,2,216,2,200,20031,"N25",,,,0
2,2,216,2,200,20031,"N26",,,,0
2,2,216,2,200,20031,"N27",,,,0
2,2,216,2,200,20031,"N28",,,,0
2,2,216,2,200,20031,"N29",,,,0
2,2,216,2,200,20031,"N3",,,,0
2,2,216,2,200,20031,"N30",,,,0
2,2,216,2,200,20031,"N4",,,,0
2,2,216,2,200,20031,"N5",,,,0
2,2,216,2,200,20031,"N6",,,,0
2,2,216,2,200,20031,"N7",,,,0
2,2,216,2,200,20031,"N8",,,,0
2,2,216,2,200,20031,"N9",,,,0
2,2,216,2,200,20032,"N1",9,,2,0
2,2,216,2,200,20032,"N10",,,,0
2,2,216,2,200,20032,"N11",,,,0
2,2,216,2,200,20032,"N12",,,,0
2,2,216,2,200,20032,"N13",,,,0
2,2,216,2,200,20032,"N14",,,,0
2,2,216,2,200,20032,"N15",,,,0
2,2,216,2,200,20032,"N16",,,,0
2,2,216,2,200,20032,"N17",,,,0
2,2,216,2,200,20032,"N18",,,,0
2,2,216,2,200,20032,"N19",,,,0
2,2,216,2,200,20032,"N2",,,,0
2,2,216,2,200,20032,"N20",,,,0
2,2,216,2,200,20032,"N21",,,,0
2,2,216,2,200,20032,"N22",,,,0
2,2,216,2,200,20032,"N23",,,,0
2,2,216,2,200,20032,"N24",,,,0
2,2,216,2,200,20032,"N25",,,,0
2,2,216,2,200,20032,"N26",,,,0
2,2,216,2,200,20032,"N27",,,,0
2,2,216,2,200,20032,"N28",,,,0
2,2,216,2,200,20032,"N29",,,,0
2,2,216,2,200,20032,"N3",,,,0
2,2,216,2,200,20032,"N30",,,,0
2,2,216,2,200,20032,"N4",,,,0
2,2,216,2,200,20032,"N5",,,,0
2,2,216,2,200,20032,"N6",,,,0
2,2,216,2,200,20032,"N7",,,,0
2,2,216,2,200,20032,"N8",,,,0
2,2,216,2,200,20032,"N9",,,,0
2,2,216,2,200,20033,"N1",1,,1,0
2,2,216,2,200,20033,"N10",,,,0
2,2,216,2,200,20033,"N11",,,,0
2,2,216,2,200,20033,"N12",,,,0
2,2,216,2,200,20033,"N13",,,,0
2,2,216,2,200,20033,"N14",,,,0
2,2,216,2,200,20033,"N15",,,,0
2,2,216,2,200,20033,"N16",,,,0
2,2,216,2,200,20033,"N17",,,,0
2,2,216,2,200,20033,"N18",,,,0
2,2,216,2,200,20033,"N19",,,,0
2,2,216,2,200,20033,"N2",9,,2,0
2,2,216,2,200,20033,"N20",,,,0
2,2,216,2,200,20033,"N21",,,,0
2,2,216,2,200,20033,"N22",,,,0
2,2,216,2,200,20033,"N23",,,,0
2,2,216,2,200,20033,"N24",,,,0
2,2,216,2,200,20033,"N25",,,,0
2,2,216,2,200,20033,"N26",,,,0
2,2,216,2,200,20033,"N27",,,,0
2,2,216,2,200,20033,"N28",,,,0
2,2,216,2,200,20033,"N29",,,,0
2,2,216,2,200,20033,"N3",10,,2,0
2,2,216,2,200,20033,"N30",,,,0
2,2,216,2,200,20033,"N4",,,,0
2,2,216,2,200,20033,"N5",,,,0
2,2,216,2,200,20033,"N6",,,,0
2,2,216,2,200,20033,"N7",,,,0
2,2,216,2,200,20033,"N8",,,,0
2,2,216,2,200,20033,"N9",,,,0
2,2,216,2,200,20034,"N1",9,,1,0
2,2,216,2,200,20034,"N10",,,,0
2,2,216,2,200,20034,"N11",,,,0
2,2,216,2,200,20034,"N12",,,,0
2,2,216,2,200,20034,"N13",,,,0
2,2,216,2,200,20034,"N14",,,,0
2,2,216,2,200,20034,"N15",,,,0
2,2,216,2,200,20034,"N16",,,,0
2,2,216,2,200,20034,"N17",,,,0
2,2,216,2,200,20034,"N18",,,,0
2,2,216,2,200,20034,"N19",,,,0
2,2,216,2,200,20034,"N2",,,,0
2,2,216,2,200,20034,"N20",,,,0
2,2,216,2,200,20034,"N21",,,,0
2,2,216,2,200,20034,"N22",,,,0
2,2,216,2,200,20034,"N23",,,,0
2,2,216,2,200,20034,"N24",,,,0
2,2,216,2,200,20034,"N25",,,,0
2,2,216,2,200,20034,"N26",,,,0
2,2,216,2,200,20034,"N27",,,,0
2,2,216,2,200,20034,"N28",,,,0
2,2,216,2,200,20034,"N29",,,,0
2,2,216,2,200,20034,"N3",,,,0
2,2,216,2,200,20034,"N30",,,,0
2,2,216,2,200,20034,"N4",,,,0
2,2,216,2,200,20034,"N5",,,,0
2,2,216,2,200,20034,"N6",,,,0
2,2,216,2,200,20034,"N7",,,,0
2,2,216,2,200,20034,"N8",,,,0
2,2,216,2,200,20034,"N9",,,,0
2,2,216,2,200,20035,"N1",1,,1,0
2,2,216,2,200,20035,"N10",,,,0
2,2,216,2,200,20035,"N11",,,,0
2,2,216,2,200,20035,"N12",,,,0
2,2,216,2,200,20035,"N13",,,,0
2,2,216,2,200,20035,"N14",,,,0
2,2,216,2,200,20035,"N15",,,,0
2,2,216,2,200,20035,"N16",,,,0
2,2,216,2,200,20035,"N17",,,,0
2,2,216,2,200,20035,"N18",,,,0
2,2,216,2,200,20035,"N19",,,,0
2,2,216,2,200,20035,"N2",2,,2,0
2,2,216,2,200,20035,"N20",,,,0
2,2,216,2,200,20035,"N21",,,,0
2,2,216,2,200,20035,"N22",,,,0
2,2,216,2,200,20035,"N23",,,,0
2,2,216,2,200,20035,"N24",,,,0
2,2,216,2,200,20035,"N25",,,,0
2,2,216,2,200,20035,"N26",,,,0
2,2,216,2,200,20035,"N27",,,,0
2,2,216,2,200,20035,"N28",,,,0
2,2,216,2,200,20035,"N29",,,,0
2,2,216,2,200,20035,"N3",7,,1,0
2,2,216,2,200,20035,"N30",,,,0
2,2,216,2,200,20035,"N4",,,,0
2,2,216,2,200,20035,"N5",,,,0
2,2,216,2,200,20035,"N6",,,,0
2,2,216,2,200,20035,"N7",,,,0
2,2,216,2,200,20035,"N8",,,,0
2,2,216,2,200,20035,"N9",,,,0
2,2,216,2,200,20036,"N1",,,,0
2,2,216,2,200,20036,"N10",,,,0
2,2,216,2,200,20036,"N11",,,,0
2,2,216,2,200,20036,"N12",,,,0
2,2,216,2,200,20036,"N13",,,,0
2,2,216,2,200,20036,"N14",,,,0
2,2,216,2,200,20036,"N15",,,,0
2,2,216,2,200,20036,"N16",,,,0
2,2,216,2,200,20036,"N17",,,,0
2,2,216,2,200,20036,"N18",,,,0
2,2,216,2,200,20036,"N19",,,,0
2,2,216,2,200,20036,"N2",,,,0
2,2,216,2,200,20036,"N20",,,,0
2,2,216,2,200,20036,"N21",,,,0
2,2,216,2,200,20036,"N22",,,,0
2,2,216,2,200,20036,"N23",,,,0
2,2,216,2,200,20036,"N24",,,,0
2,2,216,2,200,20036,"N25",,,,0
2,2,216,2,200,20036,"N26",,,,0
2,2,216,2,200,20036,"N27",,,,0
2,2,216,2,200,20036,"N28",,,,0
2,2,216,2,200,20036,"N29",,,,0
2,2,216,2,200,20036,"N3",,,,0
2,2,216,2,200,20036,"N30",,,,0
2,2,216,2,200,20036,"N4",,,,0
2,2,216,2,200,20036,"N5",,,,0
2,2,216,2,200,20036,"N6",,,,0
2,2,216,2,200,20036,"N7",,,,0
2,2,216,2,200,20036,"N8",,,,0
2,2,216,2,200,20036,"N9",,,,0
2,2,216,2,200,20037,"N1",9,,2,0
2,2,216,2,200,20037,"N10",,,,0
2,2,216,2,200,20037,"N11",,,,0
2,2,216,2,200,20037,"N12",,,,0
2,2,216,2,200,20037,"N13",,,,0
2,2,216,2,200,20037,"N14",,,,0
2,2,216,2,200,20037,"N15",,,,0
2,2,216,2,200,20037,"N16",,,,0
2,2,216,2,200,20037,"N17",,,,0
2,2,216,2,200,20037,"N18",,,,0
2,2,216,2,200,20037,"N19",,,,0
2,2,216,2,200,20037,"N2",9,,2,0
2,2,216,2,200,20037,"N20",,,,0
2,2,216,2,200,20037,"N21",,,,0
2,2,216,2,200,20037,"N22",,,,0
2,2,216,2,200,20037,"N23",,,,0
2,2,216,2,200,20037,"N24",,,,0
2,2,216,2,200,20037,"N25",,,,0
2,2,216,2,200,20037,"N26",,,,0
2,2,216,2,200,20037,"N27",,,,0
2,2,216,2,200,20037,"N28",,,,0
2,2,216,2,200,20037,"N29",,,,0
2,2,216,2,200,20037,"N3",,,,0
2,2,216,2,200,20037,"N30",,,,0
2,2,216,2,200,20037,"N4",,,,0
2,2,216,2,200,20037,"N5",,,,0
2,2,216,2,200,20037,"N6",,,,0
2,2,216,2,200,20037,"N7",,,,0
2,2,216,2,200,20037,"N8",,,,0
2,2,216,2,200,20037,"N9",,,,0
2,2,216,2,200,20038,"N1",2,,1,0
2,2,216,2,200,20038,"N10",,,,0
2,2,216,2,200,20038,"N11",,,,0
2,2,216,2,200,20038,"N12",,,,0
2,2,216,2,200,20038,"N13",,,,0
2,2,216,2,200,20038,"N14",,,,0
2,2,216,2,200,20038,"N15",,,,0
2,2,216,2,200,20038,"N16",,,,0
2,2,216,2,200,20038,"N17",,,,0
2,2,216,2,200,20038,"N18",,,,0
2,2,216,2,200,20038,"N19",,,,0
2,2,216,2,200,20038,"N2",1,,1,0
2,2,216,2,200,20038,"N20",,,,0
2,2,216,2,200,20038,"N21",,,,0
2,2,216,2,200,20038,"N22",,,,0
2,2,216,2,200,20038,"N23",,,,0
2,2,216,2,200,20038,"N24",,,,0
2,2,216,2,200,20038,"N25",,,,0
2,2,216,2,200,20038,"N26",,,,0
2,2,216,2,200,20038,"N27",,,,0
2,2,216,2,200,20038,"N28",,,,0
2,2,216,2,200,20038,"N29",,,,0
2,2,216,2,200,20038,"N3",8,,2,0
2,2,216,2,200,20038,"N30",,,,0
2,2,216,2,200,20038,"N4",,,,0
2,2,216,2,200,20038,"N5",,,,0
2,2,216,2,200,20038,"N6",,,,0
2,2,216,2,200,20038,"N7",,,,0
2,2,216,2,200,20038,"N8",,,,0
2,2,216,2,200,20038,"N9",,,,0
2,2,216,2,200,20039,"N1",1,,1,0
2,2,216,2,200,20039,"N10",,,,0
2,2,216,2,200,20039,"N11",,,,0
2,2,216,2,200,20039,"N12",,,,0
2,2,216,2,200,20039,"N13",,,,0
2,2,216,2,200,20039,"N14",,,,0
2,2,216,2,200,20039,"N15",,,,0
2,2,216,2,200,20039,"N16",,,,0
2,2,216,2,200,20039,"N17",,,,0
2,2,216,2,200,20039,"N18",,,,0
2,2,216,2,200,20039,"N19",,,,0
2,2,216,2,200,20039,"N2",2,,1,0
2,2,216,2,200,20039,"N20",,,,0
2,2,216,2,200,20039,"N21",,,,0
2,2,216,2,200,20039,"N22",,,,0
2,2,216,2,200,20039,"N23",,,,0
2,2,216,2,200,20039,"N24",,,,0
2,2,216,2,200,20039,"N25",,,,0
2,2,216,2,200,20039,"N26",,,,0
2,2,216,2,200,20039,"N27",,,,0
2,2,216,2,200,20039,"N28",,,,0
2,2,216,2,200,20039,"N29",,,,0
2,2,216,2,200,20039,"N3",9,,2,0
2,2,216,2,200,20039,"N30",,,,0
