"zone","state","lga","sector","ea","hhid","plotid","sa2q1a1","sa2q1a2","sa2q1a3","sa2q1a4","sa2q1b1","sa2q1b2","sa2q1b3","sa2q1b4","sa2q1c1","sa2q1c2","sa2q1c3","sa2q1c4","sa2q1d1","sa2q1d2","sa2q1d3","sa2q1d4","sa2q2","sa2q3","sa2q4","sa2q5","sa2q6","sa2q7","sa2q8","sa2q9","sa2q10","sa2q11a","sa2q11b","sa2q11c","sa2q12a","sa2q12b","sa2q12c","sa2q13a","sa2q13b","sa2q13c"
4,1,111,1,1146,10039,1,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,107,2,1044,10061,1,1,10,2,5,2,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,2,1,6,3,6,2,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,3,1,6,3,6,2,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10062,1,1,1,2,6,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10062,2,1,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10062,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10062,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10062,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10063,1,1,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10063,2,1,,,,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10063,3,1,,,,,,,,3,3,4,5,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10063,4,1,,,,,,,,,,,,3,3,4,5,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10064,1,1,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10064,2,1,,,,1,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10064,3,1,,,,,,,,1,4,5,3,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10065,1,2,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10065,2,1,,,,3,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10065,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10066,1,2,37,6,6,6,30,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10066,2,2,37,6,6,6,30,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10066,3,2,37,6,6,6,30,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10066,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10067,1,1,36,5,6,2,36,5,6,4,36,3,3,5,36,3,3,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,,
4,1,107,2,1044,10067,2,1,36,5,6,2,36,5,6,4,36,3,3,5,36,3,3,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,,
4,1,107,2,1044,10067,3,1,36,5,6,2,36,5,6,4,36,3,3,5,36,3,3,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,,
4,1,107,2,1044,10067,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10068,1,2,36,4,6,3,18,3,4,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,107,2,1044,10068,2,2,36,4,6,3,18,3,4,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,107,2,1044,10068,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10069,1,2,12,2,2,,,,,,,,,,,,,1,2,,,,,,,,,,,0,0,0,,,
4,1,107,2,1044,10069,2,2,,,,3,8,1,1,,,,,,,,,,,,2,1,,,,,,,,0,0,0,,,
4,1,107,2,1044,10069,3,2,,,,,,,,4,4,1,1,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,107,2,1044,10070,1,2,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,107,2,1044,10070,2,2,,,,4,1,1,2,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,107,2,1044,10070,3,2,,,,,,,,5,1,1,2,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,117,2,560,10071,1,1,38,4,8,2,38,4,8,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,117,2,560,10071,2,1,38,4,8,2,38,4,8,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
