"zone","state","lga","sector","ea","hhid","item_cd","item_seq","sa4q2","sa4q3","sa4q4","sa4q5a","sa4q5b","sa4q5c","sa4q6","sa4q7","sa4q8","trackingobs"
4,1,107,2,1044,10065,319,2,1,3,350,2,3,,2,,,0
4,1,107,2,1044,10065,320,1,2,1,100,2,3,,2,,,0
4,1,107,2,1044,10065,320,2,2,3,150,2,3,,2,,,0
4,1,107,2,1044,10066,319,1,6,2,400,1,,,2,,,0
4,1,107,2,1044,10066,320,1,2,3,300,3,,,2,,,0
4,1,107,2,1044,10067,319,1,1,2,1000,1,4,,2,,,0
4,1,107,2,1044,10067,320,1,2,1,300,2,,,2,,,0
4,1,107,2,1044,10068,319,1,1,2,600,3,,,2,,,0
4,1,107,2,1044,10068,320,1,1,3,300,2,,,2,,,0
4,1,107,2,1044,10069,319,1,1,3,800,2,3,4,2,,,0
4,1,107,2,1044,10069,320,1,1,3,400,2,3,4,2,,,0
4,1,107,2,1044,10070,319,1,2,3,3000,4,5,6,2,,,0
4,1,107,2,1044,10070,320,1,2,3,1500,4,5,6,2,,,0
4,1,117,2,560,10071,319,1,1,2,500,1,,,2,,,0
4,1,117,2,560,10071,320,1,2,3,300,2,,,2,,,0
4,1,117,2,560,10072,319,1,1,3,700,1,2,,2,,,0
4,1,117,2,560,10072,320,1,2,2,300,2,1,,2,,,0
4,1,117,2,560,10073,319,1,1,5,200,1,,,2,,,0
4,1,117,2,560,10073,320,1,1,3,150,1,,,2,,,0
4,1,117,2,560,10073,320,2,1,4,400,1,,,2,,,0
4,1,117,2,560,10074,319,1,1,2,200,1,2,3,2,,,0
4,1,117,2,560,10074,319,2,1,5,500,1,2,3,2,,,0
4,1,117,2,560,10074,320,1,1,2,200,1,2,3,2,,,0
4,1,117,2,560,10074,320,2,1,3,300,1,2,3,2,,,0
4,1,117,2,560,10074,320,3,1,4,400,1,2,3,2,,,0
4,1,117,2,560,10074,320,4,1,5,500,1,2,3,2,,,0
4,1,117,2,560,10075,319,1,1,7,200,2,,,2,,,0
4,1,117,2,560,10075,320,1,1,5,200,2,,,2,,,0
4,1,117,2,560,10076,319,1,1,4,300,2,,,2,,,0
4,1,117,2,560,10076,320,1,1,6,250,2,,,2,,,0
4,1,117,2,560,10077,319,1,1,5,200,1,,,2,,,0
4,1,117,2,560,10077,320,1,1,3,200,1,,,2,,,0
4,1,117,2,560,10078,318,1,1,0,7000,1,2,3,2,,,0
4,1,117,2,560,10078,319,1,1,0,400,1,2,3,2,,,0
4,1,117,2,560,10078,320,1,1,0,300,1,2,3,2,,,0
4,1,117,2,560,10079,318,1,1,0,7000,1,2,,2,,,0
4,1,117,2,560,10079,319,1,2,0,500,1,2,,2,,,0
4,1,117,2,560,10079,320,1,2,0,450,1,2,,2,,,0
4,1,117,2,560,10080,319,1,1,2,400,2,3,4,2,,,0
4,1,117,2,560,10080,320,1,1,2,300,2,3,4,2,,,0
4,1,110,2,76,10084,319,1,1,4,200,1,,,2,,,0
4,1,110,2,76,10084,320,1,1,2,100,1,,,2,,,0
