"zone","state","lga","sector","ea","hhid","byprod_cd","sa8q1a","sa8q2","sa8q3a","sa8q3b","sa8q4","sa8q5a","sa8q5b","sa8q6"
4,11,1107,2,1034,110093,2,1,2,10,4,2,,,
4,11,1107,2,1034,110094,2,1,2,8,4,2,,,
4,11,1107,2,1034,110095,2,1,2,29,4,2,,,
4,11,1107,2,1034,110096,2,1,2,15,4,2,,,
4,11,1107,2,1034,110097,2,1,2,16,4,2,,,
4,11,1107,2,1034,110098,2,1,2,10,4,2,,,
4,11,1107,2,1034,110099,2,1,2,13,4,2,,,
4,11,1107,2,1034,110100,2,1,2,15,4,2,,,
4,11,1109,2,672,110101,2,1,2,14,4,2,,,
4,11,1109,2,672,110102,2,1,2,10,4,2,,,
4,11,1109,2,672,110103,2,1,2,12,4,2,,,
4,11,1109,2,672,110105,2,1,2,10,4,2,,,
4,11,1109,2,672,110106,2,1,2,18,4,2,,,
4,11,1109,2,672,110107,2,1,2,19,4,2,,,
4,11,1109,2,672,110108,2,1,2,15,4,2,,,
4,11,1109,2,672,110109,2,1,2,15,4,2,,,
4,11,1109,2,672,110110,2,1,2,33,4,2,,,
4,11,1113,2,954,110111,2,1,2,31,4,2,,,
4,11,1113,2,954,110112,2,1,2,11,4,2,,,
4,11,1113,2,954,110114,2,1,2,10,4,2,,,
4,11,1113,2,954,110115,2,1,2,9,4,2,,,
4,11,1113,2,954,110116,2,1,2,10,4,2,,,
4,11,1113,2,954,110117,2,1,2,10,4,1,4,4,120
4,11,1113,2,954,110118,2,1,2,16,4,2,,,
4,11,1113,2,954,110119,2,1,2,10,4,2,,,
4,11,1113,2,954,110120,2,1,2,14,4,2,,,
4,11,1102,2,936,110122,2,1,2,10,4,2,,,
4,11,1102,2,936,110123,2,1,2,12,4,2,,,
4,11,1102,2,936,110127,2,1,2,10,4,2,,,
4,11,1102,2,936,110129,2,1,2,10,4,2,,,
4,11,1101,2,154,110131,2,1,2,12,4,2,,,
4,11,1101,2,154,110132,2,1,2,16,4,2,,,
4,11,1101,2,154,110133,2,1,2,14,4,2,,,
4,11,1101,2,154,110134,2,1,2,16,4,2,,,
4,11,1101,2,154,110135,2,1,2,16,4,2,,,
4,11,1101,2,154,110136,2,1,2,38,4,2,,,
4,11,1101,2,154,110137,2,1,2,22,4,2,,,
4,11,1101,2,154,110138,2,1,2,8,4,2,,,
4,11,1101,2,154,110139,2,1,2,13,4,2,,,
5,12,1208,2,526,120047,2,1,2,10,4,2,,,
5,12,1208,2,526,120047,5,1,4,20,4,2,,,
5,12,1216,2,618,120052,2,1,4,280,2,2,,,
5,12,1216,2,618,120052,5,1,1,8,1,2,,,
5,12,1216,2,618,120058,2,1,1,10,4,2,,,
5,12,1210,2,462,120063,2,1,2,2,5,2,,,
5,12,1210,2,462,120064,2,1,2,12,4,2,,,
5,12,1210,2,462,120064,5,1,5,1,3,2,,,
5,12,1210,2,462,120068,2,1,1,5,4,2,,,
5,12,1210,2,462,120068,5,1,1,2,1,2,,,
5,12,1214,2,452,120094,5,1,1,15,4,2,,,
5,12,1214,2,452,120098,5,1,,2,3,2,,,
5,12,1214,2,452,120100,2,1,4,30,4,,,,
5,12,1214,2,452,120100,5,1,4,4,2,,,,
4,14,1401,2,1116,140007,7,1,6,50,1,1,40,1,15000
4,14,1408,2,1996,140027,7,1,6,100,1,1,80,1,50000
2,15,1502,2,590,150032,1,1,5,120,1,1,80,1,12000
2,15,1502,2,590,150038,1,1,5,250,1,1,200,1,30000
2,15,1506,1,148,150077,1,1,,200,1,1,150,1,60000
4,16,1620,2,106,160078,2,1,5,30,5,1,150,5,105000
4,16,1618,2,1060,160088,7,1,6,120,1,1,120,1,10000
4,16,1605,2,180,160149,7,1,6,80,1,1,80,1,10500
3,17,1706,2,284,170001,1,1,5,60,1,1,50,1,4000
3,17,1722,2,96,170041,1,1,,20,1,1,18,1,500
3,17,1722,2,96,170041,2,1,4,3,5,1,2,5,1400
3,18,1805,2,534,180058,1,1,1,1,1,1,1,1,300
3,18,1805,2,534,180059,1,1,6,12,1,1,6,1,4000
3,18,1814,2,678,180112,1,1,6,90,1,1,75,1,9000
3,18,1814,2,678,180113,1,1,6,40,1,1,35,1,6000
3,18,1814,2,678,180115,8,1,6,13,1,1,78,1,17160
3,18,1814,2,678,180117,1,1,6,72,1,1,50,1,7200
3,19,1943,2,668,190024,2,1,2,2,5,1,1,5,700
3,19,1901,2,640,190041,1,1,2,20,1,1,10,1,3000
3,19,1901,2,640,190041,2,1,3,5,1,1,2,5,7000
3,19,1936,2,1994,190064,1,1,4,20,2,1,12,1,1100
3,19,1936,2,1994,190064,2,1,4,5,5,1,4,5,2500
3,19,1936,2,1994,190065,1,1,3,20,1,1,15,1,2500
3,19,1936,2,1994,190065,2,1,2,4,3,1,4,3,900
3,19,1936,2,1994,190070,2,1,2,6,5,1,4,5,1200
3,19,1902,2,52,190078,2,1,1,2,5,1,2,5,600
3,19,1914,2,934,190090,2,1,,3,5,1,3,5,1000
3,20,2018,2,1134,200018,1,1,6,400,1,1,300,1,4700
3,20,2008,2,1474,200141,1,1,3,20,1,1,15,1,2500
3,20,2008,2,1474,200141,2,1,1,2,5,1,2,5,1000
1,22,2211,2,594,220012,2,1,2,10,4,2,,,
1,22,2211,2,594,220012,5,1,3,20,4,1,6,,200000
1,22,2209,1,792,220046,2,1,4,360,2,2,,,
1,22,2209,1,792,220049,2,1,6,3,5,2,,,
1,22,2205,2,2432,220062,2,1,5,5,5,1,5,5,9000
1,22,2205,2,2432,220064,2,1,1,10,4,2,,,
1,22,2214,2,1354,220082,2,1,5,20,4,2,,,
1,23,2304,2,322,230074,2,1,,360,5,1,360,5,234000
1,23,2302,2,1982,230091,1,1,1,150,1,2,,,
1,23,2302,2,1982,230093,1,1,5,160,1,2,,,
1,23,2302,2,1982,230094,1,1,5,70,1,1,60,1,3800
1,23,2302,2,1982,230097,1,1,5,300,1,2,,,
1,23,2302,2,1982,230098,1,1,5,80,1,1,60,1,5000
1,23,2302,2,1982,230099,1,1,6,200,1,2,,,
1,23,2302,2,1982,230100,1,1,5,50,1,1,40,1,3500
1,25,2502,2,728,250054,1,1,6,25,1,2,,,
1,25,2502,2,728,250057,1,1,6,80,1,1,60,1,26000
1,25,2502,2,728,250058,1,1,6,20,1,1,18,1,20000
1,26,2618,2,1276,260023,2,1,1,9,4,2,,,
1,26,2618,2,1276,260024,2,1,1,10,4,2,,,
1,26,2618,2,494,260031,2,1,2,16,3,2,,,
1,26,2618,2,494,260039,2,1,1,8,4,2,,,
1,26,2615,2,2196,260051,1,1,6,40,1,2,,,
1,26,2615,2,2196,260052,1,1,,170,1,1,110,1,12000
1,26,2615,2,2196,260053,1,1,1,200,1,2,,,
1,26,2615,2,2196,260054,1,1,,500,1,2,,,
1,26,2615,2,2196,260056,1,1,6,30,1,2,,,
1,26,2615,2,2196,260058,1,1,6,20,1,2,,,
1,26,2615,2,2196,260060,1,1,6,25,1,2,,,
1,26,2615,2,2196,260060,2,1,2,16,3,2,,,
1,26,2621,2,100,260071,1,1,6,40,1,2,,,
1,26,2621,2,100,260071,2,1,4,3,5,2,,,
1,26,2621,2,100,260072,1,1,6,30,1,2,,,
1,26,2621,2,100,260073,1,1,6,70,1,2,,,
1,26,2621,2,100,260074,1,1,6,60,1,2,,,
1,26,2621,2,100,260075,1,1,6,40,1,2,,,
1,26,2621,2,100,260077,1,1,6,56,1,2,,,
1,26,2621,2,100,260077,2,1,1,10,4,2,,,
1,26,2621,2,100,260078,1,1,6,245,1,2,,,
1,26,2621,2,100,260078,2,1,1,8,4,2,,,
1,26,2621,2,100,260079,1,1,6,20,1,2,,,
1,26,2621,2,100,260079,2,1,2,1,5,2,,,
1,26,2621,2,100,260080,1,1,6,45,1,2,,,
1,26,2621,2,100,260080,2,1,2,35,4,2,,,
1,26,2605,2,594,260098,2,1,1,30,,1,18,4,360
1,26,2605,2,594,260100,2,1,6,4,5,2,,,
1,26,2601,2,822,260145,1,1,3,30,1,1,25,1,5000
1,26,2601,2,822,260148,1,1,5,30,1,1,25,1,6700
6,28,2802,2,566,280042,2,1,0,12,4,2,,,
6,28,2811,2,588,280054,2,1,4,2,5,2,,,
6,28,2813,2,612,280118,2,1,,5,5,2,,,
6,29,2911,2,1870,290102,8,1,1,43,3,2,,,
6,29,2911,2,1870,290103,8,1,2,30,3,2,,,
6,29,2911,2,1870,290105,8,1,1,50,3,2,,,
6,29,2914,1,214,290163,2,1,3,20,4,2,,,
6,29,2920,2,1628,290177,5,1,6,5,3,2,,,
6,29,2920,2,1628,290180,8,1,2,50,1,2,,,
6,30,3018,2,914,300030,1,1,6,50,1,2,,,
6,30,3018,2,914,300030,2,1,2,2,5,2,,,
6,30,3018,2,914,300030,8,1,6,20,3,1,10,3,6000
