"zone","state","lga","sector","ea","resource_cd","resource_specify","c4q1","c4q2","c4q3","c4q4a","c4q4b","c4q4c","c4q4d","c4q5a","c4q5b","c4q5c"
4,4,401,2,2106,403,,2,,,,,,,,,
4,4,401,2,2106,404,,2,,,,,,,,,
4,4,402,2,1080,401,,1,1,1,1,3,2,,1,2,5
4,4,402,2,1080,402,,1,1,1,1,3,2,,1,5,2
4,4,402,2,1080,403,,2,,,,,,,,,
4,4,402,2,1080,404,,2,,,,,,,,,
4,4,402,2,1080,405,,2,,,,,,,,,
4,4,403,2,836,401,,1,1,1,2,1,3,,1,2,5
4,4,403,2,836,402,,1,1,1,2,1,3,,1,2,5
4,4,403,2,836,403,,2,,,,,,,,,
4,4,403,2,836,404,,2,,,,,,,,,
4,4,403,2,836,405,,2,,,,,,,,,
4,4,405,2,484,401,,1,1,1,3,2,1,,1,2,7
4,4,405,2,484,402,,2,,,,,,,,,
4,4,405,2,484,403,,2,,,,,,,,,
4,4,405,2,484,404,,2,,,,,,,,,
4,4,405,2,484,405,,2,,,,,,,,,
4,4,405,2,722,401,,1,1,1,3,2,1,,1,2,3
4,4,405,2,722,402,,2,,,,,,,,,
4,4,405,2,722,403,,2,,,,,,,,,
4,4,405,2,722,404,,2,,,,,,,,,
4,4,405,2,722,405,,2,,,,,,,,,
4,4,407,2,796,401,,1,1,1,2,1,3,,1,2,3
4,4,407,2,796,402,,2,,,,,,,,,
4,4,407,2,796,403,,2,,,,,,,,,
4,4,407,2,796,404,,2,,,,,,,,,
4,4,407,2,796,405,,2,,,,,,,,,
4,4,410,1,3192,401,,2,,,,,,,,,
4,4,410,1,3192,402,,2,,,,,,,,,
4,4,410,1,3192,403,,2,,,,,,,,,
4,4,410,1,3192,404,,2,,,,,,,,,
4,4,410,1,3192,405,,2,,,,,,,,,
4,4,410,1,3414,401,,2,,,,,,,,,
4,4,410,1,3414,402,,2,,,,,,,,,
4,4,410,1,3414,403,,2,,,,,,,,,
4,4,410,1,3414,404,,2,,,,,,,,,
4,4,410,1,3414,405,,2,,,,,,,,,
4,4,410,2,4036,401,,1,1,1,1,2,3,,1,2,5
