"zone","state","sector","lga","ea","serial_no","c1q2","c1q3","c1q4a","c1q4b","c1q4c","c1q5","c1q6"
5,6,1,608,3978,2,2,57,2,,,30,42
5,6,1,608,3978,3,1,37,11,,"CDC CHAIRMAN",20,26
5,6,1,608,3978,4,1,37,11,,"CDC SECRETARY",10,26
5,6,1,608,3978,5,1,54,11,,"FINANCIAL SECRETARY",38,26
5,6,1,608,3978,6,2,34,11,,"WOMEN LEADER",28,26
5,6,1,608,3978,7,1,28,11,,"YOUTH LEADER",20,26
5,6,1,608,3978,8,1,69,9,,"RELIGIOUS LEADER",30,26
5,6,1,608,3978,9,1,61,11,,"CDC ADVISER",30,16
1,7,2,701,606,1,1,40,1,,,40,16
1,7,2,701,606,2,1,41,2,,,41,26
1,7,2,701,606,3,2,42,8,,,42,0
1,7,2,701,606,4,2,50,8,,,50,16
1,7,2,701,606,5,1,27,5,,,18,34
1,7,2,702,632,1,1,74,1,,,74,0
1,7,2,702,632,2,1,65,11,,"VILLAGE CHAIRMAN",65,16
1,7,2,702,632,3,1,54,3,,,54,26
1,7,2,702,632,4,1,40,11,,"COMMUNITY SECRETARY",40,26
1,7,2,702,632,5,1,44,9,,,44,34
1,7,2,705,4186,1,1,49,1,1,,49,26
1,7,2,705,4186,2,2,44,2,2,,30,16
1,7,2,705,4186,3,1,52,3,3,,52,26
1,7,2,705,4186,4,1,60,9,9,,60,16
1,7,2,705,4186,5,1,51,5,5,,51,42
1,7,2,707,560,1,1,63,1,1,,63,0
1,7,2,707,560,2,1,40,5,5,,40,34
1,7,2,707,560,3,1,46,8,8,,46,16
1,7,2,707,560,4,1,46,4,4,,46,34
1,7,2,707,560,5,1,50,5,5,,50,34
1,7,2,707,560,6,1,53,5,5,,53,34
1,7,2,707,560,7,2,45,8,8,,30,15
1,7,2,708,754,1,1,42,1,1,,42,0
1,7,2,708,754,2,2,36,2,2,,22,16
1,7,2,708,754,3,1,47,11,11,"ELDER",20,16
1,7,2,708,754,4,1,52,4,4,,52,34
1,7,2,708,754,5,1,66,8,8,,66,0
1,7,2,709,1226,1,1,67,1,1,,67,16
1,7,2,709,1226,2,2,54,2,2,,54,0
1,7,2,709,1226,3,1,50,5,5,,7,26
1,7,2,709,1226,4,1,52,5,5,,52,31
1,7,2,709,1226,5,1,48,7,7,,6,41
1,7,2,709,1226,6,1,48,9,9,,46,42
1,7,2,710,2726,1,1,52,1,1,,52,21
1,7,2,710,2726,2,2,31,2,2,,3,16
1,7,2,710,2726,3,1,53,7,7,,11,16
1,7,2,710,2726,4,1,41,5,5,,8,34
1,7,2,710,2726,5,1,41,8,8,,41,23
1,7,2,711,2532,1,1,52,1,1,,52,16
1,7,2,711,2532,2,1,51,4,4,,51,34
1,7,2,711,2532,3,2,53,5,5,,40,41
1,7,2,711,2532,4,1,39,8,8,,39,26
1,7,2,711,2532,5,1,38,7,7,,38,26
1,7,2,713,304,1,1,75,1,,,75,0
1,7,2,713,304,2,1,30,11,,"YOUTH LEADER",30,41
1,7,2,713,304,3,1,35,8,,,35,26
1,7,2,713,304,4,2,45,8,,,28,0
1,7,2,713,304,5,2,27,8,,,27,26
1,7,1,715,294,1,1,54,1,,,34,26
1,7,1,715,294,2,1,44,3,,,12,26
1,7,1,715,294,3,1,42,5,,,15,34
1,7,1,715,294,4,2,37,8,,,37,26
1,7,1,715,294,5,1,62,9,,,34,41
1,7,2,715,780,1,1,33,1,,,33,26
1,7,2,715,780,2,2,27,2,,,9,16
1,7,2,715,780,3,1,40,5,,,40,34
1,7,2,715,780,4,2,30,8,,,30,16
1,7,2,715,780,5,1,30,9,,,30,16
1,7,2,717,1248,1,1,64,1,,,64,0
1,7,2,717,1248,2,1,42,3,,,34,26
1,7,2,717,1248,3,2,40,8,,,40,26
1,7,2,717,1248,4,1,48,9,,,40,41
1,7,2,717,1248,5,1,32,5,,,24,41
1,7,2,718,1640,1,1,35,1,,,35,26
1,7,2,718,1640,2,1,40,4,,,40,0
1,7,2,718,1640,3,1,37,11,,"LEAD FARMER",37,16
1,7,2,718,1640,4,2,24,2,,,20,23
1,7,2,718,1640,5,2,24,2,,,20,16
1,7,1,719,1612,1,1,71,1,,,12,41
1,7,1,719,1612,2,1,50,8,,,14,16
1,7,1,719,1612,3,2,70,8,,,20,0
1,7,1,719,1612,4,1,60,3,,,31,26
1,7,1,719,1612,5,2,35,2,,,12,26
1,7,1,719,1612,6,2,38,8,,,18,16
1,7,2,722,234,1,1,76,1,1,,76,0
1,7,2,722,234,2,1,76,11,11,,76,0
1,7,2,722,234,3,1,57,11,,,57,16
1,7,2,722,234,4,1,56,4,4,,56,42
1,7,2,722,234,5,1,60,11,11,,60,16
1,7,2,722,234,6,2,31,7,7,,15,41
1,7,2,722,892,1,1,61,1,,,61,14
1,7,2,722,892,2,1,76,3,3,,76,1
1,7,2,722,892,3,1,54,3,3,,54,23
1,7,2,722,892,4,2,38,3,3,,20,16
1,7,2,722,892,5,2,48,7,7,,30,41
2,8,2,802,1152,1,1,67,1,,,67,14
2,8,2,802,1152,2,1,63,3,,,63,14
2,8,2,802,1152,3,1,52,1,3,,52,13
2,8,2,802,1152,4,2,43,4,,,43,41
2,8,2,802,1152,5,1,49,8,,,49,34
2,8,2,802,1152,6,2,46,8,,,46,0
2,8,1,803,944,1,1,45,1,,,45,43
2,8,1,803,944,2,1,96,3,,,96,0
2,8,1,803,944,3,1,49,3,,,49,14
2,8,1,803,944,4,2,35,2,,,35,0
2,8,1,803,944,5,1,46,9,,,46,51
2,8,1,803,944,6,1,38,7,,,38,43
2,8,2,805,46,1,1,47,1,,,47,34
2,8,2,805,46,2,2,64,5,,,64,31
2,8,2,805,46,3,1,72,3,,,72,0
2,8,2,805,46,4,1,73,3,,,73,0
2,8,2,805,46,5,1,82,3,,,82,34
2,8,2,807,946,1,1,76,1,,,76,51
2,8,2,807,946,2,2,38,2,,,38,0
2,8,2,807,946,3,1,60,3,,,60,0
2,8,2,807,946,4,2,44,2,,,44,0
2,8,2,807,946,5,1,42,3,,,42,0
2,8,2,807,946,6,1,40,4,,,40,34
2,8,2,807,946,7,1,32,9,,,32,51
2,8,2,807,1438,1,1,72,1,,,72,0
2,8,2,807,1438,2,1,62,2,,,62,0
2,8,2,807,1438,3,1,81,2,,,81,0
2,8,2,807,1438,4,1,50,8,,,50,34
2,8,2,807,1438,5,2,38,8,,,21,0
2,8,2,807,1438,6,1,56,4,,,56,34
2,8,2,807,2396,1,1,49,1,,,49,16
2,8,2,807,2396,2,1,52,2,,,52,0
2,8,2,807,2396,3,2,41,3,,,41,0
2,8,2,807,2396,4,1,51,4,,,51,34
2,8,2,807,2396,5,1,49,9,,,49,51
2,8,2,807,2396,6,1,50,8,,,50,16
2,8,2,809,1748,1,1,51,1,,,51,51
2,8,2,809,1748,2,1,60,3,,,60,0
2,8,2,809,1748,3,2,42,2,,,42,0
2,8,2,809,1748,4,1,47,9,,,47,0
2,8,2,809,1748,5,1,35,8,,,35,0
2,8,2,811,390,1,1,54,1,,,54,51
2,8,2,811,390,2,2,32,2,,,32,0
2,8,2,811,390,3,1,41,1,3,,41,0
2,8,2,811,390,4,1,52,3,,,52,0
2,8,2,811,390,5,1,46,8,,,46,32
2,8,2,811,390,6,1,57,8,,,57,0
2,8,1,811,1558,1,1,46,1,,,46,34
2,8,1,811,1558,2,1,42,3,1,,42,41
2,8,1,811,1558,3,2,38,5,,,38,41
2,8,1,811,1558,4,1,72,8,3,,72,0
2,8,1,811,1558,5,1,80,8,3,,80,31
2,8,1,811,1558,6,1,35,3,,,35,41
2,8,2,812,866,1,1,98,1,,,98,14
2,8,2,812,866,2,2,68,3,,,68,0
2,8,2,812,866,3,1,58,3,,,58,26
2,8,2,812,866,4,1,66,4,3,,66,34
2,8,2,812,866,5,1,58,9,3,,58,26
2,8,2,813,2094,1,1,64,1,,,64,51
2,8,2,813,2094,2,2,53,8,,,50,0
2,8,2,813,2094,3,1,48,8,,,48,51
2,8,2,813,2094,4,1,49,9,,,49,51
2,8,2,813,2094,5,1,60,7,,,50,51
2,8,2,815,362,1,1,40,1,,,40,41
2,8,2,815,362,2,1,70,2,,,70,0
2,8,2,815,362,3,1,71,8,,,71,31
2,8,2,815,362,4,2,60,8,,,60,0
2,8,2,815,362,5,1,38,3,,,38,26
2,8,2,816,1270,1,1,61,1,,,61,14
2,8,2,816,1270,2,1,56,7,,,56,51
2,8,2,816,1270,3,1,52,9,,,52,51
2,8,2,816,1270,4,1,34,6,,,34,42
2,8,2,816,1270,5,1,31,8,,,31,24
2,8,1,817,2476,1,1,46,1,,,8,41
2,8,1,817,2476,2,1,49,3,,,10,26
2,8,1,817,2476,3,2,33,10,,,20,26
2,8,1,817,2476,4,1,50,10,,,7,16
2,8,1,817,2476,5,1,52,10,,,10,16
2,8,2,820,1030,1,1,42,1,,,42,0
2,8,2,820,1030,2,1,50,3,,,50,0
2,8,2,820,1030,3,2,33,2,,,33,0
2,8,2,820,1030,4,1,60,8,,,60,0
2,8,2,820,1030,5,1,32,9,,,32,51
2,8,1,821,5062,1,1,68,1,,,68,51
2,8,1,821,5062,2,1,70,3,,,35,51
2,8,1,821,5062,3,1,90,1,3,,50,51
2,8,1,821,5062,4,1,44,3,9,,19,51
2,8,1,821,5062,6,2,45,8,,,37,26
2,8,1,821,5062,7,2,46,2,,,46,51
2,8,2,823,548,1,1,50,1,,,50,0
2,8,2,823,548,2,1,80,9,,,80,51
2,8,2,823,548,3,2,26,2,,,26,0
2,8,2,823,548,4,1,29,3,,,29,0
2,8,2,823,548,5,1,36,1,,,36,0
2,8,2,824,768,1,1,36,1,,,36,42
2,8,2,824,768,2,1,83,3,,,83,0
2,8,2,824,768,3,2,40,2,,,40,0
2,8,2,824,768,4,1,36,8,,,36,0
2,8,2,824,768,5,1,44,9,,,44,51
2,8,2,826,926,1,1,62,1,,,62,51
2,8,2,826,926,2,1,69,3,,,69,0
2,8,2,826,926,3,1,28,8,,,28,0
2,8,2,826,926,4,1,58,9,,,58,51
2,8,2,826,926,5,1,68,6,,,68,0
2,8,2,827,804,1,1,51,1,,,51,26
2,8,2,827,804,2,1,81,1,,,81,0
2,8,2,827,804,3,1,42,1,3,,42,26
2,8,2,827,804,4,2,39,2,,,39,0
2,8,2,827,804,5,1,47,9,,,47,51
5,9,2,901,398,1,1,71,1,,,64,16
5,9,2,901,398,2,2,63,2,,,58,15
5,9,2,901,398,3,1,56,5,,,46,41
5,9,2,901,398,4,1,41,11,,"YOUTH LEADER",41,14
5,9,2,901,398,5,1,63,8,,,53,15
5,9,2,903,48,1,1,68,1,,,59,0
5,9,2,903,48,2,2,53,11,,"WOMEN LEADER (ii)",21,16
5,9,2,903,48,3,1,67,8,,,16,0
5,9,2,903,48,4,1,37,8,,,37,26
5,9,2,903,48,5,1,20,11,,"STUDENT (II)",20,26
5,9,2,903,48,6,2,30,8,,,8,26
5,9,2,905,978,1,1,44,1,,,44,32
5,9,2,905,978,2,2,37,2,,,19,16
5,9,2,905,978,3,1,55,11,,,55,16
5,9,2,905,978,4,1,30,8,,,30,26
5,9,2,905,978,5,1,29,8,,,29,26
5,9,2,907,1446,1,1,68,1,,,68,16
5,9,2,907,1446,2,2,73,2,,,73,0
5,9,2,907,1446,3,1,46,4,,,46,34
5,9,2,907,1446,4,2,44,8,,,44,42
5,9,2,907,1446,5,1,38,11,,"YOUTH LEADER",33,34
5,9,1,908,278,1,1,53,1,,,20,16
5,9,1,908,278,2,1,40,11,,"COMPANY SECURITY",10,16
5,9,1,908,278,3,1,38,11,,"COMPANY WORKER",17,16
5,9,1,908,278,4,1,48,11,,"CIVIL SERVANT",29,34
5,9,1,908,278,5,2,43,8,,,9,26
5,9,2,910,200,1,1,67,1,,,2,16
5,9,2,910,200,2,2,47,2,,,47,26
5,9,2,910,200,3,1,61,4,,,51,42
5,9,2,910,200,4,2,69,11,,"WOMEN LEADER",62,16
5,9,2,910,200,5,1,36,11,,"WOMEN LEADER",36,26
5,9,2,910,200,6,1,32,8,,,32,34
5,9,2,912,102,1,1,56,1,,,56,34
5,9,2,912,102,2,2,43,2,,,17,16
5,9,2,912,102,3,1,53,8,,,42,41
5,9,2,912,102,4,1,46,7,,,42,41
5,9,2,912,102,5,2,43,6,,,17,16
5,9,2,913,2266,1,1,51,3,,,51,15
5,9,2,913,2266,2,1,68,1,,,68,16
5,9,2,913,2266,3,1,41,3,,,41,15
5,9,2,913,2266,4,2,39,8,,,39,13
5,9,2,913,2266,5,2,63,2,,,63,13
5,9,2,913,2266,6,1,32,8,,,32,22
5,9,2,914,1746,1,1,64,1,,,40,16
5,9,2,914,1746,2,2,54,2,,,54,14
5,9,2,914,1746,3,1,43,7,,,43,26
5,9,2,914,1746,4,1,23,11,,"STUDENT",23,26
5,9,1,915,1390,1,1,73,1,,,64,24
5,9,1,915,1390,2,2,63,2,,,44,16
5,9,1,915,1390,3,1,43,11,,"TOWN CRIER",21,0
5,9,1,915,1390,4,1,46,11,,"YOUTH LEADER",46,26
5,9,1,915,1390,5,2,61,11,,"WOMEN LEADER",61,16
5,9,2,916,1068,1,1,85,1,,,47,43
5,9,2,916,1068,2,2,52,2,,,5,11
5,9,2,916,1068,3,1,35,8,,,35,26
5,9,2,916,1068,4,1,67,3,,,37,16
5,9,2,916,1068,5,1,59,3,,,59,32
5,9,1,917,1254,1,1,76,1,,,54,41
5,9,1,917,1254,2,2,53,11,,"WOMEN LEADER",52,26
5,9,1,917,1254,3,1,45,11,,"YOUTH LEADER",45,42
5,9,1,917,1254,4,2,39,2,,,39,16
5,9,1,917,1254,5,1,47,9,,,47,42
5,9,2,918,834,1,1,59,1,,,53,16
5,9,2,918,834,2,2,41,2,,,41,13
5,9,2,918,834,3,1,59,3,,,57,31
5,9,2,918,834,4,2,41,11,,"FARMER",41,15
5,9,2,918,834,5,1,61,11,,"FARMER",41,16
5,9,2,918,834,6,1,72,3,,,72,16
5,10,2,1001,172,1,1,82,1,,,40,34
5,10,2,1001,172,2,1,37,3,,,20,41
5,10,2,1001,172,3,1,77,11,,"FARMER",51,31
5,10,2,1001,172,4,2,37,11,,"BUSINESS WOMAN",15,31
5,10,2,1001,172,5,1,56,11,,"FARMER",41,16
5,10,2,1001,172,6,1,46,11,,"TOWNS CLERK",8,34
5,10,1,1005,662,1,1,58,11,11,"SEC.(ETC)",58,34
5,10,1,1005,662,2,1,49,5,5,,25,43
5,10,1,1005,662,3,1,28,11,11,"YOUTH CHAIRMAN",28,26
5,10,1,1005,662,4,2,54,8,8,,54,26
5,10,1,1005,662,5,1,59,11,11,"COMM. LEADER",59,26
5,10,2,1005,1374,1,1,67,3,3,,67,43
5,10,2,1005,1374,2,1,65,11,11,"SEC.",25,28
5,10,2,1005,1374,3,1,68,11,11,"COMM. LEADER",10,26
5,10,2,1005,1374,4,2,50,5,5,,50,42
5,10,2,1005,1374,5,2,49,5,5,,49,42
5,10,1,1007,1166,1,1,76,1,,,44,16
5,10,1,1007,1166,2,1,67,2,,,21,16
5,10,1,1007,1166,3,1,39,11,,"FARMER",16,16
5,10,1,1007,1166,4,2,33,11,,"BUSINESS WOMAN",33,13
5,10,1,1007,1166,5,1,60,11,,"FARMER/ BUSINESSMAN",38,16
5,10,1,1007,1166,6,2,51,11,,"HOUSE WIFE",44,16
5,10,2,1008,1314,1,1,70,1,,,15,14
5,10,2,1008,1314,2,1,48,2,5,,48,42
5,10,2,1008,1314,3,1,39,3,5,,33,42
5,10,2,1008,1314,4,2,56,11,,"WOMAN LEADER",55,0
5,10,2,1008,1314,5,2,61,11,,"VICE WARD LEADER",56,16
5,10,2,1008,1314,6,1,56,3,11,"FARMER",56,0
5,10,2,1008,1718,1,1,38,1,,,25,26
5,10,2,1008,1718,2,1,53,2,,,27,26
5,10,2,1008,1718,3,1,36,3,,,29,16
5,10,2,1008,1718,4,2,35,8,,,20,26
5,10,2,1008,1718,5,2,53,11,,"WOMAN LEADER",30,26
5,10,2,1008,1718,6,2,32,11,,"YOUTH LEADER",15,41
5,10,2,1010,20,1,1,73,11,11,"PALACE CHIEF",10,43
5,10,2,1010,20,2,1,58,11,11,"CHAIRMAN (CDC)",57,42
5,10,2,1010,20,3,1,65,11,11,"PALACE SECRETARY",51,42
5,10,2,1010,20,4,1,56,11,11,"ASST.SEC.(CDC)",50,42
5,10,2,1010,20,5,2,36,8,8,,21,26
5,10,2,1010,20,6,2,28,8,8,,21,26
5,10,2,1012,936,1,1,48,1,,,15,42
5,10,2,1012,936,2,2,53,8,,,30,16
5,10,2,1012,936,3,1,36,6,,,6,41
5,10,2,1012,936,4,1,62,11,,"RTD POLICE OFFICER",15,41
5,10,2,1012,936,5,2,48,11,,"HOUSE WIFE",18,34
5,10,2,1012,936,6,1,40,7,,,14,41
5,10,2,1014,80,1,1,70,11,,"VICE PRESIDENT",31,43
5,10,2,1014,80,2,1,67,11,,"CHAIRMAN WORKS",21,41
5,10,2,1014,80,3,1,53,11,,"ASSISTANT",8,26
5,10,2,1014,80,4,2,56,11,,"HOUSEWIFE",21,34
5,10,2,1014,80,5,1,66,11,,"MEMBER",11,41
5,10,2,1014,80,6,1,53,3,,,5,43
5,10,2,1014,80,7,2,37,11,,"SOC WOMAN/YOUYH",12,34
5,10,1,1018,634,1,1,62,11,11,"SEC. TO(T.C )",40,42
5,10,1,1018,634,2,1,64,11,11,"SPOKE MAN",40,26
5,10,1,1018,634,3,1,51,11,11,"(SNR CHIEF)",51,26
5,10,1,1018,634,4,1,40,8,8,,40,26
5,10,1,1018,634,5,2,40,8,8,,40,26
5,10,2,1018,898,1,1,66,1,1,,20,42
5,10,2,1018,898,2,1,39,11,11,"(YOUTH CHAIRMAN)",39,16
5,10,2,1018,898,3,1,48,5,5,,48,34
5,10,2,1018,898,4,1,30,11,11,"COMM.TREASURA",26,26
5,10,2,1018,898,5,2,40,8,8,,36,0
5,10,2,1018,898,6,1,39,8,8,,39,16
5,10,2,1018,898,7,1,32,11,11,"SPOKEMAN",32,42
5,10,1,1020,38,1,1,57,1,1,,21,42
5,10,1,1020,38,2,1,46,11,11,"(TRESURA)",10,26
5,10,1,1020,38,3,1,33,11,11,"(YOUTH CHAIRMAN)",33,26
5,10,1,1020,38,4,1,42,11,11,"(SPOKEMAN)",36,23
5,10,1,1020,38,5,2,41,8,8,,20,16
5,10,2,1021,120,1,1,54,1,,,21,26
5,10,2,1021,120,2,1,47,3,,,10,41
5,10,2,1021,120,3,1,51,3,,,46,26
5,10,2,1021,120,4,2,41,8,,,41,26
5,10,2,1021,120,5,1,39,3,,,11,42
5,10,2,1025,1774,1,1,67,1,1,,67,23
5,10,2,1025,1774,2,1,68,9,9,,10,41
5,10,2,1025,1774,3,2,33,8,8,,15,26
5,10,2,1025,1774,4,1,32,11,11,"(MEMBER)",10,42
5,10,2,1025,1774,5,1,40,11,11,"(COMM. CHAIRMAN)",35,26
4,11,2,1101,154,1,1,45,1,,,45,26
4,11,2,1101,154,2,1,50,1,,,50,0
4,11,2,1101,154,3,1,53,1,,,53,26
4,11,2,1101,154,4,2,90,1,,,66,0
4,11,2,1101,154,5,1,68,1,,,68,0
4,11,2,1101,154,6,1,21,11,11,"STUDENT",20,26
4,11,2,1101,154,7,1,42,1,,,42,0
4,11,2,1101,154,8,1,35,1,,,35,16
4,11,2,1101,154,9,2,58,1,,,38,0
4,11,2,1102,936,1,1,52,1,,,52,16
4,11,2,1102,936,2,1,68,1,,,68,16
4,11,2,1102,936,3,1,53,1,,,53,16
4,11,2,1102,936,4,1,53,1,,,53,16
4,11,2,1102,936,5,1,51,1,,,51,42
4,11,2,1102,936,6,1,51,1,,,51,16
4,11,2,1102,936,7,1,38,1,,,38,26
4,11,2,1102,936,8,2,55,1,,,31,0
4,11,2,1102,936,9,2,49,2,,,21,16
4,11,2,1104,434,1,1,41,3,,,36,21
4,11,2,1104,434,2,1,39,1,,,14,14
4,11,2,1104,434,3,2,46,2,,,20,16
4,11,2,1104,434,4,1,56,1,,,56,16
4,11,2,1104,434,5,1,60,1,,,60,0
4,11,2,1104,434,6,1,36,1,,,19,26
4,11,2,1104,434,7,1,52,1,,,52,16
4,11,2,1104,434,8,1,46,1,,,46,16
4,11,2,1104,434,9,2,35,8,,,17,0
4,11,1,1104,2028,1,1,60,1,,,30,42
4,11,1,1104,2028,2,2,41,1,,,10,42
4,11,1,1104,2028,3,1,25,8,,,4,26
4,11,1,1104,2028,4,1,29,11,,"STUDENT",6,42
4,11,1,1104,2028,5,1,52,1,,,18,26
4,11,1,1104,2028,6,2,37,5,,,15,34
4,11,1,1104,2028,7,1,26,11,,"STUDENT",26,26
4,11,1,1104,2028,8,1,25,5,,,15,26
4,11,2,1105,100,1,1,56,1,,,56,12
4,11,2,1105,100,2,2,45,2,,,25,26
4,11,2,1105,100,3,1,64,7,,,64,16
4,11,2,1105,100,4,1,46,1,,,46,12
4,11,2,1105,100,5,1,33,5,,,16,42
4,11,2,1105,100,6,2,37,2,,,18,16
4,11,2,1105,100,7,2,51,2,,,31,0
4,11,2,1106,446,1,1,63,1,,,21,34
4,11,2,1106,446,2,1,55,1,,,28,26
4,11,2,1106,446,3,2,50,8,,,23,16
4,11,2,1106,446,4,1,20,11,,"STUDENT",20,26
4,11,2,1106,446,5,1,43,1,,,43,0
4,11,2,1106,446,6,1,48,1,,,48,12
4,11,2,1106,446,7,1,48,5,,,48,34
4,11,2,1107,1034,1,1,47,1,,,47,16
4,11,2,1107,1034,2,1,53,1,,,53,16
4,11,2,1107,1034,3,1,70,1,,,70,21
4,11,2,1107,1034,4,1,46,1,,,46,26
4,11,2,1107,1034,5,1,41,8,,,41,26
4,11,2,1107,1034,6,1,48,1,,,48,26
4,11,2,1107,1034,7,1,62,1,,,62,14
4,11,2,1107,1034,8,2,58,1,,,29,0
4,11,2,1107,1034,9,2,41,2,,,23,16
4,11,2,1108,492,1,1,64,1,,,64,26
4,11,2,1108,492,2,1,50,1,,,50,14
4,11,2,1108,492,3,2,71,1,,,39,0
4,11,2,1108,492,4,1,40,1,,,40,16
4,11,2,1108,492,5,1,37,1,,,37,42
4,11,2,1108,492,6,2,35,9,,,11,16
4,11,2,1108,492,7,1,71,1,,,71,26
4,11,2,1108,492,8,1,31,1,,,31,16
4,11,2,1108,492,9,2,49,2,,,25,26
4,11,2,1109,672,1,1,45,1,,,45,26
4,11,2,1109,672,2,1,51,1,,,51,26
4,11,2,1109,672,3,1,63,1,,,63,14
4,11,2,1109,672,4,1,48,1,,,48,26
4,11,2,1109,672,5,2,49,1,,,24,16
4,11,2,1109,672,6,1,51,1,,,50,16
4,11,2,1109,672,7,2,43,2,,,16,26
4,11,2,1109,672,8,1,33,11,11,"STUDENT",32,42
4,11,2,1110,714,1,1,48,1,,,48,16
4,11,2,1110,714,2,1,57,1,,,57,16
4,11,2,1110,714,3,1,54,1,,,54,16
4,11,2,1110,714,4,1,38,1,,,38,16
4,11,2,1110,714,5,1,49,5,,,11,43
4,11,2,1110,714,6,2,62,1,,,43,0
4,11,2,1110,714,7,1,37,1,,,37,16
4,11,2,1110,2752,1,1,63,4,,,63,16
4,11,2,1110,2752,2,2,47,2,,,19,34
4,11,2,1110,2752,3,1,54,5,,,31,43
4,11,2,1110,2752,4,2,41,2,11,"STUDENT",11,16
4,11,2,1110,2752,5,1,48,5,,,21,34
4,11,2,1110,2752,6,1,58,1,,,58,0
4,11,2,1110,2752,7,1,36,1,,,36,16
4,11,2,1110,2752,8,1,36,1,,,36,16
4,11,2,1110,2752,9,2,42,2,,,42,14
4,11,2,1112,78,1,1,48,1,,,48,26
4,11,2,1112,78,2,1,41,1,,,41,16
4,11,2,1112,78,3,1,41,1,,,41,23
4,11,2,1112,78,4,1,72,1,,,72,0
4,11,2,1112,78,5,2,70,2,,,49,0
4,11,2,1112,78,6,1,49,1,,,49,16
4,11,2,1112,78,7,2,48,1,,,20,0
4,11,2,1112,78,8,1,60,1,,,60,22
4,11,2,1112,1952,1,1,56,1,,,56,42
4,11,2,1112,1952,2,1,50,1,,,50,0
4,11,2,1112,1952,3,1,49,1,,,49,16
4,11,2,1112,1952,4,1,38,1,,,38,15
4,11,2,1112,1952,5,1,33,1,,,33,26
4,11,2,1112,1952,6,2,31,9,,,5,26
4,11,2,1112,1952,7,1,57,1,,,57,16
4,11,2,1112,1952,8,1,53,1,,,39,16
4,11,2,1112,1952,9,1,30,1,,,30,15
4,11,2,1113,954,1,1,57,1,,,57,26
4,11,2,1113,954,2,1,58,1,,,58,0
4,11,2,1113,954,3,2,53,1,,,27,12
4,11,2,1113,954,4,1,59,1,,,58,13
4,11,2,1113,954,5,1,34,1,,,26,16
4,11,2,1113,954,6,2,67,1,,,41,16
4,11,2,1113,954,7,1,49,1,,,49,26
4,11,2,1113,954,8,1,53,1,,,53,12
5,12,1,1202,2146,1,1,67,1,,,31,0
5,12,1,1202,2146,2,2,41,8,,,31,16
5,12,1,1202,2146,3,1,46,3,,,29,16
5,12,1,1202,2146,4,1,47,3,,,27,16
5,12,1,1202,2146,5,1,51,,,,21,26
5,12,1,1202,2146,6,2,79,,,,30,0
5,12,1,1202,2146,7,1,40,,,,21,41
5,12,1,1202,2710,1,1,78,1,,,40,0
5,12,1,1202,2710,2,1,58,8,,,26,41
5,12,1,1202,2710,3,2,43,8,,,24,26
5,12,1,1202,2710,4,2,65,2,,,38,2
5,12,1,1202,2710,5,1,41,11,,,16,42
5,12,1,1202,2710,6,1,40,3,,,26,26
5,12,2,1204,736,1,1,69,1,,,39,16
5,12,2,1204,736,2,2,41,2,,,21,16
5,12,2,1204,736,3,1,71,3,,,46,0
5,12,2,1204,736,4,1,51,3,,,51,0
5,12,2,1204,736,5,1,62,3,,,62,0
5,12,2,1204,736,6,1,59,11,,,44,33
5,12,2,1204,736,7,1,43,8,,,16,26
5,12,2,1208,526,1,1,66,1,,,66,31
5,12,2,1208,526,2,1,75,3,,,75,0
5,12,2,1208,526,3,1,103,3,,,103,16
5,12,2,1208,526,4,1,46,3,,,45,16
5,12,2,1208,526,5,1,55,11,,,45,42
5,12,2,1208,526,6,2,46,8,,,22,16
5,12,2,1208,526,7,2,36,5,,,21,34
5,12,2,1210,462,1,1,71,1,,,21,33
5,12,2,1210,462,2,2,41,2,,,20,26
5,12,2,1210,462,3,1,60,11,,,31,33
5,12,2,1210,462,4,1,90,3,,,36,16
5,12,2,1210,462,5,2,77,8,,,77,0
5,12,2,1210,462,6,1,26,8,,,26,26
5,12,1,1211,2220,1,1,81,1,,,41,0
5,12,1,1211,2220,2,1,68,11,,,23,41
5,12,1,1211,2220,3,1,70,11,,,13,41
5,12,1,1211,2220,4,1,72,3,,,34,33
5,12,1,1211,2220,5,1,70,3,,,40,16
5,12,1,1211,2220,6,1,69,3,,,37,26
5,12,1,1211,2220,7,2,59,8,,,31,16
5,12,1,1211,2856,1,1,63,1,,,50,33
5,12,1,1211,2856,2,1,51,3,,,41,26
5,12,1,1211,2856,3,2,42,8,,,21,25
5,12,1,1211,2856,4,2,32,8,,,16,26
5,12,1,1211,2856,5,1,35,8,,,11,26
5,12,1,1212,1392,1,1,76,1,,,41,41
5,12,1,1212,1392,2,1,73,3,,,51,16
5,12,1,1212,1392,3,1,63,8,,,11,16
5,12,1,1212,1392,4,2,56,8,,,11,16
5,12,1,1212,1392,5,1,51,3,,,17,26
5,12,2,1214,452,1,1,81,1,,,31,16
5,12,2,1214,452,2,2,56,2,,,30,16
5,12,2,1214,452,3,1,49,9,,,21,32
5,12,2,1214,452,4,2,42,8,,,21,25
5,12,2,1214,452,5,1,41,3,,,30,41
5,12,2,1214,452,6,2,51,8,,,36,0
5,12,2,1216,618,1,1,65,1,,,31,0
5,12,2,1216,618,2,2,43,2,,,30,16
5,12,2,1216,618,3,1,61,3,,,21,0
