"zone","state","lga","sector","ea","group_cd","group_specify","c3q1","c3q2","c3q3","c3q3b","c3q4","c3q5","c3q6"
4,1,110,2,76,308,,1,2,6,"AS NEEDED",37,0,0
4,1,110,2,76,309,,2,,,,,,
4,1,110,2,76,310,,1,1,6,"AS NEEDED",11,3,0
4,1,110,2,76,311,,1,1,6,"AS NEEDED",37,20,7
4,1,110,2,76,312,,2,,,,,,
4,1,110,2,76,313,,1,1,6,"AS NEEDED",16,0,0
4,1,110,2,76,314,,2,,,,,,
4,1,110,2,76,315,,2,,,,,,
4,1,111,1,1146,301,,1,1,2,,11,0,0
4,1,111,1,1146,302,,2,,,,,,
4,1,111,1,1146,303,,2,,,,,,
4,1,111,1,1146,304,,2,,,,,,
4,1,111,1,1146,305,,1,1,6,"BY WEEKLY",70,70,21
4,1,111,1,1146,306,,1,1,6,"BY WEEKLY",65,0,32
4,1,111,1,1146,307,,1,3,6,"WHEN NEEDED",110,52,24
4,1,111,1,1146,308,,1,1,1,"WHEN NEEDED",23,7,8
4,1,111,1,1146,309,,2,,,,,,
4,1,111,1,1146,310,,2,,,,,,
4,1,111,1,1146,311,,1,1,6,"WHEN NEEDED",1000,250,50
4,1,111,1,1146,312,,2,,,,,,
4,1,111,1,1146,313,,1,1,2,,12,0,0
4,1,111,1,1146,314,,2,,,,,,
4,1,111,1,1146,315,,2,,,,,,
4,1,115,1,670,301,,2,,,,,,
4,1,115,1,670,302,,2,,,,,,
4,1,115,1,670,303,,2,,,,,,
4,1,115,1,670,304,,2,,,,,,
4,1,115,1,670,305,,2,,,,,,
4,1,115,1,670,306,,2,,,,,,
4,1,115,1,670,307,,2,,,,,,
4,1,115,1,670,308,,2,,,,,,
4,1,115,1,670,309,,2,,,,,,
4,1,115,1,670,310,,2,,,,,,
4,1,115,1,670,311,,2,,,,,,
4,1,115,1,670,312,,2,,,,,,
4,1,115,1,670,313,,2,,,,,,
4,1,115,1,670,314,,2,,,,,,
4,1,115,1,670,315,,2,,,,,,
4,1,117,2,560,301,,1,1,2,,7,2,0
4,1,117,2,560,302,,2,,,,,,
4,1,117,2,560,303,,2,,,,,,
4,1,117,2,560,304,,2,,,,,,
4,1,117,2,560,305,,1,6,2,,50,50,20
4,1,117,2,560,306,,1,1,2,,120,30,60
4,1,117,2,560,307,,1,1,3,,300,100,150
4,1,117,2,560,308,,1,2,2,,100,40,27
4,1,117,2,560,309,,2,,,,,,
4,1,117,2,560,310,,2,,,,,,
4,1,117,2,560,311,,1,1,2,,60,25,15
4,1,117,2,560,312,,2,,,,,,
4,1,117,2,560,313,,1,1,1,,10,0,3
4,1,117,2,560,314,,2,,,,,,
4,1,117,2,560,315,,2,,,,,,
2,2,201,2,60,305,,1,2,2,,40,40,7
2,2,201,2,60,306,,1,1,3,,30,8,9
2,2,201,2,60,307,,1,3,2,,39,4,11
2,2,201,2,60,308,,1,1,3,,18,3,0
2,2,201,2,60,310,,1,2,3,,6,2,0
2,2,201,2,60,311,,1,2,3,,200,13,0
2,2,203,2,1224,302,,1,1,1,,40,38,10
2,2,205,2,712,301,,1,1,4,,50,20,0
2,2,205,2,712,305,,1,8,2,,140,140,9
2,2,205,2,712,306,,1,1,3,,38,0,12
2,2,205,2,712,307,,1,3,3,,250,27,83
2,2,205,2,712,308,,1,1,3,,30,2,0
2,2,205,2,712,309,,1,1,3,,25,1,0
2,2,205,2,712,310,,1,2,3,,30,4,0
2,2,205,2,712,311,,1,2,3,,600,18,0
2,2,207,2,1302,301,,1,1,3,,8,2,0
2,2,207,2,1302,306,,1,1,3,,32,5,15
2,2,207,2,1302,309,,1,1,,,9,1,0
2,2,207,2,1302,311,,1,2,,,10,2,0
2,2,209,2,1040,301,,1,1,2,,7,3,0
2,2,209,2,1040,302,,1,1,2,,15,5,0
2,2,209,2,1040,305,,1,1,2,,15,15,8
2,2,209,2,1040,306,,1,1,2,,15,5,15
2,2,209,2,1040,307,,1,1,2,,15,7,7
2,2,209,2,1040,308,,1,1,2,,15,8,0
2,2,209,2,1040,311,,1,1,2,,15,3,0
2,2,209,2,1040,313,,1,1,2,,15,0,0
2,2,214,2,898,305,,1,1,2,,150,50,30
2,2,214,2,898,306,,1,1,2,,50,30,50
2,2,214,2,898,307,,1,1,2,,30,5,10
2,2,214,2,898,308,,1,1,2,,30,0,5
2,2,214,2,898,310,,1,1,2,,100,30,0
2,2,214,2,898,311,,1,1,2,,100,30,0
2,2,215,1,8,305,,1,6,1,,,,
2,2,216,2,200,301,,1,1,3,,,,
2,2,216,2,200,305,,1,1,2,,,,
2,2,216,2,200,306,,1,1,3,,,,
2,2,216,2,200,307,,1,3,3,,,,
2,2,216,2,200,308,,1,1,3,,,,
2,2,216,2,200,311,,1,1,3,,,,
2,2,218,2,1592,307,,1,1,3,,40,0,13
2,2,221,2,18,311,,1,1,3,,20,3,2
5,3,301,1,1198,305,,1,1,2,,100,100,30
5,3,301,1,1198,306,,1,1,2,,84,34,22
5,3,305,2,4,301,,2,,,,,,
5,3,305,2,4,302,,2,,,,,,
5,3,305,2,4,303,,2,,,,,,
5,3,305,2,4,304,,2,,,,,,
5,3,305,2,4,305,,1,2,1,,100,100,25
5,3,305,2,4,306,,1,1,2,,70,15,45
5,3,305,2,4,307,,2,,,,,,
5,3,305,2,4,308,,1,1,2,,40,25,30
5,3,305,2,4,309,,1,1,2,,10,5,3
5,3,305,2,4,310,,1,1,6,,20,10,5
5,3,305,2,4,311,,2,,,,,,
5,3,305,2,4,312,,2,,,,,,
5,3,305,2,4,313,,2,,,,,,
5,3,305,2,4,314,,2,,,,,,
5,3,305,2,4,315,,2,,,,,,
5,3,305,2,1542,301,,2,,,,,,
5,3,305,2,1542,302,,1,1,,,20,0,0
5,3,305,2,1542,303,,2,,,,,,
5,3,305,2,1542,304,,2,,,,,,
5,3,305,2,1542,305,,2,,,,,,
5,3,305,2,1542,306,,1,1,,,85,4,35
5,3,305,2,1542,307,,2,,,,,,
5,3,305,2,1542,308,,2,,,,,,
5,3,305,2,1542,309,,2,,,,,,
5,3,305,2,1542,310,,2,,,,,,
5,3,305,2,1542,311,,2,,,,,,
5,3,305,2,1542,312,,2,,,,,,
5,3,305,2,1542,313,,2,,,,,,
5,3,305,2,1542,314,,2,,,,,,
5,3,305,2,1542,315,,2,,,,,,
5,3,307,1,634,301,,1,1,1,,13,3,0
5,3,307,1,634,302,,2,,,,,,
5,3,307,1,634,303,,1,1,1,,30,10,0
5,3,307,1,634,304,,2,,,,,,
5,3,307,1,634,305,,1,1,1,,200,200,25
5,3,307,1,634,306,,1,1,1,,250,100,53
5,3,307,1,634,307,,2,,,,,,
5,3,307,1,634,308,,2,,,,,,
5,3,307,1,634,309,,2,,,,,,
5,3,307,1,634,310,,2,,,,,,
5,3,307,1,634,311,,1,1,1,,10,2,0
5,3,307,1,634,312,,2,,,,,,
5,3,307,1,634,313,,2,,,,,,
5,3,307,1,634,314,,2,,,,,,
5,3,309,2,478,301,,2,,,,,,
5,3,309,2,478,302,,2,,,,,,
5,3,309,2,478,303,,2,,,,,,
5,3,309,2,478,304,,2,,,,,,
5,3,309,2,478,305,,1,1,2,,100,100,28
5,3,309,2,478,306,,1,1,2,,130,45,36
5,3,309,2,478,307,,2,,,,,,
5,3,309,2,478,308,,2,,,,,,
5,3,309,2,478,309,,2,,,,,,
5,3,309,2,478,310,,2,,,,,,
5,3,309,2,478,311,,1,1,6,,12,3,0
5,3,309,2,478,312,,2,,,,,,
5,3,309,2,478,313,,2,,,,,,
5,3,309,2,478,314,,2,,,,,,
5,3,309,2,478,315,,2,,,,,,
5,3,312,2,20,301,,2,,,,,,
5,3,312,2,20,302,,2,,,,,,
5,3,312,2,20,303,,2,,,,,,
5,3,312,2,20,304,,2,,,,,,
5,3,312,2,20,305,,1,1,2,,46,46,10
5,3,312,2,20,306,,1,1,1,,25,8,10
5,3,313,2,70,301,,2,,,,,,
5,3,313,2,70,302,,2,,,,,,
5,3,313,2,70,303,,2,,,,,,
5,3,313,2,70,304,,2,,,,,,
5,3,313,2,70,305,,1,1,2,,60,60,12
5,3,313,2,70,306,,1,1,2,,38,10,15
5,3,313,2,70,307,,2,,,,,,
5,3,313,2,70,308,,2,,,,,,
5,3,313,2,70,309,,2,,,,,,
5,3,313,2,70,310,,2,,,,,,
5,3,313,2,70,311,,2,,,,,,
5,3,313,2,70,312,,2,,,,,,
5,3,313,2,70,313,,2,,,,,,
5,3,313,2,70,314,,2,,,,,,
5,3,313,2,70,315,,2,,,,,,
5,3,316,2,874,301,,2,,,,,,
5,3,316,2,874,302,,2,,,,,,
5,3,316,2,874,303,,2,,,,,,
5,3,316,2,874,304,,2,,,,,,
5,3,316,2,874,305,,1,1,2,,100,100,30
5,3,316,2,874,306,,1,1,2,,84,30,20
5,3,316,2,874,307,,2,,,,,,
5,3,316,2,874,308,,2,,,,,,
5,3,316,2,874,309,,2,,,,,,
5,3,316,2,874,310,,2,,,,,,
5,3,316,2,874,311,,1,1,2,,12,3,0
5,3,316,2,874,312,,2,,,,,,
5,3,316,2,874,313,,2,,,,,,
5,3,316,2,874,314,,2,,,,,,
5,3,318,2,1136,301,,2,,,,,,
5,3,318,2,1136,302,,2,,,,,,
5,3,318,2,1136,303,,2,,,,,,
5,3,318,2,1136,304,,2,,,,,,
5,3,318,2,1136,305,,1,1,2,,64,64,12
5,3,318,2,1136,306,,1,1,2,,50,18,20
5,3,318,2,1136,307,,2,,,,,,
5,3,318,2,1136,308,,2,,,,,,
5,3,318,2,1136,309,,2,,,,,,
5,3,318,2,1136,310,,2,,,,,,
5,3,318,2,1136,311,,2,,,,,,
5,3,318,2,1136,312,,2,,,,,,
5,3,318,2,1136,313,,1,1,1,,25,0,5
5,3,318,2,1136,314,,2,,,,,,
5,3,321,2,364,301,,1,1,2,,15,3,2
5,3,321,2,364,303,,1,2,2,,40,10,3
5,3,321,2,364,305,,1,3,3,,180,180,36
5,3,321,2,364,306,,1,1,2,,120,40,25
5,3,321,2,364,307,,2,,,,,,
5,3,321,2,364,308,,1,1,3,,30,10,6
5,3,321,2,364,309,,2,,,,,,
5,3,321,2,364,310,,2,,,,,,
5,3,321,2,364,311,,1,1,3,,10,2,0
5,3,321,2,364,312,,2,,,,,,
5,3,321,2,364,313,,2,,,,,,
5,3,321,2,364,314,,2,,,,,,
5,3,321,2,364,315,,2,,,,,,
5,3,323,2,580,301,,1,1,2,,7,3,3
5,3,323,2,580,302,,2,,,,,,
5,3,323,2,580,303,,1,1,2,,30,30,10
5,3,323,2,580,304,,2,,,,,,
5,3,323,2,580,305,,1,3,6,,400,400,15
5,3,323,2,580,306,,1,1,2,,300,200,80
5,3,323,2,580,307,,2,,,,,,
5,3,323,2,580,308,,1,2,5,,50,50,10
5,3,323,2,580,309,,1,1,2,,10,5,0
5,3,323,2,580,310,,2,,,,,,
5,3,323,2,580,311,,1,3,3,,10,3,0
5,3,323,2,580,312,,2,,,,,,
5,3,323,2,580,313,,1,1,6,,20,0,20
5,3,323,2,580,314,,2,,,,,,
5,3,326,2,74,301,,2,,,,,,
5,3,326,2,74,302,,2,,,,,,
5,3,326,2,74,303,,2,,,,,,
5,3,326,2,74,304,,1,1,2,,31,31,5
5,3,326,2,74,305,,1,1,2,,65,25,30
5,3,326,2,74,306,,2,,,,,,
5,3,326,2,74,307,,2,,,,,,
5,3,326,2,74,308,,2,,,,,,
5,3,326,2,74,309,,2,,,,,,
5,3,326,2,74,310,,2,,,,,,
5,3,326,2,74,311,,2,,,,,,
5,3,326,2,74,312,,2,,,,,,
5,3,326,2,74,313,,2,,,,,,
5,3,326,2,74,314,,2,,,,,,
5,3,329,2,696,301,,1,1,3,,15,4,0
5,3,329,2,696,302,,2,,,,,,
5,3,329,2,696,303,,1,1,2,,25,25,0
5,3,329,2,696,304,,2,,,,,,
5,3,329,2,696,305,,1,1,2,,120,120,15
5,3,329,2,696,306,,1,1,2,,200,80,50
5,3,329,2,696,307,,2,,,,,,
5,3,329,2,696,308,,2,,,,,,
5,3,329,2,696,309,,2,,,,,,
5,3,329,2,696,310,,2,,,,,,
5,3,329,2,696,311,,2,,,,,,
5,3,329,2,696,312,,2,,,,,,
5,3,329,2,696,313,,2,,,,,,
5,3,329,2,696,314,,2,,,,,,
5,3,329,2,696,315,,2,,,,,,
5,3,331,1,516,301,,2,,,,,,
5,3,331,1,516,302,,2,,,,,,
5,3,331,1,516,303,,2,,,,,,
5,3,331,1,516,304,,2,,,,,,
5,3,331,1,516,305,,1,1,2,,120,120,36
5,3,331,1,516,306,,1,1,2,,180,70,10
5,3,331,1,516,307,,2,,,,,,
5,3,331,1,516,308,,2,,,,,,
5,3,331,1,516,309,,2,,,,,,
5,3,331,1,516,310,,2,,,,,,
5,3,331,1,516,311,,1,1,2,,12,3,0
5,3,331,1,516,312,,2,,,,,,
5,3,331,1,516,313,,2,,,,,,
5,3,331,1,516,314,,2,,,,,,
5,3,331,1,2322,301,,2,,,,,,
5,3,331,1,2322,302,,2,,,,,,
5,3,331,1,2322,303,,2,,,,,,
5,3,331,1,2322,304,,2,,,,,,
5,3,331,1,2322,305,,1,1,2,,65,65,15
5,3,331,1,2322,306,,1,1,2,,120,60,50
5,3,331,1,2322,307,,2,,,,,,
5,3,331,1,2322,308,,1,1,2,,25,20,15
5,3,331,1,2322,309,,2,,,,,,
5,3,331,1,2322,310,,2,,,,,,
5,3,331,1,2322,311,,1,1,2,,20,5,0
5,3,331,1,2322,312,,2,,,,,,
5,3,331,1,2322,313,,1,1,2,,25,10,5
5,3,331,1,2322,314,,2,,,,,,
4,4,401,1,738,301,,1,1,2,,8,2,0
4,4,401,1,738,302,,1,1,2,,15,7,2
4,4,401,1,738,303,,2,,,,,,
4,4,401,1,738,304,,2,,,,,,
4,4,401,1,738,305,,1,1,2,,12,12,4
4,4,401,1,738,306,,1,1,2,,22,7,10
4,4,401,1,738,307,,1,1,1,,16,7,10
4,4,401,1,738,308,,1,1,2,,8,3,4
4,4,401,1,738,309,,2,,,,,,
4,4,401,1,738,310,,2,,,,,,
4,4,401,1,738,311,,1,1,3,,17,8,5
4,4,401,1,738,312,,2,,,,,,
4,4,401,1,738,313,,1,1,1,,10,0,6
4,4,401,1,738,314,,2,,,,,,
4,4,401,1,738,315,,2,,,,,,
4,4,401,1,1460,301,,2,,,,,,
4,4,401,1,1460,302,,2,,,,,,
4,4,401,1,1460,303,,2,,,,,,
4,4,401,1,1460,304,,2,,,,,,
4,4,401,1,1460,305,,1,1,2,,18,18,8
4,4,401,1,1460,306,,1,1,2,,20,8,9
4,4,401,1,1460,307,,1,4,1,,30,12,10
4,4,401,1,1460,308,,2,,,,,,
4,4,401,1,1460,309,,2,,,,,,
4,4,401,1,1460,310,,2,,,,,,
4,4,401,1,1460,311,,1,1,3,,20,6,5
4,4,401,1,1460,312,,2,,,,,,
4,4,401,1,1460,313,,1,1,1,,15,0,2
4,4,401,1,1460,314,,2,,,,,,
4,4,401,1,1460,315,,2,,,,,,
4,4,401,2,2106,301,,1,1,2,,10,1,
4,4,401,2,2106,302,,2,,,,,,
4,4,401,2,2106,303,,2,,,,,,
4,4,401,2,2106,304,,2,,,,,,
4,4,401,2,2106,305,,1,1,2,,50,48,5
4,4,401,2,2106,306,,1,1,2,,20,8,15
4,4,401,2,2106,307,,1,1,1,,40,7,5
4,4,401,2,2106,308,,1,1,3,,60,0,5
4,4,401,2,2106,309,,1,1,2,,12,5,
4,4,401,2,2106,310,,1,1,2,,15,7,2
4,4,401,2,2106,311,,1,1,2,,30,15,4
4,4,401,2,2106,312,,2,,,,,,
4,4,401,2,2106,313,,1,1,2,,25,0,5
4,4,401,2,2106,314,,2,,,,,,
4,4,402,2,1080,301,,2,,,,,,
4,4,402,2,1080,302,,2,,,,,,
4,4,402,2,1080,303,,2,,,,,,
4,4,402,2,1080,304,,2,,,,,,
