"zone","state","lga","sector","ea","amenities_cd","c5q1"
4,1,108,2,904,516,4
4,1,108,2,904,517,4
4,1,108,2,904,518,4
4,1,108,2,904,519,4
4,1,108,2,904,520,5
4,1,108,2,904,521,2
4,1,108,2,904,522,4
4,1,108,2,904,523,4
4,1,108,2,904,524,2
4,1,108,2,904,525,1
4,1,108,2,904,526,4
4,1,108,2,904,527,5
4,1,108,2,904,528,5
4,1,108,2,904,529,3
4,1,108,2,904,530,4
4,1,108,2,904,531,4
4,1,108,2,904,532,4
4,1,108,2,904,533,1
4,1,108,2,904,534,3
4,1,110,2,76,501,4
4,1,110,2,76,502,4
4,1,110,2,76,503,4
4,1,110,2,76,504,4
4,1,110,2,76,505,4
4,1,110,2,76,506,4
4,1,110,2,76,507,4
4,1,110,2,76,508,5
4,1,110,2,76,509,5
4,1,110,2,76,510,4
4,1,110,2,76,511,4
4,1,110,2,76,512,5
4,1,110,2,76,513,5
4,1,110,2,76,514,5
4,1,110,2,76,515,4
4,1,110,2,76,516,5
4,1,110,2,76,517,5
4,1,110,2,76,518,5
4,1,110,2,76,519,4
4,1,110,2,76,520,4
4,1,110,2,76,521,3
4,1,110,2,76,522,4
4,1,110,2,76,523,4
4,1,110,2,76,524,6
4,1,110,2,76,525,2
4,1,110,2,76,526,4
4,1,110,2,76,527,4
4,1,110,2,76,528,4
4,1,110,2,76,529,4
4,1,110,2,76,530,4
4,1,110,2,76,531,4
4,1,110,2,76,532,5
4,1,110,2,76,533,4
4,1,110,2,76,534,3
4,1,111,1,1146,501,4
4,1,111,1,1146,502,5
4,1,111,1,1146,503,5
4,1,111,1,1146,504,5
4,1,111,1,1146,505,5
4,1,111,1,1146,506,4
4,1,111,1,1146,507,5
4,1,111,1,1146,508,6
4,1,111,1,1146,509,6
4,1,111,1,1146,510,5
4,1,111,1,1146,511,5
4,1,111,1,1146,512,5
4,1,111,1,1146,513,5
4,1,111,1,1146,514,5
4,1,111,1,1146,515,4
4,1,111,1,1146,516,5
4,1,111,1,1146,517,5
4,1,111,1,1146,518,5
4,1,111,1,1146,519,5
4,1,111,1,1146,520,5
4,1,111,1,1146,521,3
4,1,111,1,1146,522,4
4,1,111,1,1146,523,4
4,1,111,1,1146,524,6
4,1,111,1,1146,525,1
4,1,111,1,1146,526,4
4,1,111,1,1146,527,4
4,1,111,1,1146,528,4
4,1,111,1,1146,529,3
4,1,111,1,1146,530,3
4,1,111,1,1146,531,3
4,1,111,1,1146,532,3
4,1,111,1,1146,533,4
4,1,111,1,1146,534,4
4,1,115,1,670,501,5
4,1,115,1,670,502,5
4,1,115,1,670,503,4
4,1,115,1,670,504,4
4,1,115,1,670,505,4
4,1,115,1,670,506,4
4,1,115,1,670,507,4
4,1,115,1,670,508,6
4,1,115,1,670,509,6
4,1,115,1,670,510,4
4,1,115,1,670,511,5
4,1,115,1,670,512,5
4,1,115,1,670,513,5
4,1,115,1,670,514,5
4,1,115,1,670,515,4
4,1,115,1,670,516,5
4,1,115,1,670,517,5
4,1,115,1,670,518,5
4,1,115,1,670,519,5
4,1,115,1,670,520,5
4,1,115,1,670,521,3
4,1,115,1,670,522,5
4,1,115,1,670,523,5
4,1,115,1,670,524,6
4,1,115,1,670,525,1
4,1,115,1,670,526,5
4,1,115,1,670,527,5
4,1,115,1,670,528,5
4,1,115,1,670,529,3
4,1,115,1,670,530,3
4,1,115,1,670,531,3
4,1,115,1,670,532,3
4,1,115,1,670,533,4
4,1,115,1,670,534,4
4,1,117,2,560,501,4
4,1,117,2,560,502,5
4,1,117,2,560,503,4
4,1,117,2,560,504,4
4,1,117,2,560,505,3
4,1,117,2,560,506,3
4,1,117,2,560,507,2
4,1,117,2,560,508,5
4,1,117,2,560,509,5
4,1,117,2,560,510,4
4,1,117,2,560,511,4
4,1,117,2,560,512,5
4,1,117,2,560,513,4
4,1,117,2,560,514,5
4,1,117,2,560,515,3
4,1,117,2,560,516,4
4,1,117,2,560,517,4
4,1,117,2,560,518,4
4,1,117,2,560,519,3
4,1,117,2,560,520,4
4,1,117,2,560,521,3
4,1,117,2,560,522,4
