"zone","state","lga","sector","ea","item_cd","sc8q1","sc8q2"
4,1,102,1,1690,53,1,10
4,1,102,1,1690,54,1,100
4,1,102,1,1690,55,1,1000
4,1,102,1,1690,60,2,0
4,1,102,1,1690,61,1,200
4,1,102,1,1690,62,1,500
4,1,102,1,1690,63,1,200
4,1,102,1,1690,64,2,0
4,1,102,1,1690,65,1,60
4,1,102,1,1690,70,1,180
4,1,102,1,1690,71,2,0
4,1,102,1,1690,72,2,0
4,1,102,1,1690,73,1,280
4,1,102,1,1690,74,2,0
4,1,102,1,1690,75,2,0
4,1,102,1,1690,76,1,220
4,1,102,1,1690,78,1,250
4,1,102,1,1690,80,1,1200
4,1,102,1,1690,81,1,20
4,1,102,1,1690,82,1,20
4,1,102,1,1690,83,1,30
4,1,102,1,1690,84,1,100
4,1,102,1,1690,85,1,30
4,1,102,1,1690,86,1,150
4,1,102,1,1690,87,1,100
4,1,102,1,1690,88,2,0
4,1,102,1,1690,90,2,0
4,1,102,1,1690,91,1,100
4,1,102,1,1690,101,1,200
4,1,102,1,1690,102,1,30
4,1,102,1,1690,103,1,10
4,1,102,1,1690,104,1,250
4,1,102,1,1690,105,2,0
4,1,102,1,1690,106,1,250
4,1,102,1,1690,107,1,100
4,1,102,1,1690,108,1,30
4,1,102,1,1690,109,2,0
4,1,102,1,1690,111,1,30
4,1,102,1,1690,120,1,650
4,1,102,1,1690,121,2,0
4,1,102,1,1690,122,2,0
4,1,102,1,1690,123,2,0
4,1,102,1,1690,125,1,700
4,1,102,1,1690,126,1,30
4,1,102,1,1690,130,1,500
4,1,102,1,1690,131,2,0
4,1,102,1,1690,132,2,0
4,1,102,1,1690,133,1,500
4,1,102,1,1690,134,1,1000
4,1,102,1,1690,136,1,450
4,1,102,1,1690,140,1,400
4,1,102,1,1690,141,1,300
4,1,102,1,1690,142,1,350
4,1,102,1,1690,143,1,400
4,1,102,1,1690,144,1,400
4,1,102,1,1690,145,1,400
4,1,102,1,1690,146,2,0
4,1,102,1,1690,147,1,80
4,1,102,1,1690,150,2,0
4,1,102,1,1690,152,1,1050
4,1,102,1,1690,154,1,100
4,1,102,1,1690,170,1,200
4,1,102,1,1690,171,1,200
4,1,102,1,1690,172,1,150
4,1,102,1,1690,173,1,150
4,1,102,1,1690,174,1,200
4,1,102,1,1690,175,2,0
4,1,102,1,1690,181,1,350
4,1,102,1,1690,182,1,1000
4,1,102,1,1690,183,2,0
4,1,102,1,1690,184,2,0
4,1,102,1,1690,201,1,5
4,1,102,1,1690,202,1,100
4,1,102,1,1690,204,1,50
4,1,102,1,1690,903,1,100
4,1,102,1,1690,904,2,0
4,1,102,1,1690,905,1,500
4,1,102,1,1690,951,1,150
4,1,102,1,1690,952,1,250
4,1,102,1,1690,1511,2,0
4,1,102,1,1690,1512,1,500
4,1,102,1,1690,1513,1,1100
4,1,102,1,1690,1531,1,60
4,1,102,1,1690,1532,2,0
4,1,102,1,1690,1533,1,100
4,1,102,1,1690,1551,1,100
4,1,102,1,1690,1552,1,150
4,1,102,1,1690,1553,1,300
4,1,102,1,1690,1601,1,20
4,1,102,1,1690,1602,1,250
4,1,102,1,1690,1611,2,0
4,1,102,1,1690,1612,1,550
4,1,102,1,1690,1613,1,1200
4,1,102,1,1690,1621,1,5
4,1,102,1,1690,1622,1,150
4,1,102,1,1690,1801,1,10
4,1,102,1,1690,1802,1,180
4,1,102,1,1690,1901,1,10
4,1,102,1,1690,1902,2,0
4,1,102,1,1690,2001,1,50
4,1,102,1,1690,2002,1,70
4,1,102,1,1690,2003,1,120
4,1,102,1,1690,2031,1,50
4,1,102,1,1690,2032,1,60
4,1,102,1,1690,2033,1,100
4,1,102,1,1690,9001,2,0
4,1,102,1,1690,9002,2,0
4,1,102,1,1690,9003,1,180
4,1,102,1,1690,9004,1,120
4,1,102,1,1690,9011,1,180
4,1,102,1,1690,9012,1,220
4,1,102,1,1690,9013,1,280
4,1,102,1,1690,9014,1,1180
4,1,104,2,1364,1,2,0
4,1,104,2,1364,2,2,0
4,1,104,2,1364,3,1,200
4,1,104,2,1364,4,2,0
4,1,104,2,1364,5,1,160
4,1,104,2,1364,7,1,200
4,1,104,2,1364,8,1,50
4,1,104,2,1364,9,1,10
4,1,104,2,1364,10,1,10
4,1,104,2,1364,11,2,0
4,1,104,2,1364,20,2,0
4,1,104,2,1364,21,2,0
4,1,104,2,1364,22,2,0
4,1,104,2,1364,23,2,0
4,1,104,2,1364,24,2,0
4,1,104,2,1364,30,2,0
4,1,104,2,1364,31,1,250
4,1,104,2,1364,32,1,85
4,1,104,2,1364,33,1,85
4,1,104,2,1364,34,1,5
4,1,104,2,1364,35,1,30
4,1,104,2,1364,36,2,0
4,1,104,2,1364,37,2,0
4,1,104,2,1364,38,1,80
4,1,104,2,1364,50,1,40
4,1,104,2,1364,51,2,0
4,1,104,2,1364,52,1,20
4,1,104,2,1364,53,1,10
4,1,104,2,1364,54,1,350
4,1,104,2,1364,55,2,0
4,1,104,2,1364,60,2,0
4,1,104,2,1364,61,1,200
4,1,104,2,1364,62,1,300
4,1,104,2,1364,63,1,20
4,1,104,2,1364,64,2,0
4,1,104,2,1364,65,1,50
4,1,104,2,1364,70,1,150
4,1,104,2,1364,71,2,0
4,1,104,2,1364,72,2,0
4,1,104,2,1364,73,1,250
4,1,104,2,1364,74,2,0
4,1,104,2,1364,75,2,0
4,1,104,2,1364,76,1,250
4,1,104,2,1364,78,1,250
4,1,104,2,1364,80,1,850
4,1,104,2,1364,81,1,50
4,1,104,2,1364,82,1,0
4,1,104,2,1364,83,1,10
4,1,104,2,1364,84,1,50
4,1,104,2,1364,85,1,10
4,1,104,2,1364,86,1,150
4,1,104,2,1364,87,1,300
4,1,104,2,1364,88,1,300
4,1,104,2,1364,90,2,0
4,1,104,2,1364,91,1,120
4,1,104,2,1364,101,1,400
4,1,104,2,1364,102,1,30
4,1,104,2,1364,103,1,10
4,1,104,2,1364,104,1,300
4,1,104,2,1364,105,2,0
4,1,104,2,1364,106,1,300
4,1,104,2,1364,107,2,0
4,1,104,2,1364,108,1,30
4,1,104,2,1364,109,2,0
4,1,104,2,1364,111,1,30
4,1,104,2,1364,120,2,0
4,1,104,2,1364,121,2,0
4,1,104,2,1364,122,2,0
4,1,104,2,1364,123,2,0
4,1,104,2,1364,125,1,800
4,1,104,2,1364,126,1,30
4,1,104,2,1364,130,1,650
4,1,104,2,1364,131,2,0
4,1,104,2,1364,132,1,600
4,1,104,2,1364,133,1,650
4,1,104,2,1364,134,1,800
4,1,104,2,1364,136,2,0
4,1,104,2,1364,140,2,0
4,1,104,2,1364,141,1,350
4,1,104,2,1364,142,1,300
4,1,104,2,1364,143,1,500
4,1,104,2,1364,144,2,0
4,1,104,2,1364,145,1,400
4,1,104,2,1364,146,2,0
4,1,104,2,1364,147,1,120
4,1,104,2,1364,150,2,0
4,1,104,2,1364,152,1,1200
4,1,104,2,1364,154,1,50
4,1,104,2,1364,170,1,150
4,1,104,2,1364,171,1,150
4,1,104,2,1364,172,2,0
4,1,104,2,1364,173,2,0
4,1,104,2,1364,174,1,150
4,1,104,2,1364,175,2,0
4,1,104,2,1364,182,1,1400
4,1,104,2,1364,183,2,0
4,1,104,2,1364,184,2,0
4,1,104,2,1364,201,1,10
4,1,104,2,1364,202,1,100
4,1,104,2,1364,204,1,50
4,1,104,2,1364,903,1,60
4,1,104,2,1364,904,2,0
4,1,104,2,1364,905,2,0
4,1,104,2,1364,906,1,650
4,1,104,2,1364,951,1,170
4,1,104,2,1364,952,2,0
4,1,104,2,1364,1511,2,0
4,1,104,2,1364,1512,1,600
4,1,104,2,1364,1513,1,1400
4,1,104,2,1364,1531,1,80
4,1,104,2,1364,1532,2,0
4,1,104,2,1364,1533,1,100
4,1,104,2,1364,1551,2,0
4,1,104,2,1364,1552,2,0
4,1,104,2,1364,1553,2,0
4,1,104,2,1364,1601,1,20
4,1,104,2,1364,1602,1,280
4,1,104,2,1364,1611,2,0
4,1,104,2,1364,1612,1,600
4,1,104,2,1364,1613,1,1350
4,1,104,2,1364,1621,1,10
4,1,104,2,1364,1622,1,150
4,1,104,2,1364,1801,1,10
4,1,104,2,1364,1802,2,0
4,1,104,2,1364,1901,1,10
4,1,104,2,1364,1902,2,0
4,1,104,2,1364,2001,1,50
4,1,104,2,1364,2002,1,80
4,1,104,2,1364,2003,1,120
4,1,104,2,1364,2031,1,50
4,1,104,2,1364,2032,1,60
4,1,104,2,1364,2033,1,100
4,1,104,2,1364,9001,2,0
4,1,104,2,1364,9002,2,0
4,1,104,2,1364,9003,1,200
4,1,104,2,1364,9004,2,0
4,1,104,2,1364,9011,1,180
4,1,104,2,1364,9012,1,230
4,1,104,2,1364,9013,1,300
4,1,104,2,1364,9014,1,180
4,1,105,2,638,1,2,0
4,1,105,2,638,2,2,0
4,1,105,2,638,3,2,0
4,1,105,2,638,4,2,0
4,1,105,2,638,5,1,160
4,1,105,2,638,7,1,200
4,1,105,2,638,8,1,50
4,1,105,2,638,9,1,10
4,1,105,2,638,10,1,10
4,1,105,2,638,11,2,0
4,1,105,2,638,20,2,0
4,1,105,2,638,21,2,0
4,1,105,2,638,22,2,0
4,1,105,2,638,23,2,0
4,1,105,2,638,24,2,0
4,1,105,2,638,30,2,0
4,1,105,2,638,31,1,250
4,1,105,2,638,32,1,85
4,1,105,2,638,33,1,85
4,1,105,2,638,34,1,5
4,1,105,2,638,35,1,30
4,1,105,2,638,36,2,0
4,1,105,2,638,37,2,0
4,1,105,2,638,38,1,80
4,1,105,2,638,50,1,160
4,1,105,2,638,51,2,0
4,1,105,2,638,52,1,20
4,1,105,2,638,53,1,10
4,1,105,2,638,54,2,0
4,1,105,2,638,55,2,0
4,1,105,2,638,60,2,0
4,1,105,2,638,61,1,200
4,1,105,2,638,62,1,350
4,1,105,2,638,63,2,0
4,1,105,2,638,64,2,0
4,1,105,2,638,65,1,50
4,1,105,2,638,70,1,150
4,1,105,2,638,71,2,0
4,1,105,2,638,72,2,0
4,1,105,2,638,73,2,0
4,1,105,2,638,74,2,0
4,1,105,2,638,75,2,0
4,1,105,2,638,76,1,250
4,1,105,2,638,78,1,250
4,1,105,2,638,80,1,900
4,1,105,2,638,81,2,0
4,1,105,2,638,82,1,10
4,1,105,2,638,83,1,50
4,1,105,2,638,84,1,40
4,1,105,2,638,85,1,10
4,1,105,2,638,86,1,150
4,1,105,2,638,87,2,0
4,1,105,2,638,88,2,0
4,1,105,2,638,90,2,0
4,1,105,2,638,91,1,120
4,1,105,2,638,101,2,0
4,1,105,2,638,102,1,20
4,1,105,2,638,103,2,0
4,1,105,2,638,104,2,0
4,1,105,2,638,105,2,0
4,1,105,2,638,106,2,0
4,1,105,2,638,107,2,0
4,1,105,2,638,108,2,0
4,1,105,2,638,109,2,0
4,1,105,2,638,111,1,30
4,1,105,2,638,120,2,0
4,1,105,2,638,121,2,0
4,1,105,2,638,122,2,0
4,1,105,2,638,123,2,0
4,1,105,2,638,125,1,800
4,1,105,2,638,126,1,20
4,1,105,2,638,130,1,650
4,1,105,2,638,131,2,0
4,1,105,2,638,132,1,600
4,1,105,2,638,133,1,650
4,1,105,2,638,134,2,0
4,1,105,2,638,136,2,0
