"zone","state","lga","sector","ea","resource_cd","resourcespec","sc4q1","sc4q2","sc4q3","sc4q4a","sc4q4b","sc4q4c","sc4q4d","sc4q5a","sc4q5b","sc4q5c","sc4q5d"
5,3,301,1,1198,405,,2,,,,,,,,,,
5,3,305,2,4,401,,2,,,,,,,,,,
5,3,305,2,4,402,,2,,,,,,,,,,
5,3,305,2,4,403,,2,,,,,,,,,,
5,3,305,2,4,404,,2,,,,,,,,,,
5,3,307,1,634,401,,1,1,1,1,,,,1,,,
5,3,307,1,634,402,,2,,,,,,,,,,
5,3,307,1,634,403,,2,,,,,,,,,,
5,3,307,1,634,404,,2,,,,,,,,,,
5,3,309,2,478,401,,1,1,1,1,1,,,,,,
5,3,309,2,478,402,,2,,,,,,,,,,
5,3,309,2,478,403,,2,,,,,,,,,,
5,3,309,2,478,404,,2,,,,,,,,,,
5,3,312,2,20,401,,2,,,,,,,,,,
5,3,312,2,20,402,,2,,,,,,,,,,
5,3,312,2,20,403,,2,,,,,,,,,,
5,3,312,2,20,404,,2,,,,,,,,,,
5,3,312,2,20,405,,2,,,,,,,,,,
5,3,313,2,70,401,,2,,,,,,,,,,
5,3,313,2,70,402,,2,,,,,,,,,,
5,3,313,2,70,403,,2,,,,,,,,,,
5,3,313,2,70,404,,2,,,,,,,,,,
5,3,313,2,70,405,,2,,,,,,,,,,
5,3,316,2,874,401,,2,,,,,,,,,,
5,3,316,2,874,402,,2,,,,,,,,,,
5,3,316,2,874,403,,2,,,,,,,,,,
5,3,316,2,874,404,,2,,,,,,,,,,
5,3,318,2,1136,401,,1,1,1,1,2,,,1,,,
5,3,318,2,1136,402,,2,,,,,,,,,,
5,3,318,2,1136,403,,2,,,,,,,,,,
5,3,318,2,1136,404,,2,,,,,,,,,,
5,3,318,2,1136,405,,2,,,,,,,,,,
5,3,321,2,364,401,,1,2,,,,,,,,,
5,3,321,2,364,402,,2,,,,,,,,,,
5,3,321,2,364,403,,2,,,,,,,,,,
5,3,321,2,364,404,,2,,,,,,,,,,
5,3,323,2,580,401,,1,1,1,,,,,,,,
5,3,323,2,580,402,,1,1,1,1,2,,,1,2,,
5,3,323,2,580,403,,2,,,,,,,,,,
5,3,323,2,580,404,,2,,,,,,,,,,
5,3,326,2,74,401,,2,,,,,,,,,,
5,3,326,2,74,402,,2,,,,,,,,,,
5,3,326,2,74,403,,2,,,,,,,,,,
5,3,326,2,74,404,,2,,,,,,,,,,
5,3,329,2,696,401,,1,1,1,1,,,,1,,,
5,3,329,2,696,402,,2,,,,,,,,,,
5,3,329,2,696,403,,2,,,,,,,,,,
5,3,329,2,696,404,,2,,,,,,,,,,
5,3,331,1,516,401,,2,,,,,,,,,,
5,3,331,1,516,402,,2,,,,,,,,,,
5,3,331,1,516,403,,2,,,,,,,,,,
5,3,331,1,516,404,,2,,,,,,,,,,
5,3,331,1,2322,401,,2,,,,,,,,,,
5,3,331,1,2322,402,,2,,,,,,,,,,
5,3,331,1,2322,403,,2,,,,,,,,,,
5,3,331,1,2322,404,,2,,,,,,,,,,
4,4,401,1,738,401,,2,,,,,,,,,,
4,4,401,1,738,402,,2,,,,,,,,,,
4,4,401,1,738,403,,2,,,,,,,,,,
4,4,401,1,738,404,,2,,,,,,,,,,
4,4,401,1,738,405,,2,,,,,,,,,,
4,4,401,1,1460,401,,2,,,,,,,,,,
4,4,401,1,1460,402,,2,,,,,,,,,,
4,4,401,1,1460,403,,2,,,,,,,,,,
4,4,401,1,1460,404,,2,,,,,,,,,,
4,4,401,1,1460,405,,2,,,,,,,,,,
4,4,401,2,2106,401,,2,,,,,,,,,,
4,4,401,2,2106,402,,2,,,,,,,,,,
4,4,401,2,2106,403,,2,,,,,,,,,,
4,4,401,2,2106,404,,2,,,,,,,,,,
4,4,401,2,2106,405,,2,,,,,,,,,,
4,4,402,2,1080,401,,2,,,,,,,,,,
4,4,402,2,1080,402,,2,,,,,,,,,,
4,4,402,2,1080,403,,2,,,,,,,,,,
4,4,402,2,1080,404,,2,,,,,,,,,,
4,4,402,2,1080,405,,2,,,,,,,,,,
4,4,403,2,836,401,,2,,,,,,,,,,
4,4,403,2,836,402,,2,,,,,,,,,,
4,4,403,2,836,403,,2,,,,,,,,,,
4,4,403,2,836,404,,2,,,,,,,,,,
4,4,403,2,836,405,,2,,,,,,,,,,
4,4,405,2,484,401,,1,1,1,1,3,2,,1,3,2,
4,4,405,2,484,402,,1,1,1,1,3,2,,1,3,2,
4,4,405,2,484,403,,1,,1,1,3,2,,1,3,2,
4,4,405,2,484,404,,2,,,,,,,,,,
4,4,405,2,484,405,,2,,,,,,,,,,
4,4,405,2,722,401,,1,1,1,3,2,1,,1,2,3,
4,4,405,2,722,402,,2,,,,,,,,,,
4,4,405,2,722,403,,2,,,,,,,,,,
4,4,405,2,722,404,,2,,,,,,,,,,
4,4,405,2,722,405,,2,,,,,,,,,,
4,4,407,2,796,401,,1,1,1,2,1,3,,1,2,3,
4,4,407,2,796,402,,2,,,,,,,,,,
4,4,407,2,796,403,,2,,,,,,,,,,
4,4,407,2,796,404,,2,,,,,,,,,,
4,4,410,1,3192,401,,2,,,,,,,,,,
