"zone","state","lga","sector","ea","group_cd","groupspecify","sc3q1","sc3q2","sc3q3a","sc3q3b","sc3q4","sc3q5","sc3q6"
4,1,111,1,1146,311,,1,10,3,,60,25,17
4,1,111,1,1146,312,,2,,,,,,
4,1,111,1,1146,313,,2,,,,,,
4,1,111,1,1146,314,,2,,,,,,
4,1,115,1,670,301,,2,,,,,,
4,1,115,1,670,302,,2,,,,,,
4,1,115,1,670,303,,2,,,,,,
4,1,115,1,670,304,,2,,,,,,
4,1,115,1,670,305,,2,,,,,,
4,1,115,1,670,306,,2,,,,,,
4,1,115,1,670,307,,2,,,,,,
4,1,115,1,670,308,,2,,,,,,
4,1,115,1,670,309,,2,,,,,,
4,1,115,1,670,310,,2,,,,,,
4,1,115,1,670,311,,2,,,,,,
4,1,115,1,670,312,,2,,,,,,
4,1,115,1,670,313,,2,,,,,,
4,1,115,1,670,314,,2,,,,,,
4,1,115,1,670,315,,2,,,,,,
4,1,117,2,560,301,,1,5,2,,15,5,0
4,1,117,2,560,302,,1,1,2,,40,12,0
4,1,117,2,560,303,,2,,,,,,
4,1,117,2,560,304,,1,1,1,,45,0,8
4,1,117,2,560,305,,1,5,2,,35,35,7
4,1,117,2,560,306,,1,5,2,,120,53,90
4,1,117,2,560,307,,1,6,1,,50,29,20
4,1,117,2,560,308,,1,5,2,,15,5,0
4,1,117,2,560,309,,1,1,1,,10,4,0
4,1,117,2,560,310,,1,1,1,,15,6,0
4,1,117,2,560,311,,1,1,1,,15,5,0
4,1,117,2,560,312,,2,,,,,,
4,1,117,2,560,313,,1,1,6,"DAILY",12,0,0
4,1,117,2,560,314,,2,,,,,,
4,1,117,2,560,315,,2,,,,,,
2,2,201,2,60,301,,1,1,2,,95,40,25
2,2,201,2,60,302,,1,4,3,,30,10,5
2,2,201,2,60,303,,1,3,2,,20,6,
2,2,201,2,60,304,,2,,,,,,
2,2,201,2,60,305,,1,4,1,,70,70,20
2,2,201,2,60,306,,1,1,2,,200,80,10
2,2,201,2,60,307,,1,6,1,,300,30,
2,2,201,2,60,308,,1,3,5,,100,400,50
2,2,201,2,60,309,,2,,,,,,
2,2,201,2,60,310,,1,1,3,,18,6,
2,2,201,2,60,311,,1,1,2,,600,200,50
2,2,201,2,60,312,,2,,,,,,
2,2,201,2,60,313,,1,1,2,,20,,
2,2,201,2,60,314,,2,,,,,,
2,2,201,2,60,315,,,,,,,,
2,2,203,2,1224,301,,1,3,5,,800,100,30
2,2,203,2,1224,302,,1,3,2,,105,,30
2,2,203,2,1224,303,,1,2,1,,50,,35
2,2,203,2,1224,304,,2,,,,,,
2,2,203,2,1224,305,,1,5,2,,100,,60
2,2,203,2,1224,306,,1,2,1,,105,,40
2,2,203,2,1224,307,,1,2,1,,50,,20
2,2,203,2,1224,308,,1,2,1,,60,,35
2,2,203,2,1224,309,,2,,,,,,
2,2,203,2,1224,310,,2,,,,,,
2,2,203,2,1224,311,,1,1,2,,500,,30
2,2,203,2,1224,312,,2,,,,,,
2,2,203,2,1224,313,,2,,,,,,
2,2,203,2,1224,314,,2,,,,,,
2,2,203,2,1224,315,,2,,,,,,
2,2,205,2,712,301,,2,,,,,,
2,2,205,2,712,302,,2,,,,,,
2,2,205,2,712,303,,2,,,,,,
2,2,205,2,712,304,,2,,,,,,
2,2,205,2,712,305,,1,4,2,,20,20,10
2,2,205,2,712,306,,1,4,2,,38,10,20
2,2,205,2,712,307,,1,10,1,,30,5,20
2,2,205,2,712,308,,1,1,5,,100,30,10
2,2,205,2,712,309,,2,,,,,,
2,2,205,2,712,310,,2,,,,,,
2,2,205,2,712,311,,1,3,3,,82,14,30
2,2,205,2,712,312,,2,,,,,,
2,2,205,2,712,313,,2,,,,,,
2,2,205,2,712,314,,2,,,,,,
2,2,205,2,712,315,,2,,,,,,
2,2,207,2,1302,301,,2,,,,,,
2,2,207,2,1302,302,,2,,,,,,
2,2,207,2,1302,303,,2,,,,,,
2,2,207,2,1302,304,,2,,,,,,
2,2,207,2,1302,305,,1,1,2,,35,35,15
2,2,207,2,1302,306,,1,1,2,,40,13,35
2,2,207,2,1302,307,,1,3,2,,40,13,35
2,2,207,2,1302,308,,1,1,4,,50,26,15
2,2,207,2,1302,309,,2,,,,,,
2,2,207,2,1302,310,,2,,,,,,
2,2,207,2,1302,311,,1,2,3,,81,11,11
2,2,207,2,1302,312,,2,,,,,,
2,2,207,2,1302,313,,2,,,,,,
2,2,207,2,1302,314,,2,,,,,,
2,2,207,2,1302,315,,2,,,,,,
2,2,209,2,1040,301,,2,,,,,,
2,2,209,2,1040,302,,2,,,,,,
2,2,209,2,1040,303,,2,,,,,,
2,2,209,2,1040,304,,2,,,,,,
2,2,209,2,1040,305,,1,1,2,,50,50,30
