"zone","state","lga","sector","ea","pid","sc1q2","sc1q3","sc1q5","sc1q6"
2,2,216,2,200,3,1,31,30,26
2,2,216,2,200,4,1,41,20,26
2,2,216,2,200,5,2,50,36,0
2,2,216,2,200,6,1,43,43,17
2,2,216,2,200,7,1,41,47,11
2,2,216,2,200,8,1,36,38,11
2,2,216,2,200,9,2,50,21,11
2,2,218,2,1592,1,1,67,36,0
2,2,218,2,1592,2,1,58,37,0
2,2,218,2,1592,3,1,42,20,0
2,2,218,2,1592,4,1,38,38,0
2,2,218,2,1592,5,1,60,35,0
2,2,218,2,1592,6,1,37,19,0
2,2,218,2,1592,7,1,46,30,0
2,2,221,2,18,1,1,51,51,0
2,2,221,2,18,2,1,31,11,0
2,2,221,2,18,3,1,45,45,16
2,2,221,2,18,4,1,59,23,0
2,2,221,2,18,5,2,23,23,0
2,2,221,2,18,6,2,20,20,0
2,2,221,2,18,7,1,25,25,26
2,2,221,2,18,8,1,28,28,26
2,2,221,2,18,9,1,45,15,26
5,3,301,1,1198,1,1,77,36,41
5,3,301,1,1198,2,2,61,23,26
5,3,301,1,1198,3,1,65,65,16
5,3,301,1,1198,4,1,60,60,13
5,3,301,1,1198,5,1,48,48,15
5,3,305,2,4,1,1,70,28,42
5,3,305,2,4,2,1,52,30,34
5,3,305,2,4,3,1,40,28,16
5,3,305,2,4,4,1,85,48,43
5,3,305,2,4,5,2,68,36,0
5,3,305,2,1542,1,2,36,34,34
5,3,305,2,1542,2,1,60,60,16
5,3,305,2,1542,3,1,74,36,34
5,3,305,2,1542,4,1,69,69,34
5,3,305,2,1542,5,1,,,
5,3,307,1,634,1,1,60,40,43
5,3,307,1,634,2,1,70,70,16
5,3,307,1,634,3,1,64,64,12
5,3,307,1,634,4,2,36,14,24
5,3,307,1,634,5,2,36,24,27
5,3,309,2,478,1,1,75,28,34
5,3,309,2,478,2,1,60,47,16
5,3,309,2,478,3,2,50,15,0
5,3,309,2,478,4,1,31,31,16
5,3,309,2,478,5,1,30,18,23
5,3,312,2,20,1,1,24,23,26
5,3,312,2,20,2,1,66,31,13
5,3,312,2,20,3,1,40,40,16
5,3,312,2,20,4,2,48,30,16
5,3,312,2,20,5,2,65,60,0
5,3,313,2,70,1,1,64,64,16
5,3,313,2,70,2,1,65,30,32
5,3,313,2,70,3,1,42,32,26
5,3,313,2,70,4,1,52,28,16
5,3,313,2,70,5,2,78,78,0
5,3,316,2,874,1,1,35,25,26
5,3,316,2,874,2,1,35,32,16
5,3,316,2,874,3,2,52,37,13
5,3,316,2,874,4,1,40,40,14
5,3,316,2,874,5,1,36,36,16
5,3,318,2,1136,1,1,62,30,41
5,3,318,2,1136,2,1,70,70,34
5,3,318,2,1136,3,1,71,71,34
5,3,318,2,1136,4,1,65,35,42
5,3,318,2,1136,5,2,56,56,34
5,3,321,2,364,1,1,33,33,26
5,3,321,2,364,2,1,57,41,16
5,3,321,2,364,3,1,52,52,16
5,3,321,2,364,4,2,33,33,26
5,3,321,2,364,5,1,47,47,34
5,3,323,2,580,1,1,76,76,34
5,3,323,2,580,2,1,73,34,34
5,3,323,2,580,3,1,65,65,16
5,3,323,2,580,4,2,62,62,31
5,3,323,2,580,5,1,40,40,26
5,3,326,2,74,1,2,50,25,2
5,3,326,2,74,2,1,63,32,14
5,3,326,2,74,3,1,23,23,26
5,3,326,2,74,4,1,40,40,41
5,3,326,2,74,5,2,46,45,26
5,3,329,2,696,1,1,49,8,42
5,3,329,2,696,2,2,37,10,22
5,3,329,2,696,3,1,41,4,34
5,3,329,2,696,4,2,73,55,16
5,3,329,2,696,5,1,80,80,2
5,3,331,1,516,1,1,69,69,15
5,3,331,1,516,2,1,57,47,16
5,3,331,1,516,3,1,49,49,16
5,3,331,1,516,4,2,58,31,16
5,3,331,1,2322,1,1,71,71,16
5,3,331,1,2322,2,1,60,60,16
5,3,331,1,2322,3,1,60,60,16
5,3,331,1,2322,4,1,76,11,16
5,3,331,1,2322,5,2,60,60,16
4,4,401,1,738,1,1,43,10,41
4,4,401,1,738,2,1,48,20,28
4,4,401,1,738,3,2,62,15,23
4,4,401,1,738,4,2,61,61,16
4,4,401,1,738,5,1,58,57,23
4,4,401,1,738,6,1,60,30,42
4,4,401,1,1460,1,1,41,21,16
4,4,401,1,1460,2,2,32,21,28
4,4,401,1,1460,3,1,45,15,28
4,4,401,1,1460,4,1,61,9,42
4,4,401,1,1460,5,1,52,14,28
4,4,401,2,2106,1,1,63,21,43
4,4,401,2,2106,2,2,47,47,14
4,4,401,2,2106,3,1,72,20,16
4,4,401,2,2106,4,1,19,18,23
4,4,401,2,2106,5,1,52,20,16
4,4,402,2,1080,1,1,59,28,16
4,4,402,2,1080,2,1,62,31,16
4,4,402,2,1080,3,1,72,40,24
4,4,402,2,1080,4,1,42,28,26
4,4,402,2,1080,5,1,57,30,26
4,4,403,2,836,1,1,40,20,16
4,4,403,2,836,2,1,52,40,26
4,4,403,2,836,3,2,42,50,26
4,4,403,2,836,4,2,43,25,43
4,4,405,2,484,1,1,74,10,15
4,4,405,2,484,2,1,74,10,16
4,4,405,2,484,3,1,62,15,16
4,4,405,2,484,4,1,27,3,26
4,4,405,2,722,1,1,91,70,11
4,4,405,2,722,2,1,93,75,11
4,4,405,2,722,3,1,90,71,12
4,4,405,2,722,4,1,71,42,15
4,4,405,2,722,5,2,70,38,0
4,4,405,2,722,6,1,53,17,16
4,4,407,2,796,1,1,50,6,28
4,4,407,2,796,2,1,59,26,34
4,4,407,2,796,3,1,62,16,16
4,4,407,2,796,4,2,54,15,34
4,4,407,2,796,5,2,48,18,34
4,4,407,2,796,6,2,49,19,34
4,4,410,1,3192,1,1,65,20,23
4,4,410,1,3192,2,1,53,12,23
4,4,410,1,3192,3,2,49,12,16
4,4,410,1,3192,4,2,39,10,16
4,4,410,1,3192,5,1,35,6,23
4,4,410,1,3414,1,1,64,10,28
4,4,410,1,3414,2,1,60,9,16
4,4,410,1,3414,3,1,20,6,16
4,4,410,1,3414,4,1,52,20,28
4,4,410,1,3414,5,1,35,10,28
4,4,410,2,4036,1,1,45,40,43
4,4,410,2,4036,2,1,50,40,16
4,4,410,2,4036,3,1,62,45,26
4,4,410,2,4036,4,2,65,25,26
4,4,410,2,4036,5,1,70,20,43
4,4,411,1,1486,1,1,62,50,16
4,4,411,1,1486,2,1,60,30,16
4,4,411,1,1486,3,2,50,45,34
4,4,412,2,1606,1,1,590,45,43
4,4,412,2,1606,2,1,68,50,43
4,4,412,2,1606,3,1,75,70,43
4,4,412,2,1606,4,1,50,40,16
4,4,412,2,1606,5,2,48,20,16
4,4,412,2,2592,1,1,45,40,42
4,4,412,2,2592,2,1,50,30,42
4,4,412,2,2592,3,2,30,25,42
4,4,413,2,1540,1,1,71,10,41
4,4,413,2,1540,2,1,50,25,16
4,4,413,2,1540,3,2,66,30,28
4,4,413,2,1540,4,2,29,29,28
4,4,414,1,2176,1,1,46,40,43
4,4,414,1,2176,2,1,42,42,43
4,4,414,1,2176,3,2,40,40,23
4,4,414,1,2176,4,1,38,38,16
4,4,414,1,2176,5,1,34,34,22
4,4,415,1,2108,1,1,70,40,42
4,4,415,1,2108,2,1,38,30,42
4,4,415,1,2108,3,1,57,45,16
4,4,415,1,2108,4,2,35,25,16
4,4,416,1,616,1,1,66,25,16
4,4,416,1,616,2,1,39,20,23
4,4,416,1,616,3,1,45,20,26
4,4,416,1,616,4,1,60,15,26
4,4,416,1,616,5,2,30,18,23
4,4,417,1,678,1,1,68,20,42
4,4,417,1,678,2,1,70,25,31
4,4,417,1,678,3,2,28,15,34
4,4,417,1,678,4,1,35,12,16
4,4,417,1,678,5,1,150,10,13
4,4,418,1,44,1,1,55,28,42
4,4,418,1,44,2,1,65,20,16
4,4,418,1,44,3,1,27,25,23
4,4,418,1,44,4,1,25,10,16
4,4,418,1,44,5,2,28,10,33
4,4,419,2,296,1,1,86,86,16
4,4,419,2,296,2,2,75,40,14
4,4,419,2,296,3,1,46,13,34
4,4,419,2,296,4,1,45,15,41
4,4,419,2,296,5,1,80,50,16
4,4,419,2,296,6,1,20,14,28
4,4,421,1,800,1,1,41,16,28
4,4,421,1,800,2,2,26,11,23
4,4,421,1,800,3,1,19,9,28
4,4,421,1,800,4,1,22,5,28
4,4,421,1,800,5,1,36,4,16
4,4,421,1,800,6,1,28,6,16
4,4,421,1,800,7,1,40,20,16
2,5,501,2,60,1,1,63,63,51
2,5,501,2,60,2,1,65,65,51
2,5,501,2,60,3,1,35,35,26
2,5,501,2,60,4,1,26,26,51
2,5,501,2,60,5,2,46,16,26
2,5,502,1,2194,1,1,56,56,0
2,5,502,1,2194,2,1,43,43,41
2,5,502,1,2194,3,1,41,6,16
2,5,502,1,2194,4,1,40,8,34
2,5,502,1,2194,5,1,43,25,41
2,5,502,2,3878,1,1,69,69,0
2,5,502,2,3878,2,1,31,31,34
2,5,502,2,3878,3,1,65,65,0
2,5,502,2,3878,4,1,38,22,23
2,5,502,2,3878,5,1,20,20,23
2,5,504,2,708,1,1,85,85,0
2,5,504,2,708,2,1,68,68,0
2,5,504,2,708,3,1,26,26,23
2,5,504,2,708,4,2,58,25,0
2,5,504,2,708,5,1,48,48,16
2,5,506,2,830,1,1,41,41,16
2,5,506,2,830,2,1,45,45,16
2,5,506,2,830,3,1,47,47,26
2,5,506,2,830,4,1,60,41,0
2,5,506,2,830,5,1,26,26,41
2,5,508,2,718,1,1,41,41,26
2,5,508,2,718,2,1,65,21,51
2,5,508,2,718,3,1,35,35,23
2,5,508,2,718,4,1,34,34,23
2,5,508,2,718,5,1,39,39,23
2,5,508,2,984,1,1,80,80,51
2,5,508,2,984,2,1,25,25,51
2,5,508,2,984,3,1,50,48,52
2,5,508,2,984,4,1,51,51,51
2,5,508,2,984,5,1,26,26,16
2,5,510,1,872,1,1,45,15,32
2,5,510,1,872,2,2,32,15,32
2,5,510,1,872,3,1,25,5,51
2,5,510,1,872,4,1,55,5,51
2,5,510,1,872,5,2,45,5,51
2,5,510,2,1516,1,1,55,55,34
2,5,510,2,1516,2,1,50,50,51
2,5,510,2,1516,3,1,25,25,51
2,5,510,2,1516,4,2,25,25,16
2,5,510,2,1516,5,1,27,27,26
2,5,513,2,348,1,1,61,38,31
2,5,513,2,348,2,1,61,26,51
2,5,513,2,348,3,1,57,26,52
2,5,513,2,348,4,1,30,30,26
2,5,513,2,348,5,1,31,31,26
2,5,514,2,710,1,1,57,57,26
2,5,514,2,710,2,1,57,57,51
2,5,514,2,710,3,1,62,50,16
2,5,514,2,710,4,2,60,60,16
2,5,514,2,710,5,1,37,37,16
2,5,514,1,2036,1,1,42,42,34
2,5,514,1,2036,2,2,38,38,26
2,5,514,1,2036,3,1,85,50,52
2,5,514,1,2036,4,1,50,10,16
2,5,514,1,2036,5,2,38,38,26
2,5,515,2,18,1,1,60,36,0
2,5,515,2,18,2,1,38,15,51
2,5,515,2,18,3,2,45,25,0
2,5,515,2,18,4,2,45,36,0
2,5,515,2,18,5,1,40,26,51
2,5,516,2,942,1,1,54,54,51
2,5,516,2,942,2,1,64,64,51
2,5,516,2,942,3,1,60,60,51
2,5,516,2,942,4,1,33,33,51
2,5,516,2,942,5,2,43,43,51
2,5,518,2,1304,1,1,27,8,21
2,5,518,2,1304,2,1,30,30,51
2,5,518,2,1304,3,2,31,31,16
2,5,518,2,1304,4,1,40,33,16
2,5,518,2,1304,5,1,52,52,0
2,5,518,2,1588,1,1,32,32,51
2,5,518,2,1588,2,1,45,26,16
2,5,518,2,1588,3,1,68,68,51
2,5,518,2,1588,4,1,27,27,16
2,5,518,2,1588,5,1,41,41,26
2,5,520,2,1756,1,1,50,50,16
2,5,520,2,1756,2,1,55,55,51
2,5,520,2,1756,3,1,50,50,51
2,5,520,2,1756,4,2,40,25,0
2,5,520,2,1756,5,2,35,20,0
5,6,601,2,640,1,1,62,51,16
5,6,601,2,640,2,1,47,47,34
5,6,601,2,640,3,1,52,52,26
5,6,601,2,640,4,1,47,47,34
5,6,601,2,640,5,1,30,30,34
5,6,602,2,1356,1,1,49,49,26
5,6,602,2,1356,2,1,36,36,31
5,6,602,2,1356,3,1,47,47,26
5,6,602,2,1356,4,1,39,39,26
5,6,602,2,1356,5,2,56,56,16
5,6,602,2,1356,6,1,40,40,26
5,6,602,2,1356,7,1,30,30,16
5,6,605,2,162,1,1,,,42
5,6,605,2,162,2,1,45,45,42
5,6,605,2,162,3,1,36,36,26
5,6,605,2,162,4,1,31,31,26
5,6,605,2,162,5,1,35,35,42
5,6,606,2,1372,1,1,64,64,42
5,6,606,2,1372,2,1,51,51,23
5,6,606,2,1372,3,1,56,56,23
5,6,606,2,1372,4,1,34,34,42
5,6,606,2,1372,5,2,43,43,16
5,6,607,2,1892,1,1,54,54,42
5,6,607,2,1892,2,1,53,53,42
5,6,607,2,1892,3,1,40,40,16
5,6,607,2,1892,4,2,60,60,16
5,6,607,2,1892,5,1,34,34,26
5,6,607,2,1892,6,1,35,35,41
5,6,607,2,1892,7,1,36,36,26
5,6,608,2,748,1,1,54,54,42
5,6,608,2,748,2,1,52,52,41
5,6,608,2,748,3,1,69,69,15
5,6,608,2,748,4,1,42,42,23
5,6,608,2,748,5,1,46,46,23
5,6,608,2,748,6,1,39,39,23
5,6,608,2,748,7,2,36,36,15
1,7,701,2,606,1,1,86,86,0
1,7,701,2,606,2,1,45,45,26
1,7,701,2,606,3,2,29,29,25
1,7,701,2,606,4,1,41,41,26
1,7,701,2,606,5,1,43,43,26
1,7,702,2,632,1,1,99,99,0
1,7,702,2,632,2,1,46,46,34
1,7,702,2,632,3,1,27,27,41
1,7,702,2,632,4,1,37,37,26
1,7,702,2,632,5,1,40,40,34
1,7,705,2,4186,1,1,46,46,26
1,7,705,2,4186,2,2,41,41,0
1,7,705,2,4186,3,1,49,49,26
1,7,705,2,4186,4,1,27,27,16
1,7,705,2,4186,5,1,41,41,23
1,7,707,2,560,1,1,65,65,0
1,7,707,2,560,2,2,30,15,16
1,7,707,2,560,3,1,45,45,34
