"zone","state","lga","sector","ea","hhid","s12q1a","s12q1b","s12q1c","s12q1d","s12q1e","s12q1f","s12q1g","s12q1h","s12q1i","s12q2a","s12q2b","s12q3","s12q4a","s12q4b","s12q4c","s12q5","s12q6a","s12q6b","s12q6c","s12q6d","s12q6e","s12q6f","s12q7a","s12q7b","s12q7c","s12q7d"
4,1,102,1,1690,10060,0,1,0,1,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,,
4,1,107,2,1044,10061,2,2,3,3,0,0,0,0,0,2,3,1,,,,1,,,,,,,9,,,"KIDNAPPING"
4,1,107,2,1044,10062,1,0,1,0,0,0,0,0,0,3,,1,,,,1,,,,2,,,10,,,"LACK OF MONEY"
4,1,107,2,1044,10063,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
4,1,107,2,1044,10064,0,0,0,0,1,0,0,0,0,3,4,1,,,,2,,,,,,,,,,
4,1,107,2,1044,10065,0,0,0,1,1,0,0,0,0,3,,1,,,,2,,,,,,,,,,
4,1,107,2,1044,10066,3,1,1,0,0,0,1,0,0,2,,1,,,,2,,,,,,,,,,
4,1,107,2,1044,10067,3,1,0,0,0,0,1,0,0,2,,1,,,,2,,,,,,,,,,
4,1,107,2,1044,10068,3,3,3,1,0,0,1,0,0,2,,1,,,,2,,,,,,,,,,
4,1,107,2,1044,10069,0,2,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
4,1,107,2,1044,10070,0,1,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
4,1,117,2,560,10071,3,2,1,2,1,0,0,0,0,2,3,1,,,,2,,,,,,,,,,
4,1,117,2,560,10072,3,2,1,1,2,0,0,0,0,2,3,1,,,,2,,,,,,,,,,
4,1,117,2,560,10073,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
4,1,117,2,560,10074,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
4,1,117,2,560,10075,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
4,1,117,2,560,10076,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
4,1,117,2,560,10077,1,2,0,2,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,
4,1,117,2,560,10078,0,2,0,0,0,1,0,0,0,2,3,1,,,,2,,,,,,,,,,
4,1,117,2,560,10079,0,2,1,1,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
4,1,117,2,560,10080,0,2,1,2,1,0,0,0,0,2,3,1,,,,1,5,,,2,,,2,4,,
4,1,110,2,76,10081,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
4,1,110,2,76,10082,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
4,1,110,2,76,10083,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
4,1,110,2,76,10084,0,0,0,1,1,0,1,0,0,3,,1,,,,2,,,,,,,,,,
4,1,110,2,76,10085,0,0,0,1,0,1,0,0,0,3,,1,,,,2,,,,,,,,,,
4,1,110,2,76,10086,2,2,1,3,0,0,2,0,0,2,,1,,,,2,,,,,,,,,,
4,1,110,2,76,10087,2,1,2,1,0,2,2,3,2,2,,1,,,,2,,,,,,,,,,
4,1,110,2,76,10088,3,1,2,2,0,1,2,0,0,2,,1,,,,2,,,,,,,,,,
4,1,110,2,76,10089,0,1,1,2,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,
4,1,110,2,76,10090,1,2,2,2,1,0,0,0,0,2,,1,,,,2,,,,,,,,,,
4,1,105,2,638,10091,2,3,1,2,1,0,0,0,0,3,0,1,,,,1,2,,,2,,,4,5,,
4,1,105,2,638,10092,2,2,3,1,0,0,1,0,0,3,3,1,,,,1,4,,,2,,,2,5,,
4,1,105,2,638,10093,2,3,2,1,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
4,1,105,2,638,10094,2,3,1,1,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,,
4,1,105,2,638,10095,0,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,
4,1,105,2,638,10096,0,3,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
4,1,105,2,638,10097,2,2,1,2,0,0,0,0,0,2,,1,,,,1,6,,,7,,,10,10,,"LACK OF MONEY"
4,1,105,2,638,10098,1,1,0,1,0,2,0,0,1,2,,1,,,,2,,,,,,,,,,
4,1,105,2,638,10099,0,0,0,1,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
