"zone","state","lga","sector","ea","hhid","item_cd","s10cq9","s10cq10"
2,5,506,2,830,50005,3,7,21
2,5,502,1,2194,50011,1,7,2
2,5,502,1,2194,50011,2,7,2
2,5,502,1,2194,50011,3,7,2
2,5,502,1,2194,50012,1,7,2
2,5,502,1,2194,50012,2,7,2
2,5,502,1,2194,50012,3,7,2
2,5,502,1,2194,50014,1,7,1
2,5,502,1,2194,50014,2,7,1
2,5,502,1,2194,50014,3,7,1
2,5,515,2,18,50026,2,1,3
2,5,502,2,3878,50031,1,7,7
2,5,502,2,3878,50031,2,7,7
2,5,502,2,3878,50031,3,7,7
2,5,502,2,3878,50033,1,7,2
2,5,502,2,3878,50033,2,7,2
2,5,502,2,3878,50033,3,7,2
2,5,502,2,3878,50033,4,7,2
2,5,502,2,3878,50035,3,7,7
2,5,502,2,3878,50036,1,7,7
2,5,502,2,3878,50036,2,7,2
2,5,502,2,3878,50036,3,7,2
2,5,502,2,3878,50036,4,7,2
2,5,502,2,3878,50037,3,7,7
2,5,502,2,3878,50038,3,7,4
2,5,502,2,3878,50039,3,7,14
2,5,504,2,708,50046,2,3,9
2,5,504,2,708,50046,3,2,6
2,5,504,2,708,50049,2,2,6
2,5,504,2,708,50049,3,3,9
2,5,504,2,708,50050,3,1,1
2,5,513,2,348,50053,3,7,14
2,5,513,2,348,50054,1,7,3
2,5,513,2,348,50054,2,7,3
2,5,513,2,348,50054,3,7,3
2,5,513,2,348,50054,4,7,3
2,5,513,2,348,50057,3,7,14
2,5,513,2,348,50058,3,7,14
2,5,514,2,710,50064,3,3,9
2,5,501,2,60,50074,2,7,14
2,5,501,2,60,50074,3,7,14
2,5,501,2,60,50075,3,7,14
2,5,501,2,60,50077,3,7,14
2,5,501,2,60,50078,3,7,14
2,5,501,2,60,50079,3,7,14
2,5,516,2,942,50082,3,7,21
2,5,516,2,942,50090,3,1,2
2,5,508,2,984,50094,3,7,14
2,5,508,2,984,50097,3,7,14
2,5,514,1,2036,50101,3,3,1
2,5,514,1,2036,50102,1,3,9
2,5,514,1,2036,50102,3,3,9
2,5,508,2,718,50112,3,5,5
2,5,510,1,872,50127,3,2,6
2,5,518,2,1588,50131,2,7,14
2,5,518,2,1588,50131,3,7,7
2,5,518,2,1588,50132,3,7,7
