"zone","state","lga","sector","ea","hhid","indiv","s4aq1","s4aq2a","s4aq2b","s4aq2c","s4aq3","s4aq4","s4aq5","s4aq6a","s4aq6b","s4aq6c","s4aq7a","s4aq7b","s4aq7c","s4aq8a","s4aq8b","s4aq8c","s4aq9","s4aq10","s4aq11a","s4aq11b","s4aq12a","s4aq12b","s4aq13","s4aq14","s4aq15","s4aq16","s4aq17","s4aq18","s4aq19","s4aq20","s4aq20b","s4aq21","s4aq22a","s4aq22b","s4aq22c","s4aq22d","s4aq22e","s4aq23","s4aq24","s4aq25","s4aq26","s4aq27","s4aq28","s4aq29","s4aq30","s4aq31","s4aq32","s4aq33","s4aq34","s4aq35","s4aq35b","s4aq35c","s4aq36","s4aq36b","s4aq37","s4aq38","s4aq39","s4aq40","s4aq41","s4aq42","s4aq43","s4aq44a","s4aq44b","s4aq45a","s4aq45b","s4aq46","s4aq47","s4aq48","s4aq49","s4aq50","s4aq51","s4aq52","s4aq53","s4aq54","s4aq54b","trackingobs"
4,1,115,1,670,10009,2,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,1,2840,2,,0,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,1,1,0,0,0,0,2,,,,,,,,,,0
4,1,115,1,670,10009,3,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,1,4000,3,,0,1,1,2,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,,,,,,,,,,,,,,1,10.5,73.5,1,,0
4,1,115,1,670,10009,4,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,1,650,3,,0,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,1,2,,,,,,,,,,,,,,,0
4,1,115,1,670,10010,1,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,1,940,1,,940,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,1,13,2,,,,,,,,,,,2,,,,,0
4,1,115,1,670,10010,2,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,1,2100,1,,2100,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,1,13,1,1,0,0,0,0,2,,,,,,,,,,0
4,1,115,1,670,10010,3,1,6,,,1,2,,2,,,1,,,7,,,4250,4250,,10,1,25,2,,2,,,1,4250,3,,0,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,2,,,,,,,,,,,2,,,,,0
4,1,115,1,670,10010,4,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,1,610,3,,0,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,1,2,,,,,,,,,,,,,,,0
4,1,104,2,1364,10011,1,2,,,,3,,,,,,,,,,,,,,,,,,1,250,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,1,1,1,0,0,0,2,,,,,,,,,,0
4,1,104,2,1364,10011,2,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,1,2,,,,,,,,,,,,,,,0
4,1,104,2,1364,10011,3,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,2,,,,,,,,,,,2,,,,,0
4,1,104,2,1364,10011,4,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,2,,,,,,,,,,,2,,,,,0
4,1,104,2,1364,10011,5,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,2,,,,,,,,,,,2,,,,,0
4,1,104,2,1364,10011,6,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,1,2,,,,,,,,,,,,,,,0
4,1,104,2,1364,10012,2,1,1,,,1,1,14,2,,,1,,,6,,,120,400,1,,1,,1,5000,2,,,2,,,,,2,2,1,2,2,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,1,1,0,0,0,0,2,,,,,,,,,,0
4,1,104,2,1364,10012,3,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,2,,,,,,,,,,,2,,,,,0
4,1,104,2,1364,10012,4,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,2,,,,,,,,,,,2,,,,,0
4,1,104,2,1364,10012,5,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,1,1,0,0,0,0,2,,,,,,,,,,0
4,1,104,2,1364,10012,6,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,,,,,,,,,,,,,,1,12.1000003814697,87.5,1,,0
4,1,104,2,1364,10012,7,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,,,,,,,,,,,,,,1,6.30000019073486,66.3000030517578,1,,0
4,1,104,2,1364,10013,1,2,,,,3,,,,,,,,,,,,,,,,,,1,2500,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,1,1,2,1,,1,2,,,,,,,,,,0
4,1,104,2,1364,10013,2,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,1,13,2,,,,,,,,,,,2,,,,,0
4,1,104,2,1364,10013,3,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,1,13,2,,,,,,,,,,,2,,,,,0
4,1,104,2,1364,10013,4,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,1,13,1,1,,,,,2,,,,,,,,,,0
4,1,104,2,1364,10013,5,2,,,,3,,,,,,,,,,,,,,,,,,1,1000,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,,,,,,,,,,,,,,1,11.8999996185303,84.5999984741211,1,,0
4,1,104,2,1364,10013,6,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,1,13,1,2,,,,,,,,,,,,,,,0
4,1,104,2,1364,10013,7,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,1,13,1,2,,,,,,,,,,,,,,,0
4,1,104,2,1364,10013,8,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,1,13,1,2,,,,,,,,,,,,,,,0
4,1,104,2,1364,10014,1,2,,,,3,,,,,,,,,,,,,,,,,,1,300,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,1,13,1,1,1,1,0,0,2,,,,,,,,,,0
4,1,104,2,1364,10014,2,2,,,,3,,,,,,,,,,,,,,,,,,1,200,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,1,13,1,2,,,,,,,,,,,,,,,0
4,1,104,2,1364,10015,1,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,2,2,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,2,,,,,,,,,,,2,,,,,0
4,1,104,2,1364,10015,2,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,2,2,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,1,1,2,1,0,0,2,,,,,,,,,,0
4,1,104,2,1364,10016,1,1,6,,,1,1,4,8,,,4,,,7,,,2500,2500,,10,,15,1,2500,2,,,1,2500,1,,2500,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,1,13,2,,,,,,,,,,,2,,,,,0
4,1,104,2,1364,10016,2,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,1,2000,2,,0,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,1,13,1,1,2,1,0,1,2,,,,,,,,,,0
4,1,104,2,1364,10016,3,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,1,5000,3,,0,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,1,2,,,,,,,,,,,,,,,0
4,1,104,2,1364,10016,4,1,6,,,1,2,,8,,,4,,,7,,,1500,1500,,0,,8,1,1500,2,,,1,1000,3,,0,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10016,5,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,1,1500,3,,0,1,2,1,2,2,1,,1,,1,,1,,1,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10017,1,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,1,1700,1,,17000,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,2,,,,,,,,,,,2,,,,,0
4,1,104,2,1364,10017,2,1,6,,,1,2,,7,,,1,,,7,,,,3800,1,25,1,45,1,3800,2,,,1,8800,1,,8800,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,1,1,1,1,1,0,2,,,,,,,,,,0
4,1,104,2,1364,10017,3,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,1,300,3,,300,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,2,,,,,,,,,,,2,,,,,0
4,1,104,2,1364,10017,4,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,1,420,3,,420,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,2,,,,,,,,,,,2,,,,,0
4,1,104,2,1364,10018,1,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,2,1,1,1,2,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,2,,,,,,,,,,,2,,,,,0
4,1,104,2,1364,10018,2,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,2,1,1,1,2,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,1,1,0,1,0,0,2,,,,,,,,,,0
4,1,104,2,1364,10018,3,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10018,4,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10018,5,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,2,1,,1,,1,,1,,1,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10019,1,2,,,,1,2,,8,,,4,,,7,,,1000,,,,,,1,,2,,,1,500,1,,,2,1,2,1,2,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,1,1,0,0,0,0,2,,,,,,,,,,0
4,1,104,2,1364,10019,2,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,2,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,2,,,,,,,,,,,2,,,,,0
4,1,104,2,1364,10019,3,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,1,1,0,0,0,0,2,,,,,,,,,,0
4,1,104,2,1364,10019,4,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,,,,,,,,,,,,,,1,10,82,1,,0
4,1,104,2,1364,10019,5,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,,,,,,,,,,,,,1,1,6.59999990463257,59,1,,0
4,1,104,2,1364,10019,6,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,1,2,,,,,,,,,,,,,,,0
4,1,104,2,1364,10020,1,2,,,,3,,,,,,,,,,,,,,,,,,1,100,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,1,13,1,1,0,0,0,0,2,,,,,,,,,,0
4,1,104,2,1364,10020,2,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10020,3,2,,,,3,,,,,,,,,,,,,,,,,,1,200,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10020,4,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,1,13,2,,,,,,,,,,,2,,,,,0
4,1,104,2,1364,10020,5,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10021,1,2,,,,1,2,,8,,,4,,,7,,,0,0,,45,,10,1,800,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,1,2,2,,,,,,,,,,,2,,,,,0
4,1,106,2,880,10021,2,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,1,13,1,1,0,1,0,0,2,,,,,,,,,,0
4,1,106,2,880,10021,3,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,2,,,,,,,,,,,2,,,,,0
4,1,106,2,880,10021,4,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10021,5,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,1,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,1,14,2,,,,,,,,,,,2,,,,,0
4,1,106,2,880,10022,2,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,1,13,1,1,1,1,0,0,2,,,,,,,,,,0
