"zone","state","lga","sector","ea","hhid","indiv","s3bq1a","s3bq1b","s3bq1c","s3bsept10","s3bq1d","s3bq1e","s3bq1f","s3boct10","s3bq1g","s3bq1h","s3bq1i","s3bnov10","s3bq1j","s3bq1k","s3bq1l","s3bdec10","s3bq1m","s3bq1n","s3bq1o","s3bjan11","s3bq1p","s3bq1q","s3bq1r","s3bfeb11","trackingobs"
4,1,104,2,1364,10017,1,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,0
4,1,104,2,1364,10017,2,11,1,,,11,1,,,11,1,,,11,1,,,11,1,,,11,1,,,0
4,1,104,2,1364,10017,3,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,104,2,1364,10017,4,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,104,2,1364,10018,1,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,0
4,1,104,2,1364,10018,2,1,8,,,1,8,,,1,8,,,1,8,,,1,8,,,1,8,,,0
4,1,104,2,1364,10018,3,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,104,2,1364,10018,4,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,104,2,1364,10018,5,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,104,2,1364,10019,1,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,0
4,1,104,2,1364,10019,2,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,0
4,1,104,2,1364,10019,3,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,104,2,1364,10019,6,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,104,2,1364,10020,1,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,0
4,1,104,2,1364,10020,2,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,104,2,1364,10020,3,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,104,2,1364,10020,4,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,104,2,1364,10020,5,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,106,2,880,10021,1,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,0
4,1,106,2,880,10021,2,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,0
4,1,106,2,880,10021,3,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,106,2,880,10021,4,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,106,2,880,10021,5,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,106,2,880,10022,1,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,0
4,1,106,2,880,10022,2,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,0
4,1,106,2,880,10022,3,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,106,2,880,10022,4,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,106,2,880,10022,5,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,106,2,880,10022,6,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,106,2,880,10023,1,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,0
4,1,106,2,880,10023,2,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,0
4,1,106,2,880,10024,1,1,,,,1,,,,1,,,,14,,,,14,,,,1,,,,0
4,1,106,2,880,10024,2,1,,,,1,,,,1,,,,14,,,,14,,,,14,,,,0
4,1,106,2,880,10025,1,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,106,2,880,10025,2,1,10,,,1,10,,,1,10,,,1,10,,,14,,,,14,,,,0
4,1,106,2,880,10026,1,1,,,,1,,,,1,,,,14,,,,14,,,,1,,,,0
4,1,106,2,880,10026,2,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,106,2,880,10027,1,4,1,,,4,1,,,4,1,,,4,1,,,4,1,,,4,1,,,0
4,1,106,2,880,10027,2,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,0
4,1,106,2,880,10027,3,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,106,2,880,10027,4,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,106,2,880,10027,5,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,106,2,880,10028,1,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,106,2,880,10029,1,1,7,,,1,7,,,1,7,,,1,7,,,1,7,,,1,7,,,0
4,1,106,2,880,10029,2,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,0
4,1,106,2,880,10030,1,7,1,,,7,1,,,7,1,,,7,1,,,7,1,,,7,1,,,0
4,1,106,2,880,10030,2,8,1,,,8,1,,,8,1,,,8,1,,,8,1,,,8,1,,,0
4,1,106,2,880,10030,3,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,106,2,880,10030,4,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,106,2,880,10030,5,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,106,2,880,10030,6,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,106,2,880,10030,7,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,106,2,880,10030,8,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,111,1,1146,10031,1,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,0
4,1,111,1,1146,10031,2,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,0
4,1,111,1,1146,10031,3,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,111,1,1146,10031,4,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,111,1,1146,10032,1,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,0
4,1,111,1,1146,10032,2,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,0
4,1,111,1,1146,10032,3,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,111,1,1146,10032,4,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,111,1,1146,10033,1,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,0
