"zone","state","lga","sector","ea","hhid","item_cd","s10aq1","s10aq2"
4,1,115,1,670,10001,1,1,2500
4,1,115,1,670,10001,2,1,1800
4,1,115,1,670,10001,4,1,1000
4,1,115,1,670,10001,5,1,250
4,1,115,1,670,10001,6,1,200
4,1,115,1,670,10001,7,1,150
4,1,115,1,670,10001,8,1,300
4,1,115,1,670,10002,1,1,500
4,1,115,1,670,10002,2,1,800
4,1,115,1,670,10002,4,1,1000
4,1,115,1,670,10002,5,1,400
4,1,115,1,670,10002,6,1,550
4,1,115,1,670,10002,7,1,250
4,1,115,1,670,10002,8,1,400
4,1,115,1,670,10002,9,1,800
4,1,115,1,670,10003,2,1,300
4,1,115,1,670,10003,5,1,200
4,1,115,1,670,10003,6,1,100
4,1,115,1,670,10003,7,1,300
4,1,115,1,670,10003,8,1,300
4,1,115,1,670,10006,1,1,3000
4,1,115,1,670,10006,2,1,3000
4,1,115,1,670,10006,4,1,100
4,1,115,1,670,10006,8,1,500
4,1,115,1,670,10009,5,1,100
4,1,115,1,670,10009,7,1,150
4,1,115,1,670,10009,8,1,400
4,1,115,1,670,10010,2,1,1200
4,1,115,1,670,10010,5,1,120
4,1,115,1,670,10010,8,1,500
4,1,104,2,1364,10011,7,1,100
4,1,104,2,1364,10011,8,1,100
4,1,104,2,1364,10012,1,1,300
4,1,104,2,1364,10012,5,1,150
4,1,104,2,1364,10012,7,1,100
4,1,104,2,1364,10012,8,1,300
4,1,104,2,1364,10012,9,1,360
4,1,104,2,1364,10013,2,1,150
4,1,104,2,1364,10013,5,1,100
4,1,104,2,1364,10013,6,1,50
4,1,104,2,1364,10013,7,1,100
4,1,104,2,1364,10013,8,1,100
4,1,104,2,1364,10014,2,1,200
4,1,104,2,1364,10014,3,1,150
4,1,104,2,1364,10014,5,1,100
4,1,104,2,1364,10014,7,1,150
4,1,104,2,1364,10014,8,1,100
4,1,104,2,1364,10015,7,1,100
4,1,104,2,1364,10016,2,1,450
4,1,104,2,1364,10016,5,1,80
4,1,104,2,1364,10017,1,1,600
4,1,104,2,1364,10017,2,1,1350
4,1,104,2,1364,10017,5,1,80
4,1,104,2,1364,10017,8,1,200
4,1,104,2,1364,10018,5,1,250
4,1,104,2,1364,10018,8,1,150
4,1,104,2,1364,10020,5,1,50
4,1,106,2,880,10021,5,1,100
4,1,106,2,880,10021,8,1,100
4,1,106,2,880,10021,9,1,180
4,1,106,2,880,10023,4,1,100
4,1,106,2,880,10023,8,1,200
4,1,106,2,880,10024,5,1,100
4,1,106,2,880,10024,8,1,100
4,1,106,2,880,10025,5,1,100
4,1,106,2,880,10025,8,1,200
4,1,106,2,880,10026,5,1,150
4,1,106,2,880,10026,6,1,100
4,1,106,2,880,10026,8,1,100
4,1,106,2,880,10027,1,1,1400
4,1,106,2,880,10027,2,1,1400
4,1,106,2,880,10029,5,1,100
4,1,111,1,1146,10031,1,1,350
4,1,111,1,1146,10031,2,1,600
4,1,111,1,1146,10031,5,1,100
4,1,111,1,1146,10031,6,1,100
4,1,111,1,1146,10031,7,1,100
4,1,111,1,1146,10031,8,1,240
4,1,111,1,1146,10032,2,1,500
4,1,111,1,1146,10032,5,1,150
4,1,111,1,1146,10032,6,1,150
4,1,111,1,1146,10032,7,1,300
4,1,111,1,1146,10032,8,1,400
4,1,111,1,1146,10033,1,1,600
4,1,111,1,1146,10033,2,1,500
4,1,111,1,1146,10033,4,1,400
4,1,111,1,1146,10033,5,1,100
4,1,111,1,1146,10033,6,1,100
4,1,111,1,1146,10033,7,1,100
4,1,111,1,1146,10033,8,1,200
4,1,111,1,1146,10033,9,1,360
4,1,111,1,1146,10034,1,1,3000
4,1,111,1,1146,10034,2,1,3000
4,1,111,1,1146,10034,4,1,1000
4,1,111,1,1146,10034,5,1,500
4,1,111,1,1146,10034,6,1,400
4,1,111,1,1146,10034,7,1,200
4,1,111,1,1146,10034,8,1,800
4,1,111,1,1146,10035,5,1,200
4,1,111,1,1146,10035,8,1,50
4,1,111,1,1146,10036,4,1,400
4,1,111,1,1146,10036,5,1,300
4,1,111,1,1146,10036,8,1,200
4,1,111,1,1146,10037,4,1,100
4,1,111,1,1146,10037,5,1,100
4,1,111,1,1146,10038,1,1,1500
4,1,111,1,1146,10038,2,1,1500
4,1,111,1,1146,10038,3,1,1500
4,1,111,1,1146,10038,8,1,120
4,1,111,1,1146,10039,1,1,1600
4,1,111,1,1146,10039,2,1,800
4,1,111,1,1146,10039,5,1,70
4,1,111,1,1146,10039,6,1,100
4,1,111,1,1146,10039,7,1,100
4,1,111,1,1146,10039,8,1,240
4,1,111,1,1146,10040,2,1,1200
4,1,111,1,1146,10040,4,1,400
4,1,111,1,1146,10040,5,1,120
4,1,111,1,1146,10040,6,1,200
4,1,111,1,1146,10040,7,1,100
4,1,111,1,1146,10040,8,1,240
4,1,102,1,536,10041,1,1,1200
4,1,102,1,536,10041,2,1,1000
4,1,102,1,536,10041,4,1,500
4,1,102,1,536,10041,5,1,150
4,1,102,1,536,10041,6,1,200
4,1,102,1,536,10041,7,1,200
4,1,102,1,536,10041,8,1,300
4,1,102,1,536,10041,9,1,360
4,1,102,1,536,10042,1,1,2000
4,1,102,1,536,10042,2,1,2500
4,1,102,1,536,10042,4,1,500
4,1,102,1,536,10042,5,1,400
4,1,102,1,536,10042,6,1,300
4,1,102,1,536,10042,7,1,300
4,1,102,1,536,10042,8,1,400
4,1,102,1,536,10042,9,1,500
4,1,102,1,536,10043,1,1,600
4,1,102,1,536,10043,2,1,700
4,1,102,1,536,10043,4,1,200
4,1,102,1,536,10043,5,1,250
4,1,102,1,536,10043,6,1,100
4,1,102,1,536,10043,7,1,100
4,1,102,1,536,10043,8,1,300
4,1,102,1,536,10044,5,1,200
4,1,102,1,536,10044,7,1,150
4,1,102,1,536,10045,1,1,500
4,1,102,1,536,10045,2,1,500
4,1,102,1,536,10045,5,1,200
4,1,102,1,536,10046,5,1,120
4,1,102,1,536,10046,7,1,100
4,1,102,1,536,10046,8,1,300
4,1,102,1,536,10047,1,1,1200
4,1,102,1,536,10047,2,1,1200
4,1,102,1,536,10047,5,1,120
4,1,102,1,536,10047,7,1,100
4,1,102,1,536,10047,8,1,400
4,1,102,1,536,10048,2,1,500
4,1,102,1,536,10048,5,1,200
4,1,102,1,536,10048,7,1,100
4,1,102,1,536,10048,8,1,200
4,1,102,1,536,10049,1,1,300
4,1,102,1,536,10049,3,1,250
4,1,102,1,536,10049,5,1,150
4,1,102,1,536,10049,7,1,100
4,1,102,1,536,10049,8,1,200
4,1,102,1,536,10050,2,1,150
4,1,102,1,536,10050,5,1,70
4,1,102,1,536,10050,7,1,100
4,1,102,1,1690,10051,1,1,700
4,1,102,1,1690,10051,2,1,500
4,1,102,1,1690,10051,5,1,200
4,1,102,1,1690,10051,8,1,200
4,1,102,1,1690,10051,9,1,360
4,1,102,1,1690,10052,1,1,1000
4,1,102,1,1690,10052,2,1,1500
4,1,102,1,1690,10052,4,1,600
4,1,102,1,1690,10052,5,1,200
4,1,102,1,1690,10052,6,1,120
4,1,102,1,1690,10052,9,1,360
4,1,102,1,1690,10053,2,1,300
4,1,102,1,1690,10053,5,1,70
4,1,102,1,1690,10053,6,1,30
4,1,102,1,1690,10053,7,1,50
4,1,102,1,1690,10053,8,1,120
4,1,102,1,1690,10054,1,1,300
4,1,102,1,1690,10054,2,1,500
4,1,102,1,1690,10054,5,1,150
4,1,102,1,1690,10054,6,1,200
4,1,102,1,1690,10054,7,1,250
4,1,102,1,1690,10054,8,1,500
4,1,102,1,1690,10055,1,1,1400
4,1,102,1,1690,10055,2,1,800
4,1,102,1,1690,10055,4,1,400
4,1,102,1,1690,10055,5,1,100
4,1,102,1,1690,10055,7,1,100
4,1,102,1,1690,10055,8,1,300
4,1,102,1,1690,10055,9,1,800
4,1,102,1,1690,10056,2,1,4250
4,1,102,1,1690,10056,5,1,120
4,1,102,1,1690,10056,7,1,100
4,1,102,1,1690,10057,2,1,1400
4,1,102,1,1690,10057,5,1,50
4,1,102,1,1690,10057,8,1,180
4,1,102,1,1690,10058,5,1,300
4,1,102,1,1690,10058,8,1,100
4,1,102,1,1690,10059,5,1,100
4,1,102,1,1690,10060,2,1,250
4,1,102,1,1690,10060,5,1,100
4,1,107,2,1044,10061,5,1,50
4,1,107,2,1044,10062,1,1,200
4,1,107,2,1044,10062,2,1,200
4,1,107,2,1044,10062,5,1,80
4,1,107,2,1044,10062,7,1,50
4,1,107,2,1044,10063,5,1,120
4,1,107,2,1044,10063,9,1,360
4,1,107,2,1044,10064,5,1,120
4,1,107,2,1044,10064,8,1,200
4,1,107,2,1044,10065,1,1,250
4,1,107,2,1044,10065,5,1,200
4,1,107,2,1044,10065,8,1,100
4,1,107,2,1044,10066,5,1,100
4,1,107,2,1044,10066,6,1,100
4,1,107,2,1044,10066,7,1,100
4,1,107,2,1044,10066,8,1,100
4,1,107,2,1044,10067,5,1,100
4,1,107,2,1044,10067,7,1,150
4,1,107,2,1044,10067,8,1,100
4,1,107,2,1044,10068,2,1,250
4,1,107,2,1044,10068,5,1,100
4,1,107,2,1044,10068,8,1,100
4,1,107,2,1044,10069,5,1,100
4,1,107,2,1044,10070,5,1,100
4,1,107,2,1044,10070,8,1,100
4,1,117,2,560,10071,5,1,50
4,1,117,2,560,10071,7,1,50
4,1,117,2,560,10071,8,1,100
4,1,117,2,560,10072,2,1,150
4,1,117,2,560,10072,4,1,200
4,1,117,2,560,10072,5,1,50
4,1,117,2,560,10072,6,1,50
4,1,117,2,560,10072,8,1,100
4,1,117,2,560,10073,8,1,100
4,1,117,2,560,10074,8,1,60
4,1,117,2,560,10075,5,1,30
4,1,117,2,560,10077,2,1,450
4,1,117,2,560,10077,5,1,80
4,1,117,2,560,10078,5,1,100
4,1,117,2,560,10079,5,1,200
4,1,117,2,560,10080,5,1,200
4,1,110,2,76,10083,4,1,150
4,1,110,2,76,10083,5,1,100
4,1,110,2,76,10083,6,1,60
4,1,110,2,76,10083,7,1,100
4,1,110,2,76,10083,8,1,200
4,1,110,2,76,10083,9,1,180
4,1,110,2,76,10084,5,1,50
4,1,110,2,76,10085,5,1,100
