"zone","state","lga","sector","ea","hhid","item_cd","s11aq1","s11aq2"
4,1,102,1,536,10046,104,1,420
4,1,102,1,536,10047,102,1,10
4,1,102,1,536,10047,104,1,2550
4,1,102,1,536,10048,102,1,10
4,1,102,1,536,10048,104,1,400
4,1,102,1,536,10049,102,1,10
4,1,102,1,536,10049,104,1,250
4,1,102,1,536,10050,102,1,10
4,1,102,1,536,10050,104,1,250
4,1,102,1,1690,10051,102,1,40
4,1,102,1,1690,10051,104,1,550
4,1,102,1,1690,10052,102,1,30
4,1,102,1,1690,10053,102,1,10
4,1,102,1,1690,10053,104,1,380
4,1,102,1,1690,10054,102,1,10
4,1,102,1,1690,10054,104,1,300
4,1,102,1,1690,10055,102,1,5
4,1,102,1,1690,10055,104,1,250
4,1,102,1,1690,10056,102,1,5
4,1,102,1,1690,10056,104,1,200
4,1,102,1,1690,10057,102,1,5
4,1,102,1,1690,10057,104,1,2050
4,1,102,1,1690,10058,102,1,10
4,1,102,1,1690,10059,102,1,10
4,1,102,1,1690,10059,104,1,250
4,1,102,1,1690,10060,102,1,30
4,1,107,2,1044,10061,102,1,5
4,1,107,2,1044,10062,102,1,5
4,1,107,2,1044,10062,104,1,300
4,1,107,2,1044,10063,102,1,10
4,1,107,2,1044,10063,104,1,250
4,1,107,2,1044,10064,102,1,10
4,1,107,2,1044,10064,104,1,150
4,1,107,2,1044,10065,102,1,5
4,1,107,2,1044,10065,104,1,300
4,1,107,2,1044,10066,102,1,10
4,1,107,2,1044,10066,104,1,200
4,1,107,2,1044,10067,102,1,10
4,1,107,2,1044,10067,104,1,150
4,1,107,2,1044,10068,102,1,10
4,1,107,2,1044,10068,104,1,150
4,1,107,2,1044,10069,102,1,10
4,1,107,2,1044,10070,102,1,10
4,1,117,2,560,10071,102,1,10
4,1,117,2,560,10071,104,1,200
4,1,117,2,560,10072,102,1,10
4,1,117,2,560,10072,104,1,100
4,1,117,2,560,10073,102,1,40
4,1,117,2,560,10073,104,1,200
4,1,117,2,560,10074,102,1,10
4,1,117,2,560,10074,104,1,200
4,1,117,2,560,10075,102,1,5
4,1,117,2,560,10076,102,1,5
4,1,117,2,560,10077,102,1,10
4,1,117,2,560,10078,102,1,10
4,1,117,2,560,10079,102,1,10
4,1,117,2,560,10080,102,1,10
4,1,110,2,76,10081,102,1,5
4,1,110,2,76,10083,102,1,40
4,1,110,2,76,10083,104,1,500
4,1,110,2,76,10084,102,1,10
4,1,110,2,76,10084,104,1,200
4,1,110,2,76,10085,102,1,10
4,1,110,2,76,10086,102,1,10
4,1,110,2,76,10087,102,1,10
4,1,110,2,76,10088,102,1,10
4,1,110,2,76,10088,104,1,500
4,1,110,2,76,10089,102,1,10
4,1,110,2,76,10090,102,1,10
4,1,105,2,638,10091,102,1,10
4,1,105,2,638,10092,102,1,10
4,1,105,2,638,10093,102,1,10
4,1,105,2,638,10093,104,1,1300
4,1,105,2,638,10094,102,1,10
4,1,105,2,638,10094,104,1,500
4,1,105,2,638,10095,102,1,10
4,1,105,2,638,10096,102,1,5
4,1,105,2,638,10097,102,1,10
4,1,105,2,638,10098,102,1,10
4,1,105,2,638,10099,102,1,10
4,1,105,2,638,10100,102,1,10
4,1,108,2,904,10101,102,1,10
4,1,108,2,904,10102,102,1,10
4,1,108,2,904,10102,104,1,300
4,1,108,2,904,10103,102,1,10
4,1,108,2,904,10103,104,1,300
4,1,108,2,904,10104,102,1,10
4,1,108,2,904,10104,104,1,100
4,1,108,2,904,10105,102,1,40
4,1,108,2,904,10105,104,1,350
4,1,108,2,904,10106,102,1,10
4,1,108,2,904,10106,104,1,200
4,1,108,2,904,10107,102,1,10
4,1,108,2,904,10108,102,1,5
4,1,108,2,904,10109,102,1,10
4,1,108,2,904,10110,102,1,10
2,2,209,2,1040,20001,102,1,5
2,2,209,2,1040,20002,101,1,100
2,2,209,2,1040,20002,102,1,10
2,2,209,2,1040,20003,102,1,50
2,2,209,2,1040,20004,102,1,10
2,2,209,2,1040,20005,102,1,20
2,2,209,2,1040,20006,101,1,120
2,2,209,2,1040,20006,102,1,10
2,2,209,2,1040,20006,104,1,500
2,2,209,2,1040,20009,102,1,10
2,2,209,2,1040,20010,102,1,10
2,2,221,2,18,20011,102,1,5
2,2,221,2,18,20012,102,1,15
2,2,221,2,18,20012,104,1,400
2,2,221,2,18,20013,102,1,10
2,2,221,2,18,20014,102,1,20
2,2,221,2,18,20015,102,1,10
2,2,221,2,18,20016,102,1,5
2,2,221,2,18,20017,102,1,5
2,2,221,2,18,20018,102,1,10
2,2,221,2,18,20019,102,1,5
2,2,221,2,18,20020,102,1,10
2,2,221,2,18,20020,104,1,400
2,2,201,2,60,20021,101,1,60
2,2,201,2,60,20021,102,1,10
2,2,201,2,60,20022,102,1,5
2,2,201,2,60,20022,104,1,200
2,2,201,2,60,20023,102,1,5
2,2,201,2,60,20024,102,1,10
2,2,201,2,60,20025,101,1,500
2,2,201,2,60,20025,102,1,300
2,2,201,2,60,20026,102,1,10
2,2,201,2,60,20028,102,1,10
2,2,201,2,60,20028,104,1,100
2,2,201,2,60,20029,102,1,10
2,2,201,2,60,20030,102,1,300
2,2,201,2,60,20030,104,1,2500
2,2,216,2,200,20031,102,1,10
2,2,216,2,200,20032,102,1,10
2,2,216,2,200,20033,104,1,300
2,2,216,2,200,20034,102,1,10
2,2,216,2,200,20034,104,1,600
2,2,216,2,200,20035,102,1,5
2,2,216,2,200,20035,104,1,300
2,2,216,2,200,20036,102,1,20
2,2,216,2,200,20038,102,1,10
2,2,216,2,200,20039,102,1,5
2,2,203,2,1224,20041,102,1,5
2,2,203,2,1224,20042,101,1,50
2,2,203,2,1224,20042,102,1,20
2,2,203,2,1224,20043,101,1,300
2,2,203,2,1224,20043,102,1,
2,2,203,2,1224,20044,102,1,20
2,2,203,2,1224,20045,102,1,10
2,2,203,2,1224,20045,104,1,400
2,2,203,2,1224,20046,102,1,10
2,2,203,2,1224,20048,102,1,10
2,2,203,2,1224,20049,102,1,20
2,2,212,2,956,20051,102,1,10
2,2,212,2,956,20052,101,1,200
2,2,212,2,956,20053,102,1,5
2,2,212,2,956,20054,102,1,30
2,2,212,2,956,20055,102,1,5
2,2,212,2,956,20056,101,1,300
2,2,212,2,956,20056,102,1,15
2,2,212,2,956,20057,102,1,10
2,2,212,2,956,20058,102,1,5
2,2,212,2,956,20060,102,1,10
2,2,210,2,1300,20061,102,1,10
2,2,210,2,1300,20062,102,1,5
2,2,210,2,1300,20062,104,1,600
2,2,210,2,1300,20063,102,1,
2,2,210,2,1300,20064,102,1,10
2,2,210,2,1300,20064,104,1,200
2,2,210,2,1300,20065,102,1,10
2,2,210,2,1300,20066,102,1,5
2,2,210,2,1300,20067,102,1,5
2,2,210,2,1300,20070,102,1,10
2,2,214,2,898,20071,102,1,15
2,2,214,2,898,20072,102,1,10
2,2,214,2,898,20073,102,1,5
2,2,214,2,898,20074,102,1,15
2,2,214,2,898,20074,104,1,5000
2,2,214,2,898,20075,102,1,20
2,2,214,2,898,20076,102,1,50
2,2,214,2,898,20077,102,1,20
2,2,214,2,898,20077,104,1,1200
2,2,214,2,898,20078,102,1,5
2,2,214,2,898,20080,102,1,10
2,2,215,1,8,20081,102,1,5
2,2,215,1,8,20082,102,1,10
2,2,215,1,8,20083,102,1,20
2,2,215,1,8,20084,102,1,10
2,2,215,1,8,20084,104,1,400
2,2,215,1,8,20085,102,1,10
2,2,215,1,8,20086,102,1,10
2,2,215,1,8,20087,102,1,30
2,2,215,1,8,20089,101,1,300
2,2,215,1,8,20089,102,1,10
2,2,215,1,8,20090,102,1,5
2,2,215,1,8,20090,104,1,400
2,2,207,2,1302,20091,102,1,10
2,2,207,2,1302,20092,102,1,10
2,2,207,2,1302,20093,102,1,10
2,2,207,2,1302,20093,104,1,350
2,2,207,2,1302,20095,102,1,10
2,2,207,2,1302,20096,102,1,20
2,2,207,2,1302,20097,102,1,10
2,2,207,2,1302,20098,102,1,10
2,2,207,2,1302,20099,102,1,5
2,2,207,2,1302,20099,104,1,1000
2,2,207,2,1302,20100,102,1,20
2,2,205,2,712,20101,102,1,10
2,2,205,2,712,20102,102,1,20
2,2,205,2,712,20102,104,1,1200
