"zone","state","lga","sector","ea","hhid","indiv","s6q1","s6q2","s6q3","s6q4","s6q5","s6q5b","s6q6","s6q7","s6q7b","s6q8","s6q9","s6q10","s6q11","s6q11b","s6q12"
4,1,106,2,880,10030,2,2,,,,,,,,,,,,,,
4,1,106,2,880,10030,3,2,,,,,,,,,,,,,,
4,1,106,2,880,10030,4,2,,,,,,,,,,,,,,
4,1,106,2,880,10030,5,2,,,,,,,,,,,,,,
4,1,106,2,880,10030,6,2,,,,,,,,,,,,,,
4,1,111,1,1146,10031,1,2,,,,,,,,,,,,,,
4,1,111,1,1146,10031,2,2,,,,,,,,,,,,,,
4,1,111,1,1146,10032,1,2,,,,,,,,,,,,,,
4,1,111,1,1146,10032,2,2,,,,,,,,,,,,,,
4,1,111,1,1146,10032,4,2,,,,,,,,,,,,,,
4,1,111,1,1146,10033,1,2,,,,,,,,,,,,,,
4,1,111,1,1146,10033,2,2,,,,,,,,,,,,,,
4,1,111,1,1146,10033,3,2,,,,,,,,,,,,,,
4,1,111,1,1146,10034,1,2,,,,,,,,,,,,,,
4,1,111,1,1146,10034,2,1,1,30000,200,1,,2,,,,,,,,
4,1,111,1,1146,10034,3,2,,,,,,,,,,,,,,
4,1,111,1,1146,10034,5,2,,,,,,,,,,,,,,
4,1,111,1,1146,10034,7,2,,,,,,,,,,,,,,
4,1,111,1,1146,10034,9,2,,,,,,,,,,,,,,
4,1,111,1,1146,10034,10,2,,,,,,,,,,,,,,
4,1,111,1,1146,10034,11,2,,,,,,,,,,,,,,
4,1,111,1,1146,10034,12,2,,,,,,,,,,,,,,
4,1,111,1,1146,10035,1,2,,,,,,,,,,,,,,
4,1,111,1,1146,10035,2,2,,,,,,,,,,,,,,
4,1,111,1,1146,10035,3,2,,,,,,,,,,,,,,
4,1,111,1,1146,10035,4,2,,,,,,,,,,,,,,
4,1,111,1,1146,10035,5,2,,,,,,,,,,,,,,
4,1,111,1,1146,10035,6,2,,,,,,,,,,,,,,
4,1,111,1,1146,10036,1,1,1,50000,,1,,2,,,,,,,,
