"cropname","cropcode","nscode","conversion","kg"
"other spices/vanilla",2103,28,75,1
"other spices/vanilla",2103,31,10,1
"other spices/vanilla",2103,32,25,1
"other spices/vanilla",2103,33,40,1
"other spices/vanilla",2103,34,75,1
"OTHER SPICES/VANILA",2103,41,5,1
"other spices/vanilla",2103,61,15,1
"other spices/vanilla",2103,62,25,1
"other spices/vanilla",2103,63,40,1
"arabic gum",2110,21,20,1
"arabic gum",2110,22,50,1
"arabic gum",2110,23,100,1
"arabic gum",2110,24,120,1
"arabic gum",2110,25,15,1
"arabic gum",2110,26,30,1
"arabic gum",2110,27,50,1
"arabic gum",2110,28,75,1
"arabic gum",2110,31,10,1
"arabic gum",2110,32,25,1
"arabic gum",2110,33,40,1
"arabic gum",2110,34,75,1
"arabic gum",2110,61,15,1
"arabic gum",2110,62,25,1
"arabic gum",2110,63,40,1
"OKRO",2120,5,0.5,1
"OKRO",2120,8,1.5,1
"OKRO",2120,9,0.56,1
"OKRO",2120,14,1,1
"okro",2120,21,20,1
"okro",2120,22,50,1
"okro",2120,23,100,1
"okro",2120,24,120,1
"okro",2120,25,15,1
"okro",2120,26,30,1
"okro",2120,27,50,1
"okro",2120,28,75,1
"okro",2120,31,10,1
"okro",2120,32,25,1
"okro",2120,33,40,1
"okro",2120,34,75,1
"okro",2120,61,15,1
"okro",2120,62,25,1
"okro",2120,63,40,1
"onion",2130,21,20,1
"onion",2130,22,50,1
"onion",2130,23,100,1
"onion",2130,24,120,1
"onion",2130,25,15,1
"onion",2130,26,30,1
"onion",2130,27,50,1
"onion",2130,28,75,1
"onion",2130,31,10,1
"onion",2130,32,25,1
"onion",2130,33,40,1
"onion",2130,34,75,1
"onion",2130,61,15,1
"onion",2130,62,25,1
"onion",2130,63,40,1
"onion",2130,71,60,1
"onion",2130,72,85,1
"onion",2130,73,110,1
"onion",2130,74,150,1
"PEPPER",2140,5,0.8,1
"PEPPER",2140,8,2.4,1
"PEPPER",2140,12,0.1,1
"PEPPER",2140,13,0.15,1
"PEPPER",2140,14,1.6,1
"pepper",2140,21,20,1
"pepper",2140,22,50,1
"pepper",2140,23,100,1
"pepper",2140,24,120,1
"pepper",2140,25,15,1
"pepper",2140,26,30,1
"pepper",2140,27,50,1
"pepper",2140,28,75,1
"pepper",2140,31,10,1
"pepper",2140,32,25,1
"pepper",2140,33,40,1
"pepper",2140,34,75,1
"PEPPER",2140,52,5,1
"pepper",2140,61,15,1
"pepper",2140,62,25,1
"pepper",2140,63,40,1
"PEPPER",2140,82,2000,1
"sweet pepper",2141,21,20,1
"sweet pepper",2141,22,50,1
"sweet pepper",2141,23,100,1
"sweet pepper",2141,24,120,1
"sweet pepper",2141,25,15,1
"sweet pepper",2141,26,30,1
"sweet pepper",2141,27,50,1
"sweet pepper",2141,28,75,1
"sweet pepper",2141,31,10,1
"sweet pepper",2141,32,25,1
"sweet pepper",2141,33,40,1
"sweet pepper",2141,34,75,1
"sweet pepper",2141,61,15,1
"sweet pepper",2141,62,25,1
"sweet pepper",2141,63,40,1
"SMALL PEPPER",2142,5,0.8,1
"SMALL PEPPER",2142,14,1.6,1
"small pepper",2142,21,20,1
"small pepper",2142,22,50,1
"small pepper",2142,23,100,1
"small pepper",2142,24,120,1
"small pepper",2142,25,15,1
"small pepper",2142,26,30,1
"small pepper",2142,27,50,1
"small pepper",2142,28,75,1
"small pepper",2142,31,10,1
"small pepper",2142,32,25,1
"small pepper",2142,33,40,1
"small pepper",2142,34,75,1
"small pepper",2142,61,15,1
"small pepper",2142,62,25,1
"small pepper",2142,63,40,1
"atare",2143,21,20,1
"atare",2143,22,50,1
"atare",2143,23,100,1
"atare",2143,24,120,1
"atare",2143,25,15,1
"atare",2143,26,30,1
"atare",2143,27,50,1
"atare",2143,28,75,1
"atare",2143,31,10,1
"atare",2143,32,25,1
"atare",2143,33,40,1
"atare",2143,34,75,1
"atare",2143,61,15,1
"atare",2143,62,25,1
"atare",2143,63,40,1
"pigeon pea",2150,21,20,1
"pigeon pea",2150,22,50,1
"pigeon pea",2150,23,100,1
"pigeon pea",2150,24,120,1
"pigeon pea",2150,25,15,1
"pigeon pea",2150,26,30,1
"pigeon pea",2150,27,50,1
"pigeon pea",2150,28,75,1
"pigeon pea",2150,31,10,1
"pigeon pea",2150,32,25,1
"pigeon pea",2150,33,40,1
"pigeon pea",2150,34,75,1
"pigeon pea",2150,61,15,1
"pigeon pea",2150,62,25,1
"pigeon pea",2150,63,40,1
"pineapple",2160,21,20,1
"pineapple",2160,22,50,1
"pineapple",2160,23,100,1
"pineapple",2160,24,120,1
"pineapple",2160,25,15,1
"pineapple",2160,26,30,1
"pineapple",2160,27,50,1
"pineapple",2160,28,75,1
"pineapple",2160,31,10,1
"pineapple",2160,32,25,1
"pineapple",2160,33,40,1
"pineapple",2160,34,75,1
"PINEAPPLE",2160,41,5,1
"PINEAPPLE",2160,42,8,1
"pineapple",2160,61,15,1
"pineapple",2160,62,25,1
"pineapple",2160,63,40,1
"pineapple",2160,71,60,1
"pineapple",2160,72,85,1
"pineapple",2160,73,110,1
"pineapple",2160,74,150,1
"pineapple",2160,81,1500,1
"pineapple",2160,82,2000,1
"pineapple",2160,83,2500,1
"plantain",2170,21,20,1
"plantain",2170,22,50,1
"plantain",2170,23,100,1
"plantain",2170,24,120,1
"plantain",2170,25,15,1
"plantain",2170,26,30,1
"plantain",2170,27,50,1
"plantain",2170,28,75,1
"plantain",2170,31,10,1
"plantain",2170,32,25,1
"plantain",2170,33,40,1
"plantain",2170,34,75,1
"plantain",2170,41,5,1
"plantain",2170,42,8,1
"plantain",2170,43,15,1
"plantain",2170,61,15,1
"plantain",2170,62,25,1
"plantain",2170,63,40,1
"plantain",2170,71,60,1
"plantain",2170,72,85,1
"plantain",2170,73,110,1
"plantain",2170,74,150,1
"plantain",2170,81,1500,1
"plantain",2170,82,2000,1
"plantain",2170,83,2500,1
"POTATO",2180,8,3,1
"potato",2180,21,20,1
"potato",2180,22,50,1
"potato",2180,23,100,1
"potato",2180,24,120,1
"potato",2180,25,15,1
"potato",2180,26,30,1
"potato",2180,27,50,1
"potato",2180,28,75,1
"potato",2180,31,10,1
"potato",2180,32,25,1
"potato",2180,33,40,1
"potato",2180,34,75,1
"potato",2180,51,3,1
"potato",2180,52,5,1
"potato",2180,53,8,1
"potato",2180,61,15,1
"potato",2180,62,25,1
"potato",2180,63,40,1
"potato",2180,71,60,1
"potato",2180,72,85,1
"potato",2180,73,110,1
"potato",2180,74,150,1
"SWEET POTATO",2181,8,7.5,1
"sweet potato",2181,21,20,1
"sweet potato",2181,22,50,1
"sweet potato",2181,23,100,1
"sweet potato",2181,24,120,1
"sweet potato",2181,25,15,1
"sweet potato",2181,26,30,1
"sweet potato",2181,27,50,1
"sweet potato",2181,28,75,1
"sweet potato",2181,31,10,1
"sweet potato",2181,32,25,1
"sweet potato",2181,33,40,1
"sweet potato",2181,34,75,1
"sweet potato",2181,51,3,1
"sweet potato",2181,52,5,1
"sweet potato",2181,53,8,1
"sweet potato",2181,61,15,1
"sweet potato",2181,62,25,1
"sweet potato",2181,63,40,1
"sweet potato",2181,71,60,1
"sweet potato",2181,72,85,1
"sweet potato",2181,73,110,1
"sweet potato",2181,74,150,1
"pumpkin",2190,21,20,1
"pumpkin",2190,22,50,1
"pumpkin",2190,23,100,1
"pumpkin",2190,24,120,1
"pumpkin",2190,25,15,1
"pumpkin",2190,26,30,1
"pumpkin",2190,27,50,1
"pumpkin",2190,28,75,1
"pumpkin",2190,31,10,1
"pumpkin",2190,32,25,1
"pumpkin",2190,33,40,1
"pumpkin",2190,34,75,1
"pumpkin",2190,61,15,1
"pumpkin",2190,62,25,1
"pumpkin",2190,63,40,1
"pumpkin",2190,71,60,1
"pumpkin",2190,72,85,1
"pumpkin",2190,73,110,1
"pumpkin",2190,74,150,1
"pumpkin",2190,81,1500,1
"pumpkin",2190,82,2000,1
"pumpkin",2190,83,2500,1
"pumpkin leave",2191,21,20,1
"pumpkin leave",2191,22,50,1
"pumpkin leave",2191,23,100,1
"pumpkin leave",2191,24,120,1
"pumpkin leave",2191,25,15,1
"pumpkin leave",2191,26,30,1
"pumpkin leave",2191,27,50,1
"pumpkin leave",2191,28,75,1
"pumpkin leave",2191,31,10,1
"pumpkin leave",2191,32,25,1
"pumpkin leave",2191,33,40,1
"pumpkin leave",2191,34,75,1
"pumpkin leave",2191,61,15,1
"pumpkin leave",2191,62,25,1
"pumpkin leave",2191,63,40,1
"pumpkin fruit",2192,21,20,1
"pumpkin fruit",2192,22,50,1
"pumpkin fruit",2192,23,100,1
"pumpkin fruit",2192,24,120,1
"pumpkin fruit",2192,25,15,1
"pumpkin fruit",2192,26,30,1
"pumpkin fruit",2192,27,50,1
"pumpkin fruit",2192,28,75,1
"pumpkin fruit",2192,31,10,1
"pumpkin fruit",2192,32,25,1
"pumpkin fruit",2192,33,40,1
"pumpkin fruit",2192,34,75,1
"pumpkin fruit",2192,61,15,1
"pumpkin fruit",2192,62,25,1
"pumpkin fruit",2192,63,40,1
"pumpkin seed",2193,21,20,1
"pumpkin seed",2193,22,50,1
"pumpkin seed",2193,23,100,1
"pumpkin seed",2193,24,120,1
"pumpkin seed",2193,25,15,1
"pumpkin seed",2193,26,30,1
"pumpkin seed",2193,27,50,1
"pumpkin seed",2193,28,75,1
"pumpkin seed",2193,31,10,1
"pumpkin seed",2193,32,25,1
"pumpkin seed",2193,33,40,1
"pumpkin seed",2193,34,75,1
"PUMPKIN SEED",2193,41,5,1
"pumpkin seed",2193,61,15,1
"pumpkin seed",2193,62,25,1
"pumpkin seed",2193,63,40,1
"PUMPKIN SEED",2193,73,110,1
"green vegetable",2194,21,20,1
"green vegetable",2194,22,50,1
"green vegetable",2194,23,100,1
"green vegetable",2194,24,120,1
"green vegetable",2194,25,15,1
"green vegetable",2194,26,30,1
"green vegetable",2194,27,50,1
"green vegetable",2194,28,75,1
"green vegetable",2194,31,10,1
"green vegetable",2194,32,25,1
"green vegetable",2194,33,40,1
"green vegetable",2194,34,75,1
"green vegetable",2194,61,15,1
"green vegetable",2194,62,25,1
"green vegetable",2194,63,40,1
"dry leaves (kuka)",2195,21,20,1
"dry leaves (kuka)",2195,22,50,1
"dry leaves (kuka)",2195,23,100,1
"dry leaves (kuka)",2195,24,120,1
"dry leaves (kuka)",2195,25,15,1
"dry leaves (kuka)",2195,26,30,1
"dry leaves (kuka)",2195,27,50,1
"dry leaves (kuka)",2195,28,75,1
"dry leaves (kuka)",2195,31,10,1
"dry leaves (kuka)",2195,32,25,1
"dry leaves (kuka)",2195,33,40,1
"dry leaves (kuka)",2195,34,75,1
"dry leaves (kuka)",2195,61,15,1
"dry leaves (kuka)",2195,62,25,1
"dry leaves (kuka)",2195,63,40,1
"rizga",2200,21,20,1
"rizga",2200,22,50,1
"rizga",2200,23,100,1
"rizga",2200,24,120,1
"rizga",2200,25,15,1
"rizga",2200,26,30,1
"rizga",2200,27,50,1
"rizga",2200,28,75,1
"rizga",2200,31,10,1
"rizga",2200,32,25,1
"rizga",2200,33,40,1
"rizga",2200,34,75,1
"rizga",2200,51,3,1
"rizga",2200,52,5,1
"rizga",2200,53,8,1
"rizga",2200,61,15,1
"rizga",2200,62,25,1
"rizga",2200,63,40,1
"shea nuts",2210,21,20,1
"shea nuts",2210,22,50,1
"shea nuts",2210,23,100,1
"shea nuts",2210,24,120,1
"shea nuts",2210,25,15,1
"shea nuts",2210,26,30,1
"shea nuts",2210,27,50,1
"shea nuts",2210,28,75,1
"shea nuts",2210,31,10,1
"shea nuts",2210,32,25,1
"shea nuts",2210,33,40,1
"shea nuts",2210,34,75,1
"shea nuts",2210,61,15,1
"shea nuts",2210,62,25,1
"shea nuts",2210,63,40,1
"shea nuts",2210,81,1500,1
"shea nuts",2210,82,2000,1
"shea nuts",2210,83,2500,1
"SOYA BEANS",2220,5,1.2,1
"SOYA BEANS",2220,6,1.35,1
"SOYA BEANS",2220,7,1.35,1
"soya beans",2220,12,0.1475,1
"SOYA BEANS",2220,14,2.4,1
"soya beans",2220,21,20,1
"soya beans",2220,22,50,1
"soya beans",2220,23,100,1
"soya beans",2220,24,120,1
"soya beans",2220,25,15,1
"soya beans",2220,26,30,1
"soya beans",2220,27,50,1
"soya beans",2220,28,75,1
"soya beans",2220,31,10,1
"soya beans",2220,32,25,1
"soya beans",2220,33,40,1
"soya beans",2220,34,75,1
"soya beans",2220,61,15,1
"soya beans",2220,62,25,1
"soya beans",2220,63,40,1
"sugar cane",2230,21,20,1
"sugar cane",2230,22,50,1
"sugar cane",2230,23,100,1
"sugar cane",2230,24,120,1
"sugar cane",2230,25,15,1
"sugar cane",2230,26,30,1
"sugar cane",2230,27,50,1
"sugar cane",2230,28,75,1
"sugar cane",2230,31,10,1
"sugar cane",2230,32,25,1
"sugar cane",2230,33,40,1
"sugar cane",2230,34,75,1
"sugar cane",2230,61,15,1
"sugar cane",2230,62,25,1
"sugar cane",2230,63,40,1
"tea",2240,21,20,1
"tea",2240,22,50,1
"tea",2240,23,100,1
"tea",2240,24,120,1
"tea",2240,25,15,1
"tea",2240,26,30,1
"tea",2240,27,50,1
"tea",2240,28,75,1
"tea",2240,31,10,1
"tea",2240,32,25,1
"tea",2240,33,40,1
"tea",2240,34,75,1
"tea",2240,61,15,1
"tea",2240,62,25,1
"tea",2240,63,40,1
"tobacco",2250,21,20,1
"tobacco",2250,22,50,1
"tobacco",2250,23,100,1
"tobacco",2250,24,120,1
"tobacco",2250,25,15,1
"tobacco",2250,26,30,1
"tobacco",2250,27,50,1
"tobacco",2250,28,75,1
"tobacco",2250,31,10,1
"tobacco",2250,32,25,1
"tobacco",2250,33,40,1
"tobacco",2250,34,75,1
"tobacco",2250,61,15,1
"tobacco",2250,62,25,1
"tobacco",2250,63,40,1
"tomato",2260,21,20,1
"tomato",2260,22,50,1
"tomato",2260,23,100,1
"tomato",2260,24,120,1
"tomato",2260,25,15,1
"tomato",2260,26,30,1
"tomato",2260,27,50,1
"tomato",2260,28,75,1
"tomato",2260,31,10,1
"tomato",2260,32,25,1
"tomato",2260,33,40,1
"tomato",2260,34,75,1
"TOMATO",2260,52,5,1
"tomato",2260,61,15,1
"tomato",2260,62,25,1
"tomato",2260,63,40,1
"tomato",2260,71,60,1
"tomato",2260,72,85,1
"tomato",2260,73,110,1
"tomato",2260,74,150,1
"tomato",2260,81,1500,1
"tomato",2260,82,2000,1
"tomato",2260,83,2500,1
"walnut",2270,21,20,1
"walnut",2270,22,50,1
"walnut",2270,23,100,1
"walnut",2270,24,120,1
"walnut",2270,25,15,1
"walnut",2270,26,30,1
"walnut",2270,27,50,1
"walnut",2270,28,75,1
"walnut",2270,31,10,1
"walnut",2270,32,25,1
"walnut",2270,33,40,1
"walnut",2270,34,75,1
"walnut",2270,61,15,1
"walnut",2270,62,25,1
"walnut",2270,63,40,1
"walnut",2270,81,1500,1
"walnut",2270,82,2000,1
"walnut",2270,83,2500,1
"wheat",2280,21,20,1
"wheat",2280,22,50,1
"wheat",2280,23,100,1
"wheat",2280,24,120,1
"wheat",2280,25,15,1
"wheat",2280,26,30,1
"wheat",2280,27,50,1
"wheat",2280,28,75,1
"wheat",2280,31,10,1
"wheat",2280,32,25,1
"wheat",2280,33,40,1
"wheat",2280,34,75,1
"wheat",2280,61,15,1
"wheat",2280,62,25,1
"wheat",2280,63,40,1
"zobo",2290,21,20,1
"zobo",2290,22,50,1
"zobo",2290,23,100,1
"zobo",2290,24,120,1
"zobo",2290,25,15,1
"zobo",2290,26,30,1
"zobo",2290,27,50,1
"zobo",2290,28,75,1
"zobo",2290,31,10,1
"zobo",2290,32,25,1
"zobo",2290,33,40,1
"zobo",2290,34,75,1
"zobo",2290,61,15,1
"zobo",2290,62,25,1
"zobo",2290,63,40,1
"zobo seed",2291,21,20,1
"zobo seed",2291,22,50,1
"zobo seed",2291,23,100,1
"zobo seed",2291,24,120,1
"zobo seed",2291,25,15,1
"zobo seed",2291,26,30,1
"zobo seed",2291,27,50,1
"zobo seed",2291,28,75,1
"zobo seed",2291,31,10,1
"zobo seed",2291,32,25,1
"zobo seed",2291,33,40,1
"zobo seed",2291,34,75,1
"zobo seed",2291,61,15,1
"zobo seed",2291,62,25,1
"zobo seed",2291,63,40,1
"zobo seed",2291,81,1500,1
"zobo seed",2291,82,2000,1
"zobo seed",2291,83,2500,1
"apple",3010,21,20,1
"apple",3010,22,50,1
"apple",3010,23,100,1
"apple",3010,24,120,1
"apple",3010,25,15,1
"apple",3010,26,30,1
"apple",3010,27,50,1
"apple",3010,28,75,1
"apple",3010,31,10,1
"apple",3010,32,25,1
"apple",3010,33,40,1
"apple",3010,34,75,1
"apple",3010,61,15,1
"apple",3010,62,25,1
"apple",3010,63,40,1
"apple",3010,81,1500,1
"apple",3010,82,2000,1
"apple",3010,83,2500,1
"cashew",3020,21,20,1
"cashew",3020,22,50,1
"cashew",3020,23,100,1
"cashew",3020,24,120,1
"cashew",3020,25,15,1
"cashew",3020,26,30,1
"cashew",3020,27,50,1
"cashew",3020,28,75,1
"cashew",3020,31,10,1
"cashew",3020,32,25,1
"cashew",3020,33,40,1
"cashew",3020,34,75,1
"cashew",3020,61,15,1
"cashew",3020,62,25,1
"cashew",3020,63,40,1
"cashew",3020,71,60,1
"cashew",3020,72,85,1
"cashew",3020,73,110,1
"cashew",3020,74,150,1
"cashew",3020,81,1500,1
"cashew",3020,82,2000,1
"cashew",3020,83,2500,1
"cashew fruit",3021,21,20,1
"cashew fruit",3021,22,50,1
"cashew fruit",3021,23,100,1
"cashew fruit",3021,24,120,1
"cashew fruit",3021,25,15,1
"cashew fruit",3021,26,30,1
"cashew fruit",3021,27,50,1
"cashew fruit",3021,28,75,1
"cashew fruit",3021,31,10,1
"cashew fruit",3021,32,25,1
"cashew fruit",3021,33,40,1
"cashew fruit",3021,34,75,1
"cashew fruit",3021,61,15,1
"cashew fruit",3021,62,25,1
"cashew fruit",3021,63,40,1
"cashew fruit",3021,71,60,1
"cashew fruit",3021,72,85,1
"cashew fruit",3021,73,110,1
"cashew fruit",3021,74,150,1
"cashew fruit",3021,81,1500,1
"cashew fruit",3021,82,2000,1
"cashew fruit",3021,83,2500,1
"cashew nut",3022,21,20,1
"cashew nut",3022,22,50,1
"cashew nut",3022,23,100,1
"cashew nut",3022,24,120,1
"cashew nut",3022,25,15,1
"cashew nut",3022,26,30,1
"cashew nut",3022,27,50,1
"cashew nut",3022,28,75,1
"cashew nut",3022,31,10,1
"cashew nut",3022,32,25,1
"cashew nut",3022,33,40,1
"cashew nut",3022,34,75,1
"cashew nut",3022,61,15,1
"cashew nut",3022,62,25,1
"cashew nut",3022,63,40,1
"chilli",3030,21,20,1
"chilli",3030,22,50,1
"chilli",3030,23,100,1
"chilli",3030,24,120,1
"chilli",3030,25,15,1
"chilli",3030,26,30,1
"chilli",3030,27,50,1
"chilli",3030,28,75,1
"chilli",3030,31,10,1
"chilli",3030,32,25,1
"chilli",3030,33,40,1
"chilli",3030,34,75,1
"chilli",3030,61,15,1
"chilli",3030,62,25,1
"chilli",3030,63,40,1
"chilli",3030,81,1500,1
"chilli",3030,82,2000,1
"chilli",3030,83,2500,1
"cocoa",3040,21,20,1
"cocoa",3040,22,50,1
"cocoa",3040,23,100,1
"cocoa",3040,24,120,1
"cocoa",3040,25,15,1
"cocoa",3040,26,30,1
"cocoa",3040,27,50,1
"cocoa",3040,28,75,1
"cocoa",3040,31,10,1
"cocoa",3040,32,25,1
"cocoa",3040,33,40,1
"cocoa",3040,34,75,1
"COCOA",3040,52,5,1
"cocoa",3040,61,15,1
"cocoa",3040,62,25,1
"cocoa",3040,63,40,1
"cocoa",3040,81,1500,1
"cocoa",3040,82,2000,1
"cocoa",3040,83,2500,1
"cocoa pod",3041,21,20,1
"cocoa pod",3041,22,50,1
"cocoa pod",3041,23,100,1
"cocoa pod",3041,24,120,1
"cocoa pod",3041,25,15,1
"cocoa pod",3041,26,30,1
"cocoa pod",3041,27,50,1
"cocoa pod",3041,28,75,1
"cocoa pod",3041,31,10,1
"cocoa pod",3041,32,25,1
"cocoa pod",3041,33,40,1
"cocoa pod",3041,34,75,1
"cocoa pod",3041,61,15,1
"cocoa pod",3041,62,25,1
"cocoa pod",3041,63,40,1
"cocoa pod",3041,81,1500,1
"cocoa pod",3041,82,2000,1
"cocoa pod",3041,83,2500,1
"cocoa beans",3042,21,20,1
"cocoa beans",3042,22,50,1
"cocoa beans",3042,23,100,1
"cocoa beans",3042,24,120,1
"cocoa beans",3042,25,15,1
"cocoa beans",3042,26,30,1
"cocoa beans",3042,27,50,1
"cocoa beans",3042,28,75,1
"cocoa beans",3042,31,10,1
"cocoa beans",3042,32,25,1
"cocoa beans",3042,33,40,1
"cocoa beans",3042,34,75,1
"cocoa beans",3042,61,15,1
"cocoa beans",3042,62,25,1
"cocoa beans",3042,63,40,1
"cocoa beans",3042,81,1500,1
"cocoa beans",3042,82,2000,1
"cocoa beans",3042,83,2500,1
"coconut",3050,21,20,1
"coconut",3050,22,50,1
"coconut",3050,23,100,1
"coconut",3050,24,120,1
"coconut",3050,25,15,1
"coconut",3050,26,30,1
"coconut",3050,27,50,1
"coconut",3050,28,75,1
"coconut",3050,31,10,1
"coconut",3050,32,25,1
"coconut",3050,33,40,1
"coconut",3050,34,75,1
"coconut",3050,41,5,1
"coconut",3050,42,8,1
"coconut",3050,43,15,1
"COCONUT",3050,52,5,1
"coconut",3050,61,15,1
"coconut",3050,62,25,1
"coconut",3050,63,40,1
"coconut",3050,81,1500,1
"coconut",3050,82,2000,1
"coconut",3050,83,2500,1
"coffe",3060,21,20,1
"coffe",3060,22,50,1
"coffe",3060,23,100,1
"coffe",3060,24,120,1
"coffe",3060,25,15,1
"coffe",3060,26,30,1
"coffe",3060,27,50,1
"coffe",3060,28,75,1
"coffe",3060,31,10,1
"coffe",3060,32,25,1
"coffe",3060,33,40,1
"coffe",3060,34,75,1
"coffe",3060,61,15,1
"coffe",3060,62,25,1
"coffe",3060,63,40,1
"coffe",3060,81,1500,1
"coffe",3060,82,2000,1
"coffe",3060,83,2500,1
"cofee arabica",3061,21,20,1
"cofee arabica",3061,22,50,1
"cofee arabica",3061,23,100,1
"cofee arabica",3061,24,120,1
"cofee arabica",3061,25,15,1
"cofee arabica",3061,26,30,1
"cofee arabica",3061,27,50,1
"cofee arabica",3061,28,75,1
"cofee arabica",3061,31,10,1
"cofee arabica",3061,32,25,1
"cofee arabica",3061,33,40,1
"cofee arabica",3061,34,75,1
"cofee arabica",3061,61,15,1
"cofee arabica",3061,62,25,1
"cofee arabica",3061,63,40,1
"cofee arabica",3061,81,1500,1
"cofee arabica",3061,82,2000,1
"cofee arabica",3061,83,2500,1
"coffee robuster",3062,21,20,1
"coffee robuster",3062,22,50,1
"coffee robuster",3062,23,100,1
"coffee robuster",3062,24,120,1
"coffee robuster",3062,25,15,1
"coffee robuster",3062,26,30,1
"coffee robuster",3062,27,50,1
"coffee robuster",3062,28,75,1
"coffee robuster",3062,31,10,1
"coffee robuster",3062,32,25,1
"coffee robuster",3062,33,40,1
"coffee robuster",3062,34,75,1
"coffee robuster",3062,61,15,1
"coffee robuster",3062,62,25,1
"coffee robuster",3062,63,40,1
"coffee robuster",3062,81,1500,1
"coffee robuster",3062,82,2000,1
"coffee robuster",3062,83,2500,1
"date palm",3070,21,20,1
"date palm",3070,22,50,1
"date palm",3070,23,100,1
"date palm",3070,24,120,1
"date palm",3070,25,15,1
"date palm",3070,26,30,1
"date palm",3070,27,50,1
"date palm",3070,28,75,1
"date palm",3070,31,10,1
"date palm",3070,32,25,1
"date palm",3070,33,40,1
"date palm",3070,34,75,1
"date palm",3070,41,5,1
"date palm",3070,42,8,1
"date palm",3070,43,15,1
"date palm",3070,61,15,1
"date palm",3070,62,25,1
"date palm",3070,63,40,1
"date palm",3070,81,1500,1
"date palm",3070,82,2000,1
"date palm",3070,83,2500,1
"grape fruit",3080,21,20,1
"grape fruit",3080,22,50,1
"grape fruit",3080,23,100,1
"grape fruit",3080,24,120,1
"grape fruit",3080,25,15,1
"grape fruit",3080,26,30,1
"grape fruit",3080,27,50,1
"grape fruit",3080,28,75,1
"grape fruit",3080,31,10,1
"grape fruit",3080,32,25,1
"grape fruit",3080,33,40,1
"grape fruit",3080,34,75,1
"grape fruit",3080,61,15,1
"grape fruit",3080,62,25,1
"grape fruit",3080,63,40,1
"grape fruit",3080,81,1500,1
"grape fruit",3080,82,2000,1
"grape fruit",3080,83,2500,1
"guava",3090,21,20,1
"guava",3090,22,50,1
"guava",3090,23,100,1
"guava",3090,24,120,1
"guava",3090,25,15,1
"guava",3090,26,30,1
"guava",3090,27,50,1
"guava",3090,28,75,1
"guava",3090,31,10,1
"guava",3090,32,25,1
"guava",3090,33,40,1
"guava",3090,34,75,1
"guava",3090,61,15,1
"guava",3090,62,25,1
"guava",3090,63,40,1
"guava",3090,81,1500,1
"guava",3090,82,2000,1
"guava",3090,83,2500,1
"jute",3100,21,20,1
"jute",3100,22,50,1
"jute",3100,23,100,1
"jute",3100,24,120,1
"jute",3100,25,15,1
"jute",3100,26,30,1
"jute",3100,27,50,1
"jute",3100,28,75,1
"jute",3100,31,10,1
"jute",3100,32,25,1
"jute",3100,33,40,1
"jute",3100,34,75,1
"jute",3100,61,15,1
"jute",3100,62,25,1
"jute",3100,63,40,1
"kolanut",3110,21,20,1
"kolanut",3110,22,50,1
"kolanut",3110,23,100,1
"kolanut",3110,24,120,1
"kolanut",3110,25,15,1
"kolanut",3110,26,30,1
"kolanut",3110,27,50,1
"kolanut",3110,28,75,1
"kolanut",3110,31,10,1
"kolanut",3110,32,25,1
"kolanut",3110,33,40,1
"kolanut",3110,34,75,1
"KOLANUT",3110,42,8,1
"kolanut",3110,61,15,1
"kolanut",3110,62,25,1
"kolanut",3110,63,40,1
"kolanut",3110,81,1500,1
"kolanut",3110,82,2000,1
"kolanut",3110,83,2500,1
"kolanut unshelled",3111,21,20,1
"kolanut unshelled",3111,22,50,1
"kolanut unshelled",3111,23,100,1
"kolanut unshelled",3111,24,120,1
"kolanut unshelled",3111,25,15,1
"kolanut unshelled",3111,26,30,1
"kolanut unshelled",3111,27,50,1
"kolanut unshelled",3111,28,75,1
"kolanut unshelled",3111,31,10,1
"kolanut unshelled",3111,32,25,1
"kolanut unshelled",3111,33,40,1
"kolanut unshelled",3111,34,75,1
"kolanut unshelled",3111,61,15,1
"kolanut unshelled",3111,62,25,1
"kolanut unshelled",3111,63,40,1
"kolanut unshelled",3111,81,1500,1
"kolanut unshelled",3111,82,2000,1
"kolanut unshelled",3111,83,2500,1
"kolanut shelled",3112,21,20,1
"kolanut shelled",3112,22,50,1
"kolanut shelled",3112,23,100,1
"kolanut shelled",3112,24,120,1
"kolanut shelled",3112,25,15,1
"kolanut shelled",3112,26,30,1
"kolanut shelled",3112,27,50,1
"kolanut shelled",3112,28,75,1
"kolanut shelled",3112,31,10,1
"kolanut shelled",3112,32,25,1
"kolanut shelled",3112,33,40,1
"kolanut shelled",3112,34,75,1
"kolanut shelled",3112,61,15,1
"kolanut shelled",3112,62,25,1
"kolanut shelled",3112,63,40,1
"kolanut shelled",3112,81,1500,1
"kolanut shelled",3112,82,2000,1
"kolanut shelled",3112,83,2500,1
"bitter kola",3113,21,20,1
"bitter kola",3113,22,50,1
"bitter kola",3113,23,100,1
"bitter kola",3113,24,120,1
"bitter kola",3113,25,15,1
"bitter kola",3113,26,30,1
"bitter kola",3113,27,50,1
"bitter kola",3113,28,75,1
"bitter kola",3113,31,10,1
"bitter kola",3113,32,25,1
"bitter kola",3113,33,40,1
"bitter kola",3113,34,75,1
"bitter kola",3113,61,15,1
"bitter kola",3113,62,25,1
"bitter kola",3113,63,40,1
