"cropname","cropcode","nscode","conversion","kg"
"unshelled ground nut",1061,74,150,1
"unshelled ground nut",1061,81,1500,1
"unshelled ground nut",1061,82,2000,1
"unshelled ground nut",1061,83,2500,1
"shelled ground nut",1062,21,20,1
"shelled ground nut",1062,22,50,1
"shelled ground nut",1062,23,100,1
"shelled ground nut",1062,24,120,1
"shelled ground nut",1062,25,15,1
"shelled ground nut",1062,26,30,1
"shelled ground nut",1062,27,50,1
"shelled ground nut",1062,28,75,1
"shelled ground nut",1062,31,10,1
"shelled ground nut",1062,32,25,1
"shelled ground nut",1062,33,40,1
"shelled ground nut",1062,34,75,1
"shelled ground nut",1062,61,15,1
"shelled ground nut",1062,62,25,1
"shelled ground nut",1062,63,40,1
"shelled ground nut",1062,81,1500,1
"shelled ground nut",1062,82,2000,1
"shelled ground nut",1062,83,2500,1
"GUINEA CORN/SORGHUM",1070,5,1.5,1
"GUINEA CORN/SORGHUM",1070,7,1.7,1
"GUINEA CORN/SORGHUM",1070,8,4.3,1
"GUINEA CORN/SORGHUM",1070,10,0.42,1
"guinea corn/sorghum",1070,12,0.15,1
"GUINEA CORN/SORGHUM",1070,14,3,1
"GUINEA CORN/SORGHUM",1070,15,1.5,1
"guinea corn/sorghum",1070,21,20,1
"guinea corn/sorghum",1070,22,50,1
"guinea corn/sorghum",1070,23,100,1
"guinea corn/sorghum",1070,24,120,1
"guinea corn/sorghum",1070,25,15,1
"guinea corn/sorghum",1070,26,30,1
"guinea corn/sorghum",1070,27,50,1
"guinea corn/sorghum",1070,28,75,1
"guinea corn/sorghum",1070,31,10,1
"guinea corn/sorghum",1070,32,25,1
"guinea corn/sorghum",1070,33,40,1
"guinea corn/sorghum",1070,34,75,1
"GUINEA COURN/SORGHUM",1070,42,8,1
"GUINEA COURN/SORGHUM",1070,43,15,1
"guinea corn/sorghum",1070,61,15,1
"guinea corn/sorghum",1070,62,25,1
"guinea corn/sorghum",1070,63,40,1
"MAIZE",1080,5,1.5,1
"MAIZE",1080,7,1.7,1
"MAIZE",1080,8,4.5,1
"MAIZE",1080,14,3,1
"maize",1080,21,20,1
"maize",1080,22,50,1
"maize",1080,23,100,1
"maize",1080,24,120,1
"maize",1080,25,15,1
"maize",1080,26,30,1
"maize",1080,27,50,1
"maize",1080,28,75,1
"maize",1080,31,10,1
"maize",1080,32,25,1
"maize",1080,33,40,1
"maize",1080,34,75,1
"MAIZE",1080,51,3,1
"MAIZE",1080,52,5,1
"MAIZE",1080,53,8,1
"maize",1080,61,15,1
"maize",1080,62,25,1
"maize",1080,63,40,1
"maize",1080,71,60,1
"maize",1080,72,85,1
"maize",1080,73,110,1
"maize",1080,74,150,1
"MAIZE",1080,81,1500,1
"MAIZE",1080,82,2000,1
"MAIZE",1080,83,2500,1
"unshelled maize (cob)",1081,21,20,1
"unshelled maize (cob)",1081,22,50,1
"unshelled maize (cob)",1081,23,100,1
"unshelled maize (cob)",1081,24,120,1
"unshelled maize (cob)",1081,25,15,1
"unshelled maize (cob)",1081,26,30,1
"unshelled maize (cob)",1081,27,50,1
"unshelled maize (cob)",1081,28,75,1
"unshelled maize (cob)",1081,31,10,1
"unshelled maize (cob)",1081,32,25,1
"unshelled maize (cob)",1081,33,40,1
"unshelled maize (cob)",1081,34,75,1
"unshelled maize (cob)",1081,61,15,1
"unshelled maize (cob)",1081,62,25,1
"unshelled maize (cob)",1081,63,40,1
"unshelled maize (cob)",1081,71,60,1
"unshelled maize (cob)",1081,72,85,1
"unshelled maize (cob)",1081,73,110,1
"unshelled maize (cob)",1081,74,150,1
"SHELLED MAIZE (GRAIN)",1082,5,1.5,1
"shelled maize (grain)",1082,12,0.15625,1
"SHELLED MAIZE (GRAIN)",1082,14,3,1
"shelled maize (grain)",1082,21,20,1
"shelled maize (grain)",1082,22,50,1
"shelled maize (grain)",1082,23,100,1
"shelled maize (grain)",1082,24,120,1
"shelled maize (grain)",1082,25,15,1
"shelled maize (grain)",1082,26,30,1
"shelled maize (grain)",1082,27,50,1
"shelled maize (grain)",1082,28,75,1
"shelled maize (grain)",1082,31,10,1
"shelled maize (grain)",1082,32,25,1
"shelled maize (grain)",1082,33,40,1
"shelled maize (grain)",1082,34,75,1
"shelled maize (grain)",1082,61,15,1
"shelled maize (grain)",1082,62,25,1
"shelled maize (grain)",1082,63,40,1
"shelled maize (grain)",1082,71,60,1
"shelled maize (grain)",1082,72,85,1
"shelled maize (grain)",1082,73,110,1
"shelled maize (grain)",1082,74,150,1
"SHELLED MAIZE(GRAIN)",1082,82,2000,1
"pop corn maize",1083,21,20,1
"pop corn maize",1083,22,50,1
"pop corn maize",1083,23,100,1
"pop corn maize",1083,24,120,1
"pop corn maize",1083,25,15,1
"pop corn maize",1083,26,30,1
"pop corn maize",1083,27,50,1
"pop corn maize",1083,28,75,1
"pop corn maize",1083,31,10,1
"pop corn maize",1083,32,25,1
"pop corn maize",1083,33,40,1
"pop corn maize",1083,34,75,1
"pop corn maize",1083,61,15,1
"pop corn maize",1083,62,25,1
"pop corn maize",1083,63,40,1
"pop corn maize",1083,71,60,1
"pop corn maize",1083,72,85,1
"pop corn maize",1083,73,110,1
"pop corn maize",1083,74,150,1
