"country","wave","visit","surveyt","surveyprd","zone","state","lga","ea","rururb","hhid","hhsize","nfdwater","nfdelec","nfdgas","nfdfwood","nfdchar","nfdkero","nfdliqd","nfdutil","nfdcloth","nfdfmtn","nfdrepar","nfddome","nfdpetro","nfddiesl","nfdfares","nfdtrans","nfdcomm","nfdrecre","nfdtbac","nfdrnthh","nfdinsur","fdsorby","fdmilby","fdmaizby","fdriceby","fdyamby","fdcasby","fdcereby","fdbrdby","fdtubby","fdpoulby","fdmeatby","fdfishby","fddairby","fdfatsby","fdfrutby","fdvegby","fdbeanby","fdswtby","fdbevby","fdalcby","fdrestby","fdothby","fdsorpr","fdmilpr","fdmaizpr","fdricepr","fdyampr","fdcaspr","fdcerepr","fdbrdpr","fdtubpr","fdpoulpr","fdmeatpr","fdfishpr","fddairpr","fdfatspr","fdfrutpr","fdvegpr","fdbeanpr","fdswtpr","fdbevpr","fdalcpr","fdothpr","edtexp","nfdfoth","totcons","hhweight"
"NGA",2,2,"LSMS-ISA2013",2013,4,1,115,670,1,10001,8,0,8520,0,0,0,1825,0,608.333312988281,5500,11233.0947265625,7604.16650390625,0,42583.33203125,0,9776.7861328125,27375,6843.75,0,0,38763.2890625,437.5,0,0,0,11406.25,6517.85693359375,2607.14282226563,0,1303.57141113281,2607.14282226563,17598.21484375,3910.71435546875,3780.35717773438,3649.99987792969,3324.10717773438,2281.24993896484,2150.89283752441,3650,2607.14282226563,1955.35711669922,4301.78564453125,40410.7142333984,1955.35716247559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2309.375,279397.46875,11898.6572265625
"NGA",2,2,"LSMS-ISA2013",2013,4,1,115,670,1,10002,8,0,8625,0,0,0,4258.33349609375,0,532.291687011719,5875,9985.5654296875,0,68437.5,15208.3330078125,0,9776.7861328125,11406.25,11406.25,2875,0,15946.5029296875,0,0,0,0,11406.25,6517.85693359375,2607.14282226563,0,651.785705566406,2607.14282226563,14339.2861328125,4823.21411132813,13557.1433105469,2281.25,3715.17858886719,3910.71423339844,3519.64288330078,4562.5,2607.14282226563,4920.98224639893,2607.14282226563,23464.2852783203,2150.89289855957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16125,2700,293407.375,11898.6572265625
"NGA",2,2,"LSMS-ISA2013",2013,4,1,115,670,1,10003,6,0,12000,0,0,0,5069.4443359375,0,0,5766.66666666667,5590.873046875,0,0,10138.888671875,0,0,0,14194.4443359375,0,0,18805.517578125,0,0,0,0,6257.142578125,2607.14290364583,3476.1904296875,0,1998.80950927734,5214.28580729167,15642.8567708333,10428.5716145833,7647.61930338542,2867.85717773438,2824.40470377604,2694.04760742188,5475,2607.14290364583,86.9047648111979,3389.28572591146,0,10080.9521484375,1173.21432495117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33333.33203125,4722.22216796875,194092.8125,11898.6572265625
"NGA",2,2,"LSMS-ISA2013",2013,4,1,115,670,1,10004,5,7300,14400,0,0,0,6813.33359375,0,0,5000,10413.333984375,0,0,0,0,15642.8578125,0,12166.666015625,0,0,48000,0,0,0,0,7508.57109375,3128.571484375,4171.428515625,0,2294.28569335937,3128.571484375,18771.428125,12514.2859375,5840.0001953125,3128.57153320313,4380,3337.14287109375,7665,4380,104.285717773438,5422.85727539062,0,15642.85703125,1407.85718994141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25380,7980,255921.90625,11898.6572265625
"NGA",2,2,"LSMS-ISA2013",2013,4,1,115,670,1,10006,4,0,7350,0,0,0,4562.5,0,0,5000,3599.10717773438,0,0,21291.666015625,0,0,7604.16650390625,19770.83203125,0,0,30000,1500,0,0,0,8212.5,2607.14282226563,5866.0712890625,0,3780.35705566406,0,0,5214.28564453125,9255.35717773438,4692.85729980469,2607.14282226563,9776.78552246094,10233.0357666016,6257.14306640625,521.428588867188,4041.07153320313,0,2607.14282226563,10233.0358276367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1091.66662597656,187675.296875,11898.6572265625
"NGA",2,2,"LSMS-ISA2013",2013,4,1,115,670,1,10008,8,0,3900,0,0,0,1825,0,608.333312988281,9875,4979.16650390625,0,0,4562.5,0,2607.14282226563,0,8516.666015625,437.5,0,6225.37939453125,0,0,0,0,4692.85693359375,2607.14282226563,0,0,1955.35708618164,0,0,5866.07135009766,6191.96423339844,13883.0350341797,2607.1428527832,3715.17852783203,3063.39288330078,3910.71435546875,391.071441650391,8147.32116699219,0,15316.9643554688,1890.17858886719,0,0,0,0,0,970.667846679688,0,0,3509.61547851563,0,0,0,0,1303.57141113281,625.714294433594,0,0,0,0,0,0,29062.5,4738.5419921875,157985.6875,11898.6572265625
"NGA",2,2,"LSMS-ISA2013",2013,4,1,115,670,1,10009,5,7300,6480,0,0,0,1460,0,730,6800,8873.095703125,0,0,1216.66669921875,0,0,12166.66640625,8273.333984375,0,0,36000,800,0,0,0,10950,2085.7142578125,4692.85703125,0,5839.99985351562,3128.571484375,0,4171.428515625,6257.14287109375,5005.7142578125,2085.7142578125,7821.42841796875,5475.00009765625,8342.85703125,417.14287109375,2085.71435546875,0,26071.4290039063,7508.57153320313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2850,2890,197779.046875,11898.6572265625
"NGA",2,2,"LSMS-ISA2013",2013,4,1,115,670,1,10010,4,0,11250,0,0,0,2980.83325195313,0,912.5,2275,4058.630859375,0,0,30416.666015625,0,20205.357421875,0,24333.33203125,0,0,24258.5234375,2625,0,0,0,9125,5214.28564453125,11732.142578125,0,3780.35705566406,3910.71435546875,0,5214.28564453125,6126.78588867188,3128.57153320313,3910.71423339844,13035.7141113281,12840.1787719727,7300,651.785705566406,9385.71423339844,0,43669.64453125,10689.2856445313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37200,6008.33349609375,316239.375,11898.6572265625
"NGA",2,2,"LSMS-ISA2013",2013,4,1,104,1364,0,10011,6,1723.61120605469,6300,0,0,0,2433.33333333333,0,0,2950,1218.84924316406,0,0,0,0,2607.14290364583,0,23522.220703125,0,0,2462.17578125,0,0,0,0,8690.47591145833,4345.23795572917,4345.23795572917,0,434.523803710938,3476.1904296875,0,1738.09521484375,8690.47631835938,521.428588867188,1564.28572591146,0,1911.9047648112,869.047607421875,434.523803710938,2085.71431477865,0,38238.0940755208,955.952351888021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27500,2354.16674804688,151372.6875,11332.0537109375
"NGA",2,2,"LSMS-ISA2013",2013,4,1,104,1364,0,10012,8,988.541687011719,4650,0,0,0,1064.58337402344,0,0,6975,2428.92846679688,0,0,6843.75,0,3910.71435546875,0,12927.0830078125,0,0,1846.6318359375,0,0,0,0,6517.85693359375,9125,0,0,1303.57141113281,0,0,1955.35717773438,7169.64282226563,8147.3212890625,521.428588867188,0,1955.35713195801,1955.35717773438,325.892852783203,4627.67861938477,1303.57141113281,11406.2501220703,1759.82148742676,0,0,0,0,0,2896.8251953125,0,0,2607.14282226563,0,0,0,0,1303.57141113281,0,0,0,0,0,0,0,0,3059.375,109576.2578125,11332.0537109375
