"item_cd","nsu_cd","conv","g_cl"
74,5,520,1
74,6,585,1
74,7,585,1
74,8,1495,1
74,9,292.5,1
74,10,146.25,1
74,11,32.5,1
74,12,65,1
74,13,97.5,1
74,14,1040,1
74,15,520,1
75,5,520,1
75,6,585,1
75,7,585,1
75,8,1495,1
75,9,292.5,1
75,10,146.25,1
75,11,32.5,1
75,12,65,1
75,13,97.5,1
75,14,1040,1
75,15,520,1
76,5,800,1
76,6,900,1
76,7,900,1
76,8,2300,1
76,9,450,1
76,10,225,1
76,11,50,1
76,12,100,1
76,13,150,1
76,14,1600,1
76,15,800,1
77,5,200,1
77,6,225,1
77,7,225,1
77,8,575,1
77,9,112.5,1
77,10,56.25,1
77,11,12.5,1
77,12,25,1
77,13,37.5,1
77,14,400,1
77,15,200,1
83,5,1500,0
83,16,50,1
84,16,50,1
85,16,40,0
103,5,600,0
103,10,165,0
103,12,75,0
110,5,100,1
110,12,15,1
111,5,608,1
111,6,684,1
111,7,684,1
111,8,1748,1
111,9,342,1
111,10,171,1
111,11,38,1
111,12,76,1
111,13,114,1
111,14,1216,1
111,15,608,1
113,12,15,1
120,12,20,0
121,12,20,0
122,5,16,0
122,12,2,0
122,16,2,0
130,5,1408,1
130,6,1584,1
130,7,1584,1
130,8,4048,1
130,9,792,1
130,10,396,1
130,11,88,1
130,12,176,1
130,13,264,1
130,14,2816,1
130,15,1408,1
132,8,350,1
132,12,15,1
140,5,1800,1
140,6,2025,1
140,7,2025,1
140,8,5175,1
140,9,1012.5,1
140,10,506.25,1
140,11,112.5,1
140,12,225,1
140,13,337.5,1
140,14,3600,1
140,15,1800,1
141,5,1800,1
141,6,2025,1
141,7,2025,1
141,8,5175,1
141,9,1012.5,1
141,10,506.25,1
141,11,112.5,1
141,12,225,1
141,13,337.5,1
141,14,3600,1
141,15,1800,1
142,5,1600,1
142,6,1800,1
142,7,1800,1
142,8,4600,1
142,9,900,1
142,10,450,1
142,11,100,1
142,12,200,1
142,13,300,1
142,14,3200,1
142,15,1600,1
143,5,1000,1
143,6,1125,1
143,7,1125,1
143,8,2875,1
143,9,562.5,1
143,10,281.25,1
143,11,62.5,1
143,12,125,1
143,13,187.5,1
143,14,2000,1
143,15,1000,1
144,5,500,1
144,6,562.5,1
144,7,562.5,1
144,8,1437.5,1
144,9,281.25,1
144,10,140.625,1
144,11,31.25,1
144,12,62.5,1
144,13,93.75,1
144,14,1000,1
144,15,500,1
145,5,800,1
145,6,900,1
145,7,900,1
145,8,2300,1
145,9,450,1
145,10,225,1
145,11,50,1
145,12,100,1
145,13,150,1
145,14,1600,1
145,15,800,1
146,5,600,1
146,6,675,1
146,7,675,1
146,8,1725,1
146,9,337.5,1
146,10,168.75,1
146,11,37.5,1
146,12,75,1
146,13,112.5,1
146,14,1200,1
146,15,600,1
151,10,75,1
151,16,50,1
