"zone","state","lga","sector","ea","hhid","indiv","s3bq1","s3bq2","s3bq3","s3bq4","s3bq5a","s3bq5b","s3bq6a","s3bq6b","s3bq7","s3bq8","s3bq9","s3bq9b","s3bq10","s3bq11a","s3bq11b","s3bq12a","s3bq12b","s3bq13","s3bq14","s3bq15","s3bq15b","tracked_obs"
4,1,104,2,1364,10012,3,1,2,2,1,"PERSONNEL & CAREER PROFE",2412,"PUBLIC ADMIN & DEFENCE",84,12,40,3,,2,,,,,,,,,0
4,1,104,2,1364,10012,4,1,2,2,1,"SOCIAL WORKS PROFESSIONAL",2446,"HUMAN HEALTH &SOCIAL WKS",88,12,40,3,,2,,,,,,,,,0
4,1,104,2,1364,10012,5,1,2,2,1,"PERSONNEL & CAREER PROFE",2412,"PUBLIC ADMIN & DEFENCE",84,12,400,3,,2,,,,,,,,,0
4,1,104,2,1364,10012,6,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10012,7,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10012,8,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10013,1,2,1,1,1,"BUYING & SELLING",3416,"BEER PALOR",56,12,40,9,,1,"PEER PALOR",3416,"BUYING & SELLING",47,12,40,9,,0
4,1,104,2,1364,10013,2,1,2,2,1,"CIVIL SERVANT",9153,"SECURITY",80,12,40,2,,2,,,,,,,,,0
4,1,104,2,1364,10013,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10013,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10013,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10013,7,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10014,1,2,1,2,1,"FARMING",6210,"AGRICULTURE",1,10,40,9,,2,,,,,,,,,0
4,1,104,2,1364,10014,2,1,1,2,1,"CIVIL SERVANT-EDUCATION",2352,"DESK CLERK",85,12,52,3,,2,,,,,,,,,0
4,1,104,2,1364,10015,1,2,1,2,1,"SUBSIST AGRIC & FISHERY",6210,"CROP & ANIMAL PRODUCTION",1,10,6,9,,2,,,,,,,,,0
4,1,104,2,1364,10015,2,2,1,2,1,"SUBSIST AGRIC & FISHERY",6210,"CROP & ANIMAL PRODUCTION",1,10,6,9,,2,,,,,,,,,0
4,1,104,2,1364,10016,1,1,2,2,1,"TAX COLLECTOR",3442,"TAX COLLECTOR",64,12,8,2,,2,,,,,,,,,0
4,1,104,2,1364,10016,2,1,2,2,1,"SCHOOL ADMINISTRATOR",2351,"ADMINISTRATION",85,12,8,2,,1,"FARMING",6210,"AGRICULTURE",1,8,4,9,,0
4,1,104,2,1364,10016,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10016,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10016,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10016,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10017,1,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10017,2,1,2,2,1,"TEACHING",2320,"EDUCATION",85,12,30,2,,2,,,,,,,,,0
4,1,104,2,1364,10017,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10017,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10018,1,1,1,2,1,"TAX COLLECTOR",3442,"TAX COLLECTOR",64,12,49,2,,1,"FARMING",6210,"AGRICULTURE",1,8,12,9,,0
4,1,104,2,1364,10018,2,2,1,2,1,"FARMING",6210,"AGRICULTURE",1,12,49,2,,2,,,,,,,,,0
4,1,104,2,1364,10018,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10018,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10018,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10019,1,2,1,2,1,"CROP FARMING",6210,"AGRICULTURE",1,10,42,9,,2,,,,,,,,,0
4,1,104,2,1364,10019,2,1,1,2,1,"CROP FARMING",6210,"AGRICULTURE",1,7,45,9,,1,"BUILDING LABOURER",9312,"BUILDING CONSTRUCTION",41,4,45,4,,0
4,1,104,2,1364,10019,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10019,4,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10019,5,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10019,6,1,2,2,1,"TRADING",5230,"BUYING & SELLING",47,12,60,4,,2,,,,,,,,,0
4,1,104,2,1364,10019,7,1,2,2,1,"BEAUTICIAN",5141,"BEAUTICIAN",96,12,60,4,,2,,,,,,,,,0
4,1,104,2,1364,10019,8,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10021,1,2,1,2,1,"SUBSISTE AGRIC & FISHERY",6210,"CROP & ANIMAL PRODUCTION",1,10,40,9,,2,,,,,,,,,0
4,1,106,2,880,10021,2,2,1,2,1,"SUBSISTE AGRIC & FISHERY",6210,"CROP & ANIMAL PRODUCTION",1,10,40,9,,2,,,,,,,,,0
4,1,106,2,880,10021,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10021,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10021,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,1,2,1,2,1,"SUBSIST AGRIC & FISHERY",6210,"CROP & ANIMAL PRODUCTION",1,11,30,9,,2,,,,,,,,,0
4,1,106,2,880,10022,2,2,1,2,1,"SUBSIST AGRIC & FISHERY",6210,"CROP & ANIMAL PRODUCTION",1,11,30,9,,2,,,,,,,,,0
4,1,106,2,880,10022,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10023,1,2,1,2,1,"SUBSIST. AGRIC & FISHERY",6210,"CROP & ANIMAL PRODUCTION",1,10,40,9,,2,,,,,,,,,0
4,1,106,2,880,10023,2,2,1,2,1,"SUBSIST AGRIC & FISHERY",6210,"CROP & ANIMAL PRODUCTION",1,10,40,9,,2,,,,,,,,,0
4,1,106,2,880,10023,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10023,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10023,5,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10024,1,2,1,2,1,"FARMING",6210,"AGRICULTURE",1,8,40,9,,2,,,,,,,,,0
4,1,106,2,880,10024,2,2,1,2,1,"FARMING",6210,"AGRICULTURE",1,10,50,9,,2,,,,,,,,,0
