"zone","state","lga","sector","ea","hhid","s12q1a","s12q1b","s12q1c","s12q1d","s12q1e","s12q1f","s12q1g","s12q1h","s12q1i","s12q2a","s12q2b","s12q3","s12q4a","s12q4b","s12q4c","s12q5","s12q6a","s12q6b","s12q6c","s12q6d","s12q6e","s12q6f","s12q7a","s12q7b","s12q7c","s12q7d","tracked_obs"
4,1,102,1,1690,10056,2,2,1,0,0,0,0,0,0,3,,1,,,,1,6,,,7,,,8,10,,"CONSTANT RAIN FALL",0
4,1,102,1,1690,10057,2,2,1,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,102,1,1690,10058,5,5,2,3,0,0,0,0,0,3,,1,,,,1,1,,,1,,,5,8,,,0
4,1,102,1,1690,10059,0,1,1,1,0,0,0,0,0,3,,1,,,,1,4,,,1,,,4,5,6,,0
4,1,102,1,1690,10060,1,3,2,2,3,3,2,1,0,2,,1,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10061,2,2,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10062,3,1,2,0,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10063,3,2,3,2,1,0,1,0,0,3,,1,,,,1,4,,,1,,,4,5,6,,0
4,1,107,2,1044,10064,1,0,0,0,1,1,0,0,0,3,4,1,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10065,0,1,2,2,0,0,0,0,0,3,,1,,,,1,4,,,1,,,5,6,7,,0
4,1,107,2,1044,10066,2,3,3,3,1,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10067,2,2,3,3,2,2,1,0,0,2,3,1,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10068,3,2,3,2,2,2,1,0,0,2,,1,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10069,7,7,7,7,4,2,0,0,0,2,3,1,,,,1,1,,,1,,,4,5,,,0
4,1,107,2,1044,10070,1,2,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,117,2,560,10071,2,3,3,2,3,2,2,1,0,2,3,1,,,,2,,,,,,,,,,,0
4,1,117,2,560,10072,3,3,2,3,4,2,2,0,0,2,3,1,,,,2,,,,,,,,,,,0
4,1,117,2,560,10073,0,1,1,1,0,0,1,0,0,3,0,1,,,,1,5,,,1,,,7,6,4,,0
4,1,117,2,560,10074,0,2,1,2,0,0,0,0,0,3,0,1,,,,1,5,,,1,,,5,7,6,,0
4,1,117,2,560,10075,3,2,2,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,117,2,560,10076,3,2,4,1,0,0,0,0,0,3,0,1,,,,1,5,,,6,,,10,,,"ILLNESS",0
4,1,117,2,560,10077,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,117,2,560,10078,0,2,3,2,0,0,1,1,0,3,0,1,,,,1,4,,,1,,,4,5,6,,0
4,1,117,2,560,10079,3,2,2,3,1,2,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,117,2,560,10080,5,4,4,4,5,0,0,0,0,2,3,1,,,,1,1,,,,1,,4,5,,,0
4,1,110,2,76,10081,2,1,1,2,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,,0
4,1,110,2,76,10082,3,2,3,0,0,0,0,0,0,2,,1,,,,1,11,,,,,,10,,,"ILLNESS",0
4,1,110,1,0,10083,3,2,2,3,4,3,1,0,0,2,3,1,,,,2,,,,,,,,,,,1
4,1,110,2,76,10084,0,2,2,1,2,0,1,0,0,3,4,1,,,,1,5,,,1,,,4,5,6,,0
4,1,110,2,76,10085,0,2,1,2,1,0,1,0,0,3,,1,,,,1,5,,,1,,,6,5,7,,0
4,1,110,2,76,10086,3,2,3,2,2,3,3,3,2,2,,1,,,,1,2,,,,,,10,,,"SICKNESS",0
4,1,110,2,76,10087,2,3,3,4,3,2,3,3,2,2,,1,,,,2,,,,,,,,,,,0
4,1,110,2,76,10088,2,3,3,4,3,1,2,2,2,2,3,1,,,,2,,,,,,,,,,,0
4,1,110,2,76,10089,5,5,3,2,0,0,0,0,0,3,,1,,,,1,1,,,1,,,4,5,6,,0
4,1,110,2,76,10090,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10091,0,0,0,0,0,0,0,0,0,3,,2,1,1,,2,,,,,,,,,,,0
4,1,105,2,638,10092,3,3,3,4,3,2,2,1,0,2,3,1,,,,2,,,,,,,,,,,0
4,1,105,2,638,10094,3,2,2,1,3,1,1,0,0,3,3,1,,,,2,,,,,,,,,,,0
4,1,105,2,638,10096,2,2,0,0,0,0,0,0,0,3,,1,,,,1,3,,,1,,,10,,,"ILLNESS,LACK OF MONE",0
4,1,105,2,638,10097,3,1,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,105,2,638,10098,3,3,4,2,0,3,4,2,0,3,,1,,,,1,3,,,1,,,6,5,10,"PENSION NOT REGULAR",0
4,1,105,2,638,10099,0,1,2,2,0,0,2,0,0,3,,1,,,,1,4,,,1,,,4,5,6,,0
4,1,105,2,638,10100,1,1,2,2,3,0,0,0,0,3,,1,,,,1,4,,,1,,,6,5,4,,0
4,1,108,2,904,10101,4,3,4,4,4,5,5,4,3,2,,1,,,,1,,4,,,,,10,,,"DEATH OF THE HHHEAD",0
4,1,108,2,904,10102,2,2,1,2,2,3,1,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,108,2,904,10103,2,2,2,1,1,1,2,0,0,2,,1,,,,2,,,,,,,,,,,0
4,1,108,2,904,10104,0,1,2,3,1,0,0,0,0,3,,1,,,,1,6,,,1,,,4,5,6,,0
4,1,108,2,904,10105,0,0,1,2,2,0,1,1,0,3,,1,,,,1,6,,,1,,,7,6,5,,0
4,1,108,2,904,10106,0,2,2,1,1,0,1,0,0,3,0,1,,,,1,5,,,1,,,6,5,4,,0
4,1,108,2,904,10107,2,1,1,2,0,0,0,0,0,3,,1,,,,1,6,,,6,,,6,5,,,0
4,1,108,2,904,10108,3,1,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,108,2,904,10109,3,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,108,2,904,10110,3,1,2,0,0,0,0,0,0,2,4,1,,,,2,,,,,,,,,,,0
2,2,209,2,1040,20001,0,0,0,0,0,0,0,0,0,3,2,1,,,,2,,,,,,,,,,,0
2,2,209,2,1040,20002,2,0,0,0,0,0,0,0,0,2,2,1,,,,1,8,,,,,,1,2,4,,0
2,2,209,2,1040,20004,0,0,1,0,2,0,0,1,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,209,2,1040,20005,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,209,2,1040,20006,2,3,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,209,2,1040,20007,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,209,2,1040,20008,2,0,0,0,0,0,0,0,0,3,2,1,,,,1,8,,,,,,1,2,4,,0
2,2,209,2,1040,20009,4,3,0,0,0,0,0,0,0,3,3,1,,,,1,8,,,8,,,4,8,5,,0
2,2,209,2,1040,20010,2,0,0,0,0,0,0,0,0,2,2,1,,,,1,,,,,,,,,,,0
2,2,221,2,18,20011,6,6,7,3,4,0,0,2,1,3,3,1,,,,1,7,,,7,,,4,5,8,,0
2,2,221,2,18,20012,0,0,0,1,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,221,2,18,20013,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,221,2,18,20014,7,0,0,0,0,0,0,0,0,3,3,1,,,,1,8,,2,4,,,,,,,0
2,2,221,2,18,20015,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,221,2,18,20016,0,0,0,1,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,221,2,18,20017,7,0,0,0,0,0,0,0,0,2,3,1,,,,1,8,,,,,,4,5,,,0
2,2,221,2,18,20018,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,221,2,18,20019,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,221,2,18,20020,4,5,0,0,0,0,0,0,0,3,3,1,,,,1,7,,,8,,,4,5,8,,0
2,2,201,2,60,20021,0,0,0,0,0,0,0,0,0,2,2,1,,,,1,8,,,,,,2,3,,,0
2,2,201,2,60,20022,3,2,0,0,0,0,0,0,0,2,4,2,1,2,3,1,8,9,10,8,9,10,4,5,8,,0
2,2,201,2,60,20023,0,0,0,0,0,1,0,0,1,2,2,1,,,,2,,,,,,,,,,,0
2,2,201,2,60,20024,0,1,0,0,1,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,201,2,60,20025,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,201,2,60,20026,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,201,2,60,20027,0,0,0,0,0,0,0,0,0,2,2,1,,,,1,7,8,9,,,,1,2,3,,0
2,2,201,2,60,20028,5,5,0,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,,,0
2,2,201,2,60,20029,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
2,2,201,2,60,20030,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,216,2,200,20031,0,0,0,1,0,0,0,0,1,2,2,1,,,,2,,,,,,,,,,,0
2,2,216,2,200,20032,0,0,0,0,0,0,0,0,0,2,2,1,,,,1,7,8,9,1,2,,1,8,,,0
2,2,216,2,200,20033,2,0,0,2,0,0,0,0,0,2,2,1,,,,1,9,,,12,,,8,5,,,0
2,2,216,2,200,20034,7,3,4,7,3,0,2,0,0,2,3,1,,,,1,6,7,8,6,7,8,4,5,8,,0
2,2,216,2,200,20035,0,3,0,0,0,0,0,0,0,2,2,1,,,,1,9,,,1,,,8,5,,,0
2,2,216,2,200,20036,0,0,0,0,0,0,0,0,0,1,1,1,,,,2,,,,,,,,,,,0
2,2,216,2,200,20037,0,0,0,0,0,0,0,0,0,2,2,1,,,,1,7,8,9,1,2,,8,1,,,0
2,2,216,2,200,20038,1,0,1,0,1,0,2,1,1,2,2,1,,,,2,,,,,,,,,,,0
2,2,216,2,200,20039,0,0,0,0,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,,0
2,2,216,2,200,20040,0,0,0,0,0,0,0,0,0,2,2,1,,,,1,8,9,10,1,2,,2,8,,,0
2,2,203,2,1224,20041,4,0,0,0,0,0,0,0,0,2,,1,,,,1,8,,,8,,,5,4,6,,0
2,2,203,2,1224,20042,0,0,0,0,0,0,0,0,0,3,2,1,,,,1,6,,,,,,1,2,,,0
2,2,203,2,1224,20043,0,1,2,0,0,1,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,203,2,1224,20044,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,203,2,1224,20045,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,203,2,1224,20046,3,3,0,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,,,0
2,2,203,2,1224,20047,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,203,2,1224,20048,3,0,0,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,,,0
2,2,203,2,1224,20049,0,0,0,0,0,0,0,0,0,2,3,1,,,,1,7,,,,,,2,,,,0
2,2,203,2,1224,20050,2,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,212,2,956,20051,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,212,2,956,20052,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,212,2,956,20053,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,212,2,956,20054,2,4,0,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,,,0
2,2,212,2,956,20055,5,3,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,212,2,956,20056,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,212,2,956,20057,1,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,212,2,956,20058,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,212,2,956,20059,0,0,0,0,0,0,0,0,0,3,2,1,,,,2,,,,,,,,,,,0
2,2,212,2,956,20060,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,210,2,1300,20061,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,210,2,1300,20062,0,1,0,2,1,2,1,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,210,2,1300,20063,0,0,0,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,,,0
2,2,210,2,1300,20064,2,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,210,2,1300,20065,2,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,210,2,1300,20066,4,0,0,0,0,0,0,0,0,3,3,1,,,,1,8,,,8,,,4,8,5,,0
