"zone","state","lga","sector","ea","hhid","item_cd","item_desc","s10cq10","s10cq11","tracked_obs"
5,10,1008,2,1314,100040,3,"ADULTS 16-65 YEARS",3,6,0
5,10,1008,2,1314,100040,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,10,1008,2,1718,100043,1,"CHILDREN 0-5 YEARS",0,0,0
5,10,1008,2,1718,100043,2,"CHILDREN 6-15 YEARS",0,0,0
5,10,1008,2,1718,100043,3,"ADULTS 16-65 YEARS",3,3,0
5,10,1008,2,1718,100043,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,10,1021,2,120,100056,1,"CHILDREN 0-5 YEARS",0,0,0
5,10,1021,2,120,100056,2,"CHILDREN 6-15 YEARS",0,0,0
5,10,1021,2,120,100056,3,"ADULTS 16-65 YEARS",1,1,0
5,10,1021,2,120,100056,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,10,1021,2,120,100059,1,"CHILDREN 0-5 YEARS",0,0,0
5,10,1021,2,120,100059,2,"CHILDREN 6-15 YEARS",0,0,0
5,10,1021,2,120,100059,3,"ADULTS 16-65 YEARS",2,6,0
5,10,1021,2,120,100059,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,10,1012,2,936,100061,1,"CHILDREN 0-5 YEARS",7,3,0
5,10,1012,2,936,100061,2,"CHILDREN 6-15 YEARS",7,3,0
5,10,1012,2,936,100061,3,"ADULTS 16-65 YEARS",7,3,0
5,10,1012,2,936,100061,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,10,1012,2,936,100065,1,"CHILDREN 0-5 YEARS",0,0,0
5,10,1012,2,936,100065,2,"CHILDREN 6-15 YEARS",0,0,0
5,10,1012,2,936,100065,3,"ADULTS 16-65 YEARS",1,1,0
5,10,1012,2,936,100065,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,10,1012,2,936,100068,1,"CHILDREN 0-5 YEARS",0,0,0
5,10,1012,2,936,100068,2,"CHILDREN 6-15 YEARS",0,0,0
5,10,1012,2,936,100068,3,"ADULTS 16-65 YEARS",2,6,0
5,10,1012,2,936,100068,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,10,1012,2,936,100070,1,"CHILDREN 0-5 YEARS",0,0,0
5,10,1012,2,936,100070,2,"CHILDREN 6-15 YEARS",2,1,0
5,10,1012,2,936,100070,3,"ADULTS 16-65 YEARS",2,1,0
5,10,1012,2,936,100070,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,10,1010,2,20,100073,1,"CHILDREN 0-5 YEARS",0,0,0
5,10,1010,2,20,100073,2,"CHILDREN 6-15 YEARS",0,0,0
5,10,1010,2,20,100073,3,"ADULTS 16-65 YEARS",1,2,0
5,10,1010,2,20,100073,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,10,1018,2,898,100102,1,"CHILDREN 0-5 YEARS",0,,0
5,10,1018,2,898,100102,2,"CHILDREN 6-15 YEARS",3,9,0
5,10,1018,2,898,100102,3,"ADULTS 16-65 YEARS",3,9,0
5,10,1018,2,898,100102,4,"PEOPLE OVER 65 YEARS OLD",0,,0
5,10,1018,2,898,100105,1,"CHILDREN 0-5 YEARS",0,,0
5,10,1018,2,898,100105,2,"CHILDREN 6-15 YEARS",0,,0
5,10,1018,2,898,100105,3,"ADULTS 16-65 YEARS",2,3,0
5,10,1018,2,898,100105,4,"PEOPLE OVER 65 YEARS OLD",0,,0
5,10,1018,2,898,100107,4,"PEOPLE OVER 65 YEARS OLD",1,2,0
5,10,1020,1,38,100123,1,"CHILDREN 0-5 YEARS",0,,0
5,10,1020,1,38,100123,2,"CHILDREN 6-15 YEARS",1,1,0
5,10,1020,1,38,100123,3,"ADULTS 16-65 YEARS",1,1,0
5,10,1020,1,38,100123,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,10,1025,2,1774,100136,3,"ADULTS 16-65 YEARS",1,1,0
4,11,1104,1,2028,110001,1,"CHILDREN 0-5 YEARS",0,0,0
4,11,1104,1,2028,110001,2,"CHILDREN 6-15 YEARS",0,0,0
4,11,1104,1,2028,110001,3,"ADULTS 16-65 YEARS",3,3,0
4,11,1104,1,2028,110001,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1104,1,2028,110004,1,"CHILDREN 0-5 YEARS",0,0,0
4,11,1104,1,2028,110004,2,"CHILDREN 6-15 YEARS",2,2,0
4,11,1104,1,2028,110004,3,"ADULTS 16-65 YEARS",1,2,0
4,11,1104,1,2028,110004,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1104,1,2028,110007,1,"CHILDREN 0-5 YEARS",0,0,0
4,11,1104,1,2028,110007,2,"CHILDREN 6-15 YEARS",0,0,0
4,11,1104,1,2028,110007,3,"ADULTS 16-65 YEARS",2,2,0
4,11,1104,1,2028,110007,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1104,1,2028,110010,1,"CHILDREN 0-5 YEARS",0,0,0
4,11,1104,1,2028,110010,2,"CHILDREN 6-15 YEARS",2,2,0
4,11,1104,1,2028,110010,3,"ADULTS 16-65 YEARS",1,2,0
4,11,1104,1,2028,110010,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1112,2,1952,110020,1,"CHILDREN 0-5 YEARS",1,1,0
4,11,1112,2,1952,110020,2,"CHILDREN 6-15 YEARS",0,0,0
4,11,1112,2,1952,110020,3,"ADULTS 16-65 YEARS",0,0,0
4,11,1112,2,1952,110020,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1112,2,78,110022,1,"CHILDREN 0-5 YEARS",1,1,0
4,11,1112,2,78,110022,2,"CHILDREN 6-15 YEARS",0,0,0
4,11,1112,2,78,110022,3,"ADULTS 16-65 YEARS",1,1,0
4,11,1112,2,78,110022,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1112,2,78,110025,1,"CHILDREN 0-5 YEARS",0,0,0
4,11,1112,2,78,110025,2,"CHILDREN 6-15 YEARS",1,1,0
4,11,1112,2,78,110025,3,"ADULTS 16-65 YEARS",0,0,0
4,11,1112,2,78,110025,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1110,2,714,110037,1,"CHILDREN 0-5 YEARS",0,0,0
4,11,1110,2,714,110037,2,"CHILDREN 6-15 YEARS",2,3,0
4,11,1110,2,714,110037,3,"ADULTS 16-65 YEARS",0,0,0
4,11,1110,2,714,110037,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1110,2,2752,110041,1,"CHILDREN 0-5 YEARS",0,0,0
4,11,1110,2,2752,110041,2,"CHILDREN 6-15 YEARS",2,1,0
4,11,1110,2,2752,110041,3,"ADULTS 16-65 YEARS",0,0,0
4,11,1110,2,2752,110041,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1110,2,2752,110047,1,"CHILDREN 0-5 YEARS",1,1,0
4,11,1110,2,2752,110047,2,"CHILDREN 6-15 YEARS",0,0,0
4,11,1110,2,2752,110047,3,"ADULTS 16-65 YEARS",0,0,0
4,11,1110,2,2752,110047,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1110,2,2752,110048,1,"CHILDREN 0-5 YEARS",0,0,0
4,11,1110,2,2752,110048,2,"CHILDREN 6-15 YEARS",0,0,0
4,11,1110,2,2752,110048,3,"ADULTS 16-65 YEARS",1,1,0
4,11,1110,2,2752,110048,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1110,2,2752,110050,1,"CHILDREN 0-5 YEARS",0,0,0
4,11,1110,2,2752,110050,2,"CHILDREN 6-15 YEARS",2,2,0
4,11,1110,2,2752,110050,3,"ADULTS 16-65 YEARS",0,0,0
4,11,1110,2,2752,110050,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1108,2,492,110058,1,"CHILDREN 0-5 YEARS",0,0,0
4,11,1108,2,492,110058,2,"CHILDREN 6-15 YEARS",0,0,0
4,11,1108,2,492,110058,3,"ADULTS 16-65 YEARS",2,2,0
4,11,1108,2,492,110058,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1108,2,492,110059,1,"CHILDREN 0-5 YEARS",0,0,0
4,11,1108,2,492,110059,2,"CHILDREN 6-15 YEARS",1,2,0
4,11,1108,2,492,110059,3,"ADULTS 16-65 YEARS",1,1,0
4,11,1108,2,492,110059,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1108,2,492,110060,1,"CHILDREN 0-5 YEARS",0,0,0
4,11,1108,2,492,110060,2,"CHILDREN 6-15 YEARS",1,1,0
4,11,1108,2,492,110060,3,"ADULTS 16-65 YEARS",0,0,0
4,11,1108,2,492,110060,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1105,2,100,110068,1,"CHILDREN 0-5 YEARS",1,1,0
4,11,1105,2,100,110068,2,"CHILDREN 6-15 YEARS",0,0,0
4,11,1105,2,100,110068,3,"ADULTS 16-65 YEARS",0,0,0
4,11,1105,2,100,110068,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1105,2,100,110069,1,"CHILDREN 0-5 YEARS",1,2,0
4,11,1105,2,100,110069,2,"CHILDREN 6-15 YEARS",0,0,0
4,11,1105,2,100,110069,3,"ADULTS 16-65 YEARS",2,2,0
4,11,1105,2,100,110069,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1106,2,446,110071,1,"CHILDREN 0-5 YEARS",0,0,0
4,11,1106,2,446,110071,2,"CHILDREN 6-15 YEARS",1,2,0
4,11,1106,2,446,110071,3,"ADULTS 16-65 YEARS",0,0,0
4,11,1106,2,446,110071,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1106,2,446,110073,1,"CHILDREN 0-5 YEARS",0,0,0
4,11,1106,2,446,110073,2,"CHILDREN 6-15 YEARS",0,0,0
4,11,1106,2,446,110073,3,"ADULTS 16-65 YEARS",1,2,0
4,11,1106,2,446,110073,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1106,2,446,110076,1,"CHILDREN 0-5 YEARS",2,3,0
4,11,1106,2,446,110076,2,"CHILDREN 6-15 YEARS",0,0,0
4,11,1106,2,446,110076,3,"ADULTS 16-65 YEARS",1,1,0
4,11,1106,2,446,110076,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1106,2,446,110080,1,"CHILDREN 0-5 YEARS",1,2,0
4,11,1106,2,446,110080,2,"CHILDREN 6-15 YEARS",2,3,0
4,11,1106,2,446,110080,3,"ADULTS 16-65 YEARS",0,0,0
4,11,1106,2,446,110080,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1104,2,434,110085,1,"CHILDREN 0-5 YEARS",4,7,0
4,11,1104,2,434,110085,2,"CHILDREN 6-15 YEARS",5,7,0
4,11,1104,2,434,110085,3,"ADULTS 16-65 YEARS",0,0,0
4,11,1104,2,434,110085,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1107,2,1034,110094,1,"CHILDREN 0-5 YEARS",0,0,0
4,11,1107,2,1034,110094,2,"CHILDREN 6-15 YEARS",1,1,0
4,11,1107,2,1034,110094,3,"ADULTS 16-65 YEARS",0,0,0
4,11,1107,2,1034,110094,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1109,2,672,110105,1,"CHILDREN 0-5 YEARS",3,1,0
4,11,1109,2,672,110105,2,"CHILDREN 6-15 YEARS",0,0,0
4,11,1109,2,672,110105,3,"ADULTS 16-65 YEARS",3,3,0
4,11,1109,2,672,110105,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1109,2,672,110106,1,"CHILDREN 0-5 YEARS",0,0,0
4,11,1109,2,672,110106,2,"CHILDREN 6-15 YEARS",1,1,0
4,11,1109,2,672,110106,3,"ADULTS 16-65 YEARS",0,0,0
4,11,1109,2,672,110106,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1109,2,672,110110,1,"CHILDREN 0-5 YEARS",0,0,0
4,11,1109,2,672,110110,2,"CHILDREN 6-15 YEARS",0,0,0
4,11,1109,2,672,110110,3,"ADULTS 16-65 YEARS",2,2,0
4,11,1109,2,672,110110,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1113,2,954,110113,1,"CHILDREN 0-5 YEARS",0,0,0
4,11,1113,2,954,110113,2,"CHILDREN 6-15 YEARS",0,0,0
4,11,1113,2,954,110113,3,"ADULTS 16-65 YEARS",1,1,0
4,11,1113,2,954,110113,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1113,2,954,110117,1,"CHILDREN 0-5 YEARS",0,0,0
4,11,1113,2,954,110117,2,"CHILDREN 6-15 YEARS",1,2,0
4,11,1113,2,954,110117,3,"ADULTS 16-65 YEARS",0,0,0
4,11,1113,2,954,110117,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1102,2,936,110126,1,"CHILDREN 0-5 YEARS",0,0,0
4,11,1102,2,936,110126,2,"CHILDREN 6-15 YEARS",1,1,0
4,11,1102,2,936,110126,3,"ADULTS 16-65 YEARS",0,0,0
4,11,1102,2,936,110126,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1102,2,936,110128,1,"CHILDREN 0-5 YEARS",1,1,0
4,11,1102,2,936,110128,2,"CHILDREN 6-15 YEARS",0,0,0
4,11,1102,2,936,110128,3,"ADULTS 16-65 YEARS",1,1,0
4,11,1102,2,936,110128,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,11,1101,2,154,110136,1,"CHILDREN 0-5 YEARS",0,0,0
4,11,1101,2,154,110136,2,"CHILDREN 6-15 YEARS",0,0,0
4,11,1101,2,154,110136,3,"ADULTS 16-65 YEARS",1,1,0
4,11,1101,2,154,110136,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,12,1211,1,2856,120003,1,"CHILDREN 0-5 YEARS",0,0,0
5,12,1211,1,2856,120003,2,"CHILDREN 6-15 YEARS",0,0,0
5,12,1211,1,2856,120003,3,"ADULTS 16-65 YEARS",4,10,0
5,12,1211,1,2856,120003,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,12,1211,1,2856,120004,1,"CHILDREN 0-5 YEARS",0,0,0
5,12,1211,1,2856,120004,2,"CHILDREN 6-15 YEARS",0,0,0
5,12,1211,1,2856,120004,3,"ADULTS 16-65 YEARS",1,1,0
5,12,1211,1,2856,120004,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,12,1211,1,2856,120010,1,"CHILDREN 0-5 YEARS",0,0,0
5,12,1211,1,2856,120010,2,"CHILDREN 6-15 YEARS",0,0,0
5,12,1211,1,2856,120010,3,"ADULTS 16-65 YEARS",2,3,0
5,12,1211,1,2856,120010,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,12,1202,1,2146,120013,1,"CHILDREN 0-5 YEARS",2,2,0
5,12,1202,1,2146,120013,2,"CHILDREN 6-15 YEARS",1,1,0
5,12,1202,1,2146,120013,3,"ADULTS 16-65 YEARS",1,1,0
5,12,1202,1,2146,120013,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,12,1202,1,2146,120015,1,"CHILDREN 0-5 YEARS",0,0,0
5,12,1202,1,2146,120015,2,"CHILDREN 6-15 YEARS",2,2,0
5,12,1202,1,2146,120015,3,"ADULTS 16-65 YEARS",3,1,0
5,12,1202,1,2146,120015,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,12,1202,1,2710,120025,1,"CHILDREN 0-5 YEARS",0,0,0
5,12,1202,1,2710,120025,2,"CHILDREN 6-15 YEARS",0,0,0
5,12,1202,1,2710,120025,3,"ADULTS 16-65 YEARS",2,2,0
5,12,1202,1,2710,120025,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,12,1202,1,2710,120026,1,"CHILDREN 0-5 YEARS",2,1,0
5,12,1202,1,2710,120026,2,"CHILDREN 6-15 YEARS",0,0,0
5,12,1202,1,2710,120026,3,"ADULTS 16-65 YEARS",0,0,0
5,12,1202,1,2710,120026,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,12,1212,1,1392,120032,1,"CHILDREN 0-5 YEARS",1,1,0
5,12,1212,1,1392,120032,2,"CHILDREN 6-15 YEARS",0,0,0
5,12,1212,1,1392,120032,3,"ADULTS 16-65 YEARS",0,0,0
5,12,1212,1,1392,120032,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,12,1212,1,1392,120036,1,"CHILDREN 0-5 YEARS",1,1,0
5,12,1212,1,1392,120036,2,"CHILDREN 6-15 YEARS",1,1,0
5,12,1212,1,1392,120036,3,"ADULTS 16-65 YEARS",0,0,0
5,12,1212,1,1392,120036,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,12,1212,1,1392,120038,1,"CHILDREN 0-5 YEARS",0,0,0
5,12,1212,1,1392,120038,2,"CHILDREN 6-15 YEARS",0,0,0
5,12,1212,1,1392,120038,3,"ADULTS 16-65 YEARS",2,3,0
5,12,1212,1,1392,120038,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,12,1208,2,526,120042,1,"CHILDREN 0-5 YEARS",0,0,0
5,12,1208,2,526,120042,2,"CHILDREN 6-15 YEARS",0,0,0
5,12,1208,2,526,120042,3,"ADULTS 16-65 YEARS",4,12,0
5,12,1208,2,526,120042,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,12,1208,2,526,120045,1,"CHILDREN 0-5 YEARS",0,0,0
5,12,1208,2,526,120045,2,"CHILDREN 6-15 YEARS",2,2,0
5,12,1208,2,526,120045,3,"ADULTS 16-65 YEARS",0,0,0
5,12,1208,2,526,120045,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,12,1208,2,526,120046,1,"CHILDREN 0-5 YEARS",0,0,0
5,12,1208,2,526,120046,2,"CHILDREN 6-15 YEARS",0,0,0
5,12,1208,2,526,120046,3,"ADULTS 16-65 YEARS",1,3,0
5,12,1208,2,526,120046,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,12,1208,2,526,120049,1,"CHILDREN 0-5 YEARS",0,0,0
5,12,1208,2,526,120049,2,"CHILDREN 6-15 YEARS",0,0,0
5,12,1208,2,526,120049,3,"ADULTS 16-65 YEARS",1,1,0
5,12,1208,2,526,120049,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,12,1216,2,618,120057,1,"CHILDREN 0-5 YEARS",0,0,0
5,12,1216,2,618,120057,2,"CHILDREN 6-15 YEARS",0,0,0
5,12,1216,2,618,120057,3,"ADULTS 16-65 YEARS",2,8,0
5,12,1216,2,618,120057,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,12,1210,2,462,120062,1,"CHILDREN 0-5 YEARS",0,0,0
5,12,1210,2,462,120062,2,"CHILDREN 6-15 YEARS",0,0,0
5,12,1210,2,462,120062,3,"ADULTS 16-65 YEARS",3,8,0
5,12,1210,2,462,120062,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,12,1210,2,462,120063,1,"CHILDREN 0-5 YEARS",0,0,0
5,12,1210,2,462,120063,2,"CHILDREN 6-15 YEARS",0,0,0
5,12,1210,2,462,120063,3,"ADULTS 16-65 YEARS",4,3,0
5,12,1210,2,462,120063,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,12,1210,2,462,120070,1,"CHILDREN 0-5 YEARS",0,0,0
5,12,1210,2,462,120070,2,"CHILDREN 6-15 YEARS",1,1,0
5,12,1210,2,462,120070,3,"ADULTS 16-65 YEARS",0,0,0
5,12,1210,2,462,120070,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,12,1204,2,736,120073,1,"CHILDREN 0-5 YEARS",7,18,0
5,12,1204,2,736,120073,2,"CHILDREN 6-15 YEARS",0,0,0
5,12,1204,2,736,120073,3,"ADULTS 16-65 YEARS",0,0,0
5,12,1204,2,736,120073,4,"PEOPLE OVER 65 YEARS OLD",7,18,0
5,12,1211,1,2220,120082,1,"CHILDREN 0-5 YEARS",0,0,0
5,12,1211,1,2220,120082,2,"CHILDREN 6-15 YEARS",0,0,0
5,12,1211,1,2220,120082,3,"ADULTS 16-65 YEARS",3,6,0
5,12,1211,1,2220,120082,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,12,1211,1,2220,120083,1,"CHILDREN 0-5 YEARS",1,1,0
5,12,1211,1,2220,120083,2,"CHILDREN 6-15 YEARS",0,0,0
5,12,1211,1,2220,120083,3,"ADULTS 16-65 YEARS",0,0,0
5,12,1211,1,2220,120083,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,12,1211,1,2220,120085,1,"CHILDREN 0-5 YEARS",0,0,0
5,12,1211,1,2220,120085,2,"CHILDREN 6-15 YEARS",0,0,0
5,12,1211,1,2220,120085,3,"ADULTS 16-65 YEARS",2,2,0
5,12,1211,1,2220,120085,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,12,1211,1,0,120087,1,"CHILDREN 0-5 YEARS",7,14,1
5,12,1211,1,0,120087,2,"CHILDREN 6-15 YEARS",0,0,1
5,12,1211,1,0,120087,3,"ADULTS 16-65 YEARS",0,0,1
5,12,1211,1,0,120087,4,"PEOPLE OVER 65 YEARS OLD",0,0,1
5,12,1211,1,2220,120088,1,"CHILDREN 0-5 YEARS",0,0,0
5,12,1211,1,2220,120088,2,"CHILDREN 6-15 YEARS",0,0,0
5,12,1211,1,2220,120088,3,"ADULTS 16-65 YEARS",1,1,0
5,12,1211,1,2220,120088,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
5,12,1214,2,452,120093,1,"CHILDREN 0-5 YEARS",0,0,0
5,12,1214,2,452,120093,2,"CHILDREN 6-15 YEARS",1,1,0
5,12,1214,2,452,120093,3,"ADULTS 16-65 YEARS",0,0,0
5,12,1214,2,452,120093,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
6,13,1307,1,268,130029,1,"CHILDREN 0-5 YEARS",3,6,0
6,13,1307,1,268,130029,2,"CHILDREN 6-15 YEARS",0,0,0
6,13,1307,1,268,130029,3,"ADULTS 16-65 YEARS",0,0,0
6,13,1307,1,268,130029,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
6,13,1307,1,268,130030,1,"CHILDREN 0-5 YEARS",0,0,0
6,13,1307,1,268,130030,2,"CHILDREN 6-15 YEARS",0,0,0
6,13,1307,1,268,130030,3,"ADULTS 16-65 YEARS",0,0,0
6,13,1307,1,268,130030,4,"PEOPLE OVER 65 YEARS OLD",2,2,0
6,13,1305,1,1232,130042,1,"CHILDREN 0-5 YEARS",5,8,0
6,13,1305,1,1232,130042,2,"CHILDREN 6-15 YEARS",5,6,0
6,13,1305,1,1232,130042,3,"ADULTS 16-65 YEARS",5,6,0
6,13,1305,1,1232,130042,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
6,13,1305,1,1232,130046,1,"CHILDREN 0-5 YEARS",6,8,0
6,13,1305,1,1232,130046,2,"CHILDREN 6-15 YEARS",0,0,0
6,13,1305,1,1232,130046,3,"ADULTS 16-65 YEARS",0,0,0
6,13,1305,1,1232,130046,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,14,1401,2,1116,140005,1,"CHILDREN 0-5 YEARS",0,0,0
4,14,1401,2,1116,140005,2,"CHILDREN 6-15 YEARS",7,7,0
4,14,1401,2,1116,140005,3,"ADULTS 16-65 YEARS",0,0,0
4,14,1401,2,1116,140005,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,14,1407,2,68,140011,1,"CHILDREN 0-5 YEARS",0,0,0
4,14,1407,2,68,140011,2,"CHILDREN 6-15 YEARS",0,0,0
4,14,1407,2,68,140011,3,"ADULTS 16-65 YEARS",0,0,0
4,14,1407,2,68,140011,4,"PEOPLE OVER 65 YEARS OLD",7,14,0
4,14,1407,2,68,140012,1,"CHILDREN 0-5 YEARS",0,0,0
4,14,1407,2,68,140012,2,"CHILDREN 6-15 YEARS",0,0,0
4,14,1407,2,68,140012,3,"ADULTS 16-65 YEARS",0,0,0
4,14,1407,2,68,140012,4,"PEOPLE OVER 65 YEARS OLD",1,1,0
4,14,1407,2,68,140014,1,"CHILDREN 0-5 YEARS",0,0,0
4,14,1407,2,68,140014,2,"CHILDREN 6-15 YEARS",0,0,0
4,14,1407,2,68,140014,3,"ADULTS 16-65 YEARS",2,2,0
4,14,1407,2,68,140014,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,14,1407,2,68,140016,1,"CHILDREN 0-5 YEARS",7,1,0
4,14,1407,2,68,140016,2,"CHILDREN 6-15 YEARS",0,0,0
4,14,1407,2,68,140016,3,"ADULTS 16-65 YEARS",0,0,0
4,14,1407,2,68,140016,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,14,1407,2,68,140019,1,"CHILDREN 0-5 YEARS",4,6,0
4,14,1407,2,68,140019,2,"CHILDREN 6-15 YEARS",1,1,0
4,14,1407,2,68,140019,3,"ADULTS 16-65 YEARS",3,2,0
4,14,1407,2,68,140019,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,14,1408,2,1996,140021,1,"CHILDREN 0-5 YEARS",0,0,0
4,14,1408,2,1996,140021,2,"CHILDREN 6-15 YEARS",0,0,0
4,14,1408,2,1996,140021,3,"ADULTS 16-65 YEARS",7,7,0
4,14,1408,2,1996,140021,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,14,1408,2,1996,140023,1,"CHILDREN 0-5 YEARS",1,1,0
4,14,1408,2,1996,140023,2,"CHILDREN 6-15 YEARS",0,0,0
4,14,1408,2,1996,140023,3,"ADULTS 16-65 YEARS",3,3,0
4,14,1408,2,1996,140023,4,"PEOPLE OVER 65 YEARS OLD",1,3,0
4,14,1408,2,1996,140025,1,"CHILDREN 0-5 YEARS",0,0,0
4,14,1408,2,1996,140025,2,"CHILDREN 6-15 YEARS",2,2,0
4,14,1408,2,1996,140025,3,"ADULTS 16-65 YEARS",0,0,0
4,14,1408,2,1996,140025,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,14,1408,2,1996,140028,1,"CHILDREN 0-5 YEARS",0,0,0
4,14,1408,2,1996,140028,2,"CHILDREN 6-15 YEARS",0,0,0
4,14,1408,2,1996,140028,3,"ADULTS 16-65 YEARS",7,7,0
4,14,1408,2,1996,140028,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,14,1413,1,2578,140033,1,"CHILDREN 0-5 YEARS",0,0,0
4,14,1413,1,2578,140033,2,"CHILDREN 6-15 YEARS",3,3,0
4,14,1413,1,2578,140033,3,"ADULTS 16-65 YEARS",0,0,0
4,14,1413,1,2578,140033,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,14,1413,1,2578,140034,1,"CHILDREN 0-5 YEARS",6,6,0
4,14,1413,1,2578,140034,2,"CHILDREN 6-15 YEARS",6,6,0
4,14,1413,1,2578,140034,3,"ADULTS 16-65 YEARS",0,0,0
4,14,1413,1,2578,140034,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,14,1413,1,2578,140037,1,"CHILDREN 0-5 YEARS",2,2,0
4,14,1413,1,2578,140037,2,"CHILDREN 6-15 YEARS",0,0,0
4,14,1413,1,2578,140037,3,"ADULTS 16-65 YEARS",0,0,0
4,14,1413,1,2578,140037,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,14,1415,2,952,140041,1,"CHILDREN 0-5 YEARS",1,1,0
4,14,1415,2,952,140041,2,"CHILDREN 6-15 YEARS",0,0,0
4,14,1415,2,952,140041,3,"ADULTS 16-65 YEARS",3,3,0
4,14,1415,2,952,140041,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,14,1415,2,952,140042,1,"CHILDREN 0-5 YEARS",7,7,0
4,14,1415,2,952,140042,2,"CHILDREN 6-15 YEARS",0,0,0
4,14,1415,2,952,140042,3,"ADULTS 16-65 YEARS",7,7,0
