"zone","state","sector","lga","ea","serial_no","c1q2","c1q3","c1q4a","c1q4b","c1q4_os","c1q5","c1q6"
1,23,1,2316,140,2,2,46,8,,,46,0
1,23,1,2316,140,3,1,45,11,,"Assistant Village Head",18,41
1,23,1,2316,140,4,2,37,8,,,37,34
1,23,1,2316,140,5,1,28,5,,,28,34
1,23,1,2316,140,6,2,37,5,,,37,42
1,23,1,2316,140,7,1,35,11,,"Farmer",35,16
6,24,1,2401,766,1,1,79,1,,,37,32
6,24,1,2401,766,2,1,71,11,,"Vice Chairman",43,28
6,24,1,2401,766,3,1,46,12,,,32,26
6,24,1,2401,766,4,2,76,11,,"Women Leader",34,34
6,24,1,2401,766,5,1,73,11,,"Financial Secretary",31,28
6,24,1,2401,766,6,1,80,11,,"Elder",36,42
6,24,1,2401,766,7,2,76,11,,"Iyaloja",38,26
6,24,1,2401,766,8,1,73,11,,"Exco member",33,26
6,24,1,2401,766,9,1,55,11,,"Secretary",35,42
6,24,1,2403,674,1,1,81,1,,,39,16
6,24,1,2403,674,2,1,67,11,,"CDA Ex Officio",25,42
6,24,1,2403,674,3,2,62,8,,,23,26
6,24,1,2403,674,4,1,41,11,,"CDA Chairman",41,41
6,24,1,2403,674,5,1,58,8,,,15,26
6,24,1,2403,674,6,2,59,9,,,6,26
6,24,1,2403,674,7,1,38,12,,,20,26
6,24,1,2403,1588,1,1,78,1,,,36,33
6,24,1,2403,1588,2,1,68,11,,"Treasurer",35,42
6,24,1,2403,1588,3,1,67,11,,"Secretary",39,16
6,24,1,2403,1588,4,1,74,11,,"member CDA",35,42
6,24,1,2403,1588,5,2,69,11,,"member CDA",34,0
6,24,1,2403,1588,6,1,60,11,,"member CDA",36,26
6,24,1,2403,3592,1,1,40,11,,"CDA secretary",12,42
6,24,1,2403,3592,2,1,51,11,,"CDA Treasurer",12,42
6,24,1,2403,3592,3,1,57,11,,"Finacial secretary",13,42
6,24,1,2403,3592,4,1,67,11,,"Prominent Member",22,43
6,24,1,2403,3592,5,2,65,11,,"Prominent Member",20,26
6,24,1,2403,3592,6,1,68,9,,,30,42
6,24,1,2403,3592,7,1,58,11,,"Prominent Member",16,41
6,24,1,2403,3592,8,1,65,11,,"Chairman CDA",28,42
6,24,1,2403,3592,9,2,53,7,,,22,41
6,24,1,2403,7586,1,1,57,1,,,17,42
6,24,1,2403,7586,2,1,79,11,,"Past Headman",21,42
6,24,1,2403,7586,3,1,54,11,,"Ex-officio",19,41
6,24,1,2403,7586,4,1,62,11,,"vice chairman",27,41
6,24,1,2403,7586,5,1,58,11,,"Prominent member",17,42
6,24,1,2403,7586,6,1,68,11,,"Prominent member",9,42
6,24,1,2403,7586,7,1,57,11,,"Former secretary",12,42
6,24,1,2403,7586,8,1,54,11,,"Current Secretary",17,26
6,24,1,2403,7586,9,1,60,11,,"Former vice",20,26
6,24,1,2405,134,1,1,62,1,,,27,16
6,24,1,2405,134,2,1,53,11,,"Chairman CDA",33,16
6,24,1,2405,134,3,1,73,11,,"Bankole CDA chairman",33,33
6,24,1,2405,134,4,1,79,8,,,32,26
6,24,1,2405,134,5,1,54,8,,,23,34
6,24,1,2405,134,6,1,65,1,,,32,43
6,24,1,2405,134,7,1,53,9,,,22,26
6,24,1,2405,134,8,1,53,11,,"Secretary Bankole CDA",22,34
6,24,1,2405,134,9,2,63,8,,,30,26
6,24,2,2407,396,1,1,69,1,6,,38,51
6,24,2,2407,396,2,1,66,11,,"Chairman CDA",8,16
6,24,2,2407,396,3,1,49,11,,"Chief/Farmer",27,16
6,24,2,2407,396,4,1,63,8,,,33,16
6,24,2,2407,396,5,1,37,12,,,35,16
6,24,2,2407,396,6,1,74,11,2,"Elder",69,16
6,24,2,2407,396,7,1,75,11,,"Elder",75,16
6,24,2,2407,396,8,1,37,11,,"Farmer",22,16
6,24,1,2408,2074,1,1,53,8,,,11,26
6,24,1,2408,2074,2,1,39,8,,,8,26
6,24,1,2408,2074,3,1,45,10,,,7,41
6,24,1,2408,2074,4,1,43,9,,,4,41
6,24,1,2408,2074,5,1,40,8,,,14,41
6,24,1,2411,788,1,1,80,1,,,46,42
6,24,1,2411,788,2,1,59,8,,,20,41
6,24,1,2411,788,3,1,48,8,,,11,42
6,24,1,2411,788,4,1,73,9,,,29,41
6,24,1,2411,788,5,2,59,8,,,14,41
6,24,1,2411,788,6,1,75,8,,,30,42
6,24,1,2411,788,7,1,53,8,,,18,43
6,24,1,2412,2798,1,1,45,11,,"CDA Chairman",45,26
6,24,1,2412,2798,2,1,44,11,,"CDA Vice Chairman",44,41
6,24,1,2412,2798,3,2,71,8,,,32,0
6,24,1,2412,2798,4,1,79,11,,"Community Member",21,0
6,24,1,2412,2798,5,2,59,8,,,25,26
6,24,1,2412,2798,6,1,53,11,,"Community Market Chairman",16,26
6,24,1,2413,306,1,1,76,1,,,28,26
6,24,1,2413,306,2,1,56,8,,,54,26
6,24,1,2413,306,3,1,45,9,,,27,26
6,24,1,2413,306,4,2,67,8,,,42,26
6,24,1,2413,306,5,1,49,12,,,29,26
6,24,1,2415,696,1,1,59,1,,,39,43
6,24,1,2415,696,2,2,48,8,,,29,26
6,24,1,2415,696,3,1,36,9,,,36,26
6,24,1,2415,696,4,1,50,11,,"CDA Chairman",35,26
6,24,1,2415,696,5,1,55,3,,,37,26
6,24,1,2417,112,1,1,77,11,,"Oba",39,33
6,24,1,2417,112,2,1,92,11,,"Elder",58,0
6,24,1,2417,112,3,1,72,11,,"CDA member",62,0
6,24,1,2417,112,4,1,74,11,,"Elder CDA",72,0
6,24,1,2417,112,5,1,56,8,,,45,42
6,24,1,2417,112,6,1,57,11,,"chief in the land",57,16
6,24,1,2417,112,7,1,52,11,,"cda member",52,16
6,24,1,2417,112,8,1,45,11,,"cda secretary",45,16
6,24,1,2417,112,9,1,62,8,,,35,42
6,24,1,2417,924,1,1,90,1,,,52,26
6,24,1,2417,924,2,2,52,8,,,18,26
6,24,1,2417,924,3,1,69,3,,,40,26
6,24,1,2417,924,4,1,69,11,,"Member",37,33
6,24,1,2417,924,5,1,41,11,,"CDA Chairman",41,42
6,24,1,2418,1770,1,1,72,8,,,36,41
6,24,1,2418,1770,2,1,59,9,,,24,16
6,24,1,2418,1770,3,1,68,11,,"Landlord",35,26
6,24,1,2418,1770,4,2,56,8,,,31,16
6,24,1,2418,1770,5,1,61,9,,,33,26
6,24,1,2419,330,1,1,79,1,,,78,26
6,24,1,2419,330,2,1,40,12,,,40,26
6,24,1,2419,330,3,1,83,11,,"Community Chief",50,26
6,24,1,2419,330,4,1,53,9,,,53,42
6,24,1,2419,330,5,1,51,10,,,6,41
6,24,1,2419,330,6,2,58,8,,,33,26
6,24,1,2420,402,1,1,72,1,,,35,33
6,24,1,2420,402,2,1,86,11,,"Chairman",38,26
6,24,1,2420,402,3,2,64,8,,,23,26
6,24,1,2420,402,4,1,36,11,,"Youth Leader",22,42
6,24,1,2420,402,5,1,46,12,,,32,41
6,24,1,2420,402,6,1,39,8,,,22,41
6,24,1,2420,402,7,2,52,8,,,51,41
6,24,1,2420,402,8,2,83,11,,"Retired",52,16
6,24,1,2420,402,9,2,75,11,,"Retired",30,16
1,25,2,2502,728,1,1,60,1,,,2,0
1,25,2,2502,728,2,1,70,3,,,6,51
1,25,2,2502,728,3,1,35,3,,,10,0
1,25,2,2502,728,4,1,35,8,,,28,51
1,25,2,2502,728,5,2,45,8,,,20,0
1,25,2,2502,728,6,1,55,11,,"Farmer",35,0
1,25,2,2504,222,1,1,55,1,,,40,43
1,25,2,2504,222,2,1,48,11,,"Civil Servant",40,42
1,25,2,2504,222,3,1,43,6,,,43,41
1,25,2,2504,222,4,1,43,8,,,43,41
1,25,2,2504,222,5,2,45,8,,,30,41
1,25,2,2507,814,1,1,58,1,,,55,0
1,25,2,2507,814,2,2,50,2,,,50,0
1,25,2,2507,814,3,1,30,11,,"Farmer",30,0
1,25,2,2507,814,4,2,32,8,,,32,0
1,25,2,2507,814,5,1,32,11,,"Carpenter",32,26
1,25,1,2508,2788,1,1,75,1,,,16,51
1,25,1,2508,2788,2,2,50,2,,,16,51
1,25,1,2508,2788,3,1,72,8,,,15,52
1,25,1,2508,2788,4,1,35,8,,,5,51
1,25,1,2508,2788,5,2,68,8,,,20,0
1,25,2,2509,248,1,1,50,1,,,50,16
1,25,2,2509,248,2,1,35,3,,,35,26
1,25,2,2509,248,3,2,40,2,,,40,0
1,25,2,2509,248,4,1,55,11,,"Farmer",55,26
1,25,2,2509,248,5,2,42,8,,,10,16
1,25,2,2511,1424,1,1,62,3,,,62,0
1,25,2,2511,1424,2,1,59,3,,,59,0
1,25,2,2511,1424,3,1,54,5,,,54,42
1,25,2,2511,1424,4,1,40,11,,"Civil Servant",40,41
1,25,2,2511,1424,5,2,31,8,,,31,51
1,25,2,2513,128,1,1,47,1,,,46,34
1,25,2,2513,128,2,2,26,2,,,2,41
1,25,2,2513,128,3,1,56,4,,,56,34
1,25,2,2513,128,4,1,37,5,,,2,34
1,25,2,2513,128,5,1,43,5,,,43,34
1,26,2,2601,822,1,1,49,1,,,49,51
1,26,2,2601,822,2,1,53,4,,,53,34
1,26,2,2601,822,3,1,45,8,,,45,26
1,26,2,2601,822,4,1,72,8,,,50,0
1,26,2,2601,822,5,1,40,8,,,20,0
1,26,2,2601,822,6,1,52,3,,,52,26
1,26,1,2603,658,1,1,52,6,,,52,26
1,26,1,2603,658,2,2,29,8,,,29,26
1,26,1,2603,658,3,1,40,11,,"EMIGRATION STAFF",40,41
1,26,1,2603,658,4,1,48,3,,,48,26
1,26,1,2603,658,5,1,55,8,,,55,26
1,26,1,2603,658,6,1,46,8,,,46,26
1,26,1,2603,658,7,1,56,8,,,56,52
1,26,1,2603,1786,1,1,68,1,,,68,43
1,26,1,2603,1786,2,1,68,8,,,35,15
1,26,1,2603,1786,3,2,66,7,6,,38,41
1,26,1,2603,1786,4,1,42,3,,,28,41
1,26,1,2603,1786,5,2,35,8,,,20,41
1,26,1,2603,1786,6,2,33,8,,,15,26
1,26,2,2605,594,1,1,46,3,,,46,51
1,26,2,2605,594,2,1,48,8,,,48,26
1,26,2,2605,594,3,1,34,8,,,34,34
1,26,2,2605,594,4,2,40,8,,,24,0
1,26,2,2605,594,5,1,41,8,,,41,51
1,26,2,2605,594,6,1,70,1,,,70,51
1,26,1,2606,516,1,1,52,11,,"Politician",8,42
1,26,1,2606,516,2,1,46,9,,,10,51
1,26,1,2606,516,3,1,44,12,,,11,26
1,26,1,2606,516,4,2,38,5,,,9,34
1,26,1,2606,516,5,2,40,8,,,7,26
1,26,1,2606,516,6,1,34,10,,,6,34
1,26,1,2606,516,7,1,38,7,,,5,41
1,26,2,2608,820,1,1,65,1,,,65,51
1,26,2,2608,820,2,1,35,3,,,35,41
1,26,2,2608,820,3,1,47,7,,,47,41
1,26,2,2608,820,4,1,37,8,,,37,26
1,26,2,2608,820,5,1,32,8,,,32,41
1,26,2,2608,820,6,2,33,8,,,18,26
1,26,2,2611,424,1,1,56,1,,,35,0
1,26,2,2611,424,2,1,44,12,,,44,26
1,26,2,2611,424,3,2,36,8,,,36,26
1,26,2,2611,424,4,1,40,10,,,8,41
1,26,2,2611,424,5,1,52,9,,,36,51
1,26,2,2611,424,6,1,39,5,,,14,34
1,26,2,2613,1462,1,1,73,1,,,73,51
1,26,2,2613,1462,2,1,42,3,,,42,51
1,26,2,2613,1462,3,1,40,8,,,40,0
1,26,2,2613,1462,4,1,41,5,,,41,34
1,26,2,2613,1462,5,2,45,8,,,25,0
1,26,2,2613,1462,6,2,40,8,,,20,0
1,26,2,2613,2248,1,1,56,1,,,56,52
1,26,2,2613,2248,2,1,44,3,,,44,51
1,26,2,2613,2248,3,1,40,8,,,40,52
1,26,2,2613,2248,4,1,35,8,,,35,52
1,26,2,2613,2248,5,1,34,8,,,34,51
1,26,2,2613,2248,6,1,36,8,,,36,51
1,26,2,2615,2178,1,1,56,1,,,56,0
1,26,2,2615,2178,2,1,46,12,,,46,26
1,26,2,2615,2178,3,2,40,8,,,40,26
1,26,2,2615,2178,4,1,48,9,,,48,51
1,26,2,2615,2178,5,1,44,5,,,10,34
1,26,2,2615,2196,1,1,79,1,,,79,51
1,26,2,2615,2196,2,1,79,9,,,79,51
1,26,2,2615,2196,3,2,45,12,,,45,51
1,26,2,2615,2196,4,1,46,12,11,"Chairman Miyatti",46,51
1,26,2,2615,2196,5,1,50,9,,,50,51
1,26,2,2615,2196,6,1,43,7,,,7,41
1,26,2,2616,254,1,1,58,1,,,58,26
1,26,2,2616,254,2,1,76,8,,,76,51
1,26,2,2616,254,3,1,47,3,,,47,52
1,26,2,2616,254,4,2,38,8,,,20,0
1,26,2,2616,254,5,1,65,9,,,65,51
1,26,2,2616,254,6,1,40,8,,,40,26
1,26,2,2618,494,1,1,56,1,,,56,0
1,26,2,2618,494,2,1,33,11,,"Politician",33,41
1,26,2,2618,494,3,2,35,8,,,35,0
1,26,2,2618,494,4,2,37,2,,,17,16
1,26,2,2618,494,5,1,46,9,,,22,51
1,26,2,2618,494,6,1,46,4,,,12,42
1,26,2,2618,1276,1,1,57,8,,,57,16
1,26,2,2618,1276,2,1,54,1,,,54,26
1,26,2,2618,1276,3,2,45,11,,"Women Leader",25,23
1,26,2,2618,1276,4,2,41,5,,,41,34
1,26,2,2618,1276,5,1,46,10,,,9,41
1,26,2,2621,100,1,1,61,1,,,61,51
1,26,2,2621,100,2,1,53,9,,,53,51
1,26,2,2621,100,3,2,45,8,,,45,51
1,26,2,2621,100,4,1,42,12,,,42,51
1,26,2,2621,100,5,1,41,3,,,41,51
1,26,1,2621,940,1,1,54,1,,,54,51
1,26,1,2621,940,2,1,46,5,,,46,34
1,26,1,2621,940,3,2,43,7,,,10,41
1,26,1,2621,940,4,1,55,9,,,55,51
1,26,1,2621,940,5,1,40,8,,,40,0
1,26,2,2623,1688,1,1,46,1,,,46,26
1,26,2,2623,1688,2,2,40,8,,,10,26
1,26,2,2623,1688,3,1,39,5,,,9,34
1,26,2,2623,1688,4,1,42,7,,,10,41
1,26,2,2623,1688,5,1,41,10,,,8,41
1,26,2,2623,1688,6,2,36,11,,"Women Leader",36,26
1,26,2,2623,1688,7,1,53,9,,,33,51
1,26,2,2625,926,1,1,57,1,,,20,51
1,26,2,2625,926,2,1,50,8,,,10,51
1,26,2,2625,926,3,1,35,8,,,16,0
1,26,2,2625,926,4,1,65,8,,,22,51
1,26,2,2625,926,5,1,40,3,,,16,51
1,26,2,2625,926,6,1,40,8,,,17,51
6,27,1,2701,506,1,1,65,1,,,12,43
6,27,1,2701,506,2,1,61,11,,"Secretary",34,26
6,27,1,2701,506,3,2,65,11,,"Treasurer",11,16
6,27,1,2701,506,4,1,66,11,,"P R O",15,41
6,27,1,2701,506,5,1,74,11,,"Member",3,16
6,27,1,2703,1076,1,1,66,1,6,,23,42
6,27,1,2703,1076,2,1,59,8,,,16,16
6,27,1,2703,1076,3,1,69,11,,"Member",24,16
6,27,1,2703,1076,4,1,68,8,,,24,16
6,27,1,2703,1076,5,2,40,8,,,2,26
6,27,1,2703,1076,6,2,60,8,,,15,16
6,27,1,2703,1612,1,1,72,1,8,,25,43
6,27,1,2703,1612,2,1,55,8,,,15,42
6,27,1,2703,1612,3,1,60,8,,,25,26
6,27,1,2703,1612,4,1,58,8,,,27,16
6,27,1,2703,1612,5,1,60,8,,,28,33
6,27,2,2704,204,1,1,72,1,,,21,33
6,27,2,2704,204,2,1,72,11,,"Member  Bashorun",25,16
6,27,2,2704,204,3,1,72,11,,"Abese Member",72,0
6,27,2,2704,204,4,1,51,8,,,51,23
6,27,2,2704,204,5,1,23,12,,,7,26
6,27,2,2704,204,6,2,65,8,11,"Member",10,16
6,27,2,2704,204,7,2,60,8,11,"Member",20,0
6,27,1,2707,1410,1,1,67,1,11,"*CONFIDENTIAL*",25,26
6,27,1,2707,1410,2,1,72,1,8,,10,26
6,27,1,2707,1410,3,1,66,11,,"Former Chairman of the community",30,26
6,27,1,2707,1410,4,1,55,9,,,25,26
6,27,1,2707,1410,5,1,55,8,,,25,26
6,27,1,2707,2136,1,1,60,1,8,,24,41
6,27,1,2707,2136,2,1,60,8,,,22,41
6,27,1,2707,2136,3,1,71,11,,"Formmer CDA chairman",28,28
6,27,1,2707,2136,4,1,67,8,,,33,16
6,27,1,2707,2136,5,1,69,11,,"member CDA",22,26
6,27,1,2709,1646,1,1,77,1,,,35,42
6,27,1,2709,1646,2,1,82,3,,,50,26
6,27,1,2709,1646,3,1,70,8,,,45,16
6,27,1,2709,1646,4,2,71,8,,,35,26
6,27,1,2709,1646,5,1,70,8,3,,40,33
6,27,1,2711,710,1,2,73,8,,,37,34
6,27,1,2711,710,2,1,48,8,,,20,26
6,27,1,2711,710,3,2,39,8,,,22,26
6,27,1,2711,710,4,1,65,3,,,16,28
6,27,1,2711,710,5,2,73,8,,,10,34
6,27,2,2712,110,1,1,65,1,,,20,16
6,27,2,2712,110,2,1,69,1,,,11,33
6,27,2,2712,110,3,1,63,8,,,15,16
6,27,2,2712,110,4,1,67,8,,,25,26
6,27,2,2712,110,5,2,63,8,,,11,16
6,27,2,2715,752,1,1,75,1,,,75,0
6,27,2,2715,752,2,1,79,6,11,"Asst Headman",79,0
6,27,2,2715,752,3,1,69,8,,,25,0
6,27,2,2715,752,4,1,62,8,,,25,16
6,27,2,2715,752,5,1,58,6,,,58,0
6,27,2,2719,100,1,1,88,1,,,70,0
6,27,2,2719,100,2,1,65,6,,,27,16
6,27,2,2719,100,3,1,70,6,,,30,16
6,27,2,2719,100,4,1,86,6,,,35,16
6,27,2,2719,100,5,2,46,6,8,,27,16
6,28,2,2802,566,1,1,60,1,,,35,43
6,28,2,2802,566,2,1,47,10,,,5,42
6,28,2,2802,566,3,1,35,12,,,35,26
6,28,2,2802,566,4,1,62,3,,,40,16
6,28,2,2802,566,5,2,65,8,,,43,0
6,28,2,2802,566,6,2,52,8,,,30,16
6,28,2,2802,566,7,1,75,3,,,55,33
6,28,2,2802,566,8,1,54,11,,"Transporter",54,26
6,28,2,2802,566,9,1,71,3,,,50,33
6,28,1,2804,340,1,1,84,1,,,60,16
6,28,1,2804,340,2,1,85,2,,,65,14
6,28,1,2804,340,3,2,55,2,,,35,16
6,28,1,2804,340,4,1,87,6,,,66,0
6,28,1,2804,340,5,1,50,12,,,25,26
6,28,1,2804,340,6,1,60,11,,"Mechanic",30,16
6,28,1,2804,340,7,1,45,5,,,7,42
6,28,1,2804,340,8,2,76,11,,"*CONFIDENTIAL*",60,16
6,28,1,2806,164,1,1,49,1,,,15,42
6,28,1,2806,164,2,2,43,2,,,15,26
6,28,1,2806,164,3,1,40,3,,,11,26
6,28,1,2806,164,4,1,45,12,,,10,42
6,28,1,2806,164,5,1,55,8,,,18,26
6,28,1,2806,164,6,2,54,8,,,7,31
6,28,1,2806,164,7,1,49,3,,,10,16
6,28,1,2806,802,1,2,36,1,,,25,42
6,28,1,2806,802,2,2,64,3,,,41,26
6,28,1,2806,802,3,1,52,3,,,52,16
6,28,1,2806,802,4,2,53,8,,,51,33
6,28,1,2806,802,5,1,40,5,,,2,42
6,28,1,2806,802,6,1,55,3,,,51,0
6,28,1,2806,802,7,1,59,8,,,41,26
6,28,1,2806,802,8,1,28,12,,,25,26
6,28,2,2807,1266,1,1,60,1,,,50,43
6,28,2,2807,1266,2,1,62,9,,,62,27
6,28,2,2807,1266,3,1,40,12,,,40,26
6,28,2,2807,1266,4,2,52,8,,,33,0
6,28,2,2807,1266,5,2,47,8,,,30,22
6,28,2,2810,2394,1,1,61,1,,,61,16
6,28,2,2810,2394,2,1,50,11,,"Town Secretary",40,26
6,28,2,2810,2394,3,1,49,3,,,26,26
6,28,2,2810,2394,4,2,60,8,,,42,0
6,28,2,2810,2394,5,2,58,8,,,32,0
6,28,2,2810,2394,6,1,70,3,,,65,0
6,28,2,2810,2394,7,1,51,12,,,38,24
6,28,2,2810,2394,8,2,40,2,,,6,34
6,28,1,2810,3722,1,1,76,1,,,76,43
6,28,1,2810,3722,2,1,68,3,,,54,32
6,28,1,2810,3722,3,2,62,8,,,45,16
6,28,1,2810,3722,4,1,62,8,,,49,33
6,28,1,2810,3722,5,1,69,5,,,45,43
6,28,1,2810,3722,6,2,64,8,,,44,16
6,28,2,2811,588,1,1,78,1,,,78,16
6,28,2,2811,588,2,1,74,3,,,25,26
6,28,2,2811,588,3,1,67,9,,,3,33
6,28,2,2811,588,4,1,75,6,,,75,0
6,28,2,2811,588,5,2,45,8,,,25,16
6,28,2,2811,588,6,1,45,6,,,25,24
6,28,2,2811,588,7,2,45,8,,,22,26
6,28,2,2813,612,1,1,78,1,,,56,16
6,28,2,2813,612,2,1,57,7,,,12,41
6,28,2,2813,612,3,1,60,3,,,40,0
6,28,2,2813,612,4,2,60,8,,,25,0
6,28,2,2813,612,5,1,51,12,,,51,26
6,28,2,2813,612,6,1,55,6,,,35,41
6,28,2,2813,612,7,1,65,6,,,35,0
6,28,1,2814,1876,1,1,86,1,,,65,0
6,28,1,2814,1876,2,1,65,3,,,15,16
6,28,1,2814,1876,3,2,66,11,,"Iyaloja General",48,16
6,28,1,2814,1876,4,1,44,12,,,30,42
6,28,1,2814,1876,5,1,43,3,,,22,42
6,28,1,2814,1876,6,2,62,8,,,62,0
6,28,1,2814,1876,7,1,40,8,,,40,23
6,28,2,2815,1164,1,1,60,1,,,48,43
6,28,2,2815,1164,2,1,56,3,,,15,26
6,28,2,2815,1164,3,2,65,8,,,37,16
6,28,2,2815,1164,4,1,52,12,,,32,41
6,28,2,2815,1164,5,1,51,2,,,32,42
6,28,2,2815,1164,6,2,47,8,,,15,26
6,28,2,2815,1164,7,1,55,9,,,1,42
6,28,1,2816,2302,1,1,52,1,,,26,41
6,28,1,2816,2302,2,1,50,11,,"Secretary to the town",29,26
6,28,1,2816,2302,3,1,75,3,,,30,0
6,28,1,2816,2302,4,2,45,8,,,29,16
6,28,1,2816,2302,5,1,49,12,,,28,31
6,28,1,2816,2302,6,1,40,6,,,15,16
6,28,1,2816,2302,7,1,56,11,,"Hunter",30,16
6,28,2,2816,3944,1,1,65,1,,,45,16
6,28,2,2816,3944,2,2,50,8,,,20,33
6,28,2,2816,3944,3,1,40,3,,,6,26
6,28,2,2816,3944,4,1,50,2,,,30,33
6,28,2,2816,3944,5,1,54,9,,,4,34
6,28,2,2816,3944,6,2,36,7,,,5,41
6,28,2,2816,3944,7,1,48,12,,,15,41
6,29,1,2902,1028,1,1,53,1,,,5,43
6,29,1,2902,1028,2,1,70,11,,"Ex Service Man",30,33
6,29,1,2902,1028,3,1,85,11,,"Farming",85,0
6,29,1,2902,1028,4,2,42,7,,,21,32
6,29,1,2902,1028,5,1,65,9,11,"*CONFIDENTIAL*",45,16
6,29,1,2902,1028,6,1,54,5,,,40,42
6,29,1,2905,384,1,1,73,11,,"Retired Soldier",38,16
6,29,1,2905,384,2,1,28,8,,,15,26
6,29,1,2905,384,3,2,50,8,,,32,16
6,29,1,2905,384,4,1,58,11,,"Musician",58,26
6,29,1,2905,1096,1,1,95,1,,,95,13
6,29,1,2905,1096,2,1,47,8,,,22,26
6,29,1,2905,1096,3,2,35,8,,,2,25
6,29,1,2905,1096,4,2,82,2,,,52,0
6,29,1,2905,1096,5,1,23,11,,"Rewire",22,26
6,29,2,2909,220,1,1,64,1,,,25,16
6,29,2,2909,220,2,1,63,11,,"*CONFIDENTIAL*",15,16
6,29,2,2909,220,3,1,69,8,,,27,16
6,29,2,2909,220,4,1,68,9,,,3,16
6,29,2,2909,220,5,1,37,11,,"Unemployed",30,41
6,29,2,2909,220,6,2,40,2,,,17,16
6,29,1,2910,350,1,1,90,1,,,27,0
6,29,1,2910,350,2,1,75,3,,,35,0
6,29,1,2910,350,3,1,72,3,,,32,16
6,29,1,2910,350,4,1,37,12,,,36,41
6,29,1,2910,350,5,2,61,8,,,36,16
6,29,1,2911,746,1,1,68,1,,,30,16
6,29,1,2911,746,2,1,75,11,,"RETIRED CIVIL SERVANT",20,16
6,29,1,2911,746,3,1,56,6,,,16,34
6,29,1,2911,746,4,2,51,2,,,30,0
6,29,1,2911,746,5,1,54,6,,,12,42
6,29,2,2911,1870,1,1,95,1,,,50,0
6,29,2,2911,1870,2,1,98,11,,"ELDER",30,0
6,29,2,2911,1870,3,1,45,6,,,6,32
6,29,2,2911,1870,4,1,35,11,,"FARMER",20,26
6,29,2,2911,1870,5,1,45,11,,"FARMER",20,26
6,29,1,2914,214,1,1,67,1,,,8,41
6,29,1,2914,214,2,1,82,11,,"*CONFIDENTIAL*",23,31
6,29,1,2914,214,3,1,65,11,,"Secretary to the Oba",3,26
6,29,1,2914,214,4,1,70,11,,"Chief & Farmer",52,16
6,29,1,2918,952,1,1,69,1,,,35,16
6,29,1,2918,952,2,2,55,2,,,32,34
6,29,1,2918,952,3,1,64,11,,"SECRETARY TO COMMUNITY",25,42
6,29,1,2918,952,4,1,65,8,,,15,43
6,29,1,2918,952,5,1,45,8,,,12,26
6,29,1,2920,506,1,1,65,1,,,45,42
6,29,1,2920,506,2,2,32,8,,,7,41
6,29,1,2920,506,3,1,38,11,,"CIVIL SERVANT",15,41
6,29,1,2920,506,4,2,52,8,,,10,0
6,29,1,2920,506,5,2,37,8,,,4,26
6,29,1,2920,1210,1,1,95,1,,,46,0
6,29,1,2920,1210,2,1,62,11,,"FARMER",46,16
6,29,1,2920,1210,3,1,58,8,,,41,0
6,29,1,2920,1210,4,1,70,3,,,41,16
6,29,1,2920,1210,5,2,80,8,,,41,0
6,29,2,2920,1628,1,1,52,1,,,52,26
6,29,2,2920,1628,2,1,72,3,,,40,16
6,29,2,2920,1628,3,1,55,11,,"FARMER",55,16
6,29,2,2920,1628,4,2,65,8,,,45,0
6,29,2,2920,1628,5,2,45,2,,,41,0
6,29,1,2923,396,1,1,50,11,,"PTA  Chairman",26,26
6,29,1,2923,396,2,1,50,8,,,38,26
6,29,1,2923,396,3,2,60,8,,,60,16
6,29,1,2923,396,4,1,44,6,11,"Farming",44,26
6,29,1,2923,396,5,1,81,11,,"Retired Teacher",31,33
6,29,2,2923,1126,1,1,71,1,,,71,33
6,29,2,2923,1126,2,1,53,4,,,0,42
6,29,2,2923,1126,3,1,60,11,,"Farming",60,16
6,29,2,2923,1126,4,2,95,11,12,"former Olori",90,0
6,29,2,2923,1126,5,2,72,11,8,"*CONFIDENTIAL*",40,0
6,29,2,2923,1126,6,1,45,11,8,"*CONFIDENTIAL*",24,16
6,29,1,2927,1124,1,1,95,1,,,95,0
6,29,1,2927,1124,2,1,55,8,,,50,33
6,29,1,2927,1124,3,2,82,9,,,60,0
6,29,1,2927,1124,4,2,45,8,,,20,0
6,29,1,2927,1124,5,1,60,11,,"PHOTOGRAPHER",60,33
6,29,1,2930,530,1,1,95,1,,,95,0
6,29,1,2930,530,2,1,98,3,,,98,0
6,29,1,2930,530,3,2,65,8,,,20,0
6,29,1,2930,530,4,2,27,8,,,0,26
6,29,1,2930,530,5,1,26,11,,"ENGINEER (GENERATOR)",26,26
6,29,1,2930,1300,1,1,52,1,,,20,26
6,29,1,2930,1300,2,2,38,8,,,7,24
6,29,1,2930,1300,3,1,69,11,,"Carpenter",34,16
6,29,1,2930,1300,4,2,38,8,,,5,16
6,29,1,2930,1300,5,1,41,9,,,20,26
6,29,1,2930,1418,1,1,75,1,,,25,16
6,29,1,2930,1418,2,1,62,8,,,4,16
6,29,1,2930,1418,3,1,25,8,,,25,26
6,30,1,3002,1264,1,1,73,1,9,,20,16
6,30,1,3002,1264,2,1,57,3,,,8,26
6,30,1,3002,1264,3,1,65,3,9,,26,0
6,30,1,3002,1264,4,2,70,8,,,15,41
6,30,1,3002,1264,5,1,56,3,8,,8,26
6,30,1,3002,1310,1,1,69,1,,,50,16
