"zone","state","lga","sector","ea","hhid","boat_cd","boat_desc","sa9bq3","sa9bq4","sa9bq5","sa9bq6","sa9bq7","sa9bq8","sa9bq9"
1,7,713,2,304,70151,4,"Boat with engine",0,,2,,,0,0
1,7,713,2,304,70151,5,"Outboard engine",0,,2,,,0,0
1,7,713,2,304,70151,6,"Other (Specify)",0,,2,,,0,0
1,7,713,2,304,70151,7,"Other (Specify)",0,,2,,,0,0
1,7,713,2,304,70154,1,"Canoe without engine",,,,,,,
1,7,713,2,304,70154,2,"Canoe with engine",,,,,,,
1,7,713,2,304,70154,3,"Boat without engine",,,,,,,
1,7,713,2,304,70154,4,"Boat with engine",,,,,,,
1,7,713,2,304,70154,5,"Outboard engine",,,,,,,
1,7,713,2,304,70154,6,"Other (Specify)",,,,,,,
1,7,713,2,304,70154,7,"Other (Specify)",,,,,,,
1,7,713,2,304,70155,1,"Canoe without engine",1,15000,2,,,0,0
1,7,713,2,304,70155,2,"Canoe with engine",0,,2,,,0,0
1,7,713,2,304,70155,3,"Boat without engine",0,,2,,,0,0
1,7,713,2,304,70155,4,"Boat with engine",0,,2,,,0,0
1,7,713,2,304,70155,5,"Outboard engine",0,,2,,,0,0
1,7,713,2,304,70155,6,"Other (Specify)",0,,2,,,0,0
1,7,713,2,304,70155,7,"Other (Specify)",0,,2,,,0,0
1,7,713,2,304,70157,1,"Canoe without engine",1,25000,2,,,0,0
1,7,713,2,304,70157,2,"Canoe with engine",0,,2,,,0,0
1,7,713,2,304,70157,3,"Boat without engine",0,,2,,,0,0
1,7,713,2,304,70157,4,"Boat with engine",0,,2,,,0,0
1,7,713,2,304,70157,5,"Outboard engine",0,,2,,,0,0
1,7,713,2,304,70157,6,"Other (Specify)",0,,2,,,0,0
1,7,713,2,304,70157,7,"Other (Specify)",0,,2,,,0,0
5,9,915,1,1390,90022,1,"Canoe without engine",0,,2,,,0,0
5,9,915,1,1390,90022,2,"Canoe with engine",0,,2,,,0,0
5,9,915,1,1390,90022,3,"Boat without engine",0,,1,36,1500,0,11000
5,9,915,1,1390,90022,4,"Boat with engine",0,,2,,,0,0
5,9,915,1,1390,90022,5,"Outboard engine",0,,2,,,0,0
5,9,915,1,1390,90022,6,"Other (Specify)",0,,2,,,0,0
5,9,915,1,1390,90022,7,"Other (Specify)",0,,2,,,0,0
3,17,1722,2,96,170041,1,"Canoe without engine",,,,,,,
3,17,1722,2,96,170041,2,"Canoe with engine",,,,,,,
3,17,1722,2,96,170041,3,"Boat without engine",,,,,,,
3,17,1722,2,96,170041,4,"Boat with engine",,,,,,,
3,17,1722,2,96,170041,5,"Outboard engine",,,,,,,
3,17,1722,2,96,170041,6,"Other (Specify)",,,,,,,
3,17,1722,2,96,170041,7,"Other (Specify)",,,,,,,
3,17,1722,2,96,170042,1,"Canoe without engine",,,,,,,
3,17,1722,2,96,170042,2,"Canoe with engine",,,,,,,
3,17,1722,2,96,170042,3,"Boat without engine",,,,,,,
3,17,1722,2,96,170042,4,"Boat with engine",,,,,,,
3,17,1722,2,96,170042,5,"Outboard engine",,,,,,,
3,17,1722,2,96,170042,6,"Other (Specify)",,,,,,,
3,17,1722,2,96,170042,7,"Other (Specify)",,,,,,,
3,17,1722,2,96,170043,1,"Canoe without engine",,,,,,,
3,17,1722,2,96,170043,2,"Canoe with engine",,,,,,,
3,17,1722,2,96,170043,3,"Boat without engine",,,,,,,
3,17,1722,2,96,170043,4,"Boat with engine",,,,,,,
3,17,1722,2,96,170043,5,"Outboard engine",,,,,,,
3,17,1722,2,96,170043,6,"Other (Specify)",,,,,,,
3,17,1722,2,96,170043,7,"Other (Specify)",,,,,,,
3,17,1722,2,96,170046,1,"Canoe without engine",,,,,,,
3,17,1722,2,96,170046,2,"Canoe with engine",,,,,,,
3,17,1722,2,96,170046,3,"Boat without engine",,,,,,,
3,17,1722,2,96,170046,4,"Boat with engine",,,,,,,
3,17,1722,2,96,170046,5,"Outboard engine",,,,,,,
3,17,1722,2,96,170046,6,"Other (Specify)",,,,,,,
3,17,1722,2,96,170046,7,"Other (Specify)",,,,,,,
3,17,1722,2,96,170047,1,"Canoe without engine",,,,,,,
3,17,1722,2,96,170047,2,"Canoe with engine",,,,,,,
3,17,1722,2,96,170047,3,"Boat without engine",,,,,,,
3,17,1722,2,96,170047,4,"Boat with engine",,,,,,,
3,17,1722,2,96,170047,5,"Outboard engine",,,,,,,
3,17,1722,2,96,170047,6,"Other (Specify)",,,,,,,
3,17,1722,2,96,170047,7,"Other (Specify)",,,,,,,
3,17,1722,2,96,170048,1,"Canoe without engine",,,,,,,
3,17,1722,2,96,170048,2,"Canoe with engine",,,,,,,
3,17,1722,2,96,170048,3,"Boat without engine",,,,,,,
3,17,1722,2,96,170048,4,"Boat with engine",,,,,,,
3,17,1722,2,96,170048,5,"Outboard engine",,,,,,,
3,17,1722,2,96,170048,6,"Other (Specify)",,,,,,,
3,17,1722,2,96,170048,7,"Other (Specify)",,,,,,,
3,17,1722,2,96,170049,1,"Canoe without engine",,,,,,,
3,17,1722,2,96,170049,2,"Canoe with engine",,,,,,,
3,17,1722,2,96,170049,3,"Boat without engine",,,,,,,
3,17,1722,2,96,170049,4,"Boat with engine",,,,,,,
3,17,1722,2,96,170049,5,"Outboard engine",,,,,,,
3,17,1722,2,96,170049,6,"Other (Specify)",,,,,,,
3,17,1722,2,96,170049,7,"Other (Specify)",,,,,,,
1,22,2211,1,806,220002,1,"Canoe without engine",1,6000,2,,,200,4000
1,22,2211,1,806,220002,2,"Canoe with engine",0,,2,,,0,0
1,22,2211,1,806,220002,3,"Boat without engine",0,,2,,,0,0
1,22,2211,1,806,220002,4,"Boat with engine",0,,2,,,0,0
1,22,2211,1,806,220002,5,"Outboard engine",0,,2,,,0,0
1,22,2211,1,806,220002,6,"Other (Specify)",0,,2,,,0,0
1,22,2211,1,806,220002,7,"Other (Specify)",0,,2,,,0,0
6,24,2407,2,396,240163,1,"Canoe without engine",2,5000,2,,,0,1000
6,24,2407,2,396,240163,2,"Canoe with engine",0,,2,,,0,0
6,24,2407,2,396,240163,3,"Boat without engine",0,,2,,,0,0
6,24,2407,2,396,240163,4,"Boat with engine",0,,2,,,0,0
6,24,2407,2,396,240163,5,"Outboard engine",0,,2,,,0,0
6,24,2407,2,396,240163,6,"Other (Specify)",0,,2,,,0,0
6,24,2407,2,396,240163,7,"Other (Specify)",0,,2,,,0,0
1,26,2613,2,2248,260125,1,"Canoe without engine",,,,,,,
1,26,2613,2,2248,260125,2,"Canoe with engine",,,,,,,
1,26,2613,2,2248,260125,3,"Boat without engine",,,,,,,
1,26,2613,2,2248,260125,4,"Boat with engine",,,,,,,
1,26,2613,2,2248,260125,5,"Outboard engine",,,,,,,
1,26,2613,2,2248,260125,6,"Other (Specify)",,,,,,,
1,26,2613,2,2248,260125,7,"Other (Specify)",,,,,,,
1,26,2608,2,820,260133,1,"Canoe without engine",,,,,,,
1,26,2608,2,820,260133,2,"Canoe with engine",,,,,,,
1,26,2608,2,820,260133,3,"Boat without engine",,,,,,,
1,26,2608,2,820,260133,4,"Boat with engine",,,,,,,
1,26,2608,2,820,260133,5,"Outboard engine",,,,,,,
1,26,2608,2,820,260133,6,"Other (Specify)",,,,,,,
1,26,2608,2,820,260133,7,"Other (Specify)",,,,,,,
6,28,2810,2,0,280091,1,"Canoe without engine",1,30000,2,,,0,0
6,28,2810,2,0,280091,2,"Canoe with engine",0,,2,,,0,0
6,28,2810,2,0,280091,3,"Boat without engine",0,,2,,,0,0
6,28,2810,2,0,280091,4,"Boat with engine",1,1400000,2,,,320000,75000
6,28,2810,2,0,280091,5,"Outboard engine",0,,2,,,0,0
6,28,2810,2,0,280091,6,"Other (Specify)",0,,2,,,0,0
6,28,2810,2,0,280091,7,"Other (Specify)",0,,2,,,0,0
6,28,2810,2,2394,280096,1,"Canoe without engine",0,,2,,,0,0
6,28,2810,2,2394,280096,2,"Canoe with engine",0,,2,,,0,0
6,28,2810,2,2394,280096,3,"Boat without engine",0,,2,,,0,0
6,28,2810,2,2394,280096,4,"Boat with engine",4,10000000,2,,,620000,25000
6,28,2810,2,2394,280096,5,"Outboard engine",0,,2,,,0,0
6,28,2810,2,2394,280096,6,"Other (Specify)",0,,2,,,0,0
6,28,2810,2,2394,280096,7,"Other (Specify)",0,,2,,,0,0
6,28,2810,2,2394,280097,1,"Canoe without engine",,,,,,,
6,28,2810,2,2394,280097,2,"Canoe with engine",,,,,,,
6,28,2810,2,2394,280097,3,"Boat without engine",,,,,,,
6,28,2810,2,2394,280097,4,"Boat with engine",1,4500000,2,,,450000,20000
