"crop_name","crop_cd","unit_name","unit_cd","conv_national","conv_NC_1","conv_NE_2","conv_NW_3","conv_SE_4","conv_SS_5","conv_SW_6","note"
"BEANS/COWPEA",1010,"KILOGRAM (KG)",1,1,1,1,1,1,1,1,
"BEANS/COWPEA",1010,"PAINT RUBBER",11,3.508,3.50799989700317,3.50799989700317,3.50799989700317,3.50799989700317,3.50799989700317,3.50799989700317,
"BEANS/COWPEA",1010,"MILK CUP",12,0.14,0.140000000596046,0.140000000596046,0.140000000596046,0.140000000596046,0.140000000596046,0.140000000596046,
"BEANS/COWPEA",1010,"CIGARETTE CUP",13,0.196,0.195999994874001,0.195999994874001,0.195999994874001,0.195999994874001,0.195999994874001,0.195999994874001,
"BEANS/COWPEA",1010,"TIN",14,12.796,12.7959995269775,12.7959995269775,12.7959995269775,12.7959995269775,12.7959995269775,12.7959995269775,
"BEANS/COWPEA",1010,"CONGO SMALL",20,0.913,0.912999987602234,0.912999987602234,0.912999987602234,0.912999987602234,0.912999987602234,0.912999987602234,
"BEANS/COWPEA",1010,"CONGO LARGE",21,1.367,1.36699998378754,1.36699998378754,1.36699998378754,1.36699998378754,1.36699998378754,1.36699998378754,
"BEANS/COWPEA",1010,"MUDU SMALL",30,0.98,0.980000019073486,0.980000019073486,0.980000019073486,0.980000019073486,0.980000019073486,0.980000019073486,
"BEANS/COWPEA",1010,"MUDU LARGE",31,1.243,1.24300003051758,1.24300003051758,1.24300003051758,1.24300003051758,1.24300003051758,1.24300003051758,
"BEANS/COWPEA",1010,"DERICA SMALL",40,0.214,0.214000001549721,0.214000001549721,0.214000001549721,0.214000001549721,0.214000001549721,0.214000001549721,
"BEANS/COWPEA",1010,"DERICA MEDIUM",41,0.582,0.582000017166138,0.582000017166138,0.582000017166138,0.582000017166138,0.582000017166138,0.582000017166138,
"BEANS/COWPEA",1010,"DERICA LARGE",42,1.462,1.46200001239777,1.46200001239777,1.46200001239777,1.46200001239777,1.46200001239777,1.46200001239777,
"BEANS/COWPEA",1010,"DERICA VERY LARGE",43,1.748,1.74800002574921,1.74800002574921,1.74800002574921,1.74800002574921,1.74800002574921,1.74800002574921,
"BEANS/COWPEA",1010,"TIYA MEDIUM",51,1.575,1.57500004768372,1.57500004768372,1.57500004768372,1.57500004768372,1.57500004768372,1.57500004768372,
"BEANS/COWPEA",1010,"TIYA LARGE",52,2.402,2.40199995040894,2.40199995040894,2.40199995040894,2.40199995040894,2.40199995040894,2.40199995040894,
"BEANS/COWPEA",1010,"KOBIOWU MEDIUM",61,0.737,0.736999988555908,0.736999988555908,0.736999988555908,0.736999988555908,0.736999988555908,0.736999988555908,
"BEANS/COWPEA",1010,"KOBIOWU LARGE",62,1.207,1.20700001716614,1.20700001716614,1.20700001716614,1.20700001716614,1.20700001716614,1.20700001716614,
"BEANS/COWPEA",1010,"SACK/BAG MEDIUM",131,85.775,85.7750015258789,85.7750015258789,85.7750015258789,85.7750015258789,85.7750015258789,85.7750015258789,
"BEANS/COWPEA",1010,"SACK/BAG LARGE",132,98.85,98.8499984741211,98.8499984741211,98.8499984741211,98.8499984741211,98.8499984741211,98.8499984741211,
"CASSAVA OLD",1020,"KILOGRAM (KG)",1,1,1,1,1,1,1,1,
"CASSAVA OLD",1020,"GRAMS (G)",2,0.001,0.00100000004749745,0.00100000004749745,0.00100000004749745,0.00100000004749745,0.00100000004749745,0.00100000004749745,
"CASSAVA OLD",1020,"PAINT RUBBER",11,1.715,1.7150000333786,1.7150000333786,1.7150000333786,1.7150000333786,1.7150000333786,1.7150000333786,
"CASSAVA OLD",1020,"PIECE SMALL",80,0.79,0.790000021457672,0.790000021457672,0.790000021457672,0.790000021457672,0.790000021457672,0.790000021457672,
"CASSAVA OLD",1020,"PIECE MEDIUM",81,1.59,1.5900000333786,1.5900000333786,1.5900000333786,1.5900000333786,1.5900000333786,1.5900000333786,
"CASSAVA OLD",1020,"PIECE LARGE",82,2.99,2.99000000953674,2.99000000953674,2.99000000953674,2.99000000953674,2.99000000953674,2.99000000953674,
"CASSAVA OLD",1020,"HEAP SMALL",90,10.13,10.1300001144409,10.1300001144409,10.1300001144409,10.1300001144409,10.1300001144409,10.1300001144409,
"CASSAVA OLD",1020,"HEAP MEDIUM",91,21.615,21.6149997711182,21.6149997711182,21.6149997711182,21.6149997711182,21.6149997711182,21.6149997711182,
"CASSAVA OLD",1020,"HEAP LARGE",92,32.9,32.9000015258789,32.9000015258789,32.9000015258789,32.9000015258789,32.9000015258789,32.9000015258789,
"CASSAVA OLD",1020,"SACK/BAG SMALL",130,37.433,32.9000015258789,37.4329986572266,37.4329986572266,37.4329986572266,37.4329986572266,46.5,
