"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","sa3iq3","sa3iq4","sa3iq4a1","sa3iq4a2","sa3iq5a","sa3iq5b","sa3iq5c","sa3iq6i","sa3iq6ii","sa3iq6ii_os","sa3iq6a","sa3iq6b","sa3iq6c1","sa3iq6c2","sa3iq6d1","sa3iq6d2","sa3iq6d2_os","sa3iq6e1","sa3iq6e2"
4,1,106,2,880,10021,3,1,"CASSAVA",1020,1,,10,2015,1,4,50,4,131,,8000,2,,,2,131,,2,
4,1,106,2,880,10021,3,2,"PUMPKIN",2190,1,,4,2015,1,4,100,5,160,,1500,1,10,2015,,,,2,
4,1,106,2,880,10021,4,1,"CASSAVA",1020,1,,9,2015,1,4,50,6,131,,10000,2,,,4,131,,2,
4,1,106,2,880,10022,1,1,"MAIZE",1080,1,,8,2015,150,3,100,2,142,,4000,1,9,2015,,,,2,1
4,1,106,2,880,10022,1,2,"PUMPKIN",2190,1,,9,2015,120,1,100,158,81,,9000,1,1,2016,,,,2,1
4,1,106,2,880,10022,1,3,"PEPPER",2140,1,,8,2015,200,3,100,30,142,,150000,1,10,2015,,,,1,2
4,1,106,2,880,10022,1,4,"CASSAVA",1020,1,,12,2015,280,1,100,22,142,,44000,1,1,2016,,,,2,1
4,1,106,2,880,10022,2,1,"CASSAVA",1020,1,,12,2015,350,1,30,5,142,,10000,2,,,25,142,,2,1
4,1,106,2,880,10022,2,2,"MAIZE",1080,1,,9,2015,170,3,100,2,142,,4000,1,9,2015,,,,2,1
4,1,106,2,880,10023,1,1,"CASSAVA",1020,1,,1,2016,2,4,20,8,131,,12000,2,,,24,131,,1,2
4,1,106,2,880,10023,1,2,"PUMPKIN",2190,1,,7,2015,1,4,100,30,160,,3000,1,9,2015,,,,1,2
4,1,106,2,880,10023,1,3,"MAIZE",1080,1,,7,2015,1,4,100,4,151,,4800,1,10,2015,,,,1,2
4,1,106,2,880,10023,2,1,"CASSAVA",1020,1,,1,2016,0.3,4,30,12,131,,18000,2,,,20,131,,1,2
