"zone","state","lga","sector","ea","hhid","ric","saq7","qno","qno1","ag1","ag2","ag3","saq11_b","saq12_b","saq13","saq13d","saq13m","saq13y","saq14ah","saq14am","saq14bh","saq14bm","saq15a","saq15b","saq16","saq16d","saq16m","saq16y","saq17ah","saq17am","saq17bh","saq17bm","saq18a","saq18b","saq19","saq19d","saq19m","saq19y","saq20ah","saq20am","saq20bh","saq20bm","saq21a","saq21b","saq22","saq22a","saq22a_os","saq22b","saq22b_os"
4,1,111,1,1146,10034,1407,10,1,1,2,2,2,5,1,"09032016",9,3,2016,11,0,14,5,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,111,1,1146,10035,1407,3,1,1,2,2,2,4,1,"08032016",8,3,2016,11,20,14,43,15,,,,,,,,,,,,,,,,,,,,,,1,1,,1,
4,1,111,1,1146,10036,1407,20,1,1,2,2,2,4,1,"09032016",9,3,2016,11,30,14,48,15,,,,,,,,,,,,,,,,,,,,,,1,1,,1,
4,1,111,1,1146,10037,1407,27,1,1,2,2,2,2,1,"08032016",8,3,2016,10,5,13,10,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,111,1,1146,10038,1407,15,1,1,2,2,2,3,1,"09032016",9,3,2016,10,20,13,54,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,4,410,2,0,10039,0,0,1,1,2,2,2,3,1,"16032016",16,3,2016,12,20,15,5,9,,"17032016",17,3,2016,11,45,14,0,7,,,,,,,,,,,,2,1,,1,
4,1,111,1,1146,10040,1407,1,1,1,2,2,2,3,1,"08032016",8,3,2016,10,49,13,38,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,102,1,536,10041,1001,39,1,1,2,2,2,4,1,"10032016",10,3,2016,10,30,13,56,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
6,24,2418,1,0,10042,0,0,1,1,2,2,2,6,1,"07032016",7,3,2016,9,25,12,50,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,102,1,536,10043,1001,2,1,1,2,2,2,4,1,"10032016",10,3,2016,16,20,16,56,3,,"11032016",11,3,2016,12,24,15,43,16,,,,,,,,,,,,2,1,,1,
4,1,102,1,536,10044,1001,35,1,1,2,2,2,3,1,"11032016",11,3,2016,10,48,14,15,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,102,1,536,10045,1001,6,1,1,2,2,2,5,1,"11032016",11,3,2016,14,10,17,40,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,102,1,536,10046,1001,14,1,1,2,2,2,3,1,"10032016",10,3,2016,11,2,15,17,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,102,1,536,10047,1001,47,1,1,2,2,2,5,1,"10032016",10,3,2016,13,10,15,30,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,102,1,536,10048,1001,55,1,1,2,2,2,5,1,"11032016",11,3,2016,10,50,13,1,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,102,1,536,10049,1001,30,1,1,2,2,2,2,1,"11032016",11,3,2016,11,40,14,15,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,102,1,536,10050,1001,18,1,1,2,2,2,2,1,"10032016",10,3,2016,10,16,13,0,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,102,1,1690,10051,1501,8,1,1,2,2,2,4,1,"12032016",12,3,2016,9,24,12,50,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,102,1,1690,10052,1501,3,1,1,2,2,2,4,1,"13032016",13,3,2016,9,12,12,53,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,102,1,1690,10053,1501,18,1,1,2,2,2,2,1,"12032016",12,3,2016,11,20,14,30,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,102,1,1690,10054,1501,4,1,1,2,2,2,2,1,"13032016",13,3,2016,12,10,15,25,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,
4,1,102,1,1690,10055,1501,15,1,1,2,2,2,3,1,"12032016",12,3,2016,10,10,13,20,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
