"zone","state","sector","lga","ea","hhid","plotid","dist_household","srtmslp_nga","srtm_nga","twi_nga"
4,1,2,105,638,10096,1,0,2.3,102,13
4,1,2,105,638,10096,2,0.1,2.8,102,14
4,1,2,105,638,10097,1,0,4.6,106,14
4,1,2,105,638,10097,2,0,4.4,107,14
4,1,2,105,638,10099,1,0.2,4.6,109,14
4,1,2,105,638,10100,1,0.8,4.2,115,13
4,1,2,105,638,10100,2,0.8,4.4,114,13
4,1,2,108,904,10102,1,0.1,11.8,175,12
4,1,2,108,904,10102,2,0.2,11.1,181,11
4,1,2,108,904,10102,3,0.2,10.7,178,12
4,1,2,108,904,10103,1,0.2,8,190,12
4,1,2,108,904,10103,2,0.3,7,193,12
4,1,2,108,904,10104,1,0.1,8.5,134,14
4,1,2,108,904,10104,2,0,12.3,136,13
4,1,2,108,904,10105,1,1.4,5.6,128,12
4,1,2,108,904,10106,1,0.2,8.2,150,13
4,1,2,108,904,10106,2,0.2,9.8,150,13
4,1,2,108,904,10107,1,0.2,7.5,134,14
4,1,2,108,904,10108,1,0,13.6,161,12
4,1,2,108,904,10108,2,0,13,165,12
4,1,2,108,904,10109,1,0,7.2,133,15
4,1,2,108,904,10110,1,0.2,13,172,11
2,2,2,209,1040,20001,1,0.5,1.7,190,16
2,2,2,209,1040,20001,2,0.3,1.9,193,14
2,2,2,209,1040,20001,3,1.4,0.8,176,15
2,2,2,209,1040,20001,4,1.8,2.3,182,13
2,2,2,209,1040,20002,1,1.2,4,194,13
2,2,2,209,1040,20002,2,1,6.2,181,14
2,2,2,209,1040,20002,3,1.3,1,176,18
2,2,2,209,1040,20002,4,1.3,1,176,18
2,34,2,3401,0,20003,1,1.3,1.9,203,16
2,34,2,3401,0,20003,2,,,,
2,2,2,209,0,20004,1,2.1,1.5,189,14
2,2,2,209,0,20004,2,0.3,1.3,175,16
2,2,2,209,1040,20005,1,0.4,1.6,191,16
2,2,2,209,1040,20005,2,0.3,2.2,193,15
2,2,2,209,1040,20005,3,0.7,3.2,196,15
2,2,2,209,1040,20005,4,0.8,4.5,199,15
2,2,2,209,1040,20006,1,0.1,3.3,186,17
2,2,2,209,1040,20006,2,0.2,3,188,16
2,2,2,209,1040,20006,3,0,3.1,192,12
2,2,2,209,1040,20006,4,0.2,2.2,189,19
2,2,2,209,1040,20007,1,1.8,2.9,204,14
2,2,2,209,1040,20007,2,2.4,4.6,207,13
2,2,2,209,1040,20007,3,2,3.7,200,17
2,2,2,209,1040,20007,4,1.3,5,210,13
2,2,2,209,1040,20007,5,1.6,2.7,213,13
2,2,2,209,1040,20007,6,2.1,3.8,200,16
2,2,2,209,1040,20008,1,0.3,1.6,193,14
2,2,2,209,1040,20008,2,0.4,1.9,191,14
2,2,2,209,1040,20008,3,1.6,2,176,13
2,2,2,209,1040,20009,1,0.1,3.5,185,17
2,2,2,209,1040,20009,2,0.1,4.7,188,12
