"zone","state","lga","sector","ea","hhid","s12q1a","s12q1b","s12q1c","s12q1d","s12q1e","s12q1f","s12q1g","s12q1h","s12q1i","s12q2a","s12q2b","s12q3","s12q4a","s12q4b","s12q4c","s12q5","s12q6a","s12q6b","s12q6c","s12q6d","s12q6e","s12q6f","s12q7a","s12q7a_os","s12q7b","s12q7b_os","s12q7c","s12q7c_os"
4,1,102,1,1690,10059,2,1,2,2,0,0,1,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,102,1,1690,10060,2,3,3,2,3,2,2,0,0,3,3,1,,,,2,,,,,,,,,,,,
4,1,107,2,1044,10061,2,4,2,2,0,2,1,0,0,3,4,1,,,,2,,,,,,,,,,,,
4,1,107,2,1044,10062,5,2,0,0,1,2,2,0,0,3,3,1,,,,1,9,,,,,,5,,,,,
4,1,107,2,1044,10063,5,4,2,0,0,2,2,0,0,3,0,1,,,,1,12,,,1,,,5,,,,,
4,1,107,2,1044,10064,3,2,2,3,2,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,,
4,1,102,1,0,10065,4,4,3,2,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,107,2,1044,10066,2,3,2,2,2,0,2,1,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,107,2,1044,10067,2,3,3,2,2,0,2,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,107,2,1044,10068,2,3,2,3,0,0,2,1,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,107,2,1044,10069,2,1,3,2,2,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,,
4,1,107,2,0,10070,3,3,1,0,0,2,1,0,0,3,3,1,,,,1,10,,,,,,5,,,,,
4,1,117,2,560,10071,4,3,4,3,0,1,0,0,0,3,0,1,,,,1,1,3,,,,,5,,,,,
4,1,117,2,560,10072,2,3,2,2,3,0,1,0,0,2,3,1,,,,1,10,,,,,,11,"ACCIDENT",,,,
4,1,117,2,560,10073,3,4,2,2,0,0,0,1,0,3,0,1,,,,2,,,,,,,,,,,,
