"zone","state","lga","sector","ea","hhid","ric","saq7","qno","qno1","saq11_b","saq12_b","saq13","saq13d","saq13m","saq13y","saq14ah","saq14am","saq14bh","saq14bm","saq15a","saq15b","saq16","saq16d","saq16m","saq16y","saq17ah","saq17am","saq17bh","saq17bm","saq18a","saq18b","saq19","saq19d","saq19m","saq19y","saq20ah","saq20am","saq20bh","saq20bm","saq21a","saq21b","saq22","saq22a","saq22b"
4,1,111,1,1146,10037,1407,27,1,1,2,1,"06092015",6,9,2015,15,25,18,5,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,111,1,1146,10038,1407,15,1,1,3,1,"05092015",5,9,2015,10,48,13,15,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,4,410,2,0,10039,0,0,1,1,5,1,"19092015",19,9,2015,9,14,12,10,15,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,111,1,1146,10040,1407,1,1,1,3,1,"05092015",5,9,2015,13,35,15,20,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,102,1,536,10041,1001,39,1,1,4,1,"14092015",14,9,2015,12,12,14,34,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
6,24,2418,1,0,10042,0,0,1,1,4,,"15102015",15,10,2015,14,15,17,10,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,102,1,536,10043,1001,2,1,1,4,1,"14092015",14,9,2015,15,20,17,43,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,102,1,536,10044,1001,35,1,1,3,1,"14092015",14,9,2015,14,10,16,20,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,102,1,536,10045,1001,6,1,1,5,1,"15092015",15,9,2015,10,45,13,5,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,102,1,536,10046,1001,14,1,1,3,1,"14092015",14,9,2015,11,14,13,48,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,102,1,536,10047,1001,47,1,1,5,1,"15092015",15,9,2015,13,30,15,50,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
