"zone","state","lga","sector","ea","hhid","s6aq01","s6aq02","s6aq03","s6aq04","s6aq05","s6aq06","s6aq07","s6aq08","s6aq09","s6aq10","s6aq11","s6aq12","s6aq13","s6aq14","s6aq15","version"
4,1,117,2,560,10077,2,1,1,,2,,1,1,2,,1,2,2,2,1,1
4,1,117,2,560,10078,1,1,1,,2,,2,1,1,,2,2,1,2,1,2
4,1,117,2,560,10079,1,1,1,,2,,2,2,,2,2,1,2,2,1,2
4,1,117,2,560,10080,2,2,,2,2,,2,1,1,,2,1,1,2,3,2
4,1,110,2,76,10081,1,1,1,,1,1,,1,1,,1,2,2,2,2,1
4,1,110,2,76,10082,1,1,1,,1,1,,1,1,,1,2,2,2,2,2
4,1,110,1,0,10083,1,1,1,,2,,1,1,1,,1,2,2,2,2,1
4,1,110,2,76,10084,1,2,,1,1,1,,1,1,,1,2,2,2,1,1
4,1,110,2,76,10085,1,1,1,,1,1,,2,,1,2,2,2,2,2,1
4,1,110,2,76,10086,1,1,1,,1,1,,1,1,,2,1,2,2,1,2
4,1,110,2,76,10087,1,1,1,,1,1,,1,1,,1,2,2,2,1,2
4,1,110,2,76,10088,2,1,1,,2,,2,1,1,,2,2,2,4,3,1
4,1,110,2,76,10089,2,1,1,,2,,2,1,1,,2,2,2,3,4,2
4,1,105,2,638,10091,2,2,,1,2,,1,1,1,,1,2,1,2,1,1
4,1,105,2,638,10092,1,1,1,,2,,2,2,,2,2,2,1,2,1,2
5,3,322,2,0,10093,1,2,,2,2,,2,1,1,,1,2,1,1,1,1
4,1,105,2,638,10094,1,1,1,,1,2,,1,1,,2,1,1,3,1,1
4,1,105,2,638,10096,4,1,1,,1,1,,1,1,,2,2,1,2,1,2
4,1,105,2,638,10097,2,1,1,,1,1,,1,1,,1,2,1,3,2,1
4,1,105,2,638,10098,2,1,1,,1,2,,1,1,,2,2,2,3,1,2
4,1,105,2,638,10099,1,1,1,,1,1,,2,,1,2,2,2,2,2,1
4,1,105,2,638,10100,2,2,,2,2,,2,1,1,,1,2,1,2,1,2
4,1,108,2,904,10102,1,1,1,,2,,2,1,2,,2,2,1,2,1,1
4,1,108,2,904,10103,1,1,1,,2,,2,2,,1,2,1,2,2,1,2
4,1,108,2,904,10104,1,1,1,,2,,1,1,1,,1,2,1,2,1,2
4,1,108,2,904,10105,1,2,,2,2,,2,1,1,,2,2,2,2,3,1
4,1,108,2,904,10106,1,1,2,,2,,2,2,,1,2,2,2,3,2,1
4,1,108,2,904,10107,1,1,1,,2,,2,1,1,,1,2,1,2,1,2
4,1,108,2,904,10108,1,1,1,,2,,1,1,1,,1,2,2,3,1,2
4,1,108,2,904,10109,2,2,,2,1,2,,1,1,,2,2,2,2,1,1
4,1,108,2,904,10110,1,2,,1,2,,2,1,1,,1,1,2,2,1,1
2,2,209,2,1040,20001,4,1,1,,1,1,,1,1,,2,2,2,2,1,1
2,2,209,2,1040,20002,2,2,,2,1,1,,1,1,,2,2,2,2,1,2
2,34,3401,2,0,20003,6,2,,2,2,,2,1,1,,1,1,2,2,1,1
2,2,209,2,0,20004,5,1,1,,1,1,,1,1,,1,2,2,2,2,1
2,2,209,2,1040,20005,5,1,1,,2,,2,1,1,,1,2,2,3,2,2
2,2,209,2,1040,20006,1,2,,2,2,,2,1,1,,2,2,1,3,1,1
2,2,209,2,1040,20007,1,2,,2,2,,2,1,2,,1,2,2,2,2,2
2,2,209,2,1040,20008,1,2,,1,1,1,,2,,2,1,2,2,1,2,2
2,2,209,2,1040,20009,1,2,,2,2,,2,2,,2,2,2,1,1,1,1
2,2,209,2,1040,20010,3,1,1,,2,,2,1,1,,1,2,2,2,2,1
2,34,3416,2,0,20011,1,1,1,,1,1,,1,1,,1,1,1,3,1,1
2,2,221,2,18,20012,1,1,1,,1,1,,1,1,,1,1,1,1,2,1
2,2,221,2,18,20013,1,2,,2,2,,2,2,,2,1,1,1,1,1,1
2,2,221,2,18,20014,1,1,1,,1,1,,1,1,,1,2,1,2,2,2
2,2,221,2,18,20015,2,1,1,,1,1,,1,1,,1,2,1,2,1,2
2,2,221,2,18,20016,1,2,,2,1,2,,1,2,,1,1,2,2,2,1
2,2,221,2,18,20017,1,2,,2,2,,2,1,1,,1,2,2,2,2,2
2,2,221,2,18,20018,1,1,1,,1,1,,1,1,,1,2,2,2,1,1
