"zone","state","lga","sector","ea","hhid","item_cd","item_desc","s10aq1","s10aq2"
4,1,104,2,1364,10013,3,"FULL MEALS - DINNER",2,
4,1,104,2,1364,10013,4,"SIDE DISHES",2,
4,1,104,2,1364,10013,5,"SNACKS",1,100
4,1,104,2,1364,10013,6,"DAIRY BASED BEVARAGES",1,100
4,1,104,2,1364,10013,7,"VEGETABLES AND ROASTED OR BOIL",2,
4,1,104,2,1364,10013,8,"NON-ALCOHOLIC DRINKS",1,240
4,1,104,2,1364,10013,9,"ALCOHOLIC DRINKS",2,
4,1,104,2,1364,10014,1,"FULL MEALS - BREAKFAST",2,
4,1,104,2,1364,10014,2,"FULL MEALS - LUNCH",1,500
4,1,104,2,1364,10014,3,"FULL MEALS - DINNER",2,
4,1,104,2,1364,10014,4,"SIDE DISHES",2,
4,1,104,2,1364,10014,5,"SNACKS",1,100
4,1,104,2,1364,10014,6,"DAIRY BASED BEVARAGES",1,100
4,1,104,2,1364,10014,7,"VEGETABLES AND ROASTED OR BOIL",2,
4,1,104,2,1364,10014,8,"NON-ALCOHOLIC DRINKS",1,120
4,1,104,2,1364,10014,9,"ALCOHOLIC DRINKS",2,
4,1,104,2,0,10015,1,"FULL MEALS - BREAKFAST",1,340
4,1,104,2,0,10015,2,"FULL MEALS - LUNCH",1,600
4,1,104,2,0,10015,3,"FULL MEALS - DINNER",2,
4,1,104,2,0,10015,4,"SIDE DISHES",2,
4,1,104,2,0,10015,5,"SNACKS",2,
4,1,104,2,0,10015,6,"DAIRY BASED BEVARAGES",2,
4,1,104,2,0,10015,7,"VEGETABLES AND ROASTED OR BOIL",2,
4,1,104,2,0,10015,8,"NON-ALCOHOLIC DRINKS",2,
4,1,104,2,0,10015,9,"ALCOHOLIC DRINKS",2,
4,1,104,2,1364,10016,1,"FULL MEALS - BREAKFAST",1,600
4,1,104,2,1364,10016,2,"FULL MEALS - LUNCH",1,2150
4,1,104,2,1364,10016,3,"FULL MEALS - DINNER",2,
4,1,104,2,1364,10016,4,"SIDE DISHES",1,500
4,1,104,2,1364,10016,5,"SNACKS",1,100
4,1,104,2,1364,10016,6,"DAIRY BASED BEVARAGES",2,
4,1,104,2,1364,10016,7,"VEGETABLES AND ROASTED OR BOIL",1,150
4,1,104,2,1364,10016,8,"NON-ALCOHOLIC DRINKS",2,
4,1,104,2,1364,10016,9,"ALCOHOLIC DRINKS",1,400
4,1,104,2,1364,10017,1,"FULL MEALS - BREAKFAST",1,1500
4,1,104,2,1364,10017,2,"FULL MEALS - LUNCH",1,1200
4,1,104,2,1364,10017,3,"FULL MEALS - DINNER",2,
4,1,104,2,1364,10017,4,"SIDE DISHES",1,1000
4,1,104,2,1364,10017,5,"SNACKS",1,200
4,1,104,2,1364,10017,6,"DAIRY BASED BEVARAGES",2,
4,1,104,2,1364,10017,7,"VEGETABLES AND ROASTED OR BOIL",2,
4,1,104,2,1364,10017,8,"NON-ALCOHOLIC DRINKS",1,100
4,1,104,2,1364,10017,9,"ALCOHOLIC DRINKS",1,1400
4,1,104,2,1364,10018,1,"FULL MEALS - BREAKFAST",2,
4,1,104,2,1364,10018,2,"FULL MEALS - LUNCH",2,
