"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","s11eq3","s11eq3a","s11eq3b","s11eq4","s11eq5","s11eq6a","s11eq6b","s11eq7","s11eq7b","s11eq8","s11eq9","s11eq10a","s11eq10b","s11eq11a","s11eq11b","s11eq12","s11eq13","s11eq13b","s11eq14","s11eq15a","s11eq15b","s11eq16","s11eq17","s11eq18a","s11eq18b","s11eq19","s11eq20","s11eq20b","s11eq21","s11eq22","s11eq23","s11eq24","s11eq25","s11eq26","s11eq27a","s11eq27b","s11eq28","s11eq29","s11eq30a","s11eq30b","s11eq31","s11eq32","s11eq33","s11eq34","s11eq35","s11eq36","s11eq37"
4,1,104,2,1364,10017,1,1,"CASSAVA",1020,1,2,4,1,1020,5,161,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10017,1,2,"PUMPKIN SEED",2193,1,2,4,1,2193,2,100,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10017,1,3,"PAW PAW",3210,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10017,1,4,"PINEAPPLE",2160,1,2,4,2,,,,,,1,2160,5,81,"N1",,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10018,1,1,"CASSAVA",1020,1,2,4,1,1020,4,160,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10018,1,2,"MAIZE",1080,1,2,4,1,1080,10,80,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10018,1,3,"YAM",1120,1,2,4,1,1120,30,80,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10018,1,4,"PUMPKIN",2190,1,2,4,1,2193,10,10,1,,2,,,,,,,,,1,2,,"N1",2193,2,101,0,1,,1000,1,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,10018,1,5,"PLANTAIN",2170,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10019,1,1,"CASSAVA",1020,1,2,3,1,1020,6,161,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10019,2,1,"CASSAVA",1020,1,2,3,1,1020,4,161,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10019,2,2,"PALM TREE",3180,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10019,2,3,"PLANTAIN",2170,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10021,1,1,"MAIZE",1080,1,2,3,1,1080,20,13,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10021,1,2,"CASSAVA",1020,1,2,3,1,1020,5,161,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10021,2,1,"CASSAVA",1020,1,2,3,1,1020,5,161,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10021,2,2,"YAM",1120,1,2,3,1,1120,5,140,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10021,3,1,"CASSAVA",1020,1,2,3,1,1020,6,161,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10021,3,2,"PUMKIN",2190,1,2,3,1,2191,3,92,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10021,4,1,"CASSAVA",1020,1,2,3,1,1020,4,161,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10022,1,1,"MAIZE",1080,1,2,3,2,,,,,,2,,,,,,,,,1,2,,"N1",1080,18,80,300,3,,270,1,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10022,1,2,"PUMKIN",2190,1,2,3,2,,,,,,2,,,,,,,,,1,2,,"N2",2193,12,102,300,3,,4200,1,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10022,1,3,"PEPPER",2140,1,2,3,2,,,,,,2,,,,,,,,,1,2,,"N3",2140,1,150,300,3,,1200,1,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10022,1,4,"CASSAVA",1020,1,2,3,2,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10022,2,1,"CASSAVA",1020,1,2,3,2,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10022,2,2,"MAIZE",1080,1,,,,,,,,,2,,,,,,,,,1,2,,"N1",1080,5,80,300,3,,100,1,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10023,1,1,"CASSAVA",1020,1,1,4,1,1020,6,161,4,,1,1020,2,161,"N2",,0,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10023,1,2,"FLUTED PUMPKIN",2190,1,1,4,1,2193,4,101,4,,2,,,,,,,,,1,1,2,"N1",2193,2,101,80,5,,1000,1,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10023,1,3,"MAD MAIZE",1080,1,1,2,2,,,,,,2,,,,,,,,,1,1,2,"N1",1080,1,13,80,5,,150,1,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10023,2,1,"CASSAVA",1020,1,1,4,1,1020,3,161,4,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10023,2,2,"FLUTED PUMKIN",2190,1,1,4,1,2193,5,100,4,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10023,3,1,"OLD CASSAVA",1020,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10024,1,1,"CASSAVA",1020,1,2,4,1,1020,5,161,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10024,1,2,"MAIZE",1080,1,2,4,2,,,,,,2,,,,,,,,,1,2,,"N2",1080,10,80,300,3,,400,1,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10024,2,1,"CASSAVA",1020,1,2,4,1,1020,3,160,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10024,2,2,"YAM",1120,1,2,4,2,,,,,,2,,,,,,,,,1,2,,"N2",1120,20,91,300,3,,3500,1,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10024,2,3,"OIL PALM TREE",3180,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10025,1,1,"CASSAVA",1020,1,1,4,1,1020,5,160,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10025,1,2,"PUMPKIN",2190,1,1,4,2,,,,,,2,,,,,,,,,1,2,,"N1",2190,1,11,1000,4,,150,1,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10025,1,3,"OIL PALM TREE",3180,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10025,2,1,"CASSAVA",1020,1,1,4,1,1020,4,161,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10025,3,1,"CASSAVA",1020,1,1,4,1,1020,5,160,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10027,1,1,"CASSAVA",1020,1,2,4,1,1020,4,161,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10027,1,2,"THREE LEAVE YAM",1124,1,2,4,1,1124,40,80,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10027,1,3,"PUMKIN SEED",2193,1,2,4,1,2193,5,101,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10027,2,1,"CASSAVA",1020,1,2,4,1,1020,10,80,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10027,3,1,"GARDEN EGG",2080,1,2,4,1,2080,1,11,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10027,3,2,"CASSAVA",1020,1,2,4,1,1020,6,161,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10027,3,3,"PUMKIN SEED",2193,1,2,4,1,2193,2,100,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10027,3,4,"THREE LEAVE YAM",1124,1,2,4,1,1124,32,80,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10027,3,5,"MAIZE",1080,1,2,4,1,1080,11,80,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10029,1,1,"MAIZE",1080,1,1,2,1,1080,2,13,4,,2,,,,,,,,,1,2,,"N1",1080,1,13,100,5,,150,1,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10029,1,2,"CASSAVA",1020,1,1,4,1,1020,7,161,4,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10029,1,3,"FLUTED PUMKIN",2190,1,1,4,1,2193,3,101,4,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10029,2,1,"CASSAVA",1020,1,1,4,1,1020,10,161,4,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10029,2,2,"MAIZE",1080,1,1,2,1,1080,3,13,4,,2,,,,,,,,,1,2,,"N1",1080,1,13,100,5,,150,1,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10030,1,1,"MAIZE",1080,1,2,4,1,1080,12,13,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10030,1,2,"CASSAVA",1020,1,2,4,1,1020,6,162,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10030,2,1,"CASSAVA",1020,1,2,4,1,1020,5,162,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10030,2,2,"YAM",1120,1,2,4,1,1120,2,90,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10030,2,3,"MELON",1090,1,2,4,1,1090,2,11,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10030,3,1,"CASSAVA",1020,1,2,4,1,1020,8,13,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10033,1,1,"CASSAVA",1020,1,2,3,1,1020,2,160,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10033,1,2,"PLANTAIN",2170,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,10057,1,1,"OKORO",2120,1,2,4,1,2120,8,80,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,10057,1,2,"PUMPKIN",2190,1,2,4,1,2193,2,100,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,10057,1,3,"YAM",1120,1,2,4,1,1120,54,80,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,10057,1,4,"PLANTAIN",2170,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,1,1,"CUCUMBA",2060,1,2,3,1,2060,12,101,1,,2,,,,,,,,,1,1,,"N1",2060,2,900,300,5,,8000,1,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10061,1,2,"MAIZE",1080,1,2,3,1,1080,20,13,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,1,3,"CASSAVA",1020,1,2,3,1,1020,70,80,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,1,4,"MELON",1090,1,2,3,1,1090,10,80,1,,2,,,,,,,,,1,1,,"N1",1090,12,13,300,5,,1200,1,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10061,1,5,"TOMATOES",2260,1,2,3,1,2260,4,100,1,,2,,,,,,,,,1,1,,"N1",2260,1,13,300,4,,500,1,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10061,2,1,"PEPPER",2140,1,2,3,1,2140,30,80,1,,2,,,,,,,,,1,1,,"N1",2140,2,13,300,4,,200,1,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10061,2,2,"YAM",1120,1,2,3,1,1120,10,80,1,,2,,,,,,,,,1,1,,"N1",1120,62,80,300,5,,6200,1,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10061,2,3,"OKRO",2120,1,2,3,1,2120,3,13,1,,2,,,,,,,,,1,1,,"N1",2120,3,13,300,4,,150,1,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10061,2,4,"THREE LEAVE YAM",1124,1,2,3,1,1124,25,80,1,,2,,,,,,,,,1,1,,"N1",1124,45,80,300,5,,6750,1,,,,2,,,,,,,,,,,,,
