"zone","state","lga","sector","ea","activity_cd","c3q2c","c3q3","c3q4","c3q5","c3q6","c3q7","c3q8","c3q9","c3q10","c3q11","c3q12","c3q13"
4,1,108,2,904,6,,1,3,1,1100,1,800,1,600,1,17000,50
4,1,108,2,904,7,1120,1,3,1,900,1,900,1,600,1,12000,40
4,1,108,2,904,8,1080,1,3,2,,1,800,1,600,1,10000,20
4,1,108,2,904,9,1040,1,3,2,,1,900,1,600,1,10000,30
4,1,108,2,904,10,1020,1,3,2,,1,850,1,700,1,10000,30
4,1,108,2,904,11,3180,1,3,1,1200,1,1000,1,700,1,20000,100
4,1,108,2,904,12,1110,1,3,1,1100,1,1000,1,700,1,15000,50
4,1,110,2,76,1,,1,3,1,1300,2,,1,800,1,15000,30
4,1,110,2,76,2,1120,1,3,1,1300,1,900,1,800,1,15000,30
4,1,110,2,76,3,1020,1,3,1,1300,1,900,1,800,1,12000,25
4,1,110,2,76,4,,2,,,,,,,,,,
4,1,110,2,76,5,,2,,,,,,,,,,
4,1,110,2,76,6,,2,,,,,,,,,,
4,1,110,2,76,7,1120,1,3,1,1300,2,,2,,1,8000,20
4,1,110,2,76,8,1020,1,3,2,,1,900,1,800,1,8500,20
4,1,110,2,76,9,,2,,,,,,,,,,
4,1,110,2,76,10,,2,,,,,,,,,,
4,1,110,2,76,11,,2,,,,,,,,,,
4,1,110,2,76,12,,2,,,,,,,,,,
4,1,111,1,1146,1,,1,3,1,1500,2,,2,,1,15000,30
4,1,111,1,1146,2,1020,1,3,1,1500,1,1000,2,,1,15000,30
4,1,111,1,1146,3,,2,,,,,,,,,,
4,1,111,1,1146,4,,2,,,,,,,,,,
4,1,111,1,1146,5,,2,,,,,,,,,,
4,1,111,1,1146,6,,1,3,2,,1,1000,2,,1,15000,30
4,1,111,1,1146,7,1020,1,3,2,,1,800,2,,1,12000,30
4,1,111,1,1146,8,,2,,,,,,,,,,
4,1,111,1,1146,9,,2,,,,,,,,,,
4,1,111,1,1146,10,,2,,,,,,,,,,
4,1,111,1,1146,11,,2,,,,,,,,,,
4,1,111,1,1146,12,,2,,,,,,,,,,
4,1,115,1,670,1,,1,3,1,1500,2,,1,800,1,15000,20
4,1,115,1,670,2,1020,1,3,2,,1,1200,1,800,1,12000,20
4,1,115,1,670,3,1120,1,3,2,,1,1200,1,800,1,12000,30
4,1,115,1,670,4,1080,1,3,2,,1,1200,1,800,1,12000,20
4,1,115,1,670,5,,2,,,,,,,,,,
4,1,115,1,670,6,,2,,,,,,,,,,
4,1,115,1,670,7,1090,1,3,2,,1,1000,2,,1,8500,10
4,1,115,1,670,8,,2,,,,,,,,,,
4,1,115,1,670,9,,2,,,,,,,,,,
4,1,115,1,670,10,,2,,,,,,,,,,
4,1,115,1,670,11,,2,,,,,,,,,,
4,1,115,1,670,12,,2,,,,,,,,,,
4,1,117,2,560,1,,1,3,1,2500,2,,1,1200,1,8000,20
4,1,117,2,560,2,1020,1,3,1,2500,1,1300,1,1200,1,8000,20
4,1,117,2,560,3,1120,1,3,1,2500,1,1300,1,1200,1,8000,20
4,1,117,2,560,4,,2,,,,,,,,,,
4,1,117,2,560,5,,2,,,,,,,,,,
4,1,117,2,560,6,,1,3,2,,1,1500,1,1200,1,8500,20
4,1,117,2,560,7,1120,1,3,1,2000,2,,2,,1,6000,15
4,1,117,2,560,8,,2,,,,,,,,,,
4,1,117,2,560,9,,2,,,,,,,,,,
4,1,117,2,560,10,,2,,,,,,,,,,
4,1,117,2,560,11,,2,,,,,,,,,,
4,1,117,2,560,12,,2,,,,,,,,,,
2,2,201,2,60,1,,1,3,1,1500,1,1000,1,1000,1,5000,30
2,2,201,2,60,2,1080,1,3,1,1000,1,1000,1,1000,1,1000,30
2,2,201,2,60,3,1070,1,3,1,1000,1,1000,1,1000,1,1000,30
2,2,201,2,60,4,1110,1,3,1,2000,1,1000,1,1000,1,1000,30
2,2,201,2,60,5,,1,3,1,2000,2,,2,,2,,
2,2,201,2,60,6,,1,3,1,500,1,500,1,500,1,2000,30
2,2,201,2,60,7,1080,1,3,1,1000,1,500,1,500,1,2000,30
2,2,201,2,60,8,1070,1,3,1,1000,1,500,1,500,1,2000,30
2,2,201,2,60,9,1110,1,3,1,1000,1,500,1,500,1,2000,30
2,2,201,2,60,10,,2,,,,,,,,,,
2,2,201,2,60,11,,2,,,,,,,,,,
2,2,201,2,60,12,,2,,,,,,,,,,
2,2,203,2,1224,1,,1,3,1,1000,1,1000,1,100,1,1000,30
2,2,203,2,1224,2,1080,1,3,1,1000,1,1000,1,500,1,1000,30
2,2,203,2,1224,3,1010,1,3,1,1000,1,1000,1,500,1,1000,50
2,2,203,2,1224,4,1070,1,3,1,1000,1,1000,1,500,1,1000,50
2,2,203,2,1224,5,,1,1,1,2500,2,,1,800,1,2500,30
2,2,203,2,1224,6,,1,3,2,,1,2000,1,800,1,2000,50
