"zone","state","lga","sector","ea","csource_cd","c4q5","c4q6","c4q7","c4q8","c4q9","c4q10","c4q11","c4q12","c4q13","c4q14","c4q15","c4q16"
4,1,102,1,536,1,1,1,1,6,10,11000,12,10,55000,10,10,110000
4,1,102,1,536,2,1,2,1,10,5,10500,12,5,52500,12,5,105000
4,1,102,1,536,3,1,1,1,12,5,10500,12,5,52500,12,5,105000
4,1,102,1,536,4,1,1,2,3,30,13000,4,30,65000,6,30,130000
4,1,102,1,1690,1,1,1,1,6,10,11000,12,10,55000,12,10,110000
4,1,102,1,1690,2,1,2,1,12,5,10500,12,5,52500,12,5,105000
4,1,102,1,1690,3,1,2,1,12,5,10500,12,5,52500,12,5,105000
4,1,102,1,1690,4,1,1,1,3,30,13000,3,30,65000,6,30,130000
4,1,104,2,1364,1,2,,,,,,,,,,,
4,1,104,2,1364,2,1,2,1,12,10,11000,12,10,55000,12,10,110000
4,1,104,2,1364,3,1,2,1,12,10,11000,12,10,55000,12,10,110000
4,1,104,2,1364,4,2,,,,,,,,,,,
4,1,105,2,638,1,1,1,1,6,10,11000,12,20,60000,12,20,120000
4,1,105,2,638,2,2,,,,,,,,,,,
4,1,105,2,638,3,1,2,1,6,10,11000,12,10,55000,12,10,110000
4,1,105,2,638,4,1,1,1,6,50,15000,6,50,75000,6,40,140000
4,1,106,2,880,1,2,,,,,,,,,,,
4,1,106,2,880,2,1,1,1,12,10,11000,12,10,55000,12,10,110000
4,1,106,2,880,3,1,1,1,12,10,11000,12,10,55000,12,10,110000
4,1,106,2,880,4,1,1,1,6,50,15000,6,50,75000,6,50,150000
4,1,107,2,1044,1,2,,,,,,,,,,,
4,1,107,2,1044,2,1,1,1,12,10,11000,12,10,55000,12,10,110000
4,1,107,2,1044,3,1,1,1,12,10,11000,12,10,55000,12,10,110000
4,1,107,2,1044,4,1,1,1,3,40,14000,6,40,70000,6,30,140000
4,1,108,2,904,1,2,,,,,,,,,,,
4,1,108,2,904,2,1,1,1,12,10,11000,12,10,55000,12,10,110000
4,1,108,2,904,3,1,1,1,12,10,11000,12,10,55000,12,10,110000
4,1,108,2,904,4,1,1,1,3,40,14000,6,40,70000,6,40,140000
4,1,110,2,76,1,2,,,,,,,,,,,
4,1,110,2,76,2,1,2,1,6,10,11000,12,10,55000,12,10,110000
4,1,110,2,76,3,1,2,1,12,10,11000,12,10,55000,12,10,110000
4,1,110,2,76,4,2,,,,,,,,,,,
4,1,111,1,1146,1,1,1,1,6,20,12000,12,20,60000,12,20,120000
4,1,111,1,1146,2,1,1,1,12,10,11000,12,10,55000,12,10,110000
4,1,111,1,1146,3,1,1,1,12,10,11000,12,10,55000,12,10,110000
4,1,111,1,1146,4,1,1,1,3,30,13000,6,35,67500,6,35,135000
4,1,115,1,670,1,1,1,1,10,22,12200,22,22,61000,12,22,122000
4,1,115,1,670,2,1,2,1,12,10,11000,12,10,55000,12,10,110000
4,1,115,1,670,3,1,2,1,12,5,10500,12,5,52500,12,5,105000
4,1,115,1,670,4,1,1,1,3,30,13000,6,30,65500,4,30,130000
4,1,117,2,560,1,2,,,,,,,,,,,
4,1,117,2,560,2,1,2,1,12,5,10500,12,5,52500,12,5,105000
4,1,117,2,560,3,1,2,1,12,5,10500,12,5,52500,12,5,105000
4,1,117,2,560,4,2,,,,,,,,,,,
2,2,201,2,60,1,2,,,,,,,,,,,
2,2,201,2,60,2,2,,,,,,,,,,,
2,2,201,2,60,3,1,1,1,3,0,10000,3,0,50000,3,0,100000
2,2,201,2,60,4,2,,,,,,,,,,,
2,2,203,2,1224,1,2,,,,,,,,,,,
2,2,203,2,1224,2,2,,,,,,,,,,,
2,2,203,2,1224,3,2,,,,,,,,,,,
2,2,203,2,1224,4,2,,,,,,,,,,,
2,2,205,2,712,1,2,,,,,,,,,,,
2,2,205,2,712,2,2,,,,,,,,,,,
2,2,205,2,712,3,1,2,1,6,0,10000,10,0,50000,12,0,100000
2,2,205,2,712,4,2,,,,,,,,,,,
2,2,207,2,1302,1,2,,,,,,,,,,,
2,2,207,2,1302,2,2,,,,,,,,,,,
2,2,207,2,1302,3,1,2,1,10,0,10000,10,0,50000,12,0,100000
2,2,207,2,1302,4,2,,,,,,,,,,,
2,2,209,2,1040,1,2,,,,,,,,,,,
2,2,209,2,1040,2,2,,,,,,,,,,,
2,2,209,2,1040,3,2,,,,,,,,,,,
2,2,209,2,1040,4,2,,,,,,,,,,,
2,2,210,2,1300,1,2,,,,,,,,,,,
2,2,210,2,1300,2,2,,,,,,,,,,,
2,2,210,2,1300,3,1,2,1,10,0,10000,10,0,50000,10,0,100000
2,2,210,2,1300,4,2,,,,,,,,,,,
2,2,212,2,956,1,2,,,,,,,,,,,
2,2,212,2,956,2,2,,,,,,,,,,,
2,2,212,2,956,3,2,,,,,,,,,,,
2,2,212,2,956,4,2,,,,,,,,,,,
2,2,214,2,898,1,2,,,,,,,,,,,
2,2,214,2,898,2,2,,,,,,,,,,,
