"zone","state","lga","sector","ea","hhid","indiv","s3q1","s3q2","s3q3","s3q4","s3q4b","s3q5","s3q5b","s3q5c","s3q6","s3q6b","s3q6c","s3q7","s3q8","s3q9","s3q9b","s3q10","s3q11","s3q11b","s3q12b1","s3q13a","s3q13b","s3q14","s3q14b","s3q15","s3q15b","s3q15b1","s3q15c","s3q15d","s3q15e","s3q15f","s3q16","s3q17","s3q18","s3q21a","s3q21b","s3q22a","s3q22b","s3q23","s3q24a","s3q24b","s3q25","s3q26a","s3q26b","s3q27","s3q28","s3q28b","s3q28b1","s3q28c","s3q28d","s3q28e","s3q28f","s3q29","s3q30","s3q31","s3q34a","s3q34b","s3q35a","s3q35b","s3q36","s3q37a","s3q37b","s3q38","s3q38a","s3q39_new","s3q39a_new","s3q40_new"
4,1,115,1,670,10005,6,1,2,1,2,,2,,,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,115,1,670,10005,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,0,10006,1,1,1,,1,40,2,,,2,,,1,,,,,,,1,"IMMIGRATION STAFF",3431,13,,1,,2,4,1,1,1,12,52,40,74000,5,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,,1,2,,2,
4,1,115,1,0,10006,2,1,2,1,1,40,2,,,2,,,1,,,,,,,1,"MINISTRY OF ENVIRONMENT(SECRETARY)",3431,13,,2,,2,4,1,1,2,12,52,40,48000,5,2,1,2,,,2,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,115,1,0,10006,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,0,10006,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,0,10006,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10008,1,1,2,6,1,40,2,,,2,,,1,,,,,,,1,"UNIVERSITY LECTURER",2310,11,,1,,2,4,1,1,1,12,34,40,260000,5,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,,1,2,,2,
4,1,115,1,670,10008,2,1,2,6,1,40,2,,,2,,,1,,,,,,,1,"SECONDARY SCH. TEACHER",2320,11,,2,,2,4,1,1,2,12,34,40,67000,5,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,,1,2,,2,
4,1,115,1,670,10008,4,1,2,6,2,,2,,,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,115,1,670,10008,5,1,1,,2,,2,,,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,115,1,670,10008,6,1,1,,2,,2,,,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,115,1,670,10008,7,1,2,6,2,,2,,,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,115,1,670,10008,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,0,10009,1,1,2,2,1,40,2,,,2,,,1,,,,,,,1,"NRCRI (ADMIN)",3431,1,,1,,2,4,1,1,1,12,52,40,136000,5,1,2,2,,,1,"LECTURING IN UNIVERSITY",2310,11,1,,2,4,2,1,2,9,36,40,230000,5,1,2,2,,,1,2,,2,
4,1,105,2,0,10009,2,1,1,,1,40,2,,,2,,,1,,,,,,,1,"NRCRI (CLERK)",4131,1,,1,,2,4,1,1,1,12,52,40,94000,5,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,,1,2,,2,
4,1,105,2,0,10009,3,1,2,2,2,,2,,,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,105,2,0,10009,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,0,10009,6,1,2,2,2,,2,,,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,
4,1,105,2,0,10009,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10010,1,1,2,4,1,40,2,,,2,,,1,,,,,,,1,"UNIVERSITY LECTURER",2310,11,,5,,2,4,2,1,2,12,52,40,85000,5,1,2,1,32000,8,2,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,115,1,670,10010,2,1,2,4,1,40,2,,,2,,,1,,,,,,,1,"UNIVERSITY LECTURER",2310,11,,2,,2,4,1,1,1,12,52,40,140000,5,2,1,1,45000,8,2,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,115,1,670,10010,3,1,2,4,2,,2,,,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,115,1,670,10010,4,1,1,,2,,2,,,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,1364,10011,1,1,1,,1,12,1,3,4,1,6,1,1,,,,,,,1,"SHOP SALES PERSON",5220,13,,2,,2,4,1,2,2,11,4,12,35800,5,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,1364,10011,2,1,1,,2,,1,6,4,2,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,1364,10011,3,1,2,1,2,,1,5,4,2,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,1364,10011,4,1,2,1,2,,1,5,4,2,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,1,3
4,1,104,2,1364,10011,5,1,2,1,2,,1,5,4,2,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,1364,10011,6,1,2,1,2,,1,5,4,2,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,1364,10012,2,1,1,,2,,1,21,3,2,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,4,2,
4,1,104,2,1364,10012,3,1,2,2,1,40,2,,,2,,,1,,,,,,,1,"CIVIL SERVANT (HEALTH STAFF)",3449,13,,3,,2,4,1,1,2,12,52,40,68000,5,3,2,2,,,2,,,,,,,,,,,,,,,,,,,,,2,2,,1,1
4,1,104,2,1364,10012,4,1,2,2,1,40,1,14,3,2,,,1,,,,,,,1,"CIVIL SERVANT (SPORT COUNCIL)",1120,13,,3,,2,4,1,1,2,12,52,40,94000,5,4,5,2,,,2,,,,,,,,,,,,,,,,,,,,,2,1,4,2,
4,1,104,2,1364,10012,5,1,2,2,1,40,2,,,2,,,1,,,,,,,1,"CIVIL SERVANT (ADMIN CLARK)",3449,13,,3,,2,4,1,1,2,12,52,40,47000,5,4,5,2,,,2,,,,,,,,,,,,,,,,,,,,,2,2,,1,1
4,1,104,2,1364,10012,6,1,2,2,2,,2,,,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,1,1
4,1,104,2,1364,10012,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10012,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10013,1,1,1,,2,,1,15,4,1,42,1,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,1364,10013,2,1,2,1,1,40,2,,,2,,,1,,,,,,,1,"(CLERK) MINISTRY OF EDUCATION",4122,11,,3,,2,4,2,1,2,12,52,40,33200,5,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,2,2,,2,
