"zone","state","lga","ea","sector","hhid","sa9aq1"
5,3,323,580,2,30074,2
5,3,323,580,2,30075,2
5,3,323,580,2,30076,2
5,3,323,580,2,30077,2
5,3,318,1136,2,30081,2
5,3,318,1136,2,30084,2
5,3,318,1136,2,30085,2
5,3,318,1136,2,30086,2
5,3,318,1136,2,30087,2
5,3,318,1136,2,30088,2
5,3,318,1136,2,30090,2
5,3,313,70,2,30091,2
5,3,313,70,2,30093,2
5,3,313,70,2,30096,2
5,3,313,70,2,30098,2
5,3,313,70,2,30099,2
5,3,313,70,2,30100,2
5,3,301,1198,1,30104,2
5,3,301,1198,1,30105,2
5,3,301,1198,1,30107,2
5,3,326,74,2,30111,2
5,3,326,74,2,30113,2
5,3,326,74,2,30115,2
5,3,326,74,2,30116,2
5,3,326,74,2,30117,2
5,3,326,74,2,30118,2
5,3,326,74,2,30119,2
5,3,326,74,2,30120,2
5,3,305,1542,2,30121,2
5,3,305,1542,2,30122,2
5,3,305,1542,2,30123,1
5,3,305,1542,2,30124,2
5,3,305,1542,2,30125,2
5,3,305,1542,2,30128,2
5,3,312,20,2,30131,2
5,3,312,20,2,30133,2
5,3,312,20,2,30134,2
5,3,312,20,2,30135,2
5,3,312,20,2,30137,2
5,3,312,20,2,30138,2
5,3,312,20,2,30139,2
5,3,312,20,2,30140,2
5,3,305,4,2,30141,2
5,3,305,4,2,30142,2
5,3,305,4,2,30146,2
5,3,305,4,2,30147,2
5,3,305,4,2,30148,2
5,3,305,4,2,30149,2
4,4,414,2176,1,40033,2
4,4,414,2176,1,40037,2
4,4,415,2108,1,40041,2
4,4,415,2108,1,40042,2
4,4,415,2108,1,40043,2
4,4,415,0,1,40044,2
4,4,415,2108,1,40045,2
4,4,415,2108,1,40046,2
4,4,415,2108,1,40047,2
4,4,415,2108,1,40049,2
4,4,413,1540,2,40052,2
4,4,413,1540,2,40054,2
4,4,413,1540,2,40055,2
4,4,413,1540,2,40056,2
4,4,413,1540,2,40058,2
4,4,413,1540,2,40060,2
4,4,405,722,2,40062,2
