"zone","state","lga","sector","ea","hhid","plotid","s11b1q1","s11b1q2","s11b1q3","s11b1q4","s11b1q5","s11b1q6a","s11b1q6b","s11b1q7","s11b1q8","s11b1q8b","s11b1q8a","s11b1q8b1","s11b1q8b2","s11b1q8b3","s11b1q9","s11b1q9_os","s11b1q9a","s11b1q10a","s11b1q10b","s11b1q10c","s11b1q10d","s11b1q11","s11b1q12a","s11b1q12b","s11b1q12c","s11b1q12d","s11b1q13","s11b1q14","s11b1q15","s11b1q16a1","s11b1q16a2","s11b1q16b1","s11b1q16b2","s11b1q17","s11b1q18","s11b1q19","s11b1q19a","s11b1q20","s11b1q21","s11b1q22a","s11b1q22b","s11b1q22c","s11b1q23a","s11b1q23b","s11b1q23c","s11b1q23d","s11b1q24","s11b1q25a","s11b1q25b","s11b1q26","s11b1q27","s11b1q28","s11b1q28a","s11b1q29","s11b1q30a","s11b1q30b","s11b1q31","s11b1q32","s11b1q33","s11b1q34","s11b1q35","s11b1q39","s11b1q40","s11b1q41a","s11b1q41b","s11b1q42","s11b1q43","s11b1q43b","s11b1q44","s11b1q44_os","s11b1q45","s11b1q46","s11b1q47","s11b1q48","s11b1q49","s11b1q50a","s11b1q50a_os","s11b1q50b","s11b1q51"
4,1,106,2,880,10023,1,1,,1989,5,,1,,2,,,,,,,3,"NOT NECESSARY",1,8,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,5,,,1,54,,400000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,106,2,880,10023,2,1,,1989,5,,1,,2,,,,,,,3,"NOT NECESSARY",1,8,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,5,,,1,54,,350000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,106,2,880,10023,3,1,,1989,5,,1,,2,,,,,,,3,"NOT NECESSARY",1,8,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,5,,,1,54,,200000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,106,2,880,10024,1,2,1,1980,5,,2,,2,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,2,2,2,1,1,,,"N1",,,,2,54,,200000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,106,2,880,10024,2,2,1,1980,5,,2,,2,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,2,2,2,1,1,,,"N1",,,,2,54,,250000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,106,2,880,10025,1,1,,2005,5,,1,,2,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,5,,,2,54,,200000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,106,2,880,10025,2,1,,2005,5,,1,,2,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,5,,,2,54,,150000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,106,2,880,10025,3,1,,2005,5,,1,,2,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,5,,,2,54,,100000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,106,2,880,10027,1,1,,2003,5,,1,,2,,,,,,,1,,1,8,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,2,,,1,54,,500000,1,,,,,,,,,,,2,,,,,,,4,,1,1,2,,,,,,
4,1,106,2,880,10027,2,1,,2003,5,,1,,2,,,,,,,1,,1,8,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,2,,,1,54,,500000,1,,,,,,,,,,,2,,,,,,,4,,1,1,2,,,,,,
4,1,106,2,880,10027,3,1,,2003,5,,1,,2,,,,,,,1,,1,8,,,,2,,,,,,,,,,,,,,1,1,,2,,,,,2,,,1,54,,150000,1,,,,,,,,,,,2,,,,,,,4,,1,1,2,,,,,,
4,1,106,2,880,10029,1,1,,2007,5,,1,,1,4,"SHARING DOCUMENT",2500,1,,,,,1,3,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,3,,,1,54,,450000,1,,,,,,,,,,,2,,,,,,,4,,1,1,2,,,,,,
4,1,106,2,880,10029,2,1,,2007,5,,1,,1,4,"SHARING DOCUMENT",2500,1,,,,,1,3,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,2,,,1,54,,600000,1,,,,,,,,,,,2,,,,,,,4,,1,1,2,,,,,,
4,1,106,2,880,10030,1,1,,2005,5,,1,,2,,,,,,,2,,2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,4,,,1,54,,85000,1,,,,,,,,,,,2,,,,,,,4,,1,1,2,,,,,,
4,1,106,2,880,10030,2,1,,2005,5,,1,,2,,,,,,,2,,2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,4,,,1,54,,100000,1,,,,,,,,,,,2,,,,,,,4,,1,1,2,,,,,,
4,1,106,2,880,10030,3,1,,2015,2,,,,,,,,,,,,,,,,,,,,,,,4000,4000,"N1",1,,1,,2,1,,,,,,,,,,,,,,,50000,1,,,,,,,,,,,2,,,,,,,4,,1,1,2,,,,,,
4,1,111,1,1146,10033,1,1,,1979,5,,1,2,2,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,2,,,1,54,,1000000,1,,,,,,,,,,,2,,,,,,,4,,1,1,2,,,,,,
4,1,102,1,1690,10057,1,1,,,1,9999,1,,1,2,,42000,1,,,,,2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,2,,,1,1,,2000000,1,,,,,,,,,,,2,,,,,,,4,,1,1,2,,,,,,
4,1,107,2,1044,10061,1,1,,2007,5,,1,,2,,,,,,,3,"NOT IN DISPUT",2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,2,,,1,1,,100000,1,,,,,,,,,,,2,,,,,,,4,,1,1,2,,,,,,
4,1,107,2,1044,10061,2,1,,2007,5,,1,,2,,,,,,,3,"NOT IN DISPUT",2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,2,,,1,1,,140000,1,,,,,,,,,,,2,,,,,,,4,,1,1,2,,,,,,
4,1,107,2,1044,10062,1,2,2,,5,,1,,2,,,,,,,3,"NOT IN DISPUT",2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,3,,,1,1,,850000,1,,,,,,,,,,,2,,,,,,,4,,1,1,2,,,,,,
4,1,107,2,1044,10062,2,2,2,,5,,1,,2,,,,,,,3,"NOT IN DISPUT",2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,2,,,1,1,,645000,1,,,,,,,,,,,2,,,,,,,4,,1,1,2,,,,,,
