"zone","state","lga","sector","ea","group_cd","c3q1","c3q2","c3q3","c3q3b","c3q4","c3q5","c3q6"
4,1,111,1,1146,312,2,,,,,,
4,1,111,1,1146,313,2,,,,,,
4,1,111,1,1146,314,2,,,,,,
4,1,111,1,1146,315,2,,,,,,
4,1,115,1,670,301,2,,,,,,
4,1,115,1,670,302,2,,,,,,
4,1,115,1,670,303,2,,,,,,
4,1,115,1,670,304,2,,,,,,
4,1,115,1,670,305,2,,,,,,
4,1,115,1,670,306,2,,,,,,
4,1,115,1,670,307,2,,,,,,
4,1,115,1,670,308,2,,,,,,
4,1,115,1,670,309,2,,,,,,
4,1,115,1,670,310,2,,,,,,
4,1,115,1,670,311,1,5,6,"When necessary",110,27,15
4,1,115,1,670,312,2,,,,,,
4,1,115,1,670,313,2,,,,,,
4,1,115,1,670,314,2,,,,,,
4,1,115,1,670,315,2,,,,,,
4,1,117,2,560,301,1,1,6,"when necessary",5,1,0
4,1,117,2,560,302,2,,,,,,
4,1,117,2,560,303,2,,,,,,
4,1,117,2,560,304,2,,,,,,
4,1,117,2,560,305,1,3,2,,60,60,18
4,1,117,2,560,306,1,1,2,,200,120,110
4,1,117,2,560,307,1,3,6,"when necessary",550,320,350
4,1,117,2,560,308,1,2,6,"any time needed",95,0,35
4,1,117,2,560,309,1,1,6,"when needed",5,2,0
4,1,117,2,560,310,2,,,,,,
4,1,117,2,560,311,2,,,,,,
4,1,117,2,560,312,2,,,,,,
4,1,117,2,560,313,1,1,6,"daily",5,0,0
4,1,117,2,560,314,2,,,,,,
4,1,117,2,560,315,2,,,,,,
2,2,201,2,60,301,2,,,,,,
2,2,201,2,60,302,2,,,,,,
2,2,201,2,60,303,2,,,,,,
2,2,201,2,60,304,2,,,,,,
2,2,201,2,60,305,1,1,2,,43,43,6
2,2,201,2,60,306,2,,,,,,
2,2,201,2,60,307,1,2,2,,87,21,31
2,2,201,2,60,308,1,1,2,,20,1,3
2,2,201,2,60,309,2,,,,,,
2,2,201,2,60,310,2,,,,,,
2,2,201,2,60,311,1,1,3,,120,12,0
2,2,201,2,60,312,2,,,,,,
2,2,201,2,60,313,2,,,,,,
2,2,201,2,60,314,2,,,,,,
2,2,201,2,60,315,2,,,,,,
2,2,203,2,1224,301,1,2,3,,30,7,13
2,2,203,2,1224,302,2,,,,,,
2,2,203,2,1224,303,2,,,,,,
2,2,203,2,1224,304,1,1,2,,16,0,0
2,2,203,2,1224,305,1,2,2,,20,20,4
2,2,203,2,1224,306,1,1,2,,40,0,12
2,2,203,2,1224,307,1,2,2,,27,5,15
2,2,203,2,1224,308,2,,,,,,
2,2,203,2,1224,309,2,,,,,,
2,2,203,2,1224,310,2,,,,,,
2,2,203,2,1224,311,1,120,3,,120,8,0
2,2,203,2,1224,312,2,,,,,,
2,2,203,2,1224,313,1,1,1,,10,0,2
2,2,203,2,1224,314,2,,,,,,
2,2,203,2,1224,315,2,,,,,,
2,2,205,2,712,301,1,1,3,,50,5,8
2,2,205,2,712,302,2,,,,,,
2,2,205,2,712,303,1,1,2,,15,15,2
2,2,205,2,712,304,2,,,,,,
2,2,205,2,712,305,1,1,2,,20,20,5
2,2,205,2,712,306,2,,,,,,
2,2,205,2,712,307,1,2,3,,30,8,7
2,2,205,2,712,308,2,,,,,,
2,2,205,2,712,309,2,,,,,,
2,2,205,2,712,310,2,,,,,,
2,2,205,2,712,311,1,2,4,,400,21,6
2,2,205,2,712,312,2,,,,,,
2,2,205,2,712,313,1,1,2,,15,0,4
2,2,205,2,712,314,2,,,,,,
2,2,205,2,712,315,2,,,,,,
2,2,207,2,1302,301,1,2,3,,250,150,32
2,2,207,2,1302,302,2,,,,,,
2,2,207,2,1302,303,2,,,,,,
2,2,207,2,1302,304,2,,,,,,
2,2,207,2,1302,305,1,1,2,,200,200,70
2,2,207,2,1302,306,1,1,3,,500,170,110
2,2,207,2,1302,307,1,1,3,,130,33,24
2,2,207,2,1302,308,2,,,,,,
2,2,207,2,1302,309,1,1,3,,300,170,14
2,2,207,2,1302,310,1,1,3,,350,17,0
2,2,207,2,1302,311,1,2,3,,500,30,0
2,2,207,2,1302,312,2,,,,,,
2,2,207,2,1302,313,1,1,2,,40,0,5
2,2,207,2,1302,314,2,,,,,,
2,2,207,2,1302,315,2,,,,,,
2,2,209,2,1040,301,1,1,2,,15,3,2
2,2,209,2,1040,302,2,,,,,,
2,2,209,2,1040,303,2,,,,,,
2,2,209,2,1040,304,2,,,,,,
2,2,209,2,1040,305,1,1,2,,30,30,5
2,2,209,2,1040,306,1,1,2,,40,10,30
2,2,209,2,1040,307,1,1,2,,30,6,4
2,2,209,2,1040,308,1,1,3,,20,12,0
2,2,209,2,1040,309,2,,,,,,
2,2,209,2,1040,310,2,,,,,,
2,2,209,2,1040,311,1,1,3,,150,17,7
2,2,209,2,1040,312,2,,,,,,
2,2,209,2,1040,313,1,1,1,,7,0,0
2,2,209,2,1040,314,2,,,,,,
2,2,209,2,1040,315,2,,,,,,
2,2,210,2,1300,301,2,,,,,,
2,2,210,2,1300,302,2,,,,,,
2,2,210,2,1300,303,2,,,,,,
2,2,210,2,1300,304,2,,,,,,
2,2,210,2,1300,305,1,1,2,,25,0,8
2,2,210,2,1300,306,1,1,2,,74,0,37
2,2,210,2,1300,307,1,2,2,,35,12,14
2,2,210,2,1300,308,2,,,,,,
2,2,210,2,1300,309,1,1,3,,7,2,0
2,2,210,2,1300,310,2,,,,,,
2,2,210,2,1300,311,1,2,3,,400,13,0
2,2,210,2,1300,312,2,,,,,,
2,2,210,2,1300,313,1,1,1,,18,0,7
2,2,210,2,1300,314,2,,,,,,
2,2,210,2,1300,315,2,,,,,,
2,2,212,2,956,301,2,,,,,,
2,2,212,2,956,302,2,,,,,,
2,2,212,2,956,303,2,,,,,,
2,2,212,2,956,304,2,,,,,,
2,2,212,2,956,305,2,,,,,,
2,2,212,2,956,306,2,,,,,,
2,2,212,2,956,307,2,,,,,,
2,2,212,2,956,308,2,,,,,,
2,2,212,2,956,309,2,,,,,,
2,2,212,2,956,310,2,,,,,,
2,2,212,2,956,311,2,,,,,,
2,2,212,2,956,312,2,,,,,,
2,2,212,2,956,313,2,,,,,,
2,2,212,2,956,314,2,,,,,,
2,2,212,2,956,315,2,,,,,,
2,2,214,2,898,301,2,,,,,,
2,2,214,2,898,302,2,,,,,,
