"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","s11fc5","s11fq1a","s11fq1b","s11fq2","s11fq3a","s11fq3b","s11fq4a","s11fq4b","s11fq5","s11fq6","s11fq7","s11fq8a","s11fq8b","s11fq8c","s11fq8d","s11fq9","s11fq10","s11fq10_os","s11fq11a","s11fq11b","s11fq11b_os","s11fq12a","s11fq12b","s11fq12b_os","s11fq13","s11fq14a","s11fq14b","s11fq14c","s11fq14c_os","s11fq15"
4,1,104,2,1364,10019,2,3,,2170,2,,,,,,40,1,40,,0,4,2015,6,2015,2,,,15,161,,18,161,,1,,10,161,,21000
4,1,106,2,880,10021,1,1,,1080,1,260,3,4,4,2015,,,,,,,,,,,,,,,,27,72,,1,,20,72,,47000
4,1,106,2,880,10021,1,2,,1020,1,25,3,4,4,2015,,,,,,,,,,,,,,,,13,91,,1,,6,91,,7000
4,1,106,2,880,10021,2,1,,1020,1,100,1,4,4,2015,,,,,,,,,,,,,,,,10,91,,1,,5,91,,5000
4,1,106,2,880,10021,2,2,,1120,1,50,3,4,3,2015,,,,,,,,,,,,,,,,5,141,,1,,2,141,,4500
4,1,106,2,880,10021,3,1,,1020,1,100,3,4,3,2015,,,,,,,,,,,,,,,,10,91,,1,,5,91,,5000
4,1,106,2,880,10021,3,2,,2190,1,50,1,4,3,2015,,,,,,,,,,,,,,,,5,161,,1,,2,161,,1500
4,1,106,2,880,10021,4,1,,1020,1,200,3,4,4,2015,,,,,,,,,,,,,,,,5,91,,1,,2,91,,2500
4,1,106,2,880,10022,1,1,,1080,1,120,3,4,4,2015,,,,,,,,,,,,,,,,10,131,,1,60,,,,24000
4,1,106,2,880,10022,1,2,,2190,1,53,1,4,4,2015,,,,,,,,,,,,,,,,86,161,,1,80,,,,1600
4,1,106,2,880,10022,1,3,,2140,1,20,1,4,4,2015,,,,,,,,,,,,,,,,8,140,,1,70,,,,3500
4,1,106,2,880,10022,1,4,,1020,1,227,1,4,4,2015,,,,,,,,,,,,,,,,12,131,,1,80,,,,60000
