"zone","state","lga","sector","ea","item_cd","c2q1","c2q2","c2q2b","c2q3"
4,1,106,2,880,61,1,10,,200
4,1,106,2,880,63,1,81,,50
4,1,106,2,880,64,1,81,,200
4,1,106,2,880,67,1,81,,50
4,1,106,2,880,68,1,81,,250
4,1,106,2,880,69,1,80,,50
4,1,106,2,880,70,1,90,,100
4,1,106,2,880,71,1,40,,40
4,1,106,2,880,72,1,81,,20
4,1,106,2,880,73,1,90,,50
4,1,106,2,880,74,1,90,,50
4,1,106,2,880,76,1,90,,50
4,1,106,2,880,77,1,13,,70
4,1,106,2,880,80,1,1,,800
4,1,106,2,880,83,1,81,,30
4,1,106,2,880,84,1,81,,20
4,1,106,2,880,90,1,1,,1000
4,1,106,2,880,92,1,1,,1200
4,1,106,2,880,93,1,1,,1200
4,1,106,2,880,101,1,81,,400
4,1,106,2,880,102,1,81,,450
4,1,106,2,880,103,1,81,,500
4,1,106,2,880,104,1,90,,50
4,1,106,2,880,106,1,900,"tin",100
4,1,106,2,880,111,1,14,,800
4,1,106,2,880,112,1,120,,1500
4,1,106,2,880,113,1,900,"Tin",150
4,1,106,2,880,120,1,120,,50
4,1,106,2,880,121,1,120,,750
4,1,106,2,880,122,1,120,,150
4,1,106,2,880,130,1,120,,150
4,1,106,2,880,132,1,900,"75cl bottle",1200
4,1,106,2,880,133,1,900,"one small piece",10
4,1,106,2,880,140,1,900,"one wrap",10
4,1,106,2,880,141,1,120,,50
4,1,106,2,880,142,1,13,,400
4,1,106,2,880,145,1,13,,120
4,1,106,2,880,146,1,13,,60
4,1,106,2,880,150,1,4,,80
4,1,106,2,880,151,1,4,,10
4,1,106,2,880,152,1,4,,100
4,1,106,2,880,153,1,4,,60
4,1,106,2,880,154,1,3,,300
4,1,106,2,880,160,1,900,"75cl bottle",250
4,1,106,2,880,161,1,900,"75cl bottle",50
4,1,106,2,880,163,1,900,"75cl bottlr",450
4,1,106,2,880,601,1,90,,100
4,1,107,2,1044,13,1,13,,40
4,1,107,2,1044,14,1,13,,60
4,1,107,2,1044,19,1,900,"one small bag",250
4,1,107,2,1044,20,1,70,,200
4,1,107,2,1044,22,1,13,,25
4,1,107,2,1044,25,1,80,,100
4,1,107,2,1044,26,1,80,,50
4,1,107,2,1044,27,1,80,,20
4,1,107,2,1044,28,1,120,,10
4,1,107,2,1044,29,1,80,,50
4,1,107,2,1044,30,1,91,,1200
4,1,107,2,1044,31,1,81,,300
4,1,107,2,1044,32,1,11,,250
4,1,107,2,1044,33,1,11,,250
4,1,107,2,1044,34,1,90,,200
4,1,107,2,1044,35,1,111,,1000
4,1,107,2,1044,36,1,91,,500
4,1,107,2,1044,37,1,91,,300
4,1,107,2,1044,38,1,90,,200
4,1,107,2,1044,40,1,13,,40
