"zone","state","lga","sector","ea","hhid","network_cd","sa10q2","sa10q2b","sa10q3"
2,2,221,2,18,20020,"N01",9,,2
2,2,201,2,60,20022,"N01",9,,1
2,2,201,2,60,20022,"N02",1,,1
2,2,201,2,60,20024,"N01",9,,1
2,2,201,2,60,20024,"N02",10,,2
2,2,201,2,60,20025,"N01",9,,3
2,2,201,2,60,20025,"N02",2,,1
2,2,201,2,60,20025,"N03",10,,2
2,2,201,2,60,20027,"N01",10,,2
2,2,201,2,60,20027,"N02",10,,2
2,2,201,2,60,20028,"N01",9,,1
2,2,201,2,60,20028,"N02",9,,1
2,2,201,2,60,20029,"N01",9,,1
2,2,201,2,60,20030,"N01",10,,3
2,2,201,2,60,20030,"N02",10,,3
2,2,216,2,200,20031,"N01",10,,2
2,2,216,2,200,20032,"N01",10,,2
2,2,216,2,200,20032,"N02",2,,1
2,2,216,2,200,20033,"N01",13,,2
2,2,216,2,200,20034,"N01",2,,1
2,2,216,2,200,20034,"N02",2,,1
2,2,216,2,200,20034,"N03",2,,1
2,2,216,2,200,20034,"N04",9,,2
2,2,216,2,200,20036,"N01",9,,2
2,2,216,2,200,20036,"N02",15,,1
2,2,216,2,200,20037,"N01",1,,2
2,2,216,2,200,20037,"N02",10,,3
2,2,216,2,200,20038,"N01",1,,1
2,2,216,2,200,20040,"N01",10,,2
2,2,216,2,200,20040,"N02",2,,2
2,2,216,2,200,20040,"N03",10,,2
2,2,203,2,1224,20041,"N01",1,,1
2,2,203,2,1224,20041,"N02",1,,1
2,2,203,2,1224,20041,"N03",1,,1
2,2,203,2,1224,20041,"N04",1,,1
2,2,203,2,1224,20041,"N05",9,,2
2,2,203,2,1224,20041,"N06",11,,1
2,2,203,2,1224,20042,"N01",10,,2
2,2,203,2,1224,20042,"N02",10,,2
2,2,203,2,1224,20042,"N03",10,,4
2,2,203,2,1224,20043,"N01",10,,2
2,2,203,2,1224,20043,"N02",10,,2
2,2,203,2,1224,20044,"N01",10,,3
2,2,203,2,1224,20044,"N02",10,,3
2,2,203,2,1224,20046,"N01",10,,2
2,2,203,2,1224,20046,"N02",10,,2
2,2,203,2,1224,20047,"N01",10,,2
2,2,203,2,1224,20047,"N02",10,,2
2,2,203,2,1224,20048,"N01",9,,2
2,2,203,2,1224,20049,"N01",12,,5
2,2,203,2,1224,20049,"N02",13,,5
2,2,203,2,1224,20049,"N03",6,,2
2,2,203,2,1224,20049,"N04",13,,3
2,2,203,2,1224,20050,"N01",12,,3
2,2,212,2,956,20051,"N01",2,,2
2,2,212,2,956,20051,"N02",2,,2
2,2,212,2,956,20052,"N01",10,,2
2,2,212,2,956,20052,"N02",10,,2
2,2,212,2,956,20053,"N01",13,,3
2,2,212,2,956,20053,"N02",15,,2
2,2,212,2,956,20053,"N03",12,,3
2,2,212,2,956,20054,"N01",9,,2
2,2,212,2,956,20054,"N02",9,,2
2,2,212,2,956,20055,"N01",10,,2
2,2,212,2,956,20055,"N02",31,"OWNED",1
2,2,212,2,956,20055,"N03",9,,2
2,2,212,2,956,20056,"N01",10,,2
2,2,212,2,956,20056,"N02",2,,2
2,2,212,2,956,20057,"N01",13,,3
2,2,212,2,956,20057,"N02",12,,5
2,2,212,2,956,20059,"N01",9,,2
2,2,212,2,956,20059,"N02",2,,1
2,2,212,2,956,20060,"N01",10,,2
2,2,212,2,956,20060,"N02",1,,1
2,2,212,2,956,20060,"N03",10,,2
2,2,212,2,956,20060,"N04",12,,3
2,2,210,2,1300,20061,"N01",2,,1
2,2,210,2,1300,20061,"N02",10,,2
2,2,210,2,1300,20062,"N01",10,,2
2,2,210,2,1300,20063,"N01",10,,2
2,2,210,2,1300,20063,"N02",10,,2
2,2,210,2,1300,20063,"N03",13,,3
2,2,210,2,1300,20064,"N01",1,,1
