"hhid","zone","state","lga","ea","hhstatus_w1v1","hhstatus_w1v2","hhstatus_w2v1","hhstatus_w2v2","hhstatus_w3v1","hhstatus_w3v2","tracking_w1v2","tracking_w2v1","tracking_w2v2","tracking_w3v1","tracking_w3v2","moved_w2v1","moved_w2v2","moved_w3v1","moved_w3v2","wt_w1v1","wt_w1v2","wt_w2v1","wt_w2v2","wt_w3v1","wt_w3v2","wt_wave1","wt_wave2","wt_wave3","wt_combined","wt_w1_w3","wt_w2_w3","wt_w1_w2_w3"
10030,4,1,106,880,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3172.97516969301,3172.97516969301,3172.97516969301,3172.97516969301,3525.52796632556,3525.52796632556,3172.97516969301,3172.97516969301,3525.52796632556,3172.97516969301,3525.52796632556,3525.52796632556,3525.52796632556
10031,4,1,111,1146,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152
10032,4,1,111,1146,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152
10033,4,1,111,1146,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152
10034,4,1,111,1146,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152
10035,4,1,111,1146,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152
10036,4,1,111,1146,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152
10037,4,1,111,1146,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152
10038,4,1,111,1146,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152
10039,4,1,111,1146,1,1,1,5,1,1,0,0,1,0,0,0,1,1,1,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152
10040,4,1,111,1146,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152,8385.72009133152
10041,4,1,102,536,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002
10042,4,1,102,536,1,1,1,1,5,1,0,0,0,1,0,0,0,1,1,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002
10043,4,1,102,536,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002
10044,4,1,102,536,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002
10045,4,1,102,536,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002
10046,4,1,102,536,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002
10047,4,1,102,536,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002
10048,4,1,102,536,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002
10049,4,1,102,536,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002
10050,4,1,102,536,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002,9065.64334198002
10051,4,1,102,1690,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801
10052,4,1,102,1690,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801
10053,4,1,102,1690,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801
10054,4,1,102,1690,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801
10055,4,1,102,1690,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801
10056,4,1,102,1690,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801
10057,4,1,102,1690,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801
10058,4,1,102,1690,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801
10059,4,1,102,1690,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801
10060,4,1,102,1690,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801,5439.38600518801
10061,4,1,107,1044,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951
10062,4,1,107,1044,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951
10063,4,1,107,1044,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951
10064,4,1,107,1044,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951
10065,4,1,107,1044,1,1,1,1,5,1,0,0,0,1,0,0,0,1,1,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951
10066,4,1,107,1044,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951
10067,4,1,107,1044,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951
10068,4,1,107,1044,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951
10069,4,1,107,1044,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951
10070,4,1,107,1044,1,1,1,1,5,1,0,0,0,1,0,0,0,1,1,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951,4759.46275453951
10071,4,1,117,560,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701
10072,4,1,117,560,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701
10073,4,1,117,560,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701
10074,4,1,117,560,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701
10075,4,1,117,560,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701
10076,4,1,117,560,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701
10077,4,1,117,560,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701
10078,4,1,117,560,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701
10079,4,1,117,560,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701
10080,4,1,117,560,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701,5892.66817228701
10081,4,1,110,76,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7479.15575713352,7479.15575713352,8310.17306348168,8310.17306348169,8310.17306348168,8310.17306348168,7479.15575713352,8310.17306348169,8310.17306348168,8310.17306348169,8310.17306348168,8310.17306348168,8310.17306348168
10082,4,1,110,76,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7479.15575713352,7479.15575713352,8310.17306348168,8310.17306348169,8310.17306348168,8310.17306348168,7479.15575713352,8310.17306348169,8310.17306348168,8310.17306348169,8310.17306348168,8310.17306348168,8310.17306348168
10083,4,1,110,76,1,1,5,5,1,1,0,1,1,0,0,1,1,1,1,7479.15575713352,7479.15575713352,8310.17306348168,8310.17306348169,8310.17306348168,8310.17306348168,7479.15575713352,8310.17306348169,8310.17306348168,8310.17306348169,8310.17306348168,8310.17306348168,8310.17306348168
10084,4,1,110,76,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7479.15575713352,7479.15575713352,8310.17306348168,8310.17306348169,8310.17306348168,8310.17306348168,7479.15575713352,8310.17306348169,8310.17306348168,8310.17306348169,8310.17306348168,8310.17306348168,8310.17306348168
10085,4,1,110,76,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7479.15575713352,7479.15575713352,8310.17306348168,8310.17306348169,8310.17306348168,8310.17306348168,7479.15575713352,8310.17306348169,8310.17306348168,8310.17306348169,8310.17306348168,8310.17306348168,8310.17306348168
10086,4,1,110,76,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7479.15575713352,7479.15575713352,8310.17306348168,8310.17306348169,8310.17306348168,8310.17306348168,7479.15575713352,8310.17306348169,8310.17306348168,8310.17306348169,8310.17306348168,8310.17306348168,8310.17306348168
10087,4,1,110,76,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7479.15575713352,7479.15575713352,8310.17306348168,8310.17306348169,8310.17306348168,8310.17306348168,7479.15575713352,8310.17306348169,8310.17306348168,8310.17306348169,8310.17306348168,8310.17306348168,8310.17306348168
10088,4,1,110,76,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7479.15575713352,7479.15575713352,8310.17306348168,8310.17306348169,8310.17306348168,8310.17306348168,7479.15575713352,8310.17306348169,8310.17306348168,8310.17306348169,8310.17306348168,8310.17306348168,8310.17306348168
10089,4,1,110,76,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7479.15575713352,7479.15575713352,8310.17306348168,8310.17306348169,8310.17306348168,8310.17306348168,7479.15575713352,8310.17306348169,8310.17306348168,8310.17306348169,8310.17306348168,8310.17306348168,8310.17306348168
10090,4,1,110,76,1,1,91,91,4,4,0,,,0,0,,,,,7479.15575713352,7479.15575713352,,,,,7479.15575713352,,,,,,
10091,4,1,105,638,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4532.82167099001,4532.82167099001,5666.02708873751,5666.02708873751,5036.46852332223,5036.46852332223,4532.82167099001,5666.02708873751,5036.46852332223,5666.02708873751,5036.46852332223,5666.02708873751,5666.02708873751
10092,4,1,105,638,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4532.82167099001,4532.82167099001,5666.02708873751,5666.02708873751,5036.46852332223,5036.46852332223,4532.82167099001,5666.02708873751,5036.46852332223,5666.02708873751,5036.46852332223,5666.02708873751,5666.02708873751
10093,4,1,105,638,1,1,3,3,5,1,0,,,1,0,,,1,1,4532.82167099001,4532.82167099001,,,5036.46852332223,5036.46852332223,4532.82167099001,,5036.46852332223,,5036.46852332223,,
10094,4,1,105,638,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4532.82167099001,4532.82167099001,5666.02708873751,5666.02708873751,5036.46852332223,5036.46852332223,4532.82167099001,5666.02708873751,5036.46852332223,5666.02708873751,5036.46852332223,5666.02708873751,5666.02708873751
10095,4,1,105,638,1,1,91,3,3,3,0,,,0,0,,,,,4532.82167099001,4532.82167099001,,,,,4532.82167099001,,,,,,
