"zone","state","lga","sector","ea","hhid","indiv","s3dq1a","s3dq1b","s3dq1c","s3dq1d","s3dq1e","s3dq1f","s3dq1g","s3dq1h","s3dq1i","s3dq1j","s3dq1k","s3dq1l","s3dq1m","s3dq1n","s3dq1o","s3dq1p","s3dq1q","s3dq1r","s3dq2a","s3dq2b","s3dq3a","s3dq3b","s3dq4","s3dq5","s3dq6","s3dq6b","s3dq7","s3dq8a","s3dq8b","s3dq9a","s3dq9b","s3dq10","s3dq11","s3dq12","s3dq12b","tracked_obs"
4,1,107,2,1044,10065,5,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10065,6,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10069,1,1,14,14,1,14,14,1,14,14,1,14,14,1,14,14,1,14,14,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10069,2,1,14,14,1,14,14,1,14,14,1,14,14,1,14,14,1,14,14,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10069,3,1,14,14,1,14,14,1,14,14,1,14,14,1,14,14,1,14,14,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10069,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10069,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10069,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10069,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10069,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10069,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10069,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,117,2,560,10072,1,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,"CYCLIST",8321,"TRANSORTATION",49,6,18,9,,1,"PALM WINE TAPER",8279,"AGRICULTURE",1,6,21,9,,0
4,1,117,2,560,10072,2,8,8,,8,8,,8,8,,8,8,,8,8,,8,8,,"PROVISION STORE",3416,"BUYING & SELLING",47,4,3,9,,2,,,,,,,,,0
4,1,117,2,560,10072,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,117,2,560,10072,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,117,2,560,10072,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,117,2,560,10072,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,117,2,560,10072,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
