"zone","state","lga","sector","ea","hhid","item_cd","item_desc","s8q9","s8q10","s8q11","tracked_obs"
4,1,102,1,536,10048,518,"Woodpoles, bamboo",2,,,0
4,1,102,1,536,10048,519,"Grass for thatching roof or ot",2,,,0
4,1,102,1,536,10049,518,"Woodpoles, bamboo",2,,,0
4,1,102,1,536,10049,519,"Grass for thatching roof or ot",2,,,0
4,1,102,1,536,10050,518,"Woodpoles, bamboo",2,,,0
4,1,102,1,536,10050,519,"Grass for thatching roof or ot",2,,,0
4,1,102,1,1690,10051,518,"Woodpoles, bamboo",2,,,0
4,1,102,1,1690,10051,519,"Grass for thatching roof or ot",2,,,0
4,1,102,1,1690,10052,518,"Woodpoles, bamboo",2,,,0
4,1,102,1,1690,10052,519,"Grass for thatching roof or ot",2,,,0
4,1,102,1,1690,10053,518,"Woodpoles, bamboo",2,,,0
4,1,102,1,1690,10053,519,"Grass for thatching roof or ot",2,,,0
4,1,102,1,1690,10054,518,"Woodpoles, bamboo",2,,,0
4,1,102,1,1690,10054,519,"Grass for thatching roof or ot",2,,,0
4,1,102,1,1690,10055,518,"Woodpoles, bamboo",2,,,0
4,1,102,1,1690,10055,519,"Grass for thatching roof or ot",2,,,0
4,1,102,1,1690,10056,518,"Woodpoles, bamboo",2,,,0
4,1,102,1,1690,10056,519,"Grass for thatching roof or ot",2,,,0
4,1,102,1,1690,10057,518,"Woodpoles, bamboo",2,,,0
4,1,102,1,1690,10057,519,"Grass for thatching roof or ot",2,,,0
4,1,102,1,1690,10058,518,"Woodpoles, bamboo",2,,,0
4,1,102,1,1690,10058,519,"Grass for thatching roof or ot",2,,,0
4,1,102,1,1690,10059,518,"Woodpoles, bamboo",2,,,0
4,1,102,1,1690,10059,519,"Grass for thatching roof or ot",2,,,0
4,1,102,1,1690,10060,518,"Woodpoles, bamboo",2,,,0
4,1,102,1,1690,10060,519,"Grass for thatching roof or ot",2,,,0
4,1,107,2,1044,10061,518,"Woodpoles, bamboo",2,,,0
4,1,107,2,1044,10061,519,"Grass for thatching roof or ot",2,,,0
4,1,107,2,1044,10062,518,"Woodpoles, bamboo",2,,,0
4,1,107,2,1044,10062,519,"Grass for thatching roof or ot",2,,,0
4,1,107,2,1044,10063,518,"Woodpoles, bamboo",2,,,0
4,1,107,2,1044,10063,519,"Grass for thatching roof or ot",2,,,0
4,1,107,2,1044,10064,518,"Woodpoles, bamboo",2,,,0
4,1,107,2,1044,10064,519,"Grass for thatching roof or ot",2,,,0
4,1,107,2,1044,10065,518,"Woodpoles, bamboo",2,,,0
4,1,107,2,1044,10065,519,"Grass for thatching roof or ot",2,,,0
4,1,107,2,1044,10066,518,"Woodpoles, bamboo",2,,,0
4,1,107,2,1044,10066,519,"Grass for thatching roof or ot",2,,,0
4,1,107,2,1044,10067,518,"Woodpoles, bamboo",2,,,0
4,1,107,2,1044,10067,519,"Grass for thatching roof or ot",2,,,0
4,1,107,2,1044,10068,518,"Woodpoles, bamboo",2,,,0
4,1,107,2,1044,10068,519,"Grass for thatching roof or ot",2,,,0
4,1,107,2,1044,10069,518,"Woodpoles, bamboo",2,,,0
4,1,107,2,1044,10069,519,"Grass for thatching roof or ot",2,,,0
4,1,107,2,1044,10070,518,"Woodpoles, bamboo",2,,,0
4,1,107,2,1044,10070,519,"Grass for thatching roof or ot",2,,,0
4,1,117,2,560,10071,518,"Woodpoles, bamboo",2,,,0
4,1,117,2,560,10071,519,"Grass for thatching roof or ot",2,,,0
4,1,117,2,560,10072,518,"Woodpoles, bamboo",2,,,0
4,1,117,2,560,10072,519,"Grass for thatching roof or ot",2,,,0
4,1,117,2,560,10073,518,"Woodpoles, bamboo",2,,,0
4,1,117,2,560,10073,519,"Grass for thatching roof or ot",2,,,0
4,1,117,2,560,10074,518,"Woodpoles, bamboo",2,,,0
4,1,117,2,560,10074,519,"Grass for thatching roof or ot",2,,,0
4,1,117,2,560,10075,518,"Woodpoles, bamboo",2,,,0
4,1,117,2,560,10075,519,"Grass for thatching roof or ot",2,,,0
4,1,117,2,560,10076,518,"Woodpoles, bamboo",2,,,0
4,1,117,2,560,10076,519,"Grass for thatching roof or ot",2,,,0
4,1,117,2,560,10077,518,"Woodpoles, bamboo",2,,,0
4,1,117,2,560,10077,519,"Grass for thatching roof or ot",2,,,0
4,1,117,2,560,10078,518,"Woodpoles, bamboo",2,,,0
4,1,117,2,560,10078,519,"Grass for thatching roof or ot",2,,,0
4,1,117,2,560,10079,518,"Woodpoles, bamboo",2,,,0
