"zone","state","lga","sector","ea","hhid","indiv","s3cq1","s3cq2","s3cq3","s3cq4","s3cq5a","s3cq5b","s3cq6a","s3cq6b","s3cq7","s3cq8","s3cq9","s3cq9b","s3cq10","s3cq11a","s3cq11b","s3cq12a","s3cq12b","s3cq13","s3cq14","s3cq15","s3cq15b","tracked_obs"
4,1,106,2,880,10030,1,2,1,2,1,"FARMING (CROP )",9211,"AGRICULTURE",1,6,18,9,,2,,,,,,,,,0
4,1,106,2,880,10030,2,2,1,1,1,"FARMING",9211,"AGRICULTURE",1,6,15,9,,1,"TRADING",3416,"RETAIL TRADE",47,5,10,9,,0
4,1,106,2,880,10030,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,7,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,8,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10031,1,2,2,1,1,"TAXI DRIVER",8322,"TAXI DRIVER",49,6,50,4,,2,,,,,,,,,0
4,1,111,1,1146,10031,2,2,2,1,1,"PROVISION STORE",3416,"PROVISION STORE",47,6,60,9,,2,,,,,,,,,0
4,1,111,1,1146,10031,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10031,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10034,2,2,2,1,1,"BUYERS",3416,"WHOLESALE & RETAIL TRADE",47,6,84,9,,2,,,,,,,,,0
4,1,111,1,1146,10034,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10034,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10034,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10034,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10034,7,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10034,8,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10034,9,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10034,10,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10034,11,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10034,12,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10035,1,1,2,2,1,"CART,TAXI&LIGBT VEH.DRIVE",8322,"TRANSPORTATION & STORAGE",49,6,48,4,,2,,,,,,,,,0
4,1,111,1,1146,10035,2,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10035,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10035,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10035,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10035,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
