"zone","state","lga","sector","ea","hhid","indiv","s3bq1","s3bq2","s3bq3","s3bq4","s3bq5a","s3bq5b","s3bq6a","s3bq6b","s3bq7","s3bq8","s3bq9","s3bq9b","s3bq10","s3bq11a","s3bq11b","s3bq12a","s3bq12b","s3bq13","s3bq14","s3bq15","s3bq15b","tracked_obs"
4,1,108,2,904,10105,2,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10105,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10105,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10107,1,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10107,2,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10107,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10107,4,1,1,2,1,"BRICKLAYER/MASON",7122,"BRICKLAYER/MASON",41,12,60,9,,2,,,,,,,,,0
4,1,108,2,904,10107,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10107,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10107,7,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20001,4,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,5,42,9,,2,,,,,,,,,0
2,2,209,2,1040,20001,5,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,5,42,9,,2,,,,,,,,,0
2,2,209,2,1040,20001,6,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,5,42,9,,2,,,,,,,,,0
2,2,209,2,1040,20001,7,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,5,42,9,,2,,,,,,,,,0
2,2,209,2,1040,20002,1,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20002,2,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,5,8,9,,2,,,,,,,,,0
2,2,209,2,1040,20004,1,2,1,2,1,"CROP PRODUCTION",1311,"AGRICULTURE",1,7,40,9,,2,,,,,,,,,0
2,2,209,2,1040,20004,2,2,1,2,1,"CROP PRODUCTION",1311,"AGRICULTURE",1,6,35,9,,1,"OKADA DRIVER",2419,"AGRICULTURE",1,6,170,9,,0
2,2,209,2,1040,20004,3,2,1,2,1,"CROP PRODUCTION",1311,"AGRICULTURE",1,5,30,9,,2,,,,,,,,,0
2,2,209,2,1040,20004,4,2,1,2,1,"CROP PRODUCTION",1311,"AGRICULTURE",1,4,25,9,,2,,,,,,,,,0
2,2,221,2,18,20011,1,2,1,2,1,"FARMER",6130,"AGRICULTURE AND REARING",1,12,21,9,,2,,,,,,,,,0
2,2,221,2,18,20011,2,2,1,2,1,"FARMER",6130,"AGRICULTURE AND REARING",1,12,21,9,,2,,,,,,,,,0
2,2,221,2,18,20011,3,2,1,2,1,"FARMER",6130,"AGRICULTURE AND REARING",1,12,21,9,,2,,,,,,,,,0
2,2,221,2,18,20011,4,2,1,2,1,"FARMER",6130,"AGRICULTURE AND REARING",1,12,14,9,,2,,,,,,,,,0
2,2,221,2,18,20011,5,2,1,2,1,"FARMER",6130,"AGRICULTURE AND REARING",1,12,14,9,,2,,,,,,,,,0
2,2,221,2,18,20011,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,221,2,18,20011,7,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,221,2,18,20011,8,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,221,2,18,20011,9,2,1,1,1,"FARMER",6130,"AGRICULTURE AND REARING",1,12,21,9,,2,,,,,,,,,0
2,2,221,2,18,20014,1,2,1,2,1,"FARMING",6111,"FARMING",1,6,56,9,,2,,,,,,,,,0
2,2,221,2,18,20014,2,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,221,2,18,20014,3,2,1,1,1,"FARMING",6111,"FARMING",1,6,56,9,,1,"BUYING AND SELLING",3416,,47,12,28,9,,0
2,2,221,2,18,20014,4,2,1,2,1,"FARMING",6111,"FARMING",1,6,56,9,,2,,,,,,,,,0
2,2,221,2,18,20014,5,2,1,2,1,"FARMING",6111,"FARMING",1,6,56,9,,2,,,,,,,,,0
2,2,221,2,18,20014,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,221,2,18,20014,7,2,1,2,1,"FARMING",6111,"FARMING",1,6,56,9,,2,,,,,,,,,0
2,2,221,2,18,20014,8,2,1,2,1,"FARMING",6111,"FARMING",1,6,56,9,,2,,,,,,,,,0
2,2,221,2,18,20014,9,2,1,2,1,"FARMING",6111,"FARMING",1,6,56,9,,2,,,,,,,,,0
2,2,221,2,18,20014,10,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,221,2,18,20014,11,2,1,2,1,"FARMING",6111,"FARMING",1,6,56,9,,2,,,,,,,,,0
2,2,221,2,18,20014,12,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,221,2,18,20019,1,2,1,1,1,"MIXED CROP GROWER",6114,"AGRICULTURE",1,6,26,9,,2,,,,,,,,,0
2,2,221,2,18,20019,2,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,201,2,60,20021,1,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,6,42,9,,2,,,,,,,,,0
2,2,201,2,60,20021,2,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,6,42,9,,2,,,,,,,,,0
2,2,201,2,60,20021,3,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,6,42,9,,2,,,,,,,,,0
2,2,201,2,60,20021,4,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,6,42,9,,2,,,,,,,,,0
2,2,201,2,60,20021,5,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,6,42,9,,2,,,,,,,,,0
2,2,201,2,60,20021,6,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,6,42,9,,2,,,,,,,,,0
